energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,7.93232745,0.76570501,2.90224632,0.04493298,0.89242927,0.06035365,1.79990462,3.33295853,1.38888163
-5.99399700,7.77333751,0.75966163,2.85198586,0.04515061,0.85990185,0.06132055,1.77979452,3.19507716,1.37021839
-5.98799400,7.62345422,0.75237640,2.80676564,0.04529202,0.82807751,0.06229815,1.76011915,3.06127680,1.35301951
-5.98199100,7.48355950,0.74388003,2.76689224,0.04534057,0.79716962,0.06327144,1.74086795,2.93272642,1.33738803
-5.97598799,7.35429449,0.73423382,2.73255294,0.04528202,0.76735472,0.06422748,1.72202452,2.81043764,1.32339632
-5.96998499,7.23613655,0.72353497,2.70384945,0.04510515,0.73877976,0.06515652,1.70358460,2.69528053,1.31109857
-5.96398199,7.12948091,0.71192050,2.68083483,0.04480216,0.71157032,0.06605292,1.68557342,2.58800370,1.30054354
-5.95797899,7.03472002,0.69956944,2.66355024,0.04436906,0.68583930,0.06691602,1.66806122,2.48925604,1.29178630
-5.95197599,6.95231411,0.68670298,2.65205915,0.04380591,0.66169500,0.06775073,1.65117548,2.39960763,1.28489810
-5.94597299,6.88284713,0.67358250,2.64647615,0.04311690,0.63924812,0.06856779,1.63510889,2.31956793,1.27997330
-5.93996998,6.82706403,0.66050544,2.64698853,0.04231032,0.61861698,0.06938384,1.62012238,2.24959938,1.27713279
-5.93396698,6.78588639,0.64779932,2.65386904,0.04139839,0.59993074,0.07022103,1.60654286,2.19012560,1.27652362
-5.92796398,6.76040545,0.63581406,2.66747904,0.04039690,0.58333019,0.07110633,1.59475570,2.14153346,1.27831468
-5.92196098,6.75185318,0.62491319,2.68826203,0.03932480,0.56896631,0.07207048,1.58519236,2.10416925,1.28268883
-5.91595798,6.76155365,0.61546432,2.71672807,0.03820367,0.55699657,0.07314666,1.57831401,2.07832952,1.28983183
-5.90995498,6.79085838,0.60782944,2.75343026,0.03705707,0.54757939,0.07436885,1.57459197,2.06424762,1.29991904
-5.90395198,6.84107041,0.60235574,2.79893525,0.03590985,0.54086714,0.07577010,1.57448631,2.06207742,1.31310063
-5.89794897,6.91336249,0.59936714,2.85378966,0.03478747,0.53699831,0.07738058,1.57842390,2.07187573,1.32948653
-5.89194597,7.00869538,0.59915730,2.91848494,0.03371526,0.53608924,0.07922569,1.58677708,2.09358514,1.34913204
-5.88594297,7.12774166,0.60198418,2.99342306,0.03271770,0.53822620,0.08132422,1.59984434,2.12701878,1.37202523
-5.87993997,7.27082054,0.60806645,3.07888539,0.03181776,0.54345825,0.08368668,1.61783402,2.17184861,1.39807701
-5.87393697,7.43784785,0.61758171,3.17500671,0.03103629,0.55179144,0.08631392,1.64085185,2.22759811,1.42711468
-5.86793397,7.62830459,0.63066655,3.28175622,0.03039144,0.56318462,0.08919610,1.66889302,2.29364039,1.45887940
