energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,0.75781107,0.00020337,0.05457505,0.21276909,0.17101138,0.16353557,0.23880491,0.01153405,0.16811843
-5.99399700,0.71871016,0.00016936,0.05120211,0.20399648,0.16203392,0.15175673,0.22691743,0.01025523,0.16135427
-5.98799400,0.68502330,0.00014559,0.04805861,0.19634225,0.15590053,0.14077302,0.21584017,0.00910497,0.15597653
-5.98199100,0.65698857,0.00013081,0.04517482,0.18995811,0.15264928,0.13067913,0.20561721,0.00808236,0.15206339
-5.97598799,0.63482572,0.00012415,0.04257675,0.18499135,0.15231101,0.12155350,0.19629176,0.00718531,0.14969197
-5.96998499,0.61874083,0.00012511,0.04028659,0.18158534,0.15491007,0.11345964,0.18790800,0.00641080,0.14893859
-5.96398199,0.60892996,0.00013352,0.03832328,0.17987979,0.16046428,0.10644776,0.18051277,0.00575507,0.14987867
-5.95797899,0.60558116,0.00014948,0.03670307,0.18001049,0.16898424,0.10055660,0.17415682,0.00521386,0.15258608
-5.95197599,0.60887471,0.00017338,0.03543995,0.18210851,0.18047194,0.09581515,0.16889571,0.00478258,0.15713191
-5.94597299,0.61898123,0.00020587,0.03454610,0.18629865,0.19491889,0.09224427,0.16479002,0.00445648,0.16358276
-5.93996998,0.63605782,0.00024781,0.03403210,0.19269713,0.21230389,0.08985791,0.16190492,0.00423073,0.17199843
-5.93396698,0.66024240,0.00030026,0.03390711,0.20140864,0.23259067,0.08866408,0.16030912,0.00410058,0.18242924
-5.92796398,0.69164641,0.00036446,0.03417880,0.21252271,0.25572555,0.08866536,0.16007312,0.00406132,0.19491298
-5.92196098,0.73034651,0.00044181,0.03485322,0.22610964,0.28163544,0.08985898,0.16126693,0.00410839,0.20947177
-5.91595798,0.77637570,0.00053382,0.03593449,0.24221617,0.31022632,0.09223657,0.16395734,0.00423735,0.22610896
-5.90995498,0.82971442,0.00064206,0.03742442,0.26086108,0.34138242,0.09578352,0.16820487,0.00444382,0.24480618
-5.90395198,0.89028236,0.00076815,0.03932203,0.28203110,0.37496632,0.10047815,0.17406048,0.00472345,0.26552086
-5.89794897,0.95793131,0.00091368,0.04162305,0.30567720,0.41082003,0.10629067,0.18156236,0.00507189,0.28818442
-5.89194597,1.03243987,0.00108017,0.04431941,0.33171168,0.44876709,0.11318212,0.19073273,0.00548466,0.31270104
-5.88594297,1.11351002,0.00126901,0.04739874,0.36000618,0.48861573,0.12110331,0.20157500,0.00595715,0.33894748
-5.87993997,1.20076612,0.00148135,0.05084389,0.39039084,0.53016296,0.12999389,0.21407123,0.00648448,0.36677369
-5.87393697,1.29375628,0.00171811,0.05463267,0.42265464,0.57319945,0.13978166,0.22818013,0.00706151,0.39600446
-5.86793397,1.39195613,0.00197984,0.05873749,0.45654717,0.61751487,0.15038207,0.24383559,0.00768275,0.42644196
-5.86193097,1.49477477,0.00226670,0.06312532,0.49178166,0.66290349,0.16169820,0.26094585,0.00834238,0.45786904
-5.85592796,1.60156266,0.00257839,0.06775765,0.52803925,0.70916965,0.17362094,0.27939330,0.00903418,0.49005337
-5.84992496,1.71162095,0.00291412,0.07259066,0.56497452,0.75613267,0.18602967,0.29903502,0.00975164,0.52275191
-5.84392196,1.82421194,0.00327256,0.07757553,0.60222198,0.80363092,0.19879327,0.31970384,0.01048791,0.55571584
-5.83791896,1.93856997,0.00365186,0.08265890,0.63940329,0.85152460,0.21177159,0.34121024,0.01123591,0.58869551
