energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,0.48494925,0.16592474,0.04509273,0.01120938,0.03927254,0.02192159,0.25655136,0.00000000
-5.99399700,0.48862665,0.17049795,0.04385058,0.00984714,0.03952906,0.02228636,0.26070064,0.00000000
-5.98799400,0.49604880,0.17676310,0.04304987,0.00863256,0.04014875,0.02313458,0.26668733,0.00000000
-5.98199100,0.50675734,0.18464846,0.04264867,0.00756687,0.04110530,0.02448172,0.27425652,0.00000000
-5.97598799,0.52024564,0.19405766,0.04260034,0.00664908,0.04236721,0.02633811,0.28312959,0.00000000
-5.96998499,0.53597292,0.20487148,0.04285483,0.00587642,0.04389862,0.02870825,0.29301186,0.00000000
-5.96398199,0.55337849,0.21694976,0.04336001,0.00524460,0.04566015,0.03159004,0.30360037,0.00000000
-5.95797899,0.57189578,0.23013332,0.04406292,0.00474820,0.04760975,0.03497394,0.31459149,0.00000000
-5.95197599,0.59096574,0.24424587,0.04491100,0.00438095,0.04970346,0.03884227,0.32568823,0.00000000
-5.94597299,0.61004921,0.25909601,0.04585314,0.00413593,0.05189622,0.04316846,0.33660690,0.00000000
-5.93996998,0.62863797,0.27447920,0.04684071,0.00400581,0.05414256,0.04791650,0.34708313,0.00000000
-5.93396698,0.64626421,0.29017994,0.04782837,0.00398295,0.05639728,0.05304066,0.35687685,0.00000000
-5.92796398,0.66250827,0.30597411,0.04877480,0.00405950,0.05861604,0.05848543,0.36577638,0.00000000
-5.92196098,0.67700457,0.32163156,0.04964324,0.00422742,0.06075596,0.06418585,0.37360144,0.00000000
-5.91595798,0.68944582,0.33691908,0.05040195,0.00447853,0.06277611,0.07006824,0.38020507,0.00000000
-5.90995498,0.69958546,0.35160375,0.05102445,0.00480446,0.06463800,0.07605134,0.38547464,0.00000000
-5.90395198,0.70723862,0.36545679,0.05148976,0.00519668,0.06630612,0.08204791,0.38933191,0.00000000
-5.89794897,0.71228179,0.37825775,0.05178246,0.00564644,0.06774832,0.08796680,0.39173233,0.00000000
-5.89194597,0.71465142,0.38979922,0.05189271,0.00614484,0.06893630,0.09371533,0.39266369,0.00000000
-5.88594297,0.71434178,0.39989182,0.05181618,0.00668282,0.06984608,0.09920207,0.39214440,0.00000000
-5.87993997,0.71140219,0.40836934,0.05155393,0.00725129,0.07045839,0.10433983,0.39022145,0.00000000
-5.87393697,0.70593411,0.41509396,0.05111232,0.00784126,0.07075906,0.10904880,0.38696815,0.00000000
-5.86793397,0.69808793,0.41996120,0.05050279,0.00844401,0.07073945,0.11325967,0.38248203,0.00000000
-5.86193097,0.68805988,0.42290454,0.04974170,0.00905133,0.07039671,0.11691661,0.37688263,0.00000000
-5.85592796,0.67608896,0.42389919,0.04885011,0.00965584,0.06973399,0.11998005,0.37030952,0.00000000
-5.84992496,0.66245381,0.42296503,0.04785351,0.01025126,0.06876058,0.12242897,0.36292042,0.00000000
