energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,5.82980142,0.00285470,1.18033960,0.08635261,2.29699154,1.90234297,1.74239792
-5.99399700,6.02654956,0.00300574,1.23419350,0.08895911,2.35835872,1.97741177,1.80787181
-5.98799400,6.21170186,0.00315480,1.28546745,0.09139390,2.41537746,2.04924929,1.86923321
-5.98199100,6.38346851,0.00330033,1.33365182,0.09363631,2.46755352,2.11726858,1.92590441
-5.97598799,6.54022158,0.00344075,1.37826814,0.09566770,2.51445601,2.18092223,1.97736063
-5.96998499,6.68050100,0.00357450,1.41887674,0.09747126,2.55571104,2.23970507,2.02313470
-5.96398199,6.80301815,0.00369999,1.45508341,0.09903186,2.59099499,2.29315654,2.06282070
-5.95797899,6.90665857,0.00381572,1.48654535,0.10033591,2.62002837,2.34086310,2.09607686
-5.95197599,6.99048486,0.00392021,1.51297611,0.10137129,2.64257125,2.38246101,2.12262777
-5.94597299,7.05374093,0.00401212,1.53414952,0.10212738,2.65842088,2.41763986,2.14226611
-5.93996998,7.09585810,0.00409021,1.54990257,0.10259508,2.66741209,2.44614675,2.15485404
-5.93396698,7.11646339,0.00415341,1.56013714,0.10276709,2.66942062,2.46779142,2.16032423
-5.92796398,7.11538987,0.00420083,1.56482079,0.10263814,2.66436930,2.48245212,2.15868061
-5.92196098,7.09268849,0.00423178,1.56398624,0.10220539,2.65223666,2.49008198,2.14999867
-5.91595798,7.04864067,0.00424584,1.55773001,0.10146878,2.63306757,2.49071571,2.13442536
-5.90995498,6.98377046,0.00424282,1.54620994,0.10043154,2.60698483,2.48447623,2.11217836
-5.90395198,6.89885523,0.00422280,1.52964193,0.09910055,2.57420105,2.47158075,2.08354473
-5.89794897,6.79493348,0.00418615,1.50829581,0.09748677,2.53502968,2.45234597,2.04887865
-5.89194597,6.67330885,0.00413352,1.48249066,0.09560549,2.48989443,2.42719201,2.00859842
-5.88594297,6.53554915,0.00406582,1.45258963,0.09347653,2.43933603,2.39664464,1.96318245
-5.87993997,6.38347986,0.00398422,1.41899443,0.09112433,2.38401585,2.36133555,1.91316440
-5.87393697,6.21917148,0.00389012,1.38213966,0.08857783,2.32471569,2.32200049,1.85912746
-5.86793397,6.04492086,0.00378514,1.34248714,0.08587024,2.26233361,2.27947508,1.80169783
-5.86193097,5.86322635,0.00367106,1.30052032,0.08303866,2.19787563,2.23468824,1.74153768
-5.85592796,5.67675753,0.00354980,1.25673897,0.08012353,2.13244348,2.18865338,1.67933748
-5.84992496,5.48832000,0.00342336,1.21165404,0.07716799,2.06721878,2.14245721,1.61580817
-5.84392196,5.30081613,0.00329381,1.16578297,0.07421710,2.00344403,2.09724661,1.55167310
-5.83791896,5.11720272,0.00316321,1.11964520,0.07131704,1.94240113,2.05421346,1.48765998
-5.83191596,4.94044650,0.00303360,1.07375807,0.06851420,1.88538795,2.01457781,1.42449302
-5.82591296,4.77347852,0.00290693,1.02863294,0.06585427,1.83369376,1.97956962,1.36288524
-5.81990995,4.61914822,0.00278505,0.98477151,0.06338139,1.78857404,1.95040915,1.30353117
-5.81390695,4.48017806,0.00266966,0.94266224,0.06113723,1.75122539,1.92828643,1.24709992
-5.80790395,4.35911948,0.00256231,0.90277688,0.05916026,1.72276098,1.91433996,1.19422859
-5.80190095,4.25831064,0.00246434,0.86556700,0.05748493,1.70418711,1.90963495,1.14551619
-5.79589795,4.17983664,0.00237689,0.83146043,0.05614112,1.69638116,1.91514132,1.10151788
-5.78989495,4.12549259,0.00230087,0.80085771,0.05515352,1.70007129,1.93171197,1.06273966
-5.78389195,4.09675002,0.00223699,0.77412853,0.05454121,1.71581825,1.96006151,1.02963344
-5.77788894,4.09472703,0.00218571,0.75160810,0.05431734,1.74399940,2.00074597,1.00259251
-5.77188594,4.12016262,0.00214727,0.73359358,0.05448886,1.78479524,2.05414401,0.98194745
-5.76588294,4.17339579,0.00212168,0.72034073,0.05505644,1.83817875,2.12044001,0.96796240
-5.75987994,4.25434989,0.00210876,0.71206065,0.05601436,1.90390768,2.19960989,0.96083189
-5.75387694,4.36252273,0.00210811,0.70891691,0.05735065,1.98152018,2.29140994,0.96067817
-5.74787394,4.49698334,0.00211915,0.71102313,0.05904723,2.07033404,2.39536953,0.96754915
-5.74187094,4.65637569,0.00214113,0.71844095,0.06108014,2.16944986,2.51078823,0.98141703
-5.73586793,4.83893013,0.00217315,0.73117868,0.06341990,2.27775842,2.63673771,1.00217763
-5.72986493,5.04248305,0.00221418,0.74919060,0.06603194,2.39395271,2.77206915,1.02965067
-5.72386193,5.26450499,0.00226308,0.77237696,0.06887709,2.51654449,2.91542620,1.06358087
-5.71785893,5.50213739,0.00231862,0.80058469,0.07191223,2.64388587,3.06526379,1.10364003
-5.71185593,5.75223784,0.00237953,0.83360893,0.07509089,2.77419551,3.21987268,1.14943023
-5.70585293,6.01143347,0.00244449,0.87119525,0.07836406,2.90558951,3.37740946,1.20048795
-5.69984992,6.27618150,0.00251217,0.91304264,0.08168099,3.03611636,3.53593149,1.25628932
-5.69384692,6.54283607,0.00258128,0.95880713,0.08499005,3.16379546,3.69343599,1.31625646
-5.68784392,6.80771970,0.00265056,1.00810602,0.08823972,3.28665824,3.84790232,1.37976462
-5.68184092,7.06719771,0.00271883,1.06052267,0.09137946,3.40279104,3.99733621,1.44615043
-5.67583792,7.31775343,0.00278501,1.11561174,0.09436078,3.51037826,4.13981464,1.51472073
-5.66983492,7.55606209,0.00284814,1.17290472,0.09713816,3.60774466,4.27352982,1.58476209
-5.66383192,7.77906089,0.00290737,1.23191580,0.09967000,3.69339527,4.39683082,1.65555077
-5.65782891,7.98401310,0.00296203,1.29214780,0.10191950,3.76605159,4.50826143,1.72636286
-5.65182591,8.16856383,0.00301158,1.35309819,0.10385551,3.82468255,4.60659274,1.79648444
-5.64582291,8.33078558,0.00305564,1.41426505,0.10545315,3.86852916,4.69084938,1.86522152
-5.63981991,8.46921192,0.00309401,1.47515286,0.10669444,3.89712189,4.76032844,1.93190948
-5.63381691,8.58285819,0.00312660,1.53527803,0.10756866,3.91028976,4.81461035,1.99592185
-5.62781391,8.67122837,0.00315349,1.59417414,0.10807264,3.90816109,4.85356163,2.05667824
-5.62181091,8.73430832,0.00317485,1.65139673,0.10821075,3.89115554,4.87732923,2.11365116
-5.61580790,8.77254549,0.00319096,1.70652771,0.10799478,3.85996792,4.88632715,2.16637173
-5.60980490,8.78681644,0.00320218,1.75917918,0.10744364,3.81554431,4.88121594,2.21443409
-5.60380190,8.77838343,0.00320891,1.80899679,0.10658280,3.75905152,4.86287608,2.25749849
-5.59779890,8.74884217,0.00321157,1.85566250,0.10544359,3.69184102,4.83237652,2.29529316
-5.59179590,8.70006292,0.00321062,1.89889685,0.10406240,3.61540895,4.79093983,2.32761488
-5.58579290,8.63412737,0.00320645,1.93846062,0.10247967,3.53135354,4.73990530,2.35432845
-5.57978989,8.55326388,0.00319948,1.97415609,0.10073886,3.44133177,4.68069162,2.37536516
-5.57378689,8.45978346,0.00319003,2.00582778,0.09888525,3.34701665,4.61476047,2.39072041
