energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.25462527,0.04793444,0.13015051,0.71262961,0.73037641,0.00921448,1.11467994,0.44720369,0.16299458
-5.99399700,2.37994039,0.04836813,0.13669770,0.73986819,0.78606533,0.00953415,1.17340310,0.47478049,0.17314693
-5.98799400,2.51208901,0.04867348,0.14377968,0.77029685,0.84472608,0.00987571,1.23516912,0.50418808,0.18413532
-5.98199100,2.65031478,0.04884609,0.15136764,0.80372798,0.90598526,0.01024084,1.29960012,0.53529214,0.19589566
-5.97598799,2.79367961,0.04888477,0.15942382,0.83992132,0.96937989,0.01063096,1.36623451,0.56792084,0.20834519
-5.96998499,2.94105707,0.04879127,0.16790013,0.87857971,1.03435841,0.01104699,1.43452446,0.60186192,0.22138207
-5.96398199,3.09113177,0.04856982,0.17673688,0.91934577,1.10028508,0.01148918,1.50383602,0.63686058,0.23488576
-5.95797899,3.24240581,0.04822667,0.18586195,0.96179980,1.16644798,0.01195689,1.57345242,0.67261862,0.24871779
-5.95197599,3.39321360,0.04776941,0.19519034,1.00545982,1.23207073,0.01244844,1.64258114,0.70879512,0.26272350
-5.94597299,3.54174541,0.04720646,0.20462440,1.04978392,1.29632780,0.01296093,1.71036495,0.74500894,0.27673440
-5.93996998,3.68607990,0.04654645,0.21405474,1.09417564,1.35836309,0.01349018,1.77589693,0.78084341,0.29057140
-5.93396698,3.82422533,0.04579774,0.22336195,1.13799251,1.41731142,0.01403071,1.83823953,0.81585307,0.30404873
-5.92796398,3.95416837,0.04496804,0.23241911,1.18055767,1.47232205,0.01457574,1.89644689,0.84957265,0.31697851
-5.92196098,4.07392914,0.04406410,0.24109515,1.22117477,1.52258361,0.01511736,1.94959014,0.88152803,0.32917587
-5.91595798,4.18162056,0.04309160,0.24925877,1.25914541,1.56734936,0.01564663,1.99678455,0.91124886,0.34046433
-5.90995498,4.27550964,0.04205515,0.25678314,1.29378882,1.60596180,0.01615389,2.03721754,0.93828259,0.35068138
-5.90395198,4.35407824,0.04095840,0.26355079,1.32446300,1.63787558,0.01662901,2.07017648,0.96220913,0.35968390
-5.89794897,4.41608039,0.03980426,0.26945884,1.35058629,1.66267772,0.01706177,2.09507494,0.98265569,0.36735328
-5.89194597,4.46059373,0.03859521,0.27442407,1.37165860,1.68010423,0.01744216,2.11147615,0.99931112,0.37359992
-5.88594297,4.48706219,0.03733366,0.27838772,1.38728108,1.69005223,0.01776084,2.11911270,1.01193897,0.37836697
-5.87993997,4.49532807,0.03602230,0.28131961,1.39717335,1.69258718,0.01800945,2.11790117,1.02038865,0.38163302
-5.87393697,4.48565130,0.03466447,0.28322159,1.40118729,1.68794456,0.01818098,2.10795126,1.02460407,0.38341373
-5.86793397,4.45871500,0.03326443,0.28412970,1.39931656,1.67652606,0.01827006,2.08956839,1.02462930,0.38376211
-5.86193097,4.41561642,0.03182760,0.28411533,1.39170135,1.65889019,0.01827321,2.06324993,1.02061071,0.38276762
-5.85592796,4.35784334,0.03036070,0.28328480,1.37862772,1.63573773,0.01818899,2.02967470,1.01279552,0.38055388
-5.84992496,4.28723668,0.02887173,0.28177767,1.36052165,1.60789254,0.01801814,1.98968616,1.00152661,0.37727522
-5.84392196,4.20594045,0.02736995,0.27976353,1.33793763,1.57627841,0.01776352,1.94426996,0.98723360,0.37311214
-5.83791896,4.11634099,0.02586566,0.27743742,1.31154229,1.54189284,0.01743007,1.89452642,0.97042069,0.36826585
-5.83191596,4.02099780,0.02436995,0.27501407,1.28209367,1.50577887,0.01702466,1.84163925,0.95165150,0.36295208
-5.82591296,3.92256852,0.02289436,0.27272105,1.25041680,1.46899587,0.01655583,1.78684142,0.93153155,0.35739449
-5.81990995,3.82373116,0.02145049,0.27079111,1.21737676,1.43259043,0.01603351,1.73137978,0.91068904,0.35181782
-5.81390695,3.72710630,0.02004962,0.26945413,1.18385011,1.39756850,0.01546866,1.67647947,0.88975479,0.34644115
-5.80790395,3.63518238,0.01870228,0.26892869,1.15069602,1.36486953,0.01487293,1.62330963,0.86934192,0.34147148
-5.80190095,3.55024678,0.01741793,0.26941399,1.11872822,1.33534370,0.01425824,1.57295169,0.85002639,0.33709788
-5.79589795,3.47432499,0.01620458,0.27108212,1.08868893,1.30973278,0.01363641,1.52637110,0.83232882,0.33348636
-5.78989495,3.40913013,0.01506857,0.27407121,1.06122578,1.28865508,0.01301878,1.48439378,0.81669866,0.33077575
-5.78389195,3.35602414,0.01401440,0.27847963,1.03687263,1.27259506,0.01241587,1.44768774,0.80350103,0.32907454
-5.77788894,3.31599181,0.01304462,0.28436163,1.01603508,1.26189743,0.01183710,1.41675050,0.79300687,0.32845891
-5.77188594,3.28962802,0.01215984,0.29172449,0.99898109,1.25676576,0.01129055,1.39190248,0.78538666,0.32897184
-5.76588294,3.27713809,0.01135883,0.30052736,0.98583699,1.25726550,0.01078278,1.37328644,0.78070804,0.33062334
-5.75987994,3.27835062,0.01063861,0.31068198,0.97658897,1.26333062,0.01031871,1.36087252,0.77893713,0.33339169
-5.75387694,3.29274157,0.00999474,0.32205503,0.97108976,1.27477374,0.00990159,1.35446862,0.77994351,0.33722556
-5.74787394,3.31946819,0.00942158,0.33447234,0.96907016,1.29129865,0.00953301,1.35373522,0.78350869,0.34204688
-5.74187094,3.35741078,0.00891254,0.34772449,0.97015470,1.31251494,0.00921299,1.35820395,0.78933734,0.34775431
-5.73586793,3.40522019,0.00846045,0.36157386,0.97388071,1.33795357,0.00894007,1.36729894,0.79707104,0.35422703
-5.72986493,3.46136897,0.00805787,0.37576263,0.97971979,1.36708298,0.00871155,1.38035987,0.80630359,0.36132879
-5.72386193,3.52420377,0.00769737,0.39002160,0.98710083,1.39932494,0.00852361,1.39666575,0.81659755,0.36891193
-5.71785893,3.59199701,0.00737184,0.40407928,0.99543338,1.43406957,0.00837163,1.41545853,0.82750084,0.37682133
-5.71185593,3.66299589,0.00707472,0.41767103,1.00413051,1.47068904,0.00825037,1.43596550,0.83856313,0.38489805
-5.70585293,3.73546713,0.00680021,0.43054779,1.01263009,1.50854972,0.00815422,1.45741988,0.84935105,0.39298262
-5.69984992,3.80773614,0.00654340,0.44248407,1.02041389,1.54702252,0.00807750,1.47907891,0.85946171,0.40091788
-5.69384692,3.87821991,0.00630037,0.45328497,1.02702351,1.58549140,0.00801458,1.50023907,0.86853416,0.40855144
