energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,1.66197712,0.04626138,0.00149036,0.82231527,0.68179087,0.01331425,0.81962062
-5.99399700,1.55840743,0.04264566,0.00137936,0.77562287,0.63902223,0.01234770,0.77288960
-5.98799400,1.45466550,0.03910902,0.00127153,0.72779071,0.59648919,0.01139681,0.72539385
-5.98199100,1.35157326,0.03568298,0.00116732,0.67930222,0.55447308,0.01047020,0.67755445
-5.97598799,1.24995094,0.03239781,0.00106718,0.63064709,0.51325879,0.00957601,0.62980034
-5.96998499,1.15060013,0.02928179,0.00097150,0.58230866,0.47313001,0.00872181,0.58255878
-5.96398199,1.05428841,0.02636061,0.00088063,0.53475238,0.43436444,0.00791443,0.53624637
-5.95797899,0.96173565,0.02365704,0.00079491,0.48841559,0.39722934,0.00715995,0.49126080
-5.95197599,0.87360279,0.02119072,0.00071460,0.44369897,0.36197754,0.00646363,0.44797375
-5.94597299,0.79048307,0.01897815,0.00063991,0.40095991,0.32884399,0.00582995,0.40672502
-5.93996998,0.71289609,0.01703278,0.00057104,0.36050784,0.29804316,0.00526258,0.36781815
-5.93396698,0.64128447,0.01536530,0.00050810,0.32260160,0.26976709,0.00476448,0.33151743
-5.92796398,0.57601317,0.01398389,0.00045117,0.28744868,0.24418423,0.00433796,0.29804637
-5.92196098,0.51737098,0.01289454,0.00040029,0.25520634,0.22143904,0.00398468,0.26758753
-5.91595798,0.46557391,0.01210143,0.00035543,0.22598414,0.20165210,0.00370576,0.24028356
-5.90995498,0.42077009,0.01160722,0.00031657,0.19984780,0.18492075,0.00350181,0.21623914
-5.90395198,0.38304555,0.01141324,0.00028362,0.17682407,0.17132001,0.00337296,0.19552377
-5.89794897,0.35243047,0.01151971,0.00025649,0.15690612,0.16090364,0.00331890,0.17817496
-5.89194597,0.32890554,0.01192581,0.00023507,0.14005941,0.15370516,0.00333880,0.16420180
-5.88594297,0.31240774,0.01262960,0.00021921,0.12622745,0.14973871,0.00343136,0.15358836
-5.87993997,0.30283559,0.01362798,0.00020878,0.11533743,0.14899964,0.00359475,0.14629713
-5.87393697,0.30005333,0.01491644,0.00020364,0.10730536,0.15146475,0.00382649,0.14227187
-5.86793397,0.30389418,0.01648889,0.00020363,0.10204061,0.15709218,0.00412347,0.14144021
-5.86193097,0.31416241,0.01833732,0.00020863,0.09944976,0.16582092,0.00448181,0.14371561
-5.85592796,0.33063467,0.02045162,0.00021847,0.09943958,0.17757012,0.00489683,0.14899880
-5.84992496,0.35306050,0.02281930,0.00023302,0.10191932,0.19223827,0.00536298,0.15717884
-5.84392196,0.38116246,0.02542541,0.00025213,0.10680215,0.20970241,0.00587382,0.16813365
-5.83791896,0.41463620,0.02825245,0.00027566,0.11400598,0.22981751,0.00642204,0.18173040
-5.83191596,0.45315084,0.03128047,0.00030346,0.12345364,0.25241641,0.00699946,0.19782574
-5.82591296,0.49634996,0.03448736,0.00033538,0.13507262,0.27731016,0.00759714,0.21626605
-5.81990995,0.54385358,0.03784921,0.00037128,0.14879439,0.30428929,0.00820548,0.23688791
-5.81390695,0.59526128,0.04134091,0.00041099,0.16455359,0.33312589,0.00881440,0.25951887
-5.80790395,0.65015672,0.04493681,0.00045437,0.18228691,0.36357656,0.00941356,0.28397864
-5.80190095,0.70811349,0.04861161,0.00050125,0.20193210,0.39538647,0.00999258,0.31008078
-5.79589795,0.76870220,0.05234121,0.00055148,0.22342680,0.42829413,0.01054134,0.33763483
-5.78989495,0.83149866,0.05610368,0.00060491,0.24670752,0.46203700,0.01105025,0.36644893
-5.78389195,0.89609274,0.05988019,0.00066139,0.27170861,0.49635760,0.01151058,0.39633281
-5.77788894,0.96209757,0.06365586,0.00072080,0.29836126,0.53100995,0.01191472,0.42710096
-5.77188594,1.02915841,0.06742042,0.00078301,0.32659246,0.56576589,0.01225648,0.45857597
-5.76588294,1.09696093,0.07116879,0.00084792,0.35632399,0.60042117,0.01253131,0.49059171
-5.75987994,1.16523813,0.07490127,0.00091546,0.38747131,0.63480081,0.01273653,0.52299616
-5.75387694,1.23377554,0.07862358,0.00098556,0.41994229,0.66876347,0.01287141,0.55565388
-5.74787394,1.30241425,0.08234649,0.00105819,0.45363597,0.70220468,0.01293730,0.58844778
-5.74187094,1.37105157,0.08608517,0.00113332,0.48844115,0.73505848,0.01293759,0.62128006
-5.73586793,1.43963902,0.08985825,0.00121094,0.52423506,0.76729757,0.01287766,0.65407239
-5.72986493,1.50817779,0.09368656,0.00129106,0.56088203,0.79893181,0.01276474,0.68676518
-5.72386193,1.57671178,0.09759166,0.00137368,0.59823243,0.83000511,0.01260768,0.71931602
-5.71785893,1.64531850,0.10159423,0.00145880,0.63612193,0.86059087,0.01241670,0.75169724
-5.71185593,1.71409827,0.10571234,0.00154641,0.67437118,0.89078614,0.01220307,0.78389301
-5.70585293,1.78316238,0.10995971,0.00163648,0.71278621,0.92070486,0.01197876,0.81589582
-5.69984992,1.85262062,0.11434409,0.00172897,0.75115944,0.95047036,0.01175603,0.84770273
-5.69384692,1.92256896,0.11886581,0.00182378,0.78927166,0.98020770,0.01154711,0.87931158
-5.68784392,1.99307796,0.12351659,0.00192081,0.82689470,1.01003591,0.01136374,0.91071727
-5.68184092,2.06418239,0.12827871,0.00201989,0.86379500,1.04006086,0.01121687,0.94190838
-5.67583792,2.13587272,0.13312452,0.00212084,0.89973795,1.07036876,0.01111627,0.97286426
-5.66983492,2.20808858,0.13801645,0.00222343,0.93449272,1.10102070,0.01107029,1.00355269
-5.66383192,2.28071471,0.14290744,0.00232742,0.96783749,1.13204849,0.01108557,1.03392818
-5.65782891,2.35357932,0.14774178,0.00243253,0.99956481,1.16345188,0.01116687,1.06393098
-5.65182591,2.42645483,0.15245645,0.00253847,1.02948675,1.19519718,0.01131696,1.09348670
-5.64582291,2.49906107,0.15698273,0.00264496,1.05743954,1.22721750,0.01153652,1.12250663
-5.63981991,2.57107053,0.16124822,0.00275171,1.08328756,1.25941428,0.01182414,1.15088853
-5.63381691,2.64211541,0.16517897,0.00285845,1.10692628,1.29166020,0.01217641,1.17851802
-5.62781391,2.71179632,0.16870182,0.00296496,1.12828404,1.32380333,0.01258801,1.20527023
-5.62181091,2.77969210,0.17174676,0.00307103,1.14732263,1.35567219,0.01305191,1.23101193
