energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.02054236,0.17793344,0.00000000,0.01723977,1.30346943,1.03552685,0.66433913
-5.99399700,2.04418283,0.17808687,0.00000000,0.01707564,1.32470380,1.05304497,0.68581498
-5.98799400,2.06828338,0.17789737,0.00000000,0.01690797,1.34693083,1.07078768,0.70753916
-5.98199100,2.09273325,0.17735911,0.00000000,0.01673838,1.37004350,1.08865454,0.72937023
-5.97598799,2.11740828,0.17647365,0.00000000,0.01656908,1.39390828,1.10654077,0.75115557
-5.96998499,2.14217888,0.17524996,0.00000000,0.01640304,1.41837150,1.12434182,0.77273600
-5.96398199,2.16691849,0.17370426,0.00000000,0.01624413,1.44326658,1.14195833,0.79395094
-5.95797899,2.19151216,0.17185978,0.00000000,0.01609719,1.46842185,1.15930095,0.81464396
-5.95197599,2.21586466,0.16974640,0.00000000,0.01596806,1.49366835,1.17629487,0.83466850
-5.94597299,2.23990754,0.16740010,0.00000000,0.01586347,1.51884726,1.19288370,0.85389335
-5.93996998,2.26360474,0.16486230,0.00000000,0.01579092,1.54381663,1.20903245,0.87220771
-5.93396698,2.28695612,0.16217915,0.00000000,0.01575846,1.56845683,1.22472937,0.88952546
-5.92796398,2.30999884,0.15940055,0.00000000,0.01577434,1.59267459,1.23998654,0.90578847
-5.92196098,2.33280620,0.15657919,0.00000000,0.01584669,1.61640528,1.25483913,0.92096873
-5.91595798,2.35548399,0.15376936,0.00000000,0.01598313,1.63961344,1.26934320,0.93506904
-5.90995498,2.37816443,0.15102574,0.00000000,0.01619033,1.66229147,1.28357236,0.94812237
-5.90395198,2.40099802,0.14840211,0.00000000,0.01647362,1.68445656,1.29761323,0.96018980
-5.89794897,2.42414366,0.14594993,0.00000000,0.01683661,1.70614622,1.31156003,0.97135712
-5.89194597,2.44775768,0.14371706,0.00000000,0.01728085,1.72741259,1.32550865,0.98173029
-5.88594297,2.47198230,0.14174636,0.00000000,0.01780558,1.74831599,1.33955041,0.99142999
-5.87993997,2.49693433,0.14007446,0.00000000,0.01840752,1.76891804,1.35376592,1.00058558
-5.87393697,2.52269467,0.13873067,0.00000000,0.01908087,1.78927491,1.36821945,1.00932866
-5.86793397,2.54929931,0.13773595,0.00000000,0.01981728,1.80943101,1.38295392,1.01778678
-5.86193097,2.57673238,0.13710227,0.00000000,0.02060605,1.82941354,1.39798706,1.02607738
-5.85592796,2.60492162,0.13683208,0.00000000,0.02143440,1.84922812,1.41330859,1.03430241
-5.84992496,2.63373643,0.13691817,0.00000000,0.02228780,1.86885573,1.42887879,1.04254382
-5.84392196,2.66298875,0.13734376,0.00000000,0.02315047,1.88825101,1.44462833,1.05085999
-5.83791896,2.69243649,0.13808295,0.00000000,0.02400590,1.90734195,1.46045935,1.05928341
-5.83191596,2.72178916,0.13910145,0.00000000,0.02483739,1.92603072,1.47624754,1.06781938
-5.82591296,2.75071553,0.14035757,0.00000000,0.02562868,1.94419556,1.49184519,1.07644586
-5.81990995,2.77885253,0.14180341,0.00000000,0.02636452,1.96169341,1.50708475,1.08511431
-5.81390695,2.80581491,0.14338630,0.00000000,0.02703121,1.97836305,1.52178282,1.09375134
