energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.88995860,1.39094626,4.33621619,0.02311536,0.59001701,0.05204254,1.87826178,0.88252854,0.69010114
-5.99399700,7.86228615,1.39559306,4.32358348,0.02304300,0.59550563,0.05208207,1.85825903,0.87436442,0.68538158
-5.98799400,7.83645596,1.40112707,4.31243403,0.02301270,0.60150963,0.05219231,1.83796314,0.86619697,0.68044237
-5.98199100,7.81295383,1.40756833,4.30303257,0.02302459,0.60800824,0.05237573,1.81754337,0.85813146,0.67529043
-5.97598799,7.79226472,1.41493547,4.29562449,0.02307852,0.61497190,0.05263558,1.79718810,0.85028081,0.66994843
-5.96998499,7.77485328,1.42324425,4.29042509,0.02317404,0.62236241,0.05297566,1.77709930,0.84276092,0.66445374
-5.96398199,7.76114316,1.43250571,4.28760878,0.02331034,0.63013307,0.05340000,1.75748624,0.83568573,0.65885673
-5.95797899,7.75149653,1.44272397,4.28729912,0.02348626,0.63822890,0.05391261,1.73855890,0.82916212,0.65321845
-5.95197599,7.74619506,1.45389385,4.28956027,0.02370024,0.64658697,0.05451710,1.72052144,0.82328519,0.64760794
-5.94597299,7.74542400,1.46599855,4.29439084,0.02395022,0.65513686,0.05521644,1.70356603,0.81813390,0.64209934
-5.93996998,7.74926031,1.47900756,4.30172043,0.02423366,0.66380130,0.05601267,1.68786741,0.81376759,0.63676890
-5.93396698,7.75766599,1.49287492,4.31140961,0.02454750,0.67249705,0.05690670,1.67357847,0.81022340,0.63169216
-5.92796398,7.77048708,1.50753814,4.32325320,0.02488809,0.68113603,0.05789815,1.66082693,0.80751475,0.62694129
-5.92196098,7.78745865,1.52291784,4.33698725,0.02525127,0.68962684,0.05898527,1.64971329,0.80563107,0.62258282
-5.91595798,7.80821563,1.53891825,4.35229912,0.02563235,0.69787644,0.06016491,1.64030997,0.80453859,0.61867569
-5.90995498,7.83230880,1.55542863,4.36884045,0.02602618,0.70579227,0.06143256,1.63266163,0.80418235,0.61526972
-5.90395198,7.85922524,1.57232568,4.38624227,0.02642721,0.71328457,0.06278249,1.62678649,0.80448916,0.61240454
-5.89794897,7.88841195,1.58947676,4.40413144,0.02682963,0.72026892,0.06420790,1.62267838,0.80537135,0.61010880
-5.89194597,7.91930123,1.60674400,4.42214756,0.02722744,0.72666895,0.06570109,1.62030936,0.80673115,0.60839979
-5.88594297,7.95133638,1.62398895,4.43995929,0.02761462,0.73241904,0.06725369,1.61963258,0.80846540,0.60728330
-5.87993997,7.98399620,1.64107768,4.45727934,0.02798528,0.73746695,0.06885691,1.62058521,0.81047045,0.60675368
-5.87393697,8.01681679,1.65788606,4.47387699,0.02833378,0.74177627,0.07050173,1.62309109,0.81264675,0.60679416
-5.86793397,8.04940945,1.67430478,4.48958759,0.02865492,0.74532844,0.07217907,1.62706315,0.81490322,0.60737719
-5.86193097,8.08147366,1.69024397,4.50431849,0.02894406,0.74812432,0.07388000,1.63240521,0.81716097,0.60846498
-5.85592796,8.11280425,1.70563705,4.51805080,0.02919723,0.75018508,0.07559582,1.63901332,0.81935621,0.61001015
-5.84992496,8.14329260,1.72044346,4.53083713,0.02941126,0.75155239,0.07731811,1.64677650,0.82144236,0.61195645
-5.84392196,8.17292166,1.73465001,4.54279515,0.02958385,0.75228770,0.07903881,1.65557708,0.82339116,0.61423965
-5.83791896,8.20175508,1.74827080,4.55409740,0.02971360,0.75247071,0.08075011,1.66529059,0.82519277,0.61678867
-5.83191596,8.22992120,1.76134532,4.56495780,0.02980005,0.75219682,0.08244446,1.67578543,0.82685494,0.61952676
-5.82591296,8.25759262,1.77393501,4.57561566,0.02984364,0.75157382,0.08411443,1.68692249,0.82840123,0.62237307
-5.81990995,8.28496271,1.78611811,4.58631778,0.02984567,0.75071772,0.08575256,1.69855481,0.82986843,0.62524434
-5.81390695,8.31222016,1.79798305,4.59729980,0.02980822,0.74974797,0.08735132,1.71052755,0.83130338,0.62805686
-5.80790395,8.33952314,1.80962077,4.60876768,0.02973402,0.74878218,0.08890290,1.72267825,0.83275918,0.63072859
-5.80190095,8.36697453,1.82111624,4.62088023,0.02962637,0.74793066,0.09039912,1.73483775,0.83429121,0.63318149
-5.79589795,8.39459959,1.83253969,4.63373374,0.02948892,0.74729095,0.09183140,1.74683151,0.83595299,0.63534388
-5.78989495,8.42232756,1.84393812,4.64734949,0.02932563,0.74694266,0.09319067,1.75848169,0.83779219,0.63715279
-5.78389195,8.44997825,1.85532762,4.66166494,0.02914052,0.74694292,0.09446741,1.76960982,0.83984692,0.63855626
-5.77788894,8.47725479,1.86668709,4.67652915,0.02893762,0.74732266,0.09565171,1.78004005,0.84214259,0.63951534
-5.77188594,8.50374312,1.87795385,4.69170284,0.02872078,0.74808407,0.09673340,1.78960292,0.84468949,0.64000588
-5.76588294,8.52891878,1.88902163,4.70686336,0.02849367,0.74919925,0.09770227,1.79813963,0.84748109,0.64001984
-5.75987994,8.55216109,1.89974123,4.72161446,0.02825966,0.75061043,0.09854829,1.80550646,0.85049346,0.63956614
-5.75387694,8.57277432,1.90992408,4.73550067,0.02802183,0.75223167,0.09926192,1.81157948,0.85368558,0.63867099
-5.74787394,8.59001548,1.91934869,4.74802589,0.02778298,0.75395201,0.09983449,1.81625909,0.85700075,0.63737757
-5.74187094,8.60312756,1.92776985,4.75867536,0.02754574,0.75564015,0.10025855,1.81947447,0.86036892,0.63574524
-5.73586793,8.61137690,1.93493022,4.76694033,0.02731258,0.75715027,0.10052827,1.82118745,0.86370995,0.63384803
-5.72986493,8.61409324,1.94057388,4.77234428,0.02708604,0.75832889,0.10063986,1.82139592,0.86693758,0.63177275
-5.72386193,8.61071045,1.94446105,4.77446950,0.02686879,0.75902243,0.10059189,1.82013634,0.86996394,0.62961656
-5.71785893,8.60080600,1.94638337,4.77298290,0.02666384,0.75908503,0.10038565,1.81748529,0.87270437,0.62748420
-5.71185593,8.58413715,1.94617876,4.76765967,0.02647468,0.75838635,0.10002543,1.81355987,0.87508225,0.62548493
-5.70585293,8.56067180,1.94374514,4.75840366,0.02630543,0.75681886,0.09951864,1.80851691,0.87703361,0.62372938
-5.69984992,8.53061213,1.93905202,4.74526318,0.02616094,0.75430435,0.09887596,1.80255074,0.87851125,0.62232626
-5.69384692,8.49440947,1.93214942,4.72844143,0.02604689,0.75079914,0.09811128,1.79588970,0.87948816,0.62137922
-5.68784392,8.45276914,1.92317333,4.70830057,0.02596980,0.74629790,0.09724156,1.78879122,0.87995990,0.62098384
-5.68184092,8.40664434,1.91234742,4.68535912,0.02593700,0.74083579,0.09628660,1.78153570,0.87994596,0.62122490
-5.67583792,8.35721908,1.89998067,4.66028237,0.02595658,0.73448873,0.09526866,1.77441931,0.87948996,0.62217398
-5.66983492,8.30588010,1.88646098,4.63386593,0.02603719,0.72737189,0.09421200,1.76774587,0.87865859,0.62388750
-5.66383192,8.25417883,1.87224494,4.60701299,0.02618785,0.71963638,0.09314232,1.76181814,0.87753943,0.62640519
-5.65782891,8.20378475,1.85784424,4.58070596,0.02641770,0.71146440,0.09208617,1.75692879,0.87623771,0.62974909
-5.65182591,8.15643179,1.84380925,4.55597367,0.02673568,0.70306292,0.09107027,1.75335149,0.87487233,0.63392302
-5.64582291,8.11386039,1.83071060,4.53385547,0.02715021,0.69465638,0.09012084,1.75133235,0.87357112,0.63891260
-5.63981991,8.07775734,1.81911956,4.51536382,0.02766881,0.68647863,0.08926295,1.75108221,0.87246587,0.64468578
-5.63381691,8.04969640,1.80958826,4.50144684,0.02829780,0.67876458,0.08851988,1.75277001,0.87168723,0.65119377
-5.62781391,8.03108215,1.80263042,4.49295287,0.02904195,0.67174180,0.08791254,1.75651757,0.87135982,0.65837249
-5.62181091,8.02309969,1.79870364,4.49059817,0.02990418,0.66562262,0.08745898,1.76239609,0.87159780,0.66614439
-5.61580790,8.02667234,1.79819396,4.49493973,0.03088534,0.66059684,0.08717397,1.77042439,0.87250115,0.67442056
-5.60980490,8.04242927,1.80140307,4.50635398,0.03198404,0.65682556,0.08706869,1.78056902,0.87415268,0.68310318
-5.60380190,8.07068414,1.80853890,4.52502267,0.03319653,0.65443607,0.08715051,1.79274627,0.87661608,0.69208806
-5.59779890,8.11142573,1.81970961,4.55092630,0.03451669,0.65351815,0.08742286,1.80682583,0.87993488,0.70126740
-5.59179590,8.16432043,1.83492103,4.58384534,0.03593605,0.65412179,0.08788524,1.82263605,0.88413232,0.71053253
-5.58579290,8.22872631,1.85407760,4.62336912,0.03744395,0.65625618,0.08853324,1.83997031,0.88921215,0.71977661
-5.57978989,8.30371756,1.87698630,4.66891177,0.03902774,0.65989018,0.08935872,1.85859441,0.89516004,0.72889723
-5.57378689,8.38811801,1.90336333,4.71973425,0.04067298,0.66495385,0.09034996,1.87825436,0.90194559,0.73779876
-5.56778389,8.48054166,1.93284302,4.77497149,0.04236379,0.67134112,0.09149194,1.89868435,0.90952471,0.74639447
-5.56178089,8.57943822,1.96498839,4.83366310,0.04408316,0.67891330,0.09276658,1.91961445,0.91784204,0.75460827
-5.55577789,8.68314157,1.99930289,4.89478613,0.04581331,0.68750328,0.09415310,1.94077768,0.92683344,0.76237610
-5.54977489,8.78991864,2.03524278,4.95728855,0.04753604,0.69692016,0.09562829,1.96191620,0.93642823,0.76964680
-5.54377189,8.89801704,2.07222971,5.02012171,0.04923307,0.70695434,0.09716690,1.98278645,0.94655109,0.77638261
-5.53776888,9.00570933,2.10966310,5.08227063,0.05088643,0.71738256,0.09874198,2.00316289,0.95712360,0.78255910
-5.53176588,9.11133270,2.14693206,5.14278080,0.05247871,0.72797316,0.10032526,2.02284064,0.96806530,0.78816467
-5.52576288,9.21332285,2.18342667,5.20078068,0.05399340,0.73849110,0.10188758,2.04163667,0.97929430,0.79319963
-5.51975988,9.31024136,2.21854842,5.25549918,0.05541511,0.74870292,0.10339927,2.05939001,0.99072753,0.79767479
-5.51375688,9.40079650,2.25171990,5.30627786,0.05672985,0.75838136,0.10483062,2.07596087,1.00228071,0.80160976
-5.50775388,9.48385732,2.28239364,5.35257770,0.05792514,0.76730974,0.10615236,2.09122911,1.01386806,0.80503091
-5.50175088,9.55846164,2.31006021,5.39398084,0.05899028,0.77528603,0.10733618,2.10509223,1.02540203,0.80796922
-5.49574787,9.62381864,2.33425569,5.43018753,0.05991641,0.78212651,0.10835520,2.11746310,1.03679305,0.81045796
-5.48974487,9.67930683,2.35456846,5.46100929,0.06069664,0.78766908,0.10918459,2.12826790,1.04794946,0.81253045
-5.48374187,9.72446862,2.37064546,5.48635877,0.06132618,0.79177613,0.10980204,2.13744421,1.05877775,0.81421784
-5.47773887,9.75900240,2.38219792,5.50623758,0.06180235,0.79433696,0.11018832,2.14493977,1.06918323,0.81554726
-5.47173587,9.78275320,2.38900647,5.52072281,0.06212464,0.79526973,0.11032779,2.15071179,1.07907106,0.81654024
-5.46573287,9.79570295,2.39092565,5.52995329,0.06229473,0.79452292,0.11020882,2.15472709,1.08834776,0.81721156
-5.45972986,9.79796109,2.38788775,5.53411647,0.06231644,0.79207618,0.10982416,2.15696294,1.09692322,0.81756869
-5.45372686,9.78975612,2.37990569,5.53343665,0.06219569,0.78794074,0.10917129,2.15740874,1.10471310,0.81761171
-5.44772386,9.77142860,2.36707498,5.52816507,0.06194042,0.78215910,0.10825252,2.15606826,1.11164151,0.81733397
-5.44172086,9.74342568,2.34957459,5.51857244,0.06156043,0.77480428,0.10707509,2.15296241,1.11764400,0.81672327
-5.43571786,9.70629719,2.32766635,5.50494388,0.06106723,0.76597842,0.10565113,2.14813228,1.12267065,0.81576364
-5.42971486,9.66069297,2.30169312,5.48757635,0.06047380,0.75581088,0.10399739,2.14164231,1.12668906,0.81443768
-5.42371186,9.60736096,2.27207527,5.46677838,0.05979438,0.74445579,0.10213496,2.13358321,1.12968722,0.81272923
-5.41770885,9.54714546,2.23930558,5.44287156,0.05904415,0.73208919,0.10008881,2.12407444,1.13167598,0.81062638
-5.41170585,9.48098462,2.20394246,5.41619320,0.05823890,0.71890573,0.09788718,2.11326599,1.13269096,0.80812444
-5.40570285,9.40990650,2.16660145,5.38709961,0.05739477,0.70511499,0.09556097,2.10133919,1.13279383,0.80522896
-5.39969985,9.33502257,2.12794514,5.35596903,0.05652778,0.69093759,0.09314296,2.08850627,1.13207271,0.80195826
-5.39369685,9.25751802,2.08867148,5.32320357,0.05565360,0.67660097,0.09066705,2.07500861,1.13064155,0.79834558
-5.38769385,9.17863798,2.04950065,5.28922936,0.05478709,0.66233506,0.08816744,2.06111342,1.12863847,0.79444035
-5.38169085,9.09966925,2.01116082,5.25449436,0.05394206,0.64836784,0.08567784,2.04710888,1.12622302,0.79030875
-5.37568784,9.02191721,1.97437280,5.21946323,0.05313087,0.63492087,0.08323065,2.03329767,1.12357221,0.78603306
-5.36968484,8.94667795,1.93983406,5.18460933,0.05236423,0.62220474,0.08085629,2.01998904,1.12087545,0.78171010
-5.36368184,8.87520608,1.90820246,5.15040343,0.05165089,0.61041473,0.07858248,2.00748966,1.11832856,0.77744844
-5.35767884,8.80867896,1.88008000,5.11729981,0.05099752,0.59972656,0.07643371,1.99609334,1.11612685,0.77336469
-5.35167584,8.74815863,1.85599705,5.08572002,0.05040854,0.59029233,0.07443077,1.98607017,1.11445763,0.76957884
-5.34567284,8.69455276,1.83639764,5.05603517,0.04988602,0.58223690,0.07259035,1.97765550,1.11349238,0.76620890
-5.33966983,8.64857658,1.82162617,5.02854769,0.04942974,0.57565459,0.07092486,1.97103905,1.11337885,0.76336518
-5.33366683,8.61071771,1.81191610,5.00347372,0.04903714,0.57060645,0.06944226,1.96635498,1.11423356,0.76114441
-5.32766383,8.58120592,1.80738111,4.98092721,0.04870352,0.56711821,0.06814608,1.96367317,1.11613494,0.75962403
-5.32166083,8.55998983,1.80800916,4.96090704,0.04842215,0.56517891,0.06703552,1.96299247,1.11911753,0.75885718
-5.31565783,8.54672246,1.81365977,4.94328811,0.04818454,0.56474043,0.06610567,1.96423616,1.12316766,0.75886839
-5.30965483,8.54075703,1.82406498,4.92781741,0.04798071,0.56571797,0.06534785,1.96725019,1.12822075,0.75965060
-5.30365183,8.54115416,1.83883388,4.91411571,0.04779952,0.56799152,0.06474997,1.97180430,1.13416061,0.76116353
-5.29764882,8.54670101,1.85746110,4.90168520,0.04762905,0.57140836,0.06429701,1.97759635,1.14082082,0.76333364
-5.29164582,8.55594240,1.87933887,4.88992325,0.04745698,0.57578659,0.06397158,1.98425960,1.14798827,0.76605568
-5.28564282,8.56722306,1.90377253,4.87814184,0.04727103,0.58091970,0.06375443,1.99137305,1.15540877,0.76919602
-5.27963982,8.57874002,1.92999918,4.86559217,0.04705934,0.58658199,0.06362509,1.99847427,1.16279473,0.77259732
