energy_ev,total_up,Bi_p_up,Bi_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,0.75558586,0.36970084,0.00446005,0.57235827,0.25055240,0.00024080,0.19365103
-5.99399700,0.80177037,0.38955605,0.00493345,0.60697362,0.26727517,0.00026816,0.20536773
-5.98799400,0.85212210,0.41155700,0.00542534,0.64462382,0.28540346,0.00029837,0.21809755
-5.98199100,0.90611355,0.43549163,0.00593087,0.68487518,0.30475877,0.00033151,0.23167964
-5.97598799,0.96308928,0.46108851,0.00644450,0.72719239,0.32512050,0.00036767,0.24591604
-5.96998499,1.02228408,0.48802549,0.00696016,0.77095281,0.34623182,0.00040693,0.26057675
-5.96398199,1.08284574,0.51594019,0.00747138,0.81546431,0.36780711,0.00044933,0.27540630
-5.95797899,1.14386148,0.54444200,0.00797146,0.85998629,0.38954058,0.00049489,0.29013148
-5.95197599,1.20438708,0.57312520,0.00845365,0.90375293,0.41111589,0.00054362,0.30447006
-5.94597299,1.26347761,0.60158249,0.00891133,0.94599792,0.43221620,0.00059547,0.31814021
-5.93996998,1.32021839,0.62941848,0.00933823,0.98597958,0.45253442,0.00065036,0.33087016
-5.93396698,1.37375513,0.65626259,0.00972862,1.02300552,0.47178319,0.00070819,0.34240779
-5.92796398,1.42332190,0.68178082,0.01007744,1.05645569,0.48970414,0.00076876,0.35252976
-5.92196098,1.46826582,0.70568593,0.01038050,1.08580296,0.50607613,0.00083185,0.36104974
-5.91595798,1.50806769,0.72774573,0.01063462,1.11063056,0.52072209,0.00089715,0.36782552
-5.90995498,1.54235759,0.74778923,0.01083765,1.13064544,0.53351433,0.00096430,0.37276456
-5.90395198,1.57092519,0.76571046,0.01098859,1.14568738,0.54437805,0.00103284,0.37582784
-5.89794897,1.59372448,0.78147001,0.01108758,1.15573337,0.55329294,0.00110225,0.37703186
-5.89194597,1.61087292,0.79509440,0.01113590,1.16089741,0.56029314,0.00117194,0.37644869
-5.88594297,1.62264534,0.80667336,0.01113587,1.16142576,0.56546526,0.00124126,0.37420407
-5.87993997,1.62946312,0.81635541,0.01109084,1.15768795,0.56894503,0.00130949,0.37047376
-5.87393697,1.63187923,0.82434200,0.01100499,1.15016427,0.57091243,0.00137587,0.36547818
-5.86793397,1.63055990,0.83088048,0.01088325,1.13943003,0.57158580,0.00143965,0.35947564
-5.86193097,1.62626372,0.83625623,0.01073115,1.12613756,0.57121507,0.00150003,0.35275445
-5.85592796,1.61981889,0.84078423,0.01055465,1.11099639,0.57007433,0.00155627,0.34562413
-5.84992496,1.61209934,0.84480028,0.01035995,1.09475243,0.56845406,0.00160767,0.33840613
-5.84392196,1.60400033,0.84865190,0.01015340,1.07816671,0.56665305,0.00165358,0.33142424
-5.83791896,1.59641397,0.85268918,0.00994127,1.06199422,0.56497033,0.00169348,0.32499515
-5.83191596,1.59020507,0.85725552,0.00972966,1.04696329,0.56369714,0.00172694,0.31941915
-5.82591296,1.58618763,0.86267810,0.00952432,1.03375593,0.56310897,0.00175366,0.31497153
