energy_ev,total_up,Ga_p_up,Ga_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,1.27896923,0.04331242,0.00000000,2.14437331,0.33647128,0.00521062,0.40453114
-5.99399700,1.24564435,0.04337363,0.00000000,2.09440340,0.32627216,0.00502588,0.39807369
-5.98799400,1.20590022,0.04315568,0.00000000,2.03320676,0.31447664,0.00481627,0.38941620
-5.98199100,1.16038546,0.04266105,0.00000000,1.96181975,0.30127316,0.00458560,0.37868470
-5.97598799,1.10983794,0.04189771,0.00000000,1.88143501,0.28687154,0.00433790,0.36604360
-5.96998499,1.05506162,0.04087894,0.00000000,1.79336537,0.27149616,0.00407729,0.35169012
-5.96398199,0.99690286,0.03962286,0.00000000,1.69900610,0.25537918,0.00380788,0.33584809
-5.95797899,0.93622691,0.03815188,0.00000000,1.59979700,0.23875401,0.00353366,0.31876131
-5.95197599,0.87389557,0.03649203,0.00000000,1.49718534,0.22184931,0.00325841,0.30068657
-5.94597299,0.81074646,0.03467211,0.00000000,1.39259109,0.20488355,0.00298565,0.28188673
-5.93996998,0.74757453,0.03272290,0.00000000,1.28737520,0.18806039,0.00271851,0.26262396
-5.93396698,0.68511639,0.03067622,0.00000000,1.18281194,0.17156490,0.00245976,0.24315348
-5.92796398,0.62403756,0.02856409,0.00000000,1.08006586,0.15556066,0.00221174,0.22371780
-5.92196098,0.56492289,0.02641785,0.00000000,0.98017373,0.14018786,0.00197634,0.20454183
-5.91595798,0.50827022,0.02426742,0.00000000,0.88403161,0.12556218,0.00175503,0.18582877
-5.90995498,0.45448712,0.02214063,0.00000000,0.79238719,0.11177458,0.00154885,0.16775702
-5.90395198,0.40389050,0.02006262,0.00000000,0.70583692,0.09889180,0.00135845,0.15047805
-5.89794897,0.35670889,0.01805546,0.00000000,0.62482780,0.08695751,0.00118411,0.13411524
-5.89194597,0.31308694,0.01613780,0.00000000,0.54966307,0.07599400,0.00102578,0.11876362
-5.88594297,0.27309174,0.01432477,0.00000000,0.48051141,0.06600428,0.00088317,0.10449053
-5.87993997,0.23672062,0.01262789,0.00000000,0.41741881,0.05697441,0.00075571,0.09133699
-5.87393697,0.20390991,0.01105522,0.00000000,0.36032243,0.04887604,0.00064268,0.07931964
-5.86793397,0.17454428,0.00961147,0.00000000,0.30906585,0.04166907,0.00054321,0.06843328
-5.86193097,0.14846628,0.00829837,0.00000000,0.26341489,0.03530411,0.00045631,0.05865364
-5.85592796,0.12548578,0.00711491,0.00000000,0.22307357,0.02972503,0.00038096,0.04994040
-5.84992496,0.10538891,0.00605779,0.00000000,0.18769952,0.02487115,0.00031610,0.04224035
-5.84392196,0.08794638,0.00512178,0.00000000,0.15691847,0.02067934,0.00026068,0.03549036
-5.83791896,0.07292098,0.00430017,0.00000000,0.13033748,0.01708577,0.00021364,0.02962033
-5.83191596,0.06007407,0.00358511,0.00000000,0.10755669,0.01402748,0.00017402,0.02455589
-5.82591296,0.04917114,0.00296802,0.00000000,0.08817936,0.01144357,0.00014087,0.02022076
-5.81990995,0.03998624,0.00243992,0.00000000,0.07182017,0.00927617,0.00011332,0.01653886
-5.81390695,0.03230551,0.00199169,0.00000000,0.05811184,0.00747121,0.00009060,0.01343601
-5.80790395,0.02592967,0.00161437,0.00000000,0.04671006,0.00597885,0.00007198,0.01084133
-5.80190095,0.02067571,0.00129932,0.00000000,0.03729691,0.00475376,0.00005683,0.00868827
-5.79589795,0.01637784,0.00103839,0.00000000,0.02958294,0.00375528,0.00004459,0.00691535
-5.78989495,0.01288768,0.00082400,0.00000000,0.02330804,0.00294729,0.00003477,0.00546659
-5.78389195,0.01007410,0.00064926,0.00000000,0.01824132,0.00229814,0.00002694,0.00429174
-5.77788894,0.00782247,0.00050797,0.00000000,0.01418026,0.00178035,0.00002074,0.00334623
-5.77188594,0.00603370,0.00039462,0.00000000,0.01094920,0.00137034,0.00001587,0.00259106
-5.76588294,0.00462305,0.00030441,0.00000000,0.00839743,0.00104807,0.00001206,0.00199247
-5.75987994,0.00351881,0.00023318,0.00000000,0.00639700,0.00079670,0.00000911,0.00152156
-5.75387694,0.00266087,0.00017739,0.00000000,0.00484042,0.00060219,0.00000685,0.00115390
-5.74787394,0.00199941,0.00013404,0.00000000,0.00363826,0.00045303,0.00000512,0.00086900
-5.74187094,0.00149352,0.00010064,0.00000000,0.00271688,0.00033983,0.00000380,0.00064989
-5.73586793,0.00110996,0.00007514,0.00000000,0.00201626,0.00025507,0.00000282,0.00048263
-5.72986493,0.00082203,0.00005586,0.00000000,0.00148792,0.00019281,0.00000210,0.00035592
