energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,0.71715809,0.12841501,0.14549566,0.00359400,0.04954737,0.16847644,0.01308744,0.26700772
-5.99399700,0.74828404,0.13356949,0.15205828,0.00368669,0.05160531,0.16287473,0.01397612,0.27978183
-5.98799400,0.78746056,0.13990915,0.15986706,0.00384525,0.05378204,0.15969606,0.01497686,0.29646765
-5.98199100,0.83506997,0.14749166,0.16899829,0.00407098,0.05609250,0.15898189,0.01609868,0.31722959
-5.97598799,0.89137879,0.15635758,0.17951188,0.00436414,0.05855095,0.16073497,0.01734934,0.34217328
-5.96998499,0.95651683,0.16652700,0.19144702,0.00472387,0.06116980,0.16491948,0.01873487,0.37133694
-5.96398199,1.03045579,0.17799606,0.20481773,0.00514806,0.06395840,0.17146111,0.02025893,0.40468279
-5.95797899,1.11298869,0.19073365,0.21960827,0.00563334,0.06692173,0.18024735,0.02192230,0.44208892
-5.95197599,1.20371137,0.20467836,0.23576891,0.00617496,0.07005917,0.19112791,0.02372230,0.48334237
-5.94597299,1.30200744,0.21973608,0.25321236,0.00676681,0.07336334,0.20391546,0.02565231,0.52813378
-5.93996998,1.40703841,0.23577833,0.27181092,0.00740144,0.07681920,0.21838687,0.02770139,0.57605431
-5.93396698,1.51774020,0.25264175,0.29139502,0.00807007,0.08040336,0.23428512,0.02985402,0.62659545
-5.92796398,1.63282748,0.27012875,0.31175305,0.00876272,0.08408386,0.25132198,0.03209003,0.67915218
-5.92196098,1.75080666,0.28800965,0.33263298,0.00946837,0.08782020,0.26918173,0.03438467,0.73302976
-5.91595798,1.86999813,0.30602627,0.35374567,0.01017514,0.09156395,0.28752585,0.03670893,0.78745453
-5.90995498,1.98856785,0.32389700,0.37477010,0.01087050,0.09525970,0.30599885,0.03903007,0.84158860
-5.90395198,2.10456785,0.34132337,0.39536030,0.01154164,0.09884649,0.32423514,0.04131231,0.89454824
-5.89794897,2.21598459,0.35799779,0.41515396,0.01217571,0.10225963,0.34186686,0.04351776,0.94542559
-5.89194597,2.32079382,0.37361236,0.43378225,0.01276022,0.10543274,0.35853239,0.04560749,0.99331293
-5.88594297,2.41701974,0.38786830,0.45088077,0.01328337,0.10830017,0.37388548,0.04754277,1.03732881
-5.87993997,2.50279639,0.40048573,0.46610088,0.01373444,0.11079934,0.38760443,0.04928631,1.07664482
