energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,4.27364486,0.00393161,0.31502486,0.64661621,2.67635030,0.47448356,0.68200273,1.15895704,0.00000000
-5.99399700,4.28653403,0.00355008,0.31719138,0.63393689,2.68670099,0.47209516,0.68420038,1.16587921,0.00000000
-5.98799400,4.28659387,0.00319245,0.31970585,0.62064984,2.68674201,0.46895326,0.68428572,1.17000984,0.00000000
-5.98199100,4.27424631,0.00285968,0.32258882,0.60692570,2.67674188,0.46510242,0.68229582,1.17143597,0.00000000
-5.97598799,4.25019103,0.00255223,0.32586178,0.59295077,2.65717737,0.46060692,0.67831790,1.17031000,0.00000000
-5.96998499,4.21539047,0.00227006,0.32954905,0.57892585,2.62871963,0.45555091,0.67248810,1.16684670,0.00000000
-5.96398199,4.17104306,0.00201279,0.33367892,0.56506388,2.59221255,0.45003729,0.66498807,1.16131724,0.00000000
-5.95797899,4.11854532,0.00177970,0.33828397,0.55158628,2.54864418,0.44418532,0.65603944,1.15404005,0.00000000
-5.95197599,4.05944430,0.00156982,0.34340043,0.53871797,2.49911254,0.43812715,0.64589642,1.14536919,0.00000000
-5.94597299,3.99538251,0.00138201,0.34906647,0.52668140,2.44478725,0.43200324,0.63483680,1.13568047,0.00000000
-5.93996998,3.92803762,0.00121500,0.35531950,0.51568962,2.38686871,0.42595701,0.62315186,1.12535613,0.00000000
-5.93396698,3.85905966,0.00106742,0.36219258,0.50593882,2.32654666,0.42012890,0.61113551,1.11476872,0.00000000
-5.92796398,3.79000874,0.00093786,0.36971011,0.49760054,2.26495998,0.41465024,0.59907330,1.10426501,0.00000000
-5.92196098,3.72229610,0.00082490,0.37788302,0.49081412,2.20315950,0.40963712,0.58723174,1.09415077,0.00000000
-5.91595798,3.65713126,0.00072712,0.38670386,0.48567957,2.14207529,0.40518472,0.57584849,1.08467711,0.00000000
-5.90995498,3.59547777,0.00064314,0.39614199,0.48225144,2.08249000,0.40136229,0.56512375,1.07602918,0.00000000
