energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,5.04275173,0.00837586,0.48087359,1.59285771,2.23854664,0.33126370,0.13413694,0.05531658,1.82419225
-5.99399700,5.07735263,0.00868823,0.48042727,1.59780128,2.25033230,0.35282217,0.13380421,0.05513940,1.85171462
-5.98799400,5.12010791,0.00904327,0.48099751,1.60811515,2.26352995,0.37559614,0.13382077,0.05521122,1.88315384
-5.98199100,5.17054355,0.00944720,0.48253012,1.62369840,2.27789041,0.39944006,0.13423070,0.05551345,1.91825032
-5.97598799,5.22795929,0.00990674,0.48496007,1.64432058,2.29310913,0.42417555,0.13506835,0.05602449,1.95663397
-5.96998499,5.29143343,0.01042899,0.48821355,1.66962143,2.30882880,0.44959124,0.13635720,0.05672036,1.99782642
-5.96398199,5.35983926,0.01102115,0.49221096,1.69911681,2.32464607,0.47544418,0.13810927,0.05757539,2.04124781
-5.95797899,5.43187291,0.01169031,0.49687071,1.73221031,2.34012203,0.50146257,0.14032491,0.05856294,2.08622804
-5.95197599,5.50609132,0.01244314,0.50211354,1.76821011,2.35479609,0.52735021,0.14299324,0.05965603,2.13202248
-5.94597299,5.58095918,0.01328556,0.50786706,1.80635029,2.36820239,0.55279230,0.14609299,0.06082802,2.17783181
-5.93996998,5.65490255,0.01422244,0.51407011,1.84581551,2.37988827,0.57746266,0.14959392,0.06205323,2.22282541
-5.93396698,5.72636729,0.01525728,0.52067660,1.88576805,2.38943349,0.60103210,0.15345854,0.06330748,2.26616776
-5.92796398,5.79387936,0.01639191,0.52765869,1.92537592,2.39646953,0.62317763,0.15764432,0.06456862,2.30704677
-5.92196098,5.85610465,0.01762628,0.53500874,1.96384095,2.40069783,0.64359216,0.16210603,0.06581698,2.34470327
-5.91595798,5.91190525,0.01895824,0.54274016,2.00042542,2.40190593,0.66199445,0.16679832,0.06703578,2.37846026
-5.90995498,5.96038972,0.02038348,0.55088683,2.03447627,2.39998074,0.67813858,0.17167820,0.06821138,2.40775085
-5.90395198,6.00095481,0.02189551,0.55950101,2.06544577,2.39491801,0.69182282,0.17670751,0.06933355,2.43214365
-5.89794897,6.03331636,0.02348574,0.56865004,2.09290779,2.38682757,0.70289726,0.18185512,0.07039555,2.45136416
-5.89194597,6.05752787,0.02514370,0.57841161,2.11656901,2.37593365,0.71126985,0.18709869,0.07139417,2.46531136
-5.88594297,6.07398534,0.02685728,0.58886812,2.13627476,2.36257041,0.71691056,0.19242610,0.07232963,2.47406824
-5.87993997,6.08341789,0.02861316,0.60010014,2.15200911,2.34717244,0.71985334,0.19783624,0.07320536,2.47790563
-5.87393697,6.08686424,0.03039723,0.61217958,2.16388951,2.33026076,0.72019575,0.20333920,0.07402772,2.47727891
-5.86793397,6.08563553,0.03219510,0.62516265,2.17215622,2.31242465,0.71809613,0.20895590,0.07480551,2.47281728
-5.86193097,6.08126619,0.03399262,0.63908324,2.17715707,2.29430019,0.71376850,0.21471704,0.07554955,2.46530575
-5.85592796,6.07545436,0.03577638,0.65394689,2.17932848,2.27654634,0.70747521,0.22066151,0.07627199,2.45566052
-5.84992496,6.06999461,0.03753424,0.66972589,2.17917356,2.25981959,0.69951773,0.22683429,0.07698570,2.44489831
-5.84392196,6.06670564,0.03925566,0.68635569,2.17723836,2.24474840,0.69022591,0.23328396,0.07770361,2.43410092
-5.83791896,6.06735601,0.04093209,0.70373287,2.17408747,2.23190842,0.67994614,0.24005988,0.07843798,2.42437629
-5.83191596,6.07359109,0.04255717,0.72171495,2.17028008,2.22179974,0.66902904,0.24720927,0.07919974,2.41681769
-5.82591296,6.08686452,0.04412677,0.74012198,2.16634744,2.21482712,0.65781703,0.25477427,0.07999794,2.41246250
-5.81990995,6.10837681,0.04563894,0.75874000,2.16277292,2.21128402,0.64663253,0.26278905,0.08083917,2.41225254
-5.81390695,6.13902396,0.04709374,0.77732620,2.15997530,2.21134126,0.63576707,0.27127726,0.08172723,2.41699729
-5.80790395,6.17935808,0.04849291,0.79561570,2.15829595,2.21504061,0.62547205,0.28024976,0.08266279,2.42734173
-5.80190095,6.22956156,0.04983942,0.81332951,2.15799037,2.22229368,0.61595126,0.28970282,0.08364332,2.44373992
-5.79589795,6.28943572,0.05113704,0.83018346,2.15922414,2.23288594,0.60735554,0.29961678,0.08466312,2.46643547
-5.78989495,6.35840428,0.05238973,0.84589769,2.16207333,2.24648573,0.59977991,0.30995529,0.08571348,2.49544958
-5.78389195,6.43553104,0.05360115,0.86020624,2.16652891,2.26265767,0.59326291,0.32066505,0.08678297,2.53057707
-5.77788894,6.51955090,0.05477412,0.87286629,2.17250480,2.28087982,0.58778841,0.33167605,0.08785793,2.57139042
-5.77188594,6.60891243,0.05591016,0.88366670,2.17984883,2.30056372,0.58328950,0.34290240,0.08892298,2.61725161
-5.76588294,6.70183011,0.05700916,0.89243535,2.18835572,2.32107635,0.57965430,0.35424348,0.08996156,2.66733103
-5.75987994,6.79634356,0.05806912,0.89904497,2.19778138,2.34176310,0.57673332,0.36558556,0.09095661,2.72063282
-5.75387694,6.89038137,0.05908605,0.90341729,2.20785742,2.36197054,0.57434794,0.37680372,0.09189114,2.77602525
-5.74787394,6.98182653,0.06005399,0.90552505,2.21830522,2.38106819,0.57229961,0.38776406,0.09274881,2.83227520
