energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.55561260,0.03276379,0.02257798,0.06864224,0.11524233,0.00216931,0.19402351
-5.99399700,0.53789061,0.02982135,0.02174106,0.06575402,0.10978667,0.00232077,0.19084299
-5.98799400,0.51906705,0.02696296,0.02078800,0.06275808,0.10428748,0.00249592,0.18727284
-5.98199100,0.49965189,0.02422036,0.01973771,0.05971659,0.09885418,0.00269843,0.18349218
-5.97598799,0.48015613,0.02162039,0.01861027,0.05669037,0.09359115,0.00293189,0.17968396
-5.96998499,0.46107675,0.01918470,0.01742629,0.05373729,0.08859517,0.00319976,0.17602878
-5.96398199,0.44288255,0.01692977,0.01620636,0.05091081,0.08395323,0.00350520,0.17269900
-5.95797899,0.42600147,0.01486701,0.01497041,0.04825876,0.07974073,0.00385102,0.16985325
-5.95197599,0.41080980,0.01300308,0.01373726,0.04582241,0.07602005,0.00423951,0.16763161
-5.94597299,0.39762366,0.01134031,0.01252422,0.04363578,0.07283966,0.00467240,0.16615173
-5.93996998,0.38669300,0.00987720,0.01134670,0.04172530,0.07023351,0.00515072,0.16550592
-5.93396698,0.37819842,0.00860896,0.01021803,0.04010978,0.06822103,0.00567478,0.16575949
-5.92796398,0.37225056,0.00752807,0.00914933,0.03880067,0.06680735,0.00624408,0.16695030
-5.92196098,0.36889237,0.00662485,0.00814945,0.03780264,0.06598405,0.00685734,0.16908952
-5.91595798,0.36810382,0.00588798,0.00722507,0.03711442,0.06573017,0.00751241,0.17216365
-5.90995498,0.36980897,0.00530498,0.00638081,0.03672985,0.06601350,0.00820642,0.17613767
-5.90395198,0.37388497,0.00486262,0.00561944,0.03663916,0.06679213,0.00893573,0.18095916
-5.89794897,0.38017273,0.00454726,0.00494216,0.03683036,0.06801617,0.00969608,0.18656320
-5.89194597,0.38848862,0.00434519,0.00434883,0.03729070,0.06962961,0.01048272,0.19287799
-5.88594297,0.39863701,0.00424280,0.00383836,0.03800823,0.07157229,0.01129049,0.19983072
-5.87993997,0.41042285,0.00422678,0.00340895,0.03897320,0.07378180,0.01211406,0.20735362
-5.87393697,0.42366396,0.00428428,0.00305839,0.04017952,0.07619545,0.01294809,0.21538985
-5.86793397,0.43820254,0.00440295,0.00278437,0.04162592,0.07875212,0.01378739,0.22389894
-5.86193097,0.45391529,0.00457108,0.00258470,0.04331695,0.08139399,0.01462717,0.23286151
-5.85592796,0.47072175,0.00477760,0.00245745,0.04526374,0.08406809,0.01546320,0.24228305
-5.84992496,0.48859044,0.00501216,0.00240116,0.04748432,0.08672768,0.01629201,0.25219649
-5.84392196,0.50754243,0.00526515,0.00241487,0.05000370,0.08933330,0.01711100,0.26266337
-5.83791896,0.52765200,0.00552776,0.00249819,0.05285341,0.09185359,0.01791856,0.27377335
-5.83191596,0.54904429,0.00579204,0.00265122,0.05607069,0.09426579,0.01871416,0.28564212
-5.82591296,0.57188969,0.00605091,0.00287450,0.05969721,0.09655589,0.01949830,0.29840755
-5.81990995,0.59639510,0.00629822,0.00316885,0.06377734,0.09871837,0.02027250,0.31222401
-5.81390695,0.62279222,0.00652878,0.00353520,0.06835603,0.10075568,0.02103912,0.32725518
-5.80790395,0.65132303,0.00673840,0.00397437,0.07347632,0.10267730,0.02180122,0.34366531
-5.80190095,0.68222305,0.00692389,0.00448684,0.07917662,0.10449851,0.02256226,0.36160932
-5.79589795,0.71570296,0.00708307,0.00507244,0.08548775,0.10623886,0.02332582,0.38122209
-5.78989495,0.75192917,0.00721474,0.00573013,0.09242989,0.10792041,0.02409518,0.40260727
-5.78389195,0.79100447,0.00731861,0.00645772,0.10000971,0.10956586,0.02487303,0.42582623
-5.77788894,0.83294938,0.00739528,0.00725164,0.10821759,0.11119651,0.02566099,0.45088763
-5.77188594,0.87768551,0.00744612,0.00810673,0.11702529,0.11283033,0.02645928,0.47773820
-5.76588294,0.92502177,0.00747314,0.00901613,0.12638412,0.11448014,0.02726636,0.50625530
-5.75987994,0.97464441,0.00747893,0.00997116,0.13622376,0.11615190,0.02807867,0.53624180
-5.75387694,1.02611180,0.00746649,0.01096130,0.14645190,0.11784349,0.02889040,0.56742371
-5.74787394,1.07885460,0.00743911,0.01197429,0.15695476,0.11954372,0.02969347,0.59945105
-5.74187094,1.13218174,0.00740026,0.01299629,0.16759856,0.12123196,0.03047747,0.63190206
-5.73586793,1.18529255,0.00735345,0.01401206,0.17823195,0.12287813,0.03122989,0.66429089
-5.72986493,1.23729466,0.00730214,0.01500531,0.18868940,0.12444340,0.03193636,0.69607874
-5.72386193,1.28722753,0.00724966,0.01595910,0.19879538,0.12588129,0.03258108,0.72668805
-5.71785893,1.33409066,0.00719916,0.01685627,0.20836931,0.12713930,0.03314736,0.75551936
-5.71185593,1.37687551,0.00715353,0.01767990,0.21723103,0.12816104,0.03361815,0.78197029
-5.70585293,1.41459975,0.00711545,0.01841387,0.22520657,0.12888860,0.03397681,0.80545567
-5.69984992,1.44634248,0.00708733,0.01904332,0.23213399,0.12926523,0.03420773,0.82542816
-5.69384692,1.47127880,0.00707137,0.01955517,0.23786904,0.12923806,0.03429711,0.84139835
-5.68784392,1.48871198,0.00706962,0.01993854,0.24229037,0.12876084,0.03423352,0.85295346
-5.68184092,1.49810193,0.00708395,0.02018516,0.24530404,0.12779643,0.03400858,0.85977368
-5.67583792,1.49908844,0.00711622,0.02028961,0.24684711,0.12631911,0.03361742,0.86164549
-5.66983492,1.49150823,0.00716825,0.02024956,0.24689022,0.12431636,0.03305901,0.85847126
-5.66383192,1.47540483,0.00724196,0.02006584,0.24543886,0.12179020,0.03233641,0.85027478
-5.65782891,1.45103114,0.00733939,0.01974241,0.24253353,0.11875802,0.03145681,0.83720235
-5.65182591,1.41884438,0.00746280,0.01928625,0.23824856,0.11525272,0.03043144,0.81951958
-5.64582291,1.37949389,0.00761472,0.01870710,0.23268984,0.11132231,0.02927532,0.79760405
