energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.91759597,-2.58978833,0.39248005,-1.96926732,0.40705517,-0.86682709,0.00394367,-0.00648167,0.07037891,-1.17461420,0.43067297,-0.42745427,0.00000000,-0.00000000
-5.99399700,0.93987080,-2.52780752,0.40165050,-1.90505856,0.41800669,-0.84654522,0.00425382,-0.00666543,0.06680972,-1.12511001,0.44632802,-0.43816646,0.00000000,-0.00000000
-5.98799400,0.96704050,-2.46609459,0.41368267,-1.84087507,0.43110988,-0.82655686,0.00458265,-0.00682869,0.06433334,-1.07456859,0.46354862,-0.45032022,0.00000000,-0.00000000
-5.98199100,0.99827736,-2.40595462,0.42808192,-1.77754423,0.44601538,-0.80743643,0.00492763,-0.00696532,0.06286128,-1.02372773,0.48196046,-0.46400202,0.00000000,-0.00000000
-5.97598799,1.03269395,-2.34865418,0.44434704,-1.71588259,0.46234648,-0.78973216,0.00528656,-0.00706990,0.06229979,-0.97330679,0.50116463,-0.47929069,0.00000000,-0.00000000
-5.96998499,1.06936745,-2.29538299,0.46198080,-1.65667450,0.47971016,-0.77394866,0.00565765,-0.00713788,0.06255173,-0.92398913,0.52074939,-0.49625024,0.00000000,-0.00000000
-5.96398199,1.10736565,-2.24721742,0.48050029,-1.60065093,0.49770872,-0.76053083,0.00603952,-0.00716574,0.06351808,-0.87640621,0.54030287,-0.51492228,0.00000000,-0.00000000
-5.95797899,1.14577345,-2.20508692,0.49944684,-1.54846901,0.51595161,-0.74984967,0.00643124,-0.00715107,0.06509943,-0.83112341,0.55942614,-0.53531835,0.00000000,-0.00000000
-5.95197599,1.18371886,-2.16974437,0.51839523,-1.50069300,0.53406689,-0.74219046,0.00683231,-0.00709260,0.06719716,-0.78862831,0.57774617,-0.55741258,0.00000000,-0.00000000
-5.94597299,1.22039750,-2.14174144,0.53696170,-1.45777740,0.55171193,-0.73774365,0.00724259,-0.00699028,0.06971453,-0.74932130,0.59492801,-0.58113511,0.00000000,-0.00000000
-5.93996998,1.25509458,-2.12140964,0.55481073,-1.42005283,0.56858289,-0.73659868,0.00766225,-0.00684516,0.07255764,-0.71350897,0.61068558,-0.60636665,0.00000000,-0.00000000
-5.93396698,1.28720326,-2.10884778,0.57166010,-1.38771524,0.58442254,-0.73874099,0.00809167,-0.00665940,0.07563618,-0.68140006,0.62479069,-0.63293459,0.00000000,-0.00000000
-5.92796398,1.31623887,-2.10391636,0.58728413,-1.36081897,0.59902613,-0.74405218,0.00853129,-0.00643611,0.07886412,-0.65310422,0.63707970,-0.66061102,0.00000000,-0.00000000
-5.92196098,1.34184813,-2.10623910,0.60151497,-1.33927393,0.61224504,-0.75231335,0.00898149,-0.00617924,0.08216038,-0.62863319,0.64745754,-0.68911299,0.00000000,-0.00000000
-5.91595798,1.36381306,-2.11521174,0.61424186,-1.32284720,0.62398805,-0.76321154,0.00944241,-0.00589343,0.08544923,-0.60790458,0.65589884,-0.71810499,0.00000000,-0.00000000
-5.90995498,1.38204952,-2.13001789,0.62540832,-1.31116901,0.63422021,-0.77634895,0.00991379,-0.00558379,0.08866080,-0.59074780,0.66244620,-0.74720399,0.00000000,-0.00000000
-5.90395198,1.39660037,-2.14965159,0.63500766,-1.30374318,0.64295942,-0.79125465,0.01039483,-0.00525581,0.09173140,-0.57691206,0.66720549,-0.77598674,0.00000000,-0.00000000
-5.89794897,1.40762371,-2.17294595,0.64307666,-1.29996149,0.65027082,-0.80739853,0.01088401,-0.00491509,0.09460383,-0.56607611,0.67033856,-0.80399927,0.00000000,-0.00000000
-5.89194597,1.41537682,-2.19860701,0.64968809,-1.29912181,0.65625941,-0.82420691,0.01137899,-0.00456724,0.09722761,-0.55785950,0.67205364,-0.83076824,0.00000000,-0.00000000
-5.88594297,1.42019655,-2.22525178,0.65494223,-1.30044930,0.66106124,-0.84107932,0.01187655,-0.00421770,0.09955915,-0.55183495,0.67259386,-0.85581380,0.00000000,-0.00000000
-5.87993997,1.42247731,-2.25144938,0.65895786,-1.30311998,0.66483361,-0.85740608,0.01237251,-0.00387160,0.10156189,-0.54754168,0.67222452,-0.87866336,0.00000000,-0.00000000
-5.87393697,1.42264760,-2.27576374,0.66186329,-1.30628590,0.66774480,-0.87258588,0.01286179,-0.00353371,0.10320639,-0.54449909,0.67121971,-0.89886581,0.00000000,-0.00000000
-5.86793397,1.42114632,-2.29679671,0.66378767,-1.30910102,0.66996389,-0.88604308,0.01333842,-0.00320828,0.10447037,-0.54222073,0.66984880,-0.91600557,0.00000000,-0.00000000
-5.86193097,1.41840012,-2.31322994,0.66485325,-1.31074696,0.67165111,-0.89724397,0.01379571,-0.00289906,0.10533874,-0.54022796,0.66836366,-0.92971590,0.00000000,-0.00000000
-5.85592796,1.41480274,-2.32386420,0.66516877,-1.31045758,0.67294931,-0.90571163,0.01422639,-0.00260925,0.10580360,-0.53806306,0.66698709,-0.93969093,0.00000000,-0.00000000
-5.84992496,1.41069738,-2.32765483,0.66482448,-1.30754171,0.67397690,-0.91103891,0.01462281,-0.00234149,0.10586428,-0.53530132,0.66590298,-0.94569590,0.00000000,-0.00000000
-5.84392196,1.40636307,-2.32374207,0.66388891,-1.30140304,0.67482257,-0.91289906,0.01497721,-0.00209792,0.10552732,-0.53156196,0.66524871,-0.94757520,0.00000000,-0.00000000
-5.83791896,1.40200543,-2.31147538,0.66240757,-1.29155664,0.67554218,-0.91105385,0.01528196,-0.00188016,0.10480651,-0.52651734,0.66511021,-0.94525795,0.00000000,-0.00000000
-5.83191596,1.39775240,-2.29043077,0.66040371,-1.27764158,0.67615783,-0.90535889,0.01552983,-0.00168942,0.10372292,-0.51990033,0.66551977,-0.93876090,0.00000000,-0.00000000
-5.82591296,1.39365518,-2.26042079,0.65788092,-1.25942912,0.67665929,-0.89576600,0.01571431,-0.00152655,0.10230495,-0.51150969,0.66645674,-0.92818846,0.00000000,-0.00000000
-5.81990995,1.38969399,-2.22149695,0.65482764,-1.23682641,0.67700752,-0.88232275,0.01582978,-0.00139205,0.10058842,-0.50121312,0.66785114,-0.91373012,0.00000000,-0.00000000
-5.81390695,1.38578870,-2.17394447,0.65122319,-1.20987569,0.67714033,-0.86516903,0.01587182,-0.00128620,0.09861662,-0.48894817,0.66958999,-0.89565522,0.00000000,-0.00000000
-5.80790395,1.38181355,-2.11826977,0.64704504,-1.17874897,0.67697977,-0.84453115,0.01583731,-0.00120908,0.09644041,-0.47472086,0.67152593,-0.87430532,0.00000000,-0.00000000
-5.80190095,1.37761530,-2.05518142,0.64227705,-1.14373876,0.67644085,-0.82071339,0.01572461,-0.00116060,0.09411826,-0.45860214,0.67348795,-0.85008462,0.00000000,-0.00000000
-5.79589795,1.37303391,-1.98556512,0.63691811,-1.10524511,0.67544134,-0.79408761,0.01553363,-0.00114056,0.09171624,-0.44072253,0.67529356,-0.82344862,0.00000000,-0.00000000
-5.78989495,1.36792462,-1.91045401,0.63099086,-1.06375966,0.67391192,-0.76508119,0.01526581,-0.00114866,0.08930798,-0.42126498,0.67676182,-0.79489166,0.00000000,-0.00000000
-5.78389195,1.36218043,-1.83099531,0.62454999,-1.01984740,0.67180634,-0.73416380,0.01492412,-0.00118448,0.08697447,-0.40045646,0.67772681,-0.76493355,0.00000000,-0.00000000
-5.77788894,1.35575368,-1.74841468,0.61768959,-0.97412681,0.66911100,-0.70183338,0.01451293,-0.00124753,0.08480377,-0.37855853,0.67805057,-0.73410594,0.00000000,-0.00000000
-5.77188594,1.34867553,-1.66397954,0.61054927,-0.92724923,0.66585336,-0.66860202,0.01403790,-0.00133715,0.08289051,-0.35585743,0.67763511,-0.70293886,0.00000000,-0.00000000
-5.76588294,1.34107235,-1.57896286,0.60331845,-0.87987823,0.66210874,-0.63498198,0.01350576,-0.00145257,0.08133516,-0.33265386,0.67643282,-0.67194769,0.00000000,-0.00000000
-5.75987994,1.33317776,-1.49460841,0.59623864,-0.83266973,0.65800505,-0.60147244,0.01292413,-0.00159279,0.08024311,-0.30925311,0.67445461,-0.64162124,0.00000000,-0.00000000
-5.75387694,1.32533963,-1.41209895,0.58960334,-0.78625346,0.65372504,-0.56854742,0.01230125,-0.00175660,0.07972338,-0.28595571,0.67177539,-0.61241099,0.00000000,-0.00000000
-5.74787394,1.31802115,-1.33252816,0.58375529,-0.74121652,0.64950576,-0.53664511,0.01164580,-0.00194255,0.07988707,-0.26304902,0.66853644,-0.58472210,0.00000000,-0.00000000
-5.74187094,1.31179561,-1.25687718,0.57908112,-0.69808935,0.64563517,-0.50615906,0.01096661,-0.00214887,0.08084540,-0.24079987,0.66494451,-0.55890618,0.00000000,-0.00000000
-5.73586793,1.30733462,-1.18599649,0.57600315,-0.65733462,0.64244563,-0.47743127,0.01027245,-0.00237351,0.08270750,-0.21944867,0.66126738,-0.53525620,0.00000000,-0.00000000
-5.72986493,1.30538983,-1.12059339,0.57496864,-0.61933919,0.64030450,-0.45074754,0.00957183,-0.00261410,0.08557773,-0.19920486,0.65782604,-0.51400352,0.00000000,-0.00000000
