energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,4.91856802,0.04759117,0.26714061,0.06537300,0.00000000,1.30936436,0.45831136,2.42628699,0.00000000
-5.99399700,4.98807451,0.05132957,0.27553211,0.06688166,0.00000000,1.34926374,0.46123387,2.45301962,0.00000000
-5.98799400,5.04890505,0.05526915,0.28320686,0.06813013,0.00000000,1.38660462,0.46368375,2.47620544,0.00000000
-5.98199100,5.09890235,0.05934822,0.28998174,0.06909043,0.00000000,1.42057745,0.46541378,2.49491605,0.00000000
-5.97598799,5.13613113,0.06349810,0.29568738,0.06974071,0.00000000,1.45041908,0.46619877,2.50831983,0.00000000
-5.96998499,5.15892219,0.06764474,0.30017292,0.07006602,0.00000000,1.47543168,0.46584140,2.51569877,0.00000000
-5.96398199,5.16590993,0.07171073,0.30331028,0.07005884,0.00000000,1.49500068,0.46417725,2.51646275,0.00000000
-5.95797899,5.15606300,0.07561745,0.30499784,0.06971942,0.00000000,1.50861136,0.46107905,2.51016115,0.00000000
-5.95197599,5.12870744,0.07928754,0.30516338,0.06905585,0.00000000,1.51586353,0.45645999,2.49649182,0.00000000
-5.94597299,5.08354246,0.08264733,0.30376616,0.06808402,0.00000000,1.51648380,0.45027598,2.47530767,0.00000000
-5.93996998,5.02064870,0.08562938,0.30079808,0.06682724,0.00000000,1.51033516,0.44252694,2.44662083,0.00000000
-5.93396698,4.94048911,0.08817490,0.29628388,0.06531578,0.00000000,1.49742338,0.43325685,2.41060456,0.00000000
-5.92796398,4.84390258,0.09023592,0.29028042,0.06358626,0.00000000,1.47790010,0.42255286,2.36759283,0.00000000
-5.92196098,4.73209051,0.09177726,0.28287491,0.06168086,0.00000000,1.45206229,0.41054327,2.31807770,0.00000000
-5.91595798,4.60659660,0.09277806,0.27418244,0.05964650,0.00000000,1.42034812,0.39739452,2.26270412,0.00000000
-5.90995498,4.46927996,0.09323283,0.26434265,0.05753390,0.00000000,1.38332927,0.38330725,2.20226234,0.00000000
-5.90395198,4.32228205,0.09315206,0.25351578,0.05539668,0.00000000,1.34169970,0.36851160,2.13767748,0.00000000
-5.89794897,4.16798753,0.09256220,0.24187832,0.05329037,0.00000000,1.29626130,0.35326178,2.06999617,0.00000000
-5.89194597,4.00897972,0.09150513,0.22961827,0.05127142,0.00000000,1.24790666,0.33783006,2.00037024,0.00000000
-5.88594297,3.84799100,0.09003702,0.21693032,0.04939631,0.00000000,1.19759944,0.32250040,1.93003719,0.00000000
-5.87993997,3.68784896,0.08822677,0.20401100,0.04772054,0.00000000,1.14635292,0.30756180,1.86029769,0.00000000
-5.87393697,3.53141912,0.08615390,0.19105411,0.04629772,0.00000000,1.09520727,0.29330157,1.79249021,0.00000000
-5.86793397,3.38154523,0.08390615,0.17824635,0.04517871,0.00000000,1.04520615,0.27999864,1.72796308,0.00000000
-5.86193097,3.24098833,0.08157668,0.16576354,0.04441064,0.00000000,0.99737337,0.26791709,1.66804465,0.00000000
-5.85592796,3.11236593,0.07926126,0.15376724,0.04403617,0.00000000,0.95269018,0.25730004,1.61401206,0.00000000
-5.84992496,2.99809281,0.07705521,0.14240212,0.04409253,0.00000000,0.91207375,0.24836401,1.56705960,0.00000000
-5.84392196,2.90032491,0.07505055,0.13179387,0.04461081,0.00000000,0.87635760,0.24129386,1.52826748,0.00000000
-5.83791896,2.82090805,0.07333312,0.12204778,0.04561521,0.00000000,0.84627414,0.23623852,1.49857211,0.00000000
-5.83191596,2.76133281,0.07198007,0.11324804,0.04712229,0.00000000,0.82244008,0.23330747,1.47873896,0.00000000
-5.82591296,2.72269726,0.07105759,0.10545755,0.04914049,0.00000000,0.80534465,0.23256809,1.46933896,0.00000000
-5.81990995,2.70567865,0.07061903,0.09871831,0.05166956,0.00000000,0.79534113,0.23404399,1.47072945,0.00000000
-5.81390695,2.71051507,0.07070347,0.09305230,0.05470028,0.00000000,0.79264160,0.23771427,1.48304043,0.00000000
-5.80790395,2.73699799,0.07133471,0.08846275,0.05821428,0.00000000,0.79731495,0.24351383,1.50616684,0.00000000
-5.80190095,2.78447579,0.07252076,0.08493566,0.06218401,0.00000000,0.80928805,0.25133464,1.53976717,0.00000000
-5.79589795,2.85186843,0.07425377,0.08244165,0.06657300,0.00000000,0.82834989,0.26102795,1.58326865,0.00000000
-5.78989495,2.93769286,0.07651045,0.08093786,0.07133622,0.00000000,0.85415842,0.27240744,1.63587883,0.00000000
-5.78389195,3.04009820,0.07925289,0.08036993,0.07642075,0.00000000,0.88624979,0.28525319,1.69660322,0.00000000
-5.77788894,3.15690972,0.08242972,0.08067405,0.08176659,0.00000000,0.92404967,0.29931639,1.76426841,0.00000000
-5.77188594,3.28568004,0.08597767,0.08177887,0.08730766,0.00000000,0.96688618,0.31432462,1.83754976,0.00000000
