energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.15073573,0.01053594,0.17938002,0.51715557,0.00000000,0.39253939,0.45922860
-5.99399700,1.14573334,0.01098454,0.17154493,0.51744751,0.00000000,0.38452061,0.45988101
-5.98799400,1.14322928,0.01138696,0.16433147,0.51847067,0.00000000,0.37788891,0.46156634
-5.98199100,1.14320308,0.01173600,0.15774300,0.52022570,0.00000000,0.37262295,0.46426542
-5.97598799,1.14559360,0.01202539,0.15178184,0.52269222,0.00000000,0.36868569,0.46794501
-5.96998499,1.15030193,0.01225007,0.14644995,0.52582958,0.00000000,0.36602571,0.47255917
-5.96398199,1.15719442,0.01240635,0.14174917,0.52957801,0.00000000,0.36457859,0.47805040
-5.95797899,1.16610601,0.01249206,0.13768118,0.53386034,0.00000000,0.36426836,0.48435081
-5.95197599,1.17684364,0.01250662,0.13424711,0.53858413,0.00000000,0.36500901,0.49138308
-5.94597299,1.18919014,0.01245111,0.13144703,0.54364422,0.00000000,0.36670627,0.49906149
-5.93996998,1.20290828,0.01232818,0.12927924,0.54892563,0.00000000,0.36925959,0.50729299
-5.93396698,1.21774548,0.01214206,0.12773953,0.55430687,0.00000000,0.37256432,0.51597831
-5.92796398,1.23343880,0.01189832,0.12682053,0.55966350,0.00000000,0.37651422,0.52501332
-5.92196098,1.24972049,0.01160378,0.12651107,0.56487184,0.00000000,0.38100410,0.53429047
-5.91595798,1.26632389,0.01126626,0.12679579,0.56981283,0.00000000,0.38593260,0.54370052
-5.90995498,1.28298949,0.01089430,0.12765483,0.57437582,0.00000000,0.39120503,0.55313442
-5.90395198,1.29947121,0.01049696,0.12906381,0.57846215,0.00000000,0.39673610,0.56248532
-5.89794897,1.31554235,0.01008350,0.13099397,0.58198842,0.00000000,0.40245233,0.57165070
-5.89194597,1.33100135,0.00966314,0.13341253,0.58488933,0.00000000,0.40829427,0.58053450
-5.88594297,1.34567672,0.00924480,0.13628316,0.58711986,0.00000000,0.41421804,0.58904925
-5.87993997,1.35943137,0.00883688,0.13956667,0.58865677,0.00000000,0.42019638,0.59711799
-5.87393697,1.37216575,0.00844704,0.14322176,0.58949934,0.00000000,0.42621902,0.60467605
-5.86793397,1.38382003,0.00808207,0.14720582,0.58966924,0.00000000,0.43229230,0.61167260
-5.86193097,1.39437493,0.00774775,0.15147577,0.58920971,0.00000000,0.43843814,0.61807182
-5.85592796,1.40385154,0.00744875,0.15598892,0.58818388,0.00000000,0.44469233,0.62385380
-5.84992496,1.41230988,0.00718864,0.16070375,0.58667251,0.00000000,0.45110224,0.62901509
-5.84392196,1.41984647,0.00696979,0.16558062,0.58477120,0.00000000,0.45772413,0.63356886
-5.83791896,1.42659102,0.00679352,0.17058237,0.58258715,0.00000000,0.46462010,0.63754477
-5.83191596,1.43270230,0.00666006,0.17567481,0.58023582,0.00000000,0.47185489,0.64098840
-5.82591296,1.43836347,0.00656868,0.18082709,0.57783739,0.00000000,0.47949264,0.64396043
-5.81990995,1.44377686,0.00651779,0.18601184,0.57551338,0.00000000,0.48759386,0.64653531
-5.81390695,1.44915843,0.00650506,0.19120521,0.57338344,0.00000000,0.49621255,0.64879971
-5.80790395,1.45473190,0.00652755,0.19638668,0.57156244,0.00000000,0.50539373,0.65085050
-5.80190095,1.46072270,0.00658183,0.20153875,0.57015787,0.00000000,0.51517142,0.65279229
-5.79589795,1.46735173,0.00666411,0.20664644,0.56926772,0.00000000,0.52556696,0.65473471
-5.78989495,1.47482893,0.00677036,0.21169661,0.56897860,0.00000000,0.53658797,0.65678910
-5.78389195,1.48334683,0.00689645,0.21667726,0.56936432,0.00000000,0.54822760,0.65906506
-5.77788894,1.49307401,0.00703820,0.22157661,0.57048473,0.00000000,0.56046428,0.66166653
