energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.72287872,0.05126049,0.68891594,1.33902660,1.02851051,0.50760080,0.00000000,0.11096583,0.04471772
-5.99399700,2.70528517,0.04911579,0.65914992,1.29754940,1.02761593,0.53251651,0.00000000,0.11328865,0.04627766
-5.98799400,2.69386243,0.04686198,0.62824765,1.25645965,1.02933323,0.56237055,0.00000000,0.11704169,0.04808737
-5.98199100,2.69028581,0.04453163,0.59683091,1.21655630,1.03431696,0.59724750,0.00000000,0.12224140,0.05016403
-5.97598799,2.69614067,0.04215922,0.56551336,1.17863342,1.04318445,0.63718674,0.00000000,0.12889364,0.05252118
-5.96998499,2.71286108,0.03977985,0.53488233,1.14345172,1.05649445,0.68217146,0.00000000,0.13699030,0.05516758
-5.96398199,2.74167632,0.03742799,0.50548246,1.11171275,1.07472923,0.73211928,0.00000000,0.14650617,0.05810638
-5.95797899,2.78356752,0.03513632,0.47780170,1.08403680,1.09828066,0.78687539,0.00000000,0.15739623,0.06133442
-5.95197599,2.83923627,0.03293469,0.45226017,1.06094536,1.12744096,0.84620850,0.00000000,0.16959353,0.06484184
-5.94597299,2.90908602,0.03084925,0.42920206,1.04284886,1.16239793,0.90981013,0.00000000,0.18300793,0.06861196
-5.93996998,2.99321652,0.02890179,0.40889074,1.03003967,1.20323482,0.97729723,0.00000000,0.19752573,0.07262143
-5.93396698,3.09143071,0.02710932,0.39150698,1.02269037,1.24993407,1.04821819,0.00000000,0.21301028,0.07684078
-5.92796398,3.20325268,0.02548382,0.37715012,1.02085688,1.30238453,1.12206191,0.00000000,0.22930370,0.08123511
-5.92196098,3.32795493,0.02403230,0.36584192,1.02448560,1.36039113,1.19826927,0.00000000,0.24622955,0.08576505
-5.91595798,3.46459245,0.02275697,0.35753258,1.03342393,1.42368611,1.27624657,0.00000000,0.26359645,0.09038797
-5.90995498,3.61204108,0.02165562,0.35210863,1.04743283,1.49194083,1.35537984,0.00000000,0.28120242,0.09505917
-5.90395198,3.76903748,0.02072217,0.34940201,1.06620076,1.56477709,1.43504935,0.00000000,0.29883982,0.09973318
-5.89794897,3.93421795,0.01994724,0.34920010,1.08935763,1.64177734,1.51464316,0.00000000,0.31630060,0.10436501
-5.89194597,4.10615395,0.01931889,0.35125595,1.11648813,1.72249286,1.59356902,0.00000000,0.33338166,0.10891129
-5.88594297,4.28338240,0.01882328,0.35529848,1.14714352,1.80644964,1.67126382,0.00000000,0.34988994,0.11333120
-5.87993997,4.46442935,0.01844540,0.36104224,1.18085146,1.89315171,1.74719998,0.00000000,0.36564714,0.11758725
-5.87393697,4.64782656,0.01816966,0.36819631,1.21712349,1.98208202,1.82088852,0.00000000,0.38049373,0.12164577
-5.86793397,4.83212082,0.01798055,0.37647231,1.25546013,2.07270126,1.89187878,0.00000000,0.39429210,0.12547709
-5.86193097,5.01587680,0.01786306,0.38559123,1.29535386,2.16444506,1.95975493,0.00000000,0.40692875,0.12905553
-5.85592796,5.19767468,0.01780307,0.39528897,1.33629020,2.25672050,2.02412992,0.00000000,0.41831543,0.13235914
-5.84992496,5.37610424,0.01778768,0.40532081,1.37774758,2.34890264,2.08463751,0.00000000,0.42838919,0.13536920
-5.84392196,5.54975742,0.01780533,0.41546454,1.41919648,2.44033206,2.14092342,0.00000000,0.43711153,0.13806963
-5.83791896,5.71722155,0.01784586,0.42552259,1.46009875,2.53031413,2.19263653,0.00000000,0.44446671,0.14044634
-5.83191596,5.87707524,0.01790054,0.43532319,1.49990759,2.61812091,2.23942141,0.00000000,0.45045929,0.14248654
-5.82591296,6.02788874,0.01796194,0.44472066,1.53806886,2.70299599,2.28091297,0.00000000,0.45511137,0.14417817
-5.81990995,6.16823025,0.01802380,0.45359503,1.57402420,2.78416276,2.31673428,0.00000000,0.45845948,0.14550944
-5.81390695,6.29667881,0.01808084,0.46185121,1.60721627,2.86083586,2.34649812,0.00000000,0.46055153,0.14646858
-5.80790395,6.41184414,0.01812855,0.46941762,1.63709612,2.93223581,2.36981256,0.00000000,0.46144393,0.14704376
-5.80190095,6.51239289,0.01816301,0.47624465,1.66313266,2.99760595,2.38629068,0.00000000,0.46119906,0.14722335
