energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.39013230,0.03514992,0.56852909,1.12136539,0.36222987,2.79066458,1.11999515,0.02582099,1.10486712
-5.99399700,3.51136674,0.03514631,0.58537998,1.16958721,0.37180439,2.85073493,1.16495127,0.02739354,1.14692169
-5.98799400,3.62699363,0.03493624,0.60077298,1.21597992,0.38075633,2.90222074,1.20859412,0.02895591,1.18740145
-5.98199100,3.73616551,0.03452452,0.61460535,1.26018104,0.38906590,2.94492503,1.25059344,0.03049111,1.22596765
-5.97598799,3.83819604,0.03392011,0.62681091,1.30188426,0.39672650,2.97888000,1.29066378,0.03198155,1.26233144
-5.96998499,3.93255464,0.03313581,0.63735765,1.34084234,0.40374280,3.00432685,1.32856298,0.03340933,1.29625528
-5.96398199,4.01885513,0.03218778,0.64624373,1.37686797,0.41012860,3.02168708,1.36408873,0.03475644,1.32755277
-5.95797899,4.09684008,0.03109511,0.65349267,1.40983261,0.41590469,3.03152723,1.39707377,0.03600506,1.35608694
-5.95197599,4.16636216,0.02987912,0.65914767,1.43966373,0.42109676,3.03451924,1.42738027,0.03713780,1.38176750
-5.94597299,4.22736410,0.02856278,0.66326568,1.46634059,0.42573366,3.03139876,1.45489391,0.03813811,1.40454727
-5.93996998,4.27985880,0.02717001,0.66591162,1.48988901,0.42984586,3.02292374,1.47951815,0.03899056,1.42441800
-5.93396698,4.32391082,0.02572504,0.66715288,1.51037526,0.43346430,3.00983573,1.50116932,0.03968126,1.44140602
-5.92796398,4.35962028,0.02425173,0.66705475,1.52789957,0.43661963,2.99282576,1.51977262,0.04019818,1.45556765
-5.92196098,4.38711000,0.02277304,0.66567671,1.54258934,0.43934163,2.97250639,1.53525957,0.04053152,1.46698476
-5.91595798,4.40651603,0.02131043,0.66306996,1.55459232,0.44165897,2.94939128,1.54756685,0.04067406,1.47576037
-5.90995498,4.41798182,0.01988350,0.65927611,1.56406991,0.44359901,2.92388272,1.55663647,0.04062136,1.48201439
-5.90395198,4.42165541,0.01850956,0.65432713,1.57119070,0.44518761,2.89626729,1.56241723,0.04037206,1.48587934
-5.89794897,4.41768932,0.01720341,0.64824635,1.57612418,0.44644886,2.86671922,1.56486718,0.03992792,1.48749619
-5.89194597,4.40624221,0.01597714,0.64105042,1.57903486,0.44740462,2.83531061,1.56395661,0.03929395,1.48701002
-5.88594297,4.38748138,0.01484006,0.63275199,1.58007655,0.44807378,2.80202707,1.55967139,0.03847829,1.48456559
-5.87993997,4.36158556,0.01379868,0.62336273,1.57938717,0.44847135,2.76678750,1.55201611,0.03749210,1.48030278
-5.87393697,4.32874687,0.01285680,0.61289660,1.57708381,0.44860715,2.72946607,1.54101676,0.03634927,1.47435191
-5.86793397,4.28917169,0.01201564,0.60137295,1.57325839,0.44848453,2.68991493,1.52672263,0.03506611,1.46682907
-5.86193097,4.24308006,0.01127402,0.58881929,1.56797398,0.44809886,2.64798592,1.50920725,0.03366090,1.45783169
-5.85592796,4.19070356,0.01062864,0.57527347,1.56126201,0.44743623,2.60355004,1.48856831,0.03215342,1.44743452
-5.84992496,4.13228193,0.01007428,0.56078525,1.55312050,0.44647233,2.55651350,1.46492659,0.03056445,1.43568638
-5.84392196,4.06805898,0.00960416,0.54541699,1.54351371,0.44517180,2.50682977,1.43842398,0.02891519,1.42260800
-5.83791896,3.99827843,0.00921023,0.52924370,1.53237337,0.44348817,2.45450723,1.40922092,0.02722672,1.40819118
-5.83191596,3.92318053,0.00888348,0.51235225,1.51960160,0.44136449,2.39961245,1.37749345,0.02551954,1.39239966
-5.82591296,3.84300010,0.00861428,0.49484004,1.50507587,0.43873480,2.34226965,1.34343030,0.02381306,1.37517190
-5.81990995,3.75796689,0.00839270,0.47681316,1.48865577,0.43552648,2.28265676,1.30723022,0.02212519,1.35642575
-5.81390695,3.66830871,0.00820877,0.45838422,1.47019174,0.43166332,2.22099917,1.26909984,0.02047206,1.33606514
-5.80790395,3.57425761,0.00805281,0.43967009,1.44953539,0.42706948,2.15756196,1.22925244,0.01886775,1.31398853
-5.80190095,3.47605909,0.00791569,0.42078966,1.42655116,0.42167387,2.09264167,1.18790745,0.01732417,1.29009892
-5.79589795,3.37398411,0.00778902,0.40186175,1.40112877,0.41541503,2.02655852,1.14529098,0.01585095,1.26431480
-5.78989495,3.26834314,0.00766538,0.38300338,1.37319592,0.40824603,1.95964968,1.10163714,0.01445554,1.23658178
-5.78389195,3.15950147,0.00753849,0.36432840,1.34273066,0.40013924,1.89226426,1.05718996,0.01314325,1.20688394
-5.77788894,3.04789453,0.00740330,0.34594653,1.30977256,0.39109069,1.82476022,1.01220579,0.01191742,1.17525451
-5.77188594,2.93404206,0.00725609,0.32796289,1.27443215,0.38112360,1.75750317,0.96695558,0.01077967,1.14178506
-5.76588294,2.81855988,0.00709448,0.31047783,1.23689794,0.37029103,1.69086696,0.92172701,0.00973008,1.10663252
-5.75987994,2.70216794,0.00691744,0.29358713,1.19744048,0.35867734,1.62523541,0.87682588,0.00876753,1.07002366
-5.75387694,2.58569378,0.00672525,0.27738236,1.15641305,0.34639826,1.56100478,0.83257648,0.00788989,1.03225645
-5.74787394,2.47007041,0.00651934,0.26195140,1.11424873,0.33359975,1.49858607,0.78932084,0.00709432,0.99369817
-5.74187094,2.35632843,0.00630223,0.24737885,1.07145387,0.32045536,1.43840666,0.74741649,0.00637751,0.95478008
-5.73586793,2.24558196,0.00607735,0.23374644,1.02859801,0.30716242,1.38091038,0.70723274,0.00573591,0.91598880
-5.72986493,2.13900897,0.00584881,0.22113310,0.98630063,0.29393711,1.32655558,0.66914555,0.00516586,0.87785479
-5.72386193,2.03782647,0.00562128,0.20961487,0.94521527,0.28100859,1.27581086,0.63353112,0.00466383,0.84093818
-5.71785893,1.94326157,0.00539971,0.19926441,0.90601161,0.26861258,1.22914815,0.60075840,0.00422648,0.80581272
-5.71185593,1.85651974,0.00518913,0.19015026,0.86935637,0.25698461,1.18703336,0.57118086,0.00385074,0.77304858
-5.70585293,1.77875172,0.00499450,0.18233580,0.83589384,0.24635318,1.14991481,0.54512794,0.00353395,0.74319456
-5.69984992,1.71102053,0.00482044,0.17587805,0.80622684,0.23693329,1.11821008,0.52289662,0.00327381,0.71676083
-5.69384692,1.65427038,0.00467111,0.17082621,0.78089916,0.22892047,1.09229186,0.50474340,0.00306843,0.69420277
-5.68784392,1.60929886,0.00455007,0.16722034,0.76038005,0.22248567,1.07247380,0.49087735,0.00291638,0.67590673
-5.68184092,1.57673384,0.00446013,0.16509003,0.74505155,0.21777112,1.05899728,0.48145435,0.00281659,0.66217836
-5.67583792,1.55701617,0.00440331,0.16445325,0.73519920,0.21488736,1.05201992,0.47657296,0.00276840,0.65323401
-5.66983492,1.55038902,0.00438077,0.16531556,0.73100651,0.21391150,1.05160680,0.47627217,0.00277154,0.64919558
-5.66383192,1.55689434,0.00439281,0.16766965,0.73255322,0.21488674,1.05772511,0.48053099,0.00282605,0.65008896
-5.65782891,1.57637644,0.00443888,0.17149531,0.73981756,0.21782310,1.07024267,0.48927003,0.00293234,0.65584613
-5.65182591,1.60849251,0.00451764,0.17675988,0.75268210,0.22269919,1.08893071,0.50235497,0.00309106,0.66631070
-5.64582291,1.65272928,0.00462706,0.18341903,0.77094282,0.22946501,1.11347083,0.51960160,0.00330315,0.68124656
-5.63981991,1.70842482,0.00476447,0.19141810,0.79432090,0.23804545,1.14346578,0.54078223,0.00356975,0.70034910
-5.63381691,1.77479419,0.00492674,0.20069354,0.82247637,0.24834427,1.17845368,0.56563308,0.00389217,0.72325840
-5.62781391,1.85095742,0.00511034,0.21117467,0.85502301,0.26024842,1.21792469,0.59386216,0.00427179,0.74957367
