energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,7.49463935,0.00736943,1.64517356,0.01542023,0.00000000,4.91993696,3.15043722,0.05936946,2.07391141
-5.99399700,7.42969405,0.00760544,1.61741949,0.01551109,0.00000000,4.92361844,3.08283383,0.06083078,2.07946323
-5.98799400,7.36784904,0.00787612,1.58922092,0.01562524,0.00000000,4.91697776,3.02129842,0.06221585,2.08594181
-5.98199100,7.30897342,0.00818373,1.56036664,0.01576612,0.00000000,4.90070673,2.96541642,0.06352493,2.09355146
-5.97598799,7.25304311,0.00853009,1.53069710,0.01593718,0.00000000,4.87590877,2.91468873,0.06476245,2.10252623
-5.96998499,7.20016822,0.00891646,1.50011884,0.01614174,0.00000000,4.84407923,2.86856385,0.06593714,2.11312493
-5.96398199,7.15060722,0.00934339,1.46861463,0.01638292,0.00000000,4.80706788,2.82646742,0.06706191,2.12562309
-5.95797899,7.10476758,0.00981056,1.43624896,0.01666342,0.00000000,4.76702489,2.78782838,0.06815363,2.14030226
-5.95197599,7.06319368,0.01031672,1.40316876,0.01698541,0.00000000,4.72633251,2.75210108,0.06923271,2.15743725
-5.94597299,7.02654340,0.01085954,1.36959963,0.01735038,0.00000000,4.68752513,2.71878327,0.07032257,2.17728209
-5.93996998,6.99555532,0.01143559,1.33583781,0.01775896,0.00000000,4.65320094,2.68742976,0.07144896,2.20005543
-5.93396698,6.97100892,0.01204030,1.30223850,0.01821088,0.00000000,4.62592888,2.65766197,0.07263918,2.22592626
-5.92796398,6.95368038,0.01266799,1.26920134,0.01870480,0.00000000,4.60815441,2.62917372,0.07392120,2.25500064
-5.92196098,6.94429647,0.01331195,1.23715376,0.01923828,0.00000000,4.60210804,2.60173358,0.07532276,2.28731024
-5.91595798,6.94348924,0.01396450,1.20653311,0.01980775,0.00000000,4.60971980,2.57518422,0.07687039,2.32280316
-5.90995498,6.95175347,0.01461718,1.17776842,0.02040851,0.00000000,4.63254320,2.54943916,0.07858850,2.36133752
-5.90395198,6.96940908,0.01526094,1.15126266,0.02103478,0.00000000,4.67169125,2.52447739,0.08049840,2.40267807
-5.89794897,6.99656984,0.01588632,1.12737618,0.02167975,0.00000000,4.72778697,2.50033601,0.08261750,2.44649603
-5.89194597,7.03311968,0.01648369,1.10641214,0.02233575,0.00000000,4.80093001,2.47710146,0.08495844,2.49237210
-5.88594297,7.07869730,0.01704355,1.08860422,0.02299430,0.00000000,4.89068068,2.45489934,0.08752850,2.53980258
-5.87993997,7.13268948,0.01755674,1.07410726,0.02364639,0.00000000,4.99606180,2.43388325,0.09032895,2.58820848
-5.87393697,7.19423330,0.01801472,1.06299095,0.02428258,0.00000000,5.11557838,2.41422286,0.09335474,2.63694717
-5.86793397,7.26222703,0.01840985,1.05523669,0.02489324,0.00000000,5.24725445,2.39609151,0.09659421,2.68532648
-5.86193097,7.33534933,0.01873560,1.05073772,0.02546880,0.00000000,5.38868573,2.37965371,0.10002907,2.73262065
-5.85592796,7.41208611,0.01898675,1.04930233,0.02599995,0.00000000,5.53710657,2.36505283,0.10363452,2.77808792
-5.84992496,7.49076439,0.01915966,1.05065983,0.02647789,0.00000000,5.68946870,2.35239960,0.10737964,2.82098910
-5.84392196,7.56959208,0.01925231,1.05446922,0.02689455,0.00000000,5.84252935,2.34176173,0.11122793,2.86060682
-5.83791896,7.64670260,0.01926453,1.06032988,0.02724282,0.00000000,5.99294559,2.33315521,0.11513802,2.89626480
