energy_ev,total_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.06736484,0.00828280,0.01663124,0.03929594,0.00000000,0.00021528,0.00674053,0.00504992,0.00404158
-5.99399700,0.07223013,0.00891346,0.01807243,0.04176321,0.00000000,0.00024291,0.00720515,0.00535683,0.00461662
-5.98799400,0.07736889,0.00968305,0.01967906,0.04416423,0.00000000,0.00028432,0.00769233,0.00564341,0.00539327
-5.98199100,0.08277213,0.01059768,0.02146588,0.04646397,0.00000000,0.00034067,0.00819991,0.00590411,0.00639367
-5.97598799,0.08844912,0.01166854,0.02345470,0.04863246,0.00000000,0.00041349,0.00872754,0.00613370,0.00764530
-5.96998499,0.09442867,0.01291172,0.02567459,0.05064574,0.00000000,0.00050459,0.00927676,0.00632753,0.00918073
-5.96398199,0.10075991,0.01434814,0.02816211,0.05248676,0.00000000,0.00061608,0.00985111,0.00648160,0.01103714
-5.95797899,0.10751262,0.01600320,0.03096125,0.05414602,0.00000000,0.00075030,0.01045622,0.00659270,0.01325578
-5.95197599,0.11477689,0.01790651,0.03412326,0.05562197,0.00000000,0.00090971,0.01109977,0.00665857,0.01588117
-5.94597299,0.12266209,0.02009135,0.03770618,0.05692116,0.00000000,0.00109689,0.01179149,0.00667790,0.01896018
-5.93996998,0.13129510,0.02259413,0.04177417,0.05805795,0.00000000,0.00131435,0.01254301,0.00665043,0.02254094
-5.93396698,0.14081772,0.02545366,0.04639662,0.05905402,0.00000000,0.00156452,0.01336771,0.00657692,0.02667149
-5.92796398,0.15138348,0.02871045,0.05164704,0.05993741,0.00000000,0.00184956,0.01428049,0.00645914,0.03139838
-5.92196098,0.16315373,0.03240581,0.05760176,0.06074135,0.00000000,0.00217125,0.01529748,0.00629980,0.03676515
-5.91595798,0.17629337,0.03658111,0.06433854,0.06150274,0.00000000,0.00253089,0.01643578,0.00610243,0.04281071
-5.90995498,0.19096630,0.04127693,0.07193514,0.06226047,0.00000000,0.00292911,0.01771310,0.00587128,0.04956780
-5.90395198,0.20733084,0.04653247,0.08046786,0.06305356,0.00000000,0.00336578,0.01914749,0.00561118,0.05706151
-5.89794897,0.22553546,0.05238498,0.09001026,0.06391936,0.00000000,0.00383987,0.02075707,0.00532732,0.06530806
-5.89194597,0.24571489,0.05886956,0.10063193,0.06489163,0.00000000,0.00434934,0.02255981,0.00502514,0.07431377
-5.88594297,0.26798711,0.06601913,0.11239765,0.06599896,0.00000000,0.00489106,0.02457339,0.00471016,0.08407448
-5.87993997,0.29245118,0.07386482,0.12536668,0.06726329,0.00000000,0.00546079,0.02681515,0.00438775,0.09457539
-5.87393697,0.31918623,0.08243660,0.13959242,0.06869883,0.00000000,0.00605312,0.02930217,0.00406307,0.10579142
-5.86793397,0.34825152,0.09176439,0.15512238,0.07031132,0.00000000,0.00666152,0.03205137,0.00374087,0.11768812
-5.86193097,0.37968772,0.10187931,0.17199827,0.07209774,0.00000000,0.00727843,0.03507979,0.00342543,0.13022306
-5.85592796,0.41351912,0.11281526,0.19025636,0.07404648,0.00000000,0.00789537,0.03840485,0.00312045,0.14334781
-5.84992496,0.44975661,0.12461060,0.20992778,0.07613793,0.00000000,0.00850310,0.04204472,0.00282901,0.15701028
-5.84392196,0.48840119,0.13730976,0.23103873,0.07834551,0.00000000,0.00909185,0.04601860,0.00255356,0.17115738
-5.83791896,0.52944736,0.15096473,0.25361045,0.08063702,0.00000000,0.00965155,0.05034696,0.00229589,0.18573783
-5.83191596,0.57288631,0.16563610,0.27765867,0.08297630,0.00000000,0.01017213,0.05505174,0.00205718,0.20070492
-5.82591296,0.61870800,0.18139356,0.30319252,0.08532510,0.00000000,0.01064380,0.06015624,0.00183803,0.21601902
-5.81990995,0.66690206,0.19831557,0.33021270,0.08764493,0.00000000,0.01105736,0.06568488,0.00163853,0.23164961
-5.81390695,0.71745685,0.21648811,0.35870883,0.08989902,0.00000000,0.01140450,0.07166260,0.00145832,0.24757668
-5.80790395,0.77035652,0.23600232,0.38865598,0.09205400,0.00000000,0.01167807,0.07811406,0.00129666,0.26379121
-5.80190095,0.82557579,0.25695092,0.42001046,0.09408142,0.00000000,0.01187233,0.08506235,0.00115254,0.28029471
-5.79589795,0.88307257,0.27942343,0.45270494,0.09595895,0.00000000,0.01198315,0.09252754,0.00102474,0.29709759
-5.78989495,0.94277861,0.30350024,0.48664320,0.09767114,0.00000000,0.01200816,0.10052480,0.00091192,0.31421651
-5.78389195,1.00458845,0.32924570,0.52169478,0.09920981,0.00000000,0.01194680,0.10906234,0.00081265,0.33167061
-5.77788894,1.06834743,0.35670037,0.55768986,0.10057400,0.00000000,0.01180042,0.11813923,0.00072554,0.34947684
-5.77188594,1.13383941,0.38587289,0.59441493,0.10176952,0.00000000,0.01157215,0.12774310,0.00064925,0.36764466
-5.76588294,1.20077519,0.41673184,0.63160946,0.10280819,0.00000000,0.01126683,0.13784797,0.00058255,0.38617024
-5.75987994,1.26878254,0.44919805,0.66896430,0.10370680,0.00000000,0.01089082,0.14841228,0.00052434,0.40503072
-5.75387694,1.33739881,0.48313778,0.70612188,0.10448589,0.00000000,0.01045183,0.15937734,0.00047371,0.42417874
-5.74787394,1.40606725,0.51835756,0.74267890,0.10516858,0.00000000,0.00995857,0.17066627,0.00042995,0.44353782
-5.74187094,1.47413767,0.55460088,0.77819130,0.10577943,0.00000000,0.00942057,0.18218360,0.00039254,0.46299884
-5.73586793,1.54087218,0.59154745,0.81218203,0.10634357,0.00000000,0.00884779,0.19381570,0.00036121,0.48241810
-5.72986493,1.60545642,0.62881521,0.84415118,0.10688614,0.00000000,0.00825040,0.20543203,0.00033595,0.50161722
-5.72386193,1.66701636,0.66596542,0.87358850,0.10743223,0.00000000,0.00763840,0.21688735,0.00031697,0.52038507
-5.71785893,1.72464046,0.70251099,0.89998788,0.10800729,0.00000000,0.00702145,0.22802478,0.00030479,0.53848194
-5.71185593,1.77740661,0.73792786,0.92286310,0.10863821,0.00000000,0.00640857,0.23867980,0.00030020,0.55564584
-5.70585293,1.82441308,0.77166926,0.94176455,0.10935486,0.00000000,0.00580799,0.24868497,0.00030430,0.57160080
-5.69984992,1.86481224,0.80318250,0.95629584,0.11019235,0.00000000,0.00522699,0.25787530,0.00031853,0.58606700
-5.69384692,1.89784567,0.83192761,0.96612981,0.11119364,0.00000000,0.00467180,0.26609404,0.00034469,0.59877227
-5.68784392,1.92287926,0.85739721,0.97102306,0.11241268,0.00000000,0.00414757,0.27319867,0.00038496,0.60946443
-5.68184092,1.93943649,0.87913678,0.97082823,0.11391775,0.00000000,0.00365834,0.27906684,0.00044191,0.61792411
-5.67583792,1.94722842,0.89676434,0.96550362,0.11579484,0.00000000,0.00320710,0.28360199,0.00051855,0.62397723
-5.66983492,1.94617886,0.90998881,0.95511930,0.11815102,0.00000000,0.00279586,0.28673844,0.00061834,0.62750662
-5.66383192,1.93644328,0.91862599,0.93985974,0.12111745,0.00000000,0.00242574,0.28844562,0.00074516,0.62846220
-5.65782891,1.91842048,0.92261145,0.92002246,0.12485176,0.00000000,0.00209711,0.28873122,0.00090332,0.62686913
-5.65182591,1.89275613,0.92200957,0.89601288,0.12953976,0.00000000,0.00180971,0.28764316,0.00109753,0.62283341
-5.64582291,1.86033772,0.91701819,0.86833552,0.13539607,0.00000000,0.00156280,0.28527018,0.00133286,0.61654469
-5.63981991,1.82228085,0.90796851,0.83758182,0.14266353,0.00000000,0.00135534,0.28174098,0.00161462,0.60827587
-5.63381691,1.77990706,0.89532007,0.80441510,0.15161130,0.00000000,0.00118604,0.27722187,0.00194830,0.59837948
-5.62781391,1.73471375,0.87965086,0.76955326,0.16253132,0.00000000,0.00105358,0.27191304,0.00233941,0.58728086
-5.62181091,1.68833711,0.86164276,0.73374980,0.17573324,0.00000000,0.00095665,0.26604347,0.00279328,0.57546821
