energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,5.13464190,2.95707600,1.35218079,0.02649112,0.84420720,0.07766396,1.82981462,0.18234164,0.68674418
-5.99399700,5.11320397,2.93512991,1.33160287,0.02711977,0.82962781,0.07840483,1.82987848,0.18421693,0.68713935
-5.98799400,5.08318244,2.90872028,1.30948973,0.02767535,0.81387104,0.07896288,1.82731398,0.18567731,0.68617207
-5.98199100,5.04426969,2.87789985,1.28591365,0.02815002,0.79693704,0.07931456,1.82203864,0.18669008,0.68369800
-5.97598799,4.99640015,2.84282955,1.26100257,0.02853865,0.77885867,0.07944244,1.81405062,0.18723222,0.67961165
-5.96998499,4.93976914,2.80378353,1.23494230,0.02883895,0.75970366,0.07933592,1.80343635,0.18729188,0.67384953
-5.96398199,4.87484182,2.76115015,1.20797631,0.02905169,0.73957531,0.07899163,1.79037449,0.18686934,0.66639199
-5.95797899,4.80235087,2.71542812,1.18040271,0.02918064,0.71861162,0.07841360,1.77513585,0.18597758,0.65726348
-5.95197599,4.72328223,2.66721762,1.15256821,0.02923252,0.69698289,0.07761307,1.75807885,0.18464222,0.64653138
-5.94597299,4.63884887,2.61720626,1.12485945,0.02921669,0.67488763,0.07660805,1.73964028,0.18290096,0.63430314
-5.93996998,4.55045315,2.56615004,1.09769148,0.02914483,0.65254708,0.07542255,1.72032165,0.18080232,0.62072204
-5.93396698,4.45963900,2.51484996,1.07149422,0.02903046,0.63019836,0.07408563,1.70067151,0.17840402,0.60596168
-5.92796398,4.36803594,2.46412502,1.04669704,0.02888832,0.60808665,0.07263012,1.68126433,0.17577072,0.59021934
-5.92196098,4.27729727,2.41478290,1.02371243,0.02873379,0.58645681,0.07109131,1.66267696,0.17297148,0.57370863
-5.91595798,4.18903543,2.36758956,1.00291933,0.02858212,0.56554454,0.06950548,1.64546377,0.17007698,0.55665170
-5.90995498,4.10475760,2.32323932,0.98464709,0.02844781,0.54556793,0.06790838,1.63013174,0.16715654,0.53927139
-5.90395198,4.02580484,2.28232703,0.96916074,0.02834385,0.52671943,0.06633383,1.61711673,0.16427528,0.52178368
-5.89794897,3.95329792,2.24532385,0.95664851,0.02828109,0.50915892,0.06481237,1.60676239,0.16149138,0.50439067
-5.89194597,3.88809287,2.21255812,0.94721227,0.02826772,0.49300812,0.06337014,1.59930292,0.15885374,0.48727463
-5.88594297,3.83074855,2.18420246,0.94086147,0.02830882,0.47834666,0.06202795,1.59485069,0.15640004,0.47059310
-5.87993997,3.78150830,2.16026806,0.93751111,0.02840603,0.46521008,0.06080065,1.59338962,0.15415540,0.45447544
-5.87393697,3.74029667,2.14060665,0.93698393,0.02855743,0.45358978,0.05969681,1.59477487,0.15213167,0.43902075
-5.86793397,3.70673173,2.12492031,0.93901680,0.02875756,0.44343506,0.05871872,1.59873905,0.15032734,0.42429738
-5.86193097,3.68015241,2.11277875,0.94327130,0.02899759,0.43465703,0.05786267,1.60490480,0.14872824,0.41034385
-5.85592796,3.65965958,2.10364334,0.94934792,0.02926571,0.42713435,0.05711958,1.61280325,0.14730871,0.39717103
-5.84992496,3.64416881,2.09689664,0.95680326,0.02954761,0.42072034,0.05647587,1.62189745,0.14603351,0.38476558
-5.84392196,3.63247213,2.09187608,0.96516961,0.02982713,0.41525121,0.05591451,1.63160970,0.14486004,0.37309417
-5.83791896,3.62330552,2.08790985,0.97397577,0.03008700,0.41055498,0.05541632,1.64135131,0.14374097,0.36210843
-5.83191596,3.61541851,2.08435325,0.98276819,0.03030962,0.40646057,0.05496127,1.65055326,0.14262704,0.35175008
-5.82591296,3.60764235,2.08062335,0.99113133,0.03047790,0.40280660,0.05452983,1.65869612,0.14146983,0.34195623
-5.81990995,3.59895301,2.07623016,0.99870624,0.03057611,0.39944956,0.05410435,1.66533758,0.14022451,0.33266433
-5.81390695,3.58852564,2.07080263,1.00520634,0.03059059,0.39627072,0.05367023,1.67013608,0.13885220,0.32381659
-5.80790395,3.57577779,2.06410784,1.01042958,0.03051050,0.39318166,0.05321701,1.67286937,0.13732202,0.31536367
-5.80190095,3.56039906,2.05606250,1.01426642,0.03032834,0.39012800,0.05273918,1.67344676,0.13561263,0.30726744
-5.79589795,3.54236562,2.04673602,1.01670309,0.03004040,0.38709118,0.05223682,1.67191451,0.13371314,0.29950276
-5.78989495,3.52193925,2.03634502,1.01782002,0.02964703,0.38408829,0.05171590,1.66845420,0.13162356,0.29205814
-5.78389195,3.49965086,2.02523957,1.01778560,0.02915275,0.38116992,0.05118833,1.66337387,0.12935449,0.28493540
-5.77788894,3.47626972,2.01388198,1.01684549,0.02856615,0.37841621,0.05067173,1.65709276,0.12692642,0.27814833
-5.77188594,3.45276026,2.00281934,1.01530810,0.02789968,0.37593129,0.05018893,1.65012031,0.12436841,0.27172056
-5.76588294,3.43022882,1.99265135,1.01352709,0.02716926,0.37383651,0.04976721,1.64303071,0.12171643,0.26568275
-5.75987994,3.40986350,1.98399531,1.01188177,0.02639378,0.37226277,0.04943741,1.63643422,0.11901141,0.26006936
-5.75387694,3.39287026,1.97745009,1.01075636,0.02559443,0.37134234,0.04923276,1.63094706,0.11629707,0.25491519
-5.74787394,3.38040867,1.97356124,1.01051941,0.02479408,0.37120073,0.04918770,1.62716114,0.11361780,0.25025190
-5.74187094,3.37353080,1.97278899,1.01150411,0.02401646,0.37194888,0.04933657,1.62561546,0.11101654,0.24610482
-5.73586793,3.37312604,1.97548096,1.01399076,0.02328544,0.37367617,0.04971228,1.62677039,0.10853285,0.24249010
-5.72986493,3.37987465,1.98185089,1.01819202,0.02262426,0.37644453,0.05034505,1.63098612,0.10620129,0.23941254
-5.72386193,3.39421195,1.99196452,1.02424177,0.02205480,0.38028397,0.05126115,1.63850613,0.10405017,0.23686401
-5.71785893,3.41630470,2.00573329,1.03218782,0.02159692,0.38518967,0.05248176,1.64944648,0.10210062,0.23482272
-5.71185593,3.44604029,2.02291596,1.04198898,0.02126789,0.39112084,0.05402205,1.66379101,0.10036613,0.23325327
-5.70585293,3.48302880,2.04312805,1.05351621,0.02108183,0.39800120,0.05589028,1.68139261,0.09885256,0.23210743
-5.69984992,3.52661739,2.06585837,1.06655783,0.02104939,0.40572117,0.05808722,1.70198016,0.09755841,0.23132565
-5.69384692,3.57591581,2.09049175,1.08082840,0.02117737,0.41414158,0.06060573,1.72517060,0.09647558,0.23083920
-5.68784392,3.62983147,2.11633665,1.09598059,0.02146857,0.42309859,0.06343054,1.75048548,0.09559034,0.23057270
-5.68184092,3.68711211,2.14265618,1.11161951,0.02192173,0.43240972,0.06653832,1.77737087,0.09488456,0.23044701
-5.67583792,3.74639397,2.16870104,1.12731874,0.02253151,0.44188056,0.06989796,1.80521982,0.09433708,0.23038227
-5.66983492,3.80625319,2.19374268,1.14263725,0.02328865,0.45131185,0.07347108,1.83339641,0.09392518,0.23030091
-5.66383192,3.86525833,2.21710528,1.15713659,0.02418022,0.46050674,0.07721281,1.86126013,0.09362605,0.23013055
-5.65782891,3.92202197,2.23819501,1.17039745,0.02518992,0.46927769,0.08107272,1.88819002,0.09341817,0.22980660
