energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.73729909,0.58176311,0.01284553,0.12839679,0.23966154,0.15799384,1.05600739,0.00000000
-5.99399700,1.79147811,0.60333523,0.01336825,0.13157416,0.24782206,0.16284573,1.09073579,0.00000000
-5.98799400,1.83579887,0.62169895,0.01382028,0.13408152,0.25465928,0.16683570,1.11936668,0.00000000
-5.98199100,1.86947481,0.63656974,0.01419401,0.13589160,0.26006338,0.16989954,1.14135950,0.00000000
-5.97598799,1.89198067,0.64774473,0.01448357,0.13699778,0.26396042,0.17199689,1.15632990,0.00000000
-5.96998499,1.90307152,0.65511062,0.01468505,0.13741474,0.26631520,0.17311282,1.16406305,0.00000000
-5.96398199,1.90279258,0.65864863,0.01479665,0.13717833,0.26713278,0.17325851,1.16452132,0.00000000
-5.95797899,1.89147915,0.65843581,0.01481879,0.13634474,0.26645871,0.17247108,1.15784602,0.00000000
-5.95197599,1.86974662,0.65464306,0.01475406,0.13498897,0.26437771,0.17081249,1.14435295,0.00000000
-5.94597299,1.83847073,0.64752943,0.01460719,0.13320262,0.26101105,0.16836752,1.12452193,0.00000000
-5.93996998,1.79875912,0.63743331,0.01438489,0.13109120,0.25651267,0.16524102,1.09898078,0.00000000
-5.93396698,1.75191515,0.62476068,0.01409561,0.12877090,0.25106422,0.16155449,1.06848435,0.00000000
-5.92796398,1.69939572,0.60997102,0.01374924,0.12636508,0.24486923,0.15744202,1.03388963,0.00000000
-5.92196098,1.64276485,0.59356158,0.01335679,0.12400064,0.23814675,0.15304604,0.99612797,0.00000000
-5.91595798,1.58364500,0.57605065,0.01293003,0.12180420,0.23112469,0.14851274,0.95617570,0.00000000
-5.90995498,1.52366816,0.55796060,0.01248108,0.11989855,0.22403321,0.14398761,0.91502426,0.00000000
-5.90395198,1.46442865,0.53980153,0.01202202,0.11839924,0.21709836,0.13961111,0.87365125,0.00000000
-5.89794897,1.40743945,0.52205610,0.01156455,0.11741151,0.21053632,0.13551477,0.83299328,0.00000000
-5.89194597,1.35409342,0.50516621,0.01111963,0.11702771,0.20454842,0.13181769,0.79392180,0.00000000
-5.88594297,1.30563070,0.48952198,0.01069718,0.11732516,0.19931702,0.12862375,0.75722257,0.00000000
-5.87993997,1.26311312,0.47545332,0.01030583,0.11836456,0.19500240,0.12601936,0.72357924,0.00000000
-5.87393697,1.22740584,0.46322440,0.00995276,0.12018898,0.19174070,0.12407207,0.69356147,0.00000000
-5.86793397,1.19916638,0.45303081,0.00964355,0.12282332,0.18964272,0.12282975,0.66761755,0.00000000
-5.86193097,1.17884064,0.44499947,0.00938215,0.12627424,0.18879373,0.12232051,0.64607128,0.00000000
-5.85592796,1.16666533,0.43919088,0.00917083,0.13053062,0.18925383,0.12255315,0.62912296,0.00000000
-5.84992496,1.16267575,0.43560338,0.00901026,0.13556425,0.19105890,0.12351820,0.61685370,0.00000000
-5.84392196,1.16671819,0.43417899,0.00889962,0.14133087,0.19422191,0.12518925,0.60923269,0.00000000
-5.83791896,1.17846561,0.43481029,0.00883668,0.14777138,0.19873425,0.12752470,0.60612654,0.00000000
-5.83191596,1.19743559,0.43734784,0.00881801,0.15481321,0.20456706,0.13046958,0.60731019,0.00000000
-5.82591296,1.22300963,0.44160777,0.00883913,0.16237173,0.21167242,0.13395749,0.61247866,0.00000000
-5.81990995,1.25445285,0.44737901,0.00889473,0.17035170,0.21998411,0.13791256,0.62125910,0.00000000
