energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.82747820,0.57378427,0.17660233,0.00492081,0.15766429,0.41237069,0.00000000,0.17019945,0.16749109
-5.99399700,0.82241464,0.59380229,0.17642167,0.00486206,0.16373783,0.40014516,0.00000000,0.16311503,0.16371728
-5.98799400,0.81833775,0.61329787,0.17662197,0.00479330,0.16999236,0.38848160,0.00000000,0.15634302,0.15987209
-5.98199100,0.81506419,0.63191556,0.17712381,0.00471604,0.17627164,0.37745332,0.00000000,0.14996180,0.15597460
-5.97598799,0.81240820,0.64931769,0.17784452,0.00463236,0.18241636,0.36713577,0.00000000,0.14405286,0.15204946
-5.96998499,0.81020127,0.66519983,0.17870284,0.00454505,0.18826948,0.35761413,0.00000000,0.13870332,0.14812937
-5.96398199,0.80831170,0.67930604,0.17962371,0.00445760,0.19368192,0.34899048,0.00000000,0.13400807,0.14425726
-5.95797899,0.80666296,0.69144292,0.18054298,0.00437423,0.19851830,0.34138988,0.00000000,0.13007138,0.14048797
-5.95197599,0.80524980,0.70149200,0.18141166,0.00429989,0.20266246,0.33496522,0.00000000,0.12700782,0.13688935
-5.94597299,0.80415115,0.70941955,0.18219974,0.00424021,0.20602240,0.32990021,0.00000000,0.12494238,0.13354272
-5.93996998,0.80353903,0.71528331,0.18289901,0.00420139,0.20853465,0.32641038,0.00000000,0.12400963,0.13054256
-5.93396698,0.80368271,0.71923565,0.18352500,0.00419019,0.21016743,0.32474186,0.00000000,0.12435192,0.12799541
-5.92796398,0.80494775,0.72152272,0.18411773,0.00421371,0.21092280,0.32516773,0.00000000,0.12611660,0.12601806
-5.92196098,0.80778961,0.72247956,0.18474119,0.00427929,0.21083742,0.32798214,0.00000000,0.12945220,0.12473494
-5.91595798,0.81274179,0.72252102,0.18548164,0.00439432,0.20998193,0.33349209,0.00000000,0.13450384,0.12427487
-5.90995498,0.82039884,0.72212880,0.18644458,0.00456602,0.20845891,0.34200712,0.00000000,0.14140780,0.12476719
-5.90395198,0.83139462,0.72183493,0.18775067,0.00480125,0.20639951,0.35382731,0.00000000,0.15028548,0.12633739
-5.89794897,0.84637657,0.72220238,0.18953058,0.00510623,0.20395887,0.36922977,0.00000000,0.16123698,0.12910237
-5.89194597,0.86597700,0.72380339,0.19191909,0.00548637,0.20131047,0.38845433,0.00000000,0.17433457,0.13316550
-5.88594297,0.89078233,0.72719658,0.19504870,0.00594594,0.19863969,0.41168872,0.00000000,0.18961623,0.13861156
-5.87993997,0.92130180,0.73290360,0.19904286,0.00648793,0.19613684,0.43905411,0.00000000,0.20707957,0.14550190
-5.87393697,0.95793690,0.74138661,0.20400943,0.00711376,0.19399000,0.47059145,0.00000000,0.22667658,0.15386979
-5.86793397,1.00095298,0.75302738,0.21003433,0.00782313,0.19237785,0.50624944,0.00000000,0.24830935,0.16371643
-5.86193097,1.05045441,0.76810916,0.21717602,0.00861385,0.19146303,0.54587473,0.00000000,0.27182713,0.17500754
-5.85592796,1.10636482,0.78680213,0.22546082,0.00948174,0.19138607,0.58920501,0.00000000,0.29702504,0.18767091
-5.84992496,1.16841333,0.80915331,0.23487956,0.01042061,0.19226039,0.63586553,0.00000000,0.32364463,0.20159505
-5.84392196,1.23612802,0.83508125,0.24538558,0.01142221,0.19416831,0.68536961,0.00000000,0.35137634,0.21662903
-5.83791896,1.30883718,0.86437621,0.25689427,0.01247638,0.19715854,0.73712329,0.00000000,0.37986422,0.23258370
-5.83191596,1.38567882,0.89670549,0.26928429,0.01357121,0.20124500,0.79043447,0.00000000,0.40871256,0.24923429
-5.82591296,1.46561830,0.93162420,0.28240036,0.01469324,0.20640713,0.84452639,0.00000000,0.43749460,0.26632447
-5.81990995,1.54747389,0.96859069,0.29605758,0.01582784,0.21259156,0.89855514,0.00000000,0.46576296,0.28357175
-5.81390695,1.62994929,1.00698617,0.31004709,0.01695955,0.21971512,0.95163093,0.00000000,0.49306151,0.30067416
-5.80790395,1.71167208,1.04613755,0.32414288,0.01807253,0.22766903,1.00284227,0.00000000,0.51893824,0.31731803
-5.80190095,1.79123652,1.08534256,0.33810939,0.01915106,0.23632390,1.05128222,0.00000000,0.54295871,0.33318658
-5.79589795,1.86724901,1.12389582,0.35170954,0.02018003,0.24553546,1.09607585,0.00000000,0.56471946,0.34796906
-5.78989495,1.93837412,1.16111472,0.36471296,0.02114545,0.25515064,1.13640755,0.00000000,0.58386083,0.36137008
