energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,1.69898544,0.00757867,0.13718107,0.26942423,0.42527307,0.57256424,0.03113175,0.79414024
-5.99399700,1.74482199,0.00780850,0.14004952,0.27257716,0.43600665,0.58960387,0.03209811,0.81561906
-5.98799400,1.78408898,0.00801736,0.14224794,0.27418089,0.44518493,0.60446731,0.03292123,0.83421235
-5.98199100,1.81680154,0.00820655,0.14377539,0.27426577,0.45285645,0.61711164,0.03359269,0.84996727
-5.97598799,1.84311619,0.00837790,0.14464477,0.27289595,0.45910610,0.62753688,0.03410668,0.86299723
-5.96998499,1.86331487,0.00853372,0.14488173,0.27016644,0.46404984,0.63578207,0.03446004,0.87347300
-5.96398199,1.87778408,0.00867664,0.14452307,0.26619909,0.46782806,0.64191991,0.03465218,0.88161149
-5.95797899,1.88699041,0.00880942,0.14361483,0.26113755,0.47059814,0.64605036,0.03468491,0.88766280
-5.95197599,1.89145401,0.00893486,0.14221003,0.25514166,0.47252644,0.64829360,0.03456231,0.89189641
-5.94597299,1.89172133,0.00905556,0.14036637,0.24838132,0.47378041,0.64878278,0.03429046,0.89458718
-5.93996998,1.88833910,0.00917384,0.13814379,0.24103036,0.47452111,0.64765701,0.03387716,0.89600220
-5.93396698,1.88183076,0.00929158,0.13560227,0.23326064,0.47489673,0.64505504,0.03333171,0.89638903
-5.92796398,1.87267691,0.00941013,0.13279976,0.22523657,0.47503740,0.64110991,0.03266459,0.89596627
-5.92196098,1.86130071,0.00953026,0.12979045,0.21711043,0.47505176,0.63594498,0.03188720,0.89491681
-5.91595798,1.84805912,0.00965216,0.12662349,0.20901861,0.47502529,0.62967142,0.03101167,0.89338435
-5.90995498,1.83324023,0.00977541,0.12334207,0.20107892,0.47502062,0.62238731,0.03005057,0.89147310
-5.90395198,1.81706658,0.00989912,0.11998304,0.19338899,0.47507984,0.61417827,0.02901679,0.88925086
-5.89794897,1.79970424,0.01002198,0.11657697,0.18602583,0.47522847,0.60511955,0.02792335,0.88675501
-5.89194597,1.78127649,0.01014244,0.11314854,0.17904646,0.47548097,0.59527926,0.02678329,0.88400111
-5.88594297,1.76188129,0.01025881,0.10971746,0.17248941,0.47584739,0.58472251,0.02560954,0.88099331
-5.87993997,1.74161090,0.01036950,0.10629952,0.16637702,0.47634055,0.57351601,0.02441489,0.87773592
-5.87393697,1.72057234,0.01047315,0.10290795,0.16071829,0.47698359,0.56173287,0.02321185,0.87424528
-5.86793397,1.69890696,0.01056879,0.09955477,0.15551206,0.47781694,0.54945699,0.02201261,0.87056092
-5.86193097,1.67680773,0.01065601,0.09625225,0.15075029,0.47890465,0.53678686,0.02082897,0.86675533
-5.85592796,1.65453289,0.01073502,0.09301421,0.14642121,0.48033925,0.52383838,0.01967223,0.86294154
