energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Zr_p_up,Zr_d_up
-6.00000000,6.78438690,0.00639117,1.63171358,0.08245366,2.33750814,0.70535200,0.40748590,1.46897367,1.09193945
-5.99399700,6.71214071,0.00635553,1.61085037,0.08215095,2.31911742,0.70346151,0.40400633,1.45459123,1.08110846
-5.98799400,6.60995246,0.00630251,1.58296554,0.08142538,2.29052518,0.69892956,0.39865794,1.43400307,1.06608802
-5.98199100,6.48173207,0.00623547,1.54912717,0.08030629,2.25294530,0.69221379,0.39164165,1.40818588,1.04759072
-5.97598799,6.33193800,0.00615806,1.51053265,0.07883065,2.20778107,0.68384756,0.38319374,1.37825447,1.02641143
-5.96998499,6.16544194,0.00607406,1.46847393,0.07704174,2.15658129,0.67442879,0.37357860,1.34543400,1.00340438
-5.96398199,5.98738730,0.00598725,1.42430175,0.07498754,2.10099401,0.66460763,0.36308088,1.31103063,0.97945970
-5.95797899,5.80304820,0.00590132,1.37939049,0.07271920,2.04271985,0.65507353,0.35199749,1.27640207,0.95548068
-5.95197599,5.61769519,0.00581972,1.33510514,0.07028933,1.98346739,0.64654207,0.34062990,1.24292912,0.93236249
-5.94597299,5.43647286,0.00574564,1.29277151,0.06775057,1.92491208,0.63974195,0.32927689,1.21198905,0.91097330
-5.93996998,5.26429364,0.00568193,1.25365066,0.06515412,1.86866057,0.63540254,0.31822816,1.18493170,0.89213838
-5.93396698,5.10575046,0.00563111,1.21891803,0.06254858,1.81622120,0.63424187,0.30775897,1.16305846,0.87662726
-5.92796398,4.96504953,0.00559537,1.18964739,0.05997907,1.76898138,0.63695545,0.29812589,1.14760424,0.86514421
-5.92196098,4.84596307,0.00557660,1.16679944,0.05748647,1.72819182,0.64420562,0.28956373,1.13972219,0.85832164
-5.91595798,4.75180032,0.00557647,1.15121440,0.05510711,1.69495722,0.65661135,0.28228349,1.14047061,0.85671601
