energy_ev,total_up,Au_p_up,Au_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.56477991,0.04202660,0.46337737,0.06721129,0.02577036,0.00014261,0.01093589,0.00061593,0.07831348
-5.99399700,0.59000696,0.03816641,0.49240214,0.06376355,0.02628347,0.00015248,0.01013671,0.00062644,0.07581116
-5.98799400,0.61822923,0.03499188,0.52362366,0.06110919,0.02689037,0.00016504,0.00951272,0.00064727,0.07359984
-5.98199100,0.64889313,0.03243073,0.55661075,0.05915935,0.02756682,0.00018011,0.00904485,0.00067718,0.07160813
-5.97598799,0.68142270,0.03040998,0.59090476,0.05782463,0.02828971,0.00019746,0.00871352,0.00071492,0.06977319
-5.96998499,0.71522729,0.02885757,0.62602531,0.05701659,0.02903728,0.00021686,0.00849897,0.00075919,0.06804154
-5.96398199,0.74970987,0.02770365,0.66147727,0.05664895,0.02978930,0.00023802,0.00838170,0.00080869,0.06636945
-5.95797899,0.78427619,0.02688177,0.69675877,0.05663863,0.03052725,0.00026064,0.00834279,0.00086211,0.06472305
-5.95197599,0.81834479,0.02632982,0.73137039,0.05690654,0.03123455,0.00028441,0.00836420,0.00091811,0.06307817
-5.94597299,0.85135764,0.02599079,0.76482526,0.05737827,0.03189672,0.00030896,0.00842904,0.00097540,0.06141994
-5.93996998,0.88279145,0.02581344,0.79665994,0.05798465,0.03250163,0.00033392,0.00852178,0.00103265,0.05974221
-5.93396698,0.91216921,0.02575276,0.82644572,0.05866225,0.03303971,0.00035889,0.00862844,0.00108861,0.05804690
-5.92796398,0.93907172,0.02577034,0.85380003,0.05935377,0.03350421,0.00038347,0.00873678,0.00114205,0.05634328
-5.92196098,0.96314875,0.02583458,0.87839743,0.06000846,0.03389146,0.00040725,0.00883638,0.00119182,0.05464727
-5.91595798,0.98412916,0.02592090,0.89997980,0.06058248,0.03420110,0.00042983,0.00891877,0.00123685,0.05298074
-5.90995498,1.00182985,0.02601169,0.91836517,0.06103927,0.03443635,0.00045084,0.00897744,0.00127617,0.05137092
-5.90395198,1.01616259,0.02609630,0.93345473,0.06134979,0.03460422,0.00046992,0.00900789,0.00130894,0.04984986
-5.89794897,1.02713877,0.02617082,0.94523761,0.06149286,0.03471563,0.00048676,0.00900761,0.00133446,0.04845394
-5.89194597,1.03487114,0.02623785,0.95379302,0.06145524,0.03478555,0.00050111,0.00897597,0.00135221,0.04722346
-5.88594297,1.03957269,0.02630607,0.95928942,0.06123177,0.03483292,0.00051278,0.00891420,0.00136180,0.04620219
-5.87993997,1.04155209,0.02638977,0.96198070,0.06082523,0.03488059,0.00052163,0.00882521,0.00136307,0.04543698
-5.87393697,1.04120581,0.02650818,0.96219916,0.06024615,0.03495499,0.00052764,0.00871340,0.00135600,0.04497722
-5.86793397,1.03900687,0.02668478,0.96034548,0.05951236,0.03508576,0.00053083,0.00858452,0.00134079,0.04487419
-5.86193097,1.03549052,0.02694638,0.95687594,0.05864837,0.03530510,0.00053131,0.00844538,0.00131780,0.04518030
-5.85592796,1.03123699,0.02732219,0.95228715,0.05768457,0.03564711,0.00052929,0.00830360,0.00128756,0.04594809
-5.84992496,1.02685214,0.02784269,0.94709892,0.05665614,0.03614676,0.00052501,0.00816733,0.00125074,0.04722897
-5.84392196,1.02294620,0.02853848,0.94183575,0.05560188,0.03683888,0.00051883,0.00804498,0.00120815,0.04907175
-5.83791896,1.02011171,0.02943903,0.93700770,0.05456281,0.03775696,0.00051111,0.00794486,0.00116069,0.05152095
-5.83191596,1.01890110,0.03057138,0.93309126,0.05358068,0.03893179,0.00050229,0.00787491,0.00110934,0.05461490
-5.82591296,1.01980502,0.03195884,0.93051107,0.05269637,0.04039014,0.00049281,0.00784239,0.00105513,0.05838362
-5.81990995,1.02323201,0.03361969,0.92962314,0.05194832,0.04215332,0.00048313,0.00785357,0.00099910,0.06284669
-5.81390695,1.02949053,0.03556602,0.93070024,0.05137097,0.04423588,0.00047369,0.00791352,0.00094226,0.06801109
-5.80790395,1.03877397,0.03780264,0.93392015,0.05099326,0.04664436,0.00046491,0.00802582,0.00088561,0.07386914
-5.80190095,1.05114931,0.04032610,0.93935711,0.05083740,0.04937619,0.00045719,0.00819241,0.00083004,0.08039669
-5.79589795,1.06655003,0.04312408,0.94697705,0.05091776,0.05241884,0.00045083,0.00841343,0.00077639,0.08755167
-5.78989495,1.08477369,0.04617488,0.95663664,0.05124007,0.05574929,0.00044611,0.00868717,0.00072536,0.09527303
-5.78389195,1.10548419,0.04944729,0.96808642,0.05180096,0.05933375,0.00044319,0.00900998,0.00067756,0.10348039
-5.77788894,1.12821916,0.05290082,0.98097785,0.05258777,0.06312785,0.00044219,0.00937637,0.00063343,0.11207425
-5.77188594,1.15240190,0.05648619,0.99487403,0.05357882,0.06707718,0.00044311,0.00977910,0.00059332,0.12093705
-5.76588294,1.17735784,0.06014629,1.00926384,0.05474396,0.07111828,0.00044589,0.01020934,0.00055743,0.12993490
-5.75987994,1.20233497,0.06381738,1.02357891,0.05604549,0.07517998,0.00045037,0.01065690,0.00052583,0.13892017
-5.75387694,1.22652734,0.06743069,1.03721280,0.05743940,0.07918517,0.00045633,0.01111054,0.00049848,0.14773481
-5.74787394,1.24910113,0.07091426,1.04954173,0.05887686,0.08305293,0.00046348,0.01155829,0.00047524,0.15621428
-5.74187094,1.26922205,0.07419503,1.05994604,0.06030594,0.08670079,0.00047149,0.01198782,0.00045588,0.16419203
-5.73586793,1.28608323,0.07720101,1.06783160,0.06167343,0.09004729,0.00047999,0.01238685,0.00044010,0.17150436
-5.72986493,1.29893239,0.07986363,1.07265029,0.06292677,0.09301457,0.00048857,0.01274354,0.00042755,0.17799546
-5.72386193,1.30709739,0.08211991,1.07391882,0.06401591,0.09553094,0.00049684,0.01304691,0.00041784,0.18352238
-5.71785893,1.31000893,0.08391465,1.07123515,0.06489509,0.09753328,0.00050442,0.01328721,0.00041055,0.18795979
-5.71185593,1.30721983,0.08520230,1.06429193,0.06552447,0.09896922,0.00051092,0.01345623,0.00040528,0.19120431
-5.70585293,1.29841974,0.08594861,1.05288631,0.06587152,0.09979904,0.00051602,0.01354765,0.00040162,0.19317809
-5.69984992,1.28344515,0.08613188,1.03692609,0.06591206,0.09999704,0.00051944,0.01355725,0.00039920,0.19383170
-5.69384692,1.26228398,0.08574378,1.01643163,0.06563109,0.09955254,0.00052095,0.01348305,0.00039767,0.19314601
-5.68784392,1.23507495,0.08478979,0.99153391,0.06502318,0.09847031,0.00052038,0.01332546,0.00039672,0.19113300
-5.68184092,1.20210174,0.08328908,0.96246869,0.06409256,0.09677049,0.00051764,0.01308725,0.00039609,0.18783565
-5.67583792,1.16378235,0.08127406,0.92956720,0.06285288,0.09448802,0.00051266,0.01277355,0.00039558,0.18332667
-5.66983492,1.12065428,0.07878942,0.89324389,0.06132671,0.09167157,0.00050549,0.01239168,0.00039502,0.17770636
-5.66383192,1.07335625,0.07589091,0.85398177,0.05954473,0.08838215,0.00049619,0.01195106,0.00039431,0.17109958
-5.65782891,1.02260757,0.07264375,0.81231620,0.05754477,0.08469124,0.00048489,0.01146295,0.00039341,0.16365213
-5.65182591,0.96918582,0.06912090,0.76881775,0.05537077,0.08067889,0.00047175,0.01094023,0.00039232,0.15552651
-5.64582291,0.91390428,0.06540114,0.72407497,0.05307160,0.07643152,0.00045698,0.01039712,0.00039113,0.14689757
-5.63981991,0.85758965,0.06156720,0.67867777,0.05069995,0.07203978,0.00044078,0.00984897,0.00038995,0.13794787
-5.63381691,0.80106138,0.05770386,0.63320210,0.04831127,0.06759646,0.00042341,0.00931196,0.00038899,0.12886330
-5.62781391,0.74511303,0.05389620,0.58819640,0.04596281,0.06319449,0.00040508,0.00880289,0.00038853,0.11982888
-5.62181091,0.69049638,0.05022798,0.54417038,0.04371277,0.05892519,0.00038605,0.00833894,0.00038892,0.11102503
-5.61580790,0.63790877,0.04678023,0.50158620,0.04161968,0.05487674,0.00036652,0.00793749,0.00039059,0.10262421
-5.60980490,0.58798359,0.04363009,0.46085237,0.03974188,0.05113292,0.00034672,0.00761597,0.00039410,0.09478831
-5.60380190,0.54128414,0.04084981,0.42232019,0.03813715,0.04777214,0.00032684,0.00739167,0.00040010,0.08766641
-5.59779890,0.49830048,0.03850597,0.38628262,0.03686245,0.04486663,0.00030704,0.00728164,0.00040934,0.08139323
-5.59179590,0.45944893,0.03665883,0.35297530,0.03597378,0.04248195,0.00028748,0.00730252,0.00042275,0.07608796
-5.58579290,0.42507371,0.03536191,0.32257932,0.03552591,0.04067655,0.00026828,0.00747042,0.00044134,0.07185358
-5.57978989,0.39545017,0.03466146,0.29522529,0.03557229,0.03950152,0.00024955,0.00780073,0.00046630,0.06877638
-5.57378689,0.37078893,0.03459616,0.27099834,0.03616464,0.03900031,0.00023138,0.00830795,0.00049893,0.06692571
-5.56778389,0.35124038,0.03519666,0.24994346,0.03735257,0.03920847,0.00021385,0.00900539,0.00054068,0.06635386
-5.56178089,0.33689897,0.03648511,0.23207088,0.03918290,0.04015335,0.00019702,0.00990496,0.00059310,0.06709585
-5.55577789,0.32780688,0.03847469,0.21736107,0.04169884,0.04185368,0.00018093,0.01101676,0.00065787,0.06916924
-5.54977489,0.32395673,0.04116899,0.20576909,0.04493884,0.04431907,0.00016563,0.01234872,0.00073668,0.07257375
-5.54377189,0.32529306,0.04456140,0.19722812,0.04893533,0.04754939,0.00015116,0.01390618,0.00083129,0.07729082
-5.53776888,0.33171282,0.04863445,0.19165201,0.05371317,0.05153411,0.00013755,0.01569142,0.00094341,0.08328316
-5.53176588,0.34306462,0.05335923,0.18893695,0.05928799,0.05625160,0.00012486,0.01770320,0.00107467,0.09049415
-5.52576288,0.35914734,0.05869486,0.18896225,0.06566444,0.06166851,0.00011311,0.01993636,0.00122655,0.09884747
-5.51975988,0.37970825,0.06458819,0.19159046,0.07283442,0.06773916,0.00010237,0.02238132,0.00140029,0.10824684
-5.51375688,0.40444121,0.07097369,0.19666702,0.08077539,0.07440527,0.00009268,0.02502386,0.00159683,0.11857614
-5.50775388,0.43298540,0.07777376,0.20401971,0.08944898,0.08159586,0.00008413,0.02784482,0.00181672,0.12969994
-5.50175088,0.46492516,0.08489934,0.21345821,0.09879976,0.08922754,0.00007680,0.03082005,0.00206005,0.14146466
-5.49574787,0.49979135,0.09225101,0.22477406,0.10875460,0.09720533,0.00007080,0.03392044,0.00232637,0.15370034
-5.48974487,0.53706479,0.09972059,0.23774120,0.11922242,0.10542378,0.00006626,0.03711217,0.00261461,0.16622322
-5.48374187,0.57618192,0.10719318,0.25211744,0.13009468,0.11376877,0.00006334,0.04035719,0.00292305,0.17883900
-5.47773887,0.61654313,0.11454969,0.26764698,0.14124648,0.12211976,0.00006223,0.04361379,0.00324930,0.19134693
-5.47173587,0.65752354,0.12166977,0.28406399,0.15253836,0.13035252,0.00006316,0.04683747,0.00359027,0.20354452
-5.46573287,0.69848634,0.12843505,0.30109746,0.16381889,0.13834233,0.00006641,0.04998194,0.00394219,0.21523284
