energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.23222162,0.00441652,0.11329490,0.84158529,1.07115621,0.94539034,0.00000000,0.88859406,0.27510693
-5.99399700,2.17771343,0.00405379,0.10676543,0.79988416,1.06187541,0.91613489,0.00000000,0.85122343,0.26421200
-5.98799400,2.12051709,0.00372821,0.10014289,0.75784702,1.05150168,0.88578334,0.00000000,0.81188157,0.25323934
-5.98199100,2.06148760,0.00344006,0.09350895,0.71598333,1.04034750,0.85473007,0.00000000,0.77107218,0.24227850
-5.97598799,2.00150283,0.00319002,0.08694213,0.67479321,1.02872503,0.82338075,0.00000000,0.72932397,0.23142159
-5.96998499,1.94144673,0.00297922,0.08051678,0.63476139,1.01693816,0.79214576,0.00000000,0.68718168,0.22076255
-5.96398199,1.88219343,0.00280920,0.07430233,0.59635217,1.00527547,0.76143384,0.00000000,0.64519712,0.21039638
-5.95797899,1.82459285,0.00268199,0.06836268,0.56000544,0.99400420,0.73164621,0.00000000,0.60392025,0.20041837
-5.95197599,1.76945785,0.00259998,0.06275582,0.52613365,0.98336562,0.70317124,0.00000000,0.56389074,0.19092337
-5.94597299,1.71755351,0.00256597,0.05753361,0.49511962,0.97357164,0.67637959,0.00000000,0.52563000,0.18200508
-5.93996998,1.66958823,0.00258303,0.05274172,0.46731496,0.96480285,0.65162006,0.00000000,0.48963379,0.17375528
-5.93396698,1.62620679,0.00265448,0.04841963,0.44303892,0.95720787,0.62921583,0.00000000,0.45636558,0.16626308
-5.92796398,1.58798513,0.00278377,0.04460078,0.42257739,0.95090380,0.60946126,0.00000000,0.42625066,0.15961409
-5.92196098,1.55542646,0.00297432,0.04131266,0.40618190,0.94597763,0.59261902,0.00000000,0.39967081,0.15388957
-5.91595798,1.52895842,0.00322946,0.03857697,0.39406822,0.94248836,0.57891732,0.00000000,0.37695975,0.14916544
-5.90995498,1.50893085,0.00355221,0.03640972,0.38641455,0.94046944,0.56854739,0.00000000,0.35839904,0.14551112
-5.90395198,1.49561372,0.00394515,0.03482130,0.38335901,0.93993143,0.56166079,0.00000000,0.34421455,0.14298830
-5.89794897,1.48919495,0.00441021,0.03381646,0.38499643,0.94086449,0.55836664,0.00000000,0.33457319,0.14164945
-5.89194597,1.48977780,0.00494857,0.03339421,0.39137446,0.94324053,0.55872866,0.00000000,0.32958009,0.14153625
-5.88594297,1.49737779,0.00556040,0.03354776,0.40248903,0.94701493,0.56276209,0.00000000,0.32927609,0.14267776
-5.87993997,1.51191907,0.00624475,0.03426422,0.41827939,0.95212771,0.57043049,0.00000000,0.33363544,0.14508855
-5.87393697,1.53323061,0.00699941,0.03552445,0.43862305,0.95850413,0.58164267,0.00000000,0.34256406,0.14876677
-5.86793397,1.56104223,0.00782076,0.03730280,0.46333092,0.96605486,0.59624985,0.00000000,0.35589822,0.15369223
-5.86193097,1.59498135,0.00870371,0.03956694,0.49214303,0.97467588,0.61404349,0.00000000,0.37340401,0.15982460
-5.85592796,1.63457062,0.00964167,0.04227768,0.52472544,0.98424808,0.63475384,0.00000000,0.39477760,0.16710193
-5.84992496,1.67922736,0.01062654,0.04538906,0.56066864,0.99463709,0.65804986,0.00000000,0.41964672,0.17543949
-5.84392196,1.72826513,0.01164874,0.04884841,0.59948796,1.00569325,0.68354048,0.00000000,0.44757351,0.18472911
-5.83791896,1.78089822,0.01269739,0.05259675,0.64062633,1.01725205,0.71077773,0.00000000,0.47805886,0.19483922
-5.83191596,1.83624932,0.01376041,0.05656932,0.68345974,1.02913514,0.73926176,0.00000000,0.51054856,0.20561559
-5.82591296,1.89336064,0.01482476,0.06069640,0.72730546,1.04115207,0.76844803,0.00000000,0.54444122,0.21688282
-5.81990995,1.95120864,0.01587669,0.06490431,0.77143314,1.05310254,0.79775651,0.00000000,0.57909808,0.22844677
-5.81390695,2.00872202,0.01690206,0.06911667,0.81507857,1.06477949,0.82658285,0.00000000,0.61385451,0.24009780
-5.80790395,2.06480278,0.01788663,0.07325589,0.85745980,1.07597256,0.85431124,0.00000000,0.64803310,0.25161478
-5.80190095,2.11834956,0.01881641,0.07724480,0.89779524,1.08647194,0.88032873,0.00000000,0.68095799,0.26276986
-5.79589795,2.16828252,0.01967802,0.08100833,0.93532290,1.09607242,0.90404021,0.00000000,0.71196998,0.27333377
-5.78989495,2.21356883,0.02045900,0.08447537,0.96932031,1.10457727,0.92488388,0.00000000,0.74044202,0.28308156
-5.78389195,2.25324769,0.02114811,0.08758047,0.99912411,1.11180193,0.94234627,0.00000000,0.76579440,0.29179843
-5.77788894,2.28645385,0.02173563,0.09026555,1.02414845,1.11757709,0.95597642,0.00000000,0.78750925,0.29928564
-5.77188594,2.31243853,0.02221354,0.09248133,1.04390158,1.12175121,0.96539833,0.00000000,0.80514342,0.30536605
-5.76588294,2.33058694,0.02257575,0.09418862,1.05799955,1.12419218,0.97032144,0.00000000,0.81833961,0.30988914
-5.75987994,2.34043151,0.02281817,0.09535921,1.06617664,1.12478821,0.97054831,0.00000000,0.82683482,0.31273532
-5.75387694,2.34166044,0.02293876,0.09597649,1.06829178,1.12344787,0.96597945,0.00000000,0.83046613,0.31381931
-5.74787394,2.33412105,0.02293754,0.09603565,1.06433091,1.12009944,0.95661486,0.00000000,0.82917325,0.31309243
-5.74187094,2.31781818,0.02281652,0.09554346,1.05440482,1.11468962,0.94255232,0.00000000,0.82299789,0.31054370
-5.73586793,2.29290749,0.02257955,0.09451772,1.03874296,1.10718183,0.92398252,0.00000000,0.81207988,0.30619977
-5.72986493,2.25968453,0.02223220,0.09298636,1.01768324,1.09755426,0.90118123,0.00000000,0.79665037,0.30012361
-5.72386193,2.21856985,0.02178151,0.09098615,0.99165846,1.08579797,0.87449894,0.00000000,0.77702223,0.29241204
-5.71785893,2.17009124,0.02123578,0.08856128,0.96118006,1.07191509,0.84434846,0.00000000,0.75357829,0.28319227
-5.71185593,2.11486389,0.02060432,0.08576165,0.92681991,1.05591743,0.81119101,0.00000000,0.72675779,0.27261761
-5.70585293,2.05356952,0.01989721,0.08264114,0.88919095,1.03782556,0.77552150,0.00000000,0.69704180,0.26086239
-5.69984992,1.98693539,0.01912501,0.07925585,0.84892778,1.01766855,0.73785358,0.00000000,0.66493811,0.24811663
-5.69384692,1.91571410,0.01829855,0.07566236,0.80666772,0.99548422,0.69870510,0.00000000,0.63096629,0.23458028
-5.68784392,1.84066493,0.01742869,0.07191616,0.76303335,0.97132005,0.65858450,0.00000000,0.59564344,0.22045761
-5.68184092,1.76253741,0.01652613,0.06807024,0.71861709,0.94523458,0.61797871,0.00000000,0.55947118,0.20595178
-5.67583792,1.68205746,0.01560120,0.06417393,0.67396824,0.91729918,0.57734272,0.00000000,0.52292428,0.19125979
-5.66983492,1.59991640,0.01466374,0.06027201,0.62958299,0.88760002,0.53709135,0.00000000,0.48644124,0.17656800
-5.66383192,1.51676292,0.01372294,0.05640404,0.58589731,0.85624000,0.49759308,0.00000000,0.45041698,0.16204840
-5.65782891,1.43319783,0.01278729,0.05260406,0.54328294,0.82334054,0.45916618,0.00000000,0.41519775,0.14785556
-5.65182591,1.34977134,0.01186448,0.04890043,0.50204615,0.78904292,0.42207687,0.00000000,0.38107822,0.13412444
-5.64582291,1.26698258,0.01096135,0.04531597,0.46242907,0.75350901,0.38653946,0.00000000,0.34830052,0.12096901
-5.63981991,1.18528079,0.01008388,0.04186831,0.42461312,0.71692130,0.35271813,0.00000000,0.31705516,0.10848166
-5.63381691,1.10506778,0.00923721,0.03857029,0.38872413,0.67948209,0.32073014,0.00000000,0.28748347,0.09673326
-5.62781391,1.02670118,0.00842558,0.03543057,0.35483870,0.64141175,0.29065000,0.00000000,0.25968122,0.08577398
-5.62181091,0.95049805,0.00765245,0.03245421,0.32299120,0.60294619,0.26251440,0.00000000,0.23370316,0.07563451
-5.61580790,0.87673839,0.00692046,0.02964333,0.29318109,0.56433346,0.23632753,0.00000000,0.20956811,0.06632780
-5.60980490,0.80566841,0.00623154,0.02699771,0.26538008,0.52582972,0.21206653,0.00000000,0.18726438,0.05785105
-5.60380190,0.73750332,0.00558691,0.02451534,0.23953884,0.48769472,0.18968674,0.00000000,0.16675509,0.05018792
-5.59779890,0.67242948,0.00498719,0.02219294,0.21559302,0.45018699,0.16912670,0.00000000,0.14798340,0.04331082
-5.59179590,0.61060604,0.00443242,0.02002635,0.19346845,0.41355892,0.15031264,0.00000000,0.13087728,0.03718322
-5.58579290,0.55216606,0.00392215,0.01801087,0.17308536,0.37805211,0.13316242,0.00000000,0.11535383,0.03176182
-5.57978989,0.49721727,0.00345553,0.01614150,0.15436172,0.34389304,0.11758892,0.00000000,0.10132300,0.02699869
-5.57378689,0.44584272,0.00303131,0.01441308,0.13721568,0.31128945,0.10350279,0.00000000,0.08869078,0.02284309
-5.56778389,0.39810135,0.00264798,0.01282045,0.12156733,0.28042743,0.09081465,0.00000000,0.07736171,0.01924317
-5.56178089,0.35402886,0.00230378,0.01135842,0.10733966,0.25146944,0.07943687,0.00000000,0.06724099,0.01614740
-5.55577789,0.31363887,0.00199679,0.01002184,0.09445917,0.22455340,0.06928480,0.00000000,0.05823593,0.01350571
-5.54977489,0.27692455,0.00172499,0.00880557,0.08285608,0.19979267,0.06027775,0.00000000,0.05025716,0.01127049
-5.54377189,0.24386083,0.00148630,0.00770443,0.07246426,0.17727711,0.05233964,0.00000000,0.04321936,0.00939726
-5.53776888,0.21440702,0.00127862,0.00671321,0.06322116,0.15707491,0.04539948,0.00000000,0.03704181,0.00784521
-5.53176588,0.18851002,0.00109990,0.00582663,0.05506759,0.13923528,0.03939167,0.00000000,0.03164864,0.00657752
-5.52576288,0.16610779,0.00094817,0.00503934,0.04794764,0.12379156,0.03425618,0.00000000,0.02696903,0.00556152
-5.51975988,0.14713306,0.00082158,0.00434593,0.04180859,0.11076477,0.02993870,0.00000000,0.02293722,0.00476869
-5.51375688,0.13151695,0.00071840,0.00374096,0.03660097,0.10016724,0.02639063,0.00000000,0.01949251,0.00417462
-5.50775388,0.11919251,0.00063705,0.00321898,0.03227857,0.09200606,0.02356908,0.00000000,0.01657912,0.00375877
-5.50175088,0.11009767,0.00057613,0.00277458,0.02879860,0.08628629,0.02143674,0.00000000,0.01414614,0.00350423
-5.49574787,0.10417769,0.00053441,0.00240247,0.02612178,0.08301346,0.01996173,0.00000000,0.01214731,0.00339738
-5.48974487,0.10138662,0.00051083,0.00209748,0.02421238,0.08219549,0.01911721,0.00000000,0.01054091,0.00342752
-5.48374187,0.10168794,0.00050448,0.00185464,0.02303819,0.08384357,0.01888103,0.00000000,0.00928952,0.00358646
-5.47773887,0.10505396,0.00051461,0.00166920,0.02257037,0.08797211,0.01923513,0.00000000,0.00835976,0.00386804
-5.47173587,0.11146421,0.00054056,0.00153669,0.02278316,0.09459773,0.02016482,0.00000000,0.00772204,0.00426773
-5.46573287,0.12090260,0.00058180,0.00145289,0.02365337,0.10373709,0.02165798,0.00000000,0.00735027,0.00478214
-5.45972986,0.13335363,0.00063784,0.00141387,0.02515975,0.11540386,0.02370407,0.00000000,0.00722144,0.00540854
