energy_ev,total_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.17390924,2.21796462,1.68816030,0.00360174,0.11097973,0.44065170,0.00072671
-5.99399700,2.12243520,2.12947989,1.65090710,0.00369238,0.10751106,0.43455125,0.00073145
-5.98799400,2.07668337,2.03906293,1.61927311,0.00380514,0.10380759,0.42929661,0.00074022
-5.98199100,2.03720358,1.94772324,1.59366731,0.00394071,0.09990823,0.42493628,0.00075292
-5.97598799,2.00444081,1.85644440,1.57439740,0.00409908,0.09585487,0.42150877,0.00076945
-5.96998499,1.97871641,1.76616547,1.56165393,0.00427952,0.09169174,0.41904188,0.00078967
-5.96398199,1.96021568,1.67776661,1.55550012,0.00448048,0.08746499,0.41755281,0.00081347
-5.95797899,1.94898236,1.59205904,1.55586777,0.00469960,0.08322220,0.41704904,0.00084066
-5.95197599,1.94492055,1.50977931,1.56255976,0.00493373,0.07901194,0.41753004,0.00087109
-5.94597299,1.94780379,1.43158763,1.57525897,0.00517899,0.07488344,0.41898955,0.00090454
-5.93996998,1.95729086,1.35806960,1.59354320,0.00543082,0.07088620,0.42141842,0.00094082
-5.93396698,1.97294738,1.28974081,1.61690538,0.00568415,0.06706966,0.42480782,0.00097970
-5.92796398,1.99427211,1.22705362,1.64477800,0.00593353,0.06348289,0.42915255,0.00102096
-5.92196098,2.02072645,1.17040507,1.67656055,0.00617328,0.06017423,0.43445432,0.00106439
-5.91595798,2.05176541,1.12014551,1.71164836,0.00639774,0.05719097,0.44072466,0.00110979
-5.90995498,2.08686851,1.07658681,1.74946154,0.00660143,0.05457895,0.44798742,0.00115696
-5.90395198,2.12556878,1.04000985,1.78947224,0.00677927,0.05238224,0.45628041,0.00120577
-5.89794897,2.16747809,1.01067041,1.83122888,0.00692679,0.05064267,0.46565628,0.00125610
-5.89194597,2.21230764,0.98880324,1.87437599,0.00704035,0.04939941,0.47618226,0.00130785
-5.88594297,2.25988216,0.97462398,1.91866858,0.00711726,0.04868851,0.48793891,0.00136099
-5.87993997,2.31014702,0.96832871,1.96398020,0.00715594,0.04854240,0.50101763,0.00141552
-5.87393697,2.36316791,0.97009124,2.01030431,0.00715606,0.04898936,0.51551715,0.00147145
-5.86793397,2.41912288,0.98005819,2.05774884,0.00711857,0.05005298,0.53153900,0.00152883
-5.86193097,2.47828720,0.99834223,2.10652425,0.00704575,0.05175163,0.54918221,0.00158772
