energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,9.57115658,1.24431200,1.51345253,0.03249787,0.69273956,4.65006744,3.63568393,0.06939476,3.03854153
-5.99399700,9.54682269,1.23320496,1.49586056,0.03212637,0.69714657,4.63867149,3.65338603,0.06933524,3.01959103
-5.98799400,9.50994636,1.21992561,1.47600237,0.03167014,0.70105577,4.62295699,3.66687230,0.06914150,2.99634121
-5.98199100,9.46094712,1.20495062,1.45421412,0.03113976,0.70430277,4.60350549,3.67566218,0.06882508,2.96920595
-5.97598799,9.40050888,1.18877240,1.43090181,0.03054735,0.70674599,4.58097179,3.67937393,0.06839748,2.93865642
-5.96998499,9.32958148,1.17188447,1.40653724,0.02990643,0.70827227,4.55608084,3.67774071,0.06786981,2.90521136
-5.96398199,9.24938374,1.15476875,1.38165291,0.02923174,0.70880243,4.52962791,3.67062680,0.06725253,2.86942942
-5.95797899,9.16140660,1.13788508,1.35683566,0.02853903,0.70829636,4.50248118,3.65804294,0.06655528,2.83190315
-5.95197599,9.06741397,1.12166315,1.33271874,0.02784485,0.70675741,4.47558563,3.64015955,0.06578682,2.79325446
-5.94597299,8.96943883,1.10649689,1.30997217,0.02716623,0.70423562,4.44996657,3.61731650,0.06495507,2.75413083
-5.93996998,8.86977175,1.09274110,1.28929108,0.02652036,0.70082961,4.42673128,3.59002807,0.06406718,2.71520167
-5.93396698,8.77093931,1.08070991,1.27138202,0.02592427,0.69668672,4.40706692,3.55898192,0.06312972,2.67715389
-5.92796398,8.67567016,1.07067679,1.25694723,0.02539440,0.69200125,4.39223332,3.52503103,0.06214882,2.64068606
-5.92196098,8.58684734,1.06287534,1.24666700,0.02494622,0.68701064,4.38354922,3.48917805,0.06113035,2.60650043
-5.91595798,8.50744609,1.05750055,1.24118046,0.02459376,0.68198951,4.38237107,3.45255182,0.06008007,2.57529235
-5.90995498,8.44045762,1.05470992,1.24106534,0.02434920,0.67724177,4.39006410,3.41637619,0.05900374,2.54773689
-5.90395198,8.38880053,1.05462394,1.24681726,0.02422242,0.67309079,4.40796561,3.38193210,0.05790717,2.52447260
-5.89794897,8.35522227,1.05732572,1.25882951,0.02422063,0.66986824,4.43734138,3.35051393,0.05679623,2.50608289
-5.89194597,8.34219477,1.06285955,1.27737413,0.02434797,0.66790170,4.47933647,3.32338207,0.05567678,2.49307554
-5.88594297,8.35180841,1.07122829,1.30258529,0.02460525,0.66750181,4.53492232,3.30171341,0.05455457,2.48586127
-5.87993997,8.38567001,1.08238993,1.33444610,0.02498973,0.66894942,4.60484257,3.28655246,0.05343507,2.48473245
-5.87393697,8.44481022,1.09625335,1.37277968,0.02549501,0.67248338,4.68956032,3.27876527,0.05232328,2.48984334
-5.86793397,8.52960615,1.11267406,1.41724535,0.02611099,0.67828959,4.78920988,3.27899876,0.05122356,2.50119292
