energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.34949666,0.00599171,0.13271816,0.39927699,1.39428806,0.01178100,0.44899270,0.34512848,0.13757314
-5.99399700,2.31672214,0.00581987,0.13258269,0.39391300,1.38982883,0.01081906,0.44091623,0.33115648,0.13149605
-5.98799400,2.28942793,0.00567658,0.13262518,0.38975492,1.38714984,0.00996708,0.43420141,0.31934012,0.12605386
-5.98199100,2.26759253,0.00556378,0.13291207,0.38687776,1.38600546,0.00923111,0.42892504,0.30986373,0.12126136
-5.97598799,2.25118935,0.00548294,0.13351393,0.38535534,1.38617155,0.00861578,0.42515573,0.30289746,0.11712598
-5.96998499,2.24020106,0.00543517,0.13450306,0.38525904,1.38745607,0.00812438,0.42295671,0.29859738,0.11364918
-5.96398199,2.23463009,0.00542127,0.13595070,0.38665619,1.38970678,0.00775904,0.42238803,0.29710529,0.11082784
-5.95797899,2.23450468,0.00544184,0.13792408,0.38960799,1.39281582,0.00752080,0.42350810,0.29854812,0.10865535
-5.95197599,2.23988031,0.00549732,0.14048336,0.39416718,1.39672123,0.00740980,0.42637437,0.30303681,0.10712259
-5.94597299,2.25083639,0.00558810,0.14367864,0.40037544,1.40140533,0.00742533,0.43104307,0.31066469,0.10621861
-5.93996998,2.26746880,0.00571456,0.14754709,0.40826072,1.40689057,0.00756591,0.43756799,0.32150520,0.10593094
-5.93396698,2.28987864,0.00587708,0.15211045,0.41783448,1.41323294,0.00782936,0.44599835,0.33560917,0.10624569
-5.92796398,2.31815813,0.00607613,0.15737289,0.42908920,1.42051378,0.00821276,0.45637594,0.35300162,0.10714740
-5.92196098,2.35237475,0.00631219,0.16331948,0.44199609,1.42883038,0.00871246,0.46873159,0.37367824,0.10861857
-5.91595798,2.39255444,0.00658576,0.16991525,0.45650329,1.43828607,0.00932400,0.48308134,0.39760172,0.11063916
-5.90995498,2.43866526,0.00689733,0.17710502,0.47253456,1.44898045,0.01004203,0.49942247,0.42469819,0.11318586
-5.90395198,2.49060236,0.00724726,0.18481392,0.48998861,1.46100027,0.01086024,0.51772965,0.45485385,0.11623146
-5.89794897,2.54817542,0.00763576,0.19294866,0.50873912,1.47441149,0.01177121,0.53795156,0.48791220,0.11974417
-5.89194597,2.61109927,0.00806275,0.20139959,0.52863555,1.48925293,0.01276637,0.56000813,0.52367205,0.12368712
-5.88594297,2.67898854,0.00852779,0.21004332,0.54950464,1.50553185,0.01383584,0.58378870,0.56188652,0.12801802
-5.87993997,2.75135655,0.00902997,0.21874600,0.57115271,1.52322153,0.01496844,0.60915120,0.60226340,0.13268901
-5.87393697,2.82761909,0.00956781,0.22736691,0.59336867,1.54226103,0.01615163,0.63592262,0.64446690,0.13764684
-5.86793397,2.90710270,0.01013920,0.23576248,0.61592772,1.56255708,0.01737155,0.66390069,0.68812115,0.14283325
-5.86193097,2.98905766,0.01074131,0.24379036,0.63859565,1.58398781,0.01861306,0.69285691,0.73281538,0.14818566
-5.85592796,3.07267501,0.01137062,0.25131349,0.66113373,1.60640827,0.01985992,0.72254085,0.77811091,0.15363818
-5.84992496,3.15710731,0.01202288,0.25820402,0.68330392,1.62965733,0.02109495,0.75268562,0.82354993,0.15912279
-5.84392196,3.24149209,0.01269314,0.26434689,0.70487462,1.65356552,0.02230030,0.78301434,0.86866580,0.16457077
-5.83791896,3.32497740,0.01337590,0.26964292,0.72562640,1.67796348,0.02345774,0.81324749,0.91299475,0.16991429
-5.83191596,3.40674823,0.01406517,0.27401139,0.74535798,1.70269056,0.02454907,0.84311071,0.95608856,0.17508806
