energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.11634436,0.13004014,0.15828383,0.06303402,0.65035414,0.14975362,0.33448895,0.28784590,0.54359132
-5.99399700,2.16242543,0.13583215,0.16205089,0.06293886,0.65189402,0.15135571,0.33273520,0.30105980,0.56480359
-5.98799400,2.20652363,0.14136228,0.16570908,0.06276975,0.65319122,0.15292321,0.33055337,0.31406303,0.58530707
-5.98199100,2.24782409,0.14652665,0.16915648,0.06253802,0.65432302,0.15442531,0.32804769,0.32667062,0.60456754
-5.97598799,2.28552860,0.15122387,0.17229275,0.06225554,0.65535525,0.15583271,0.32531416,0.33869190,0.62207704
-5.96998499,2.31886956,0.15535756,0.17502141,0.06193438,0.65633712,0.15711694,0.32243656,0.34993414,0.63736630
-5.96398199,2.34712591,0.15883889,0.17725218,0.06158660,0.65729788,0.15824997,0.31948348,0.36020679,0.65001640
-5.95797899,2.36964076,0.16158902,0.17890315,0.06122415,0.65824531,0.15920421,0.31650637,0.36932605,0.65966943
-5.95197599,2.38583986,0.16354133,0.17990291,0.06085885,0.65916610,0.15995274,0.31353891,0.37711965,0.66603763
-5.94597299,2.39524987,0.16464335,0.18019228,0.06050248,0.66002805,0.16046997,0.31059740,0.38343166,0.66891054
-5.93996998,2.39751555,0.16485838,0.17972591,0.06016687,0.66078379,0.16073243,0.30768231,0.38812711,0.66815995
-5.93396698,2.39241466,0.16416658,0.17847341,0.05986413,0.66137571,0.16071975,0.30478059,0.39109621,0.66374241
-5.92796398,2.37986950,0.16256557,0.17642007,0.05960668,0.66174161,0.16041564,0.30186881,0.39225800,0.65569902
-5.92196098,2.35995426,0.16007053,0.17356724,0.05940742,0.66182074,0.15980897,0.29891664,0.39156318,0.64415264
-5.91595798,2.33289736,0.15671369,0.16993208,0.05927970,0.66155949,0.15889454,0.29589054,0.38899604,0.62930251
-5.90995498,2.29907826,0.15254338,0.16554703,0.05923717,0.66091656,0.15767384,0.29275736,0.38457541,0.61141653
-5.90395198,2.25901861,0.14762247,0.16045873,0.05929364,0.65986697,0.15615534,0.28948759,0.37835441,0.59082152
-5.89794897,2.21336775,0.14202650,0.15472656,0.05946261,0.65840461,0.15435461,0.28605811,0.37041922,0.56789179
-5.89194597,2.16288308,0.13584141,0.14842091,0.05975686,0.65654333,0.15229401,0.28245420,0.36088671,0.54303660
-5.88594297,2.10840600,0.12916104,0.14162111,0.06018780,0.65431611,0.15000201,0.27867076,0.34990112,0.51668696
-5.87993997,2.05083425,0.12208446,0.13441319,0.06076476,0.65177269,0.14751229,0.27471275,0.33762995,0.48928232
-5.87393697,1.99109220,0.11471330,0.12688761,0.06149433,0.64897567,0.14486238,0.27059465,0.32425912,0.46125764
-5.86793397,1.93010001,0.10714911,0.11913685,0.06237954,0.64599531,0.14209228,0.26633942,0.30998775,0.43303133
-5.86193097,1.86874344,0.09949090,0.11125319,0.06341921,0.64290356,0.13924277,0.26197663,0.29502263,0.40499455
-5.85592796,1.80784543,0.09183291,0.10332654,0.06460733,0.63976765,0.13635384,0.25754029,0.27957271,0.37750206
-5.84992496,1.74814096,0.08426267,0.09544255,0.06593268,0.63664375,0.13346304,0.25306643,0.26384376,0.35086501
-5.84392196,1.69025620,0.07685943,0.08768095,0.06737847,0.63357125,0.13060408,0.24859064,0.24803343,0.32534573
-5.83791896,1.63469302,0.06969299,0.08011418,0.06892243,0.63056803,0.12780564,0.24414580,0.23232691,0.30115468
-5.83191596,1.58181931,0.06282285,0.07280637,0.07053693,0.62762712,0.12509050,0.23976021,0.21689326,0.27844932
-5.82591296,1.53186578,0.05629781,0.06581265,0.07218954,0.62471512,0.12247507,0.23545621,0.20188258,0.25733504
-5.81990995,1.48492887,0.05015592,0.05917877,0.07384375,0.62177254,0.11996928,0.23124953,0.18742403,0.23786772
-5.81390695,1.44097995,0.04442472,0.05294107,0.07545994,0.61871608,0.11757697,0.22714924,0.17362477,0.22005778
-5.80790395,1.39987985,0.03912182,0.04712672,0.07699660,0.61544286,0.11529659,0.22315858,0.16056980,0.20387544
-5.80190095,1.36139819,0.03425562,0.04175419,0.07841167,0.61183637,0.11312245,0.21927639,0.14832258,0.18925677
-5.79589795,1.32523631,0.02982630,0.03683396,0.07966404,0.60777388,0.11104605,0.21549917,0.13692640,0.17611037
-5.78989495,1.29105274,0.02582688,0.03236937,0.08071503,0.60313490,0.10905790,0.21182369,0.12640639,0.16432422
-5.78389195,1.25848985,0.02224432,0.02835763,0.08152994,0.59781029,0.10714935,0.20824986,0.11677201,0.15377243
-5.77788894,1.22720052,0.01906073,0.02479082,0.08207944,0.59171140,0.10531453,0.20478383,0.10801986,0.14432181
-5.77188594,1.19687357,0.01625444,0.02165700,0.08234082,0.58477889,0.10355226,0.20144095,0.10013675,0.13583779
-5.76588294,1.16725670,0.01380111,0.01894125,0.08229912,0.57699068,0.10186784,0.19824858,0.09310277,0.12818970
-5.75987994,1.13817624,0.01167470,0.01662669,0.08194787,0.56836855,0.10027462,0.19524839,0.08689430,0.12125525
-5.75387694,1.10955260,0.00984831,0.01469542,0.08128962,0.55898309,0.09879530,0.19249818,0.08148688,0.11492407
-5.74787394,1.08141118,0.00829501,0.01312928,0.08033620,0.54895668,0.09746278,0.19007284,0.07685763,0.10910045
-5.74187094,1.05388815,0.00698839,0.01191066,0.07910849,0.53846433,0.09632076,0.18806459,0.07298749,0.10370506
-5.73586793,1.02723118,0.00590310,0.01102299,0.07763605,0.52773227,0.09542378,0.18658228,0.06986284,0.09867590
