energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.88273642,-0.32436091,0.01479389,-0.00911286,0.20326394,-0.08548129,0.22912524,-0.10425348,0.29658362,-0.08538113,0.19902321,-0.08236829,0.00000000,-0.00000000
-5.99399700,0.90427777,-0.32150364,0.01493531,-0.00929018,0.20346106,-0.08440178,0.23637478,-0.10307256,0.29954206,-0.08555135,0.21313419,-0.08230198,0.00000000,-0.00000000
-5.98799400,0.93131588,-0.32255297,0.01518062,-0.00956698,0.20462955,-0.08432526,0.24535464,-0.10321517,0.30416617,-0.08669920,0.22907689,-0.08329659,0.00000000,-0.00000000
-5.98199100,0.96384239,-0.32780753,0.01552575,-0.00994705,0.20680268,-0.08533452,0.25608894,-0.10480682,0.31045321,-0.08888601,0.24678980,-0.08542585,0.00000000,-0.00000000
-5.97598799,1.00169132,-0.33751426,0.01596366,-0.01043162,0.20998002,-0.08749728,0.26855668,-0.10795772,0.31834872,-0.09215490,0.26617081,-0.08875346,0.00000000,-0.00000000
-5.96998499,1.04454031,-0.35186565,0.01648455,-0.01101930,0.21412675,-0.09086523,0.28269037,-0.11276159,0.32774722,-0.09652986,0.28707918,-0.09333271,0.00000000,-0.00000000
-5.96398199,1.09191857,-0.37099854,0.01707615,-0.01170598,0.21917440,-0.09547353,0.29837643,-0.11929485,0.33849510,-0.10201544,0.30933916,-0.09920651,0.00000000,-0.00000000
-5.95797899,1.14322146,-0.39499441,0.01772402,-0.01248491,0.22502297,-0.10134048,0.31545726,-0.12761592,0.35039565,-0.10859682,0.33274544,-0.10640798,0.00000000,-0.00000000
-5.95197599,1.19773166,-0.42388092,0.01841209,-0.01334682,0.23154439,-0.10846750,0.33373514,-0.13776481,0.36321603,-0.11624045,0.35707042,-0.11496154,0.00000000,-0.00000000
-5.94597299,1.25464649,-0.45763460,0.01912315,-0.01428005,0.23858732,-0.11683925,0.35297798,-0.14976280,0.37669620,-0.12489501,0.38207295,-0.12488432,0.00000000,-0.00000000
-5.93996998,1.31311039,-0.49618430,0.01983949,-0.01527087,0.24598304,-0.12642395,0.37292670,-0.16361223,0.39055943,-0.13449282,0.40750855,-0.13618802,0.00000000,-0.00000000
-5.93396698,1.37225149,-0.53941548,0.02054350,-0.01630380,0.25355227,-0.13717382,0.39330412,-0.17929636,0.40452396,-0.14495164,0.43314055,-0.14888091,0.00000000,-0.00000000
-5.92796398,1.43122079,-0.58717483,0.02121838,-0.01736197,0.26111265,-0.14902550,0.41382514,-0.19677931,0.41831539,-0.15617662,0.45875177,-0.16297006,0.00000000,-0.00000000
