energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,4.45209149,1.20006712,2.72597775,0.00427592,0.22293341,0.94986744,0.66617305,0.03297004,0.57658364
-5.99399700,4.54052622,1.22811986,2.77958239,0.00436274,0.22982277,0.97700619,0.68144610,0.03325358,0.57945874
-5.98799400,4.62575534,1.25263671,2.83079069,0.00444272,0.23746883,1.00497966,0.69706918,0.03351539,0.58137538
-5.98199100,4.70676040,1.27335203,2.87907143,0.00451576,0.24576968,1.03353781,0.71282114,0.03375251,0.58228407
-5.97598799,4.78255993,1.29008690,2.92391004,0.00458197,0.25461085,1.06242675,0.72847636,0.03396260,0.58214594
-5.96998499,4.85222458,1.30275049,2.96481546,0.00464164,0.26386697,1.09138911,0.74380836,0.03414401,0.58093414
-5.96398199,4.91488928,1.31133815,3.00132553,0.00469518,0.27340370,1.12016396,0.75859345,0.03429590,0.57863475
-5.95797899,4.96976216,1.31592608,3.03301081,0.00474313,0.28307984,1.14848617,0.77261408,0.03441814,0.57524706
-5.95197599,5.01613036,1.31666303,3.05947711,0.00478609,0.29274963,1.17608575,0.78566201,0.03451127,0.57078321
-5.94597299,5.05336319,1.31375953,3.08036703,0.00482469,0.30226505,1.20268700,0.79754105,0.03457641,0.56526744
-5.93996998,5.08091307,1.30747513,3.09536070,0.00485953,0.31147833,1.22800819,0.80806962,0.03461504,0.55873479
-5.93396698,5.09831504,1.29810449,3.10417637,0.00489112,0.32024441,1.25176173,0.81708288,0.03462878,0.55122954
-5.92796398,5.10518562,1.28596286,3.10657106,0.00491984,0.32842346,1.27365526,0.82443458,0.03461920,0.54280345
-5.92196098,5.10122176,1.27137194,3.10234183,0.00494592,0.33588335,1.29339385,0.82999866,0.03458755,0.53351401
-5.91595798,5.08620061,1.25464654,3.09132785,0.00496937,0.34250219,1.31068354,0.83367070,0.03453451,0.52342266
-5.90995498,5.05998076,1.23608302,3.07341352,0.00498999,0.34817072,1.32523619,0.83536912,0.03446006,0.51259337
-5.90395198,5.02250526,1.21594969,3.04853282,0.00500732,0.35279464,1.33677570,0.83503634,0.03436328,0.50109141
-5.89794897,4.97380674,1.19447995,3.01667473,0.00502069,0.35629694,1.34504548,0.83263992,0.03424232,0.48898255
-5.89194597,4.91401460,1.17186820,2.97788966,0.00502923,0.35861988,1.34981697,0.82817361,0.03409437,0.47633269
-5.88594297,4.84336393,1.14826865,2.93229657,0.00503185,0.35972696,1.35089885,0.82165847,0.03391576,0.46320787
-5.87993997,4.76220594,1.12379716,2.88009042,0.00502738,0.35960454,1.34814668,0.81314394,0.03370217,0.44967476
-5.87393697,4.67101899,1.09853570,2.82154950,0.00501453,0.35826315,1.34147230,0.80270887,0.03344882,0.43580141
-5.86793397,4.57041965,1.07253921,2.75704207,0.00499205,0.35573846,1.33085285,0.79046249,0.03315085,0.42165833
-5.86193097,4.46117276,1.04584441,2.68703194,0.00495871,0.35209181,1.31633861,0.77654520,0.03280366,0.40731973
-5.85592796,4.34419961,1.01847991,2.61208227,0.00491346,0.34741022,1.29805933,0.76112905,0.03240333,0.39286484
-5.84992496,4.22058323,0.99047710,2.53285725,0.00485543,0.34180588,1.27622863,0.74441790,0.03194709,0.37837913
-5.84392196,4.09156997,0.96188109,2.45012124,0.00478405,0.33541499,1.25114608,0.72664702,0.03143364,0.36395538
-5.83791896,3.95856649,0.93276121,2.36473498,0.00469908,0.32839606,1.22319656,0.70808203,0.03086359,0.34969449
-5.83191596,3.82313159,0.90322015,2.27764869,0.00460067,0.32092749,1.19284691,0.68901710,0.03023978,0.33570587
-5.82591296,3.68696241,0.87340157,2.18989200,0.00448940,0.31320450,1.16063968,0.66977226,0.02956743,0.32210737
-5.81990995,3.55187477,0.84349544,2.10256066,0.00436628,0.30543552,1.12718396,0.65068971,0.02885437,0.30902474
-5.81390695,3.41977780,0.81374084,2.01680026,0.00423277,0.29783796,1.09314365,0.63212915,0.02811098,0.29659042
-5.80790395,3.29264300,0.78442606,1.93378728,0.00409077,0.29063349,1.05922325,0.61446204,0.02735012,0.28494189
-5.80190095,3.17246841,0.75588589,1.85470773,0.00394258,0.28404300,1.02615175,0.59806494,0.02658691,0.27421938
-5.79589795,3.06123870,0.72849599,1.78073409,0.00379088,0.27828124,0.99466495,0.58331193,0.02583837,0.26456316
-5.78989495,2.96088211,0.70266485,1.71300103,0.00363864,0.27355137,0.96548687,0.57056627,0.02512302,0.25611031
-5.78389195,2.87322555,0.67882323,1.65258056,0.00348910,0.27003958,0.93931081,0.56017160,0.02446028,0.24899128
-5.77788894,2.79994913,0.65741186,1.60045746,0.00334566,0.26790988,0.91678076,0.55244280,0.02386993,0.24332610
-5.77188594,2.74254161,0.63886757,1.55750549,0.00321182,0.26729928,0.89847371,0.54765685,0.02337138,0.23922065
-5.76588294,2.70225818,0.62360862,1.52446531,0.00309108,0.26831356,0.88488350,0.54604405,0.02298306,0.23676285
-5.75987994,2.68008199,0.61201969,1.50192467,0.00298689,0.27102367,0.87640681,0.54777979,0.02272166,0.23601916
-5.75387694,2.67669086,0.60443716,1.49030147,0.00290252,0.27546303,0.87333168,0.55297735,0.02260152,0.23703132
-5.74787394,2.69243032,0.60113527,1.48983040,0.00284101,0.28162569,0.87582899,0.56168191,0.02263401,0.23981360
-5.74187094,2.72729401,0.60231369,1.50055331,0.00280506,0.28946561,0.88394724,0.57386605,0.02282695,0.24435071
-5.73586793,2.78091242,0.60808704,1.52231409,0.00279700,0.29889693,0.89761068,0.58942715,0.02318424,0.25059631
-5.72986493,2.85255044,0.61847678,1.55475787,0.00281865,0.30979536,0.91662089,0.60818658,0.02370544,0.25847236
-5.72386193,2.94111418,0.63340587,1.59733497,0.00287133,0.32200065,0.94066182,0.62989109,0.02438568,0.26786936
-5.71785893,3.04516716,0.65269636,1.64930958,0.00295572,0.33532001,0.96930799,0.65421627,0.02521550,0.27864745
-5.71185593,3.16295568,0.67607025,1.70977285,0.00307190,0.34953252,1.00203569,0.68077218,0.02618100,0.29063840
-5.70585293,3.29244307,0.70315353,1.77766061,0.00321924,0.36439429,1.03823681,0.70911098,0.02726407,0.30364856
-5.69984992,3.43135200,0.73348348,1.85177490,0.00339640,0.37964433,1.07723476,0.73873646,0.02844277,0.31746261
-5.69384692,3.57721412,0.76651902,1.93080938,0.00360133,0.39501085,1.11830226,0.76911532,0.02969187,0.33184808
-5.68784392,3.72742576,0.80165376,2.01337775,0.00383126,0.41021798,1.16068018,0.79968972,0.03098351,0.34656056
-5.68184092,3.87930849,0.83823159,2.09804470,0.00408273,0.42499254,1.20359710,0.82989097,0.03228797,0.36134941
-5.67583792,4.03017278,0.87556411,2.18335873,0.00435162,0.43907082,1.24628901,0.85915386,0.03357450,0.37596390
-5.66983492,4.17738330,0.91294948,2.26788589,0.00463323,0.45220508,1.28801848,0.88693122,0.03481230,0.39015945
-5.66383192,4.31842384,0.94969198,2.35024367,0.00492235,0.46416960,1.32809285,0.91270832,0.03597141,0.40370396
-5.65782891,4.45095990,0.98512160,2.42913403,0.00521339,0.47476617,1.36588091,0.93601648,0.03702366,0.41638389
-5.65182591,4.57289706,1.01861294,2.50337456,0.00550046,0.48382873,1.40082758,0.95644567,0.03794362,0.42800987
-5.64582291,4.68243309,1.04960269,2.57192682,0.00577757,0.49122719,1.43246605,0.97365545,0.03870936,0.43842171
-5.63981991,4.77810182,1.07760495,2.63392072,0.00603873,0.49687009,1.46042715,0.98738386,0.03930322,0.44749259
-5.63381691,4.85880721,1.10222381,2.68867414,0.00627814,0.50070620,1.48444552,0.99745407,0.03971236,0.45513216
-5.62781391,4.92384597,1.12316262,2.73570682,0.00649035,0.50272490,1.50436235,1.00377825,0.03992920,0.46128851
-5.62181091,4.97291775,1.14022945,2.77474788,0.00667044,0.50295534,1.52012467,1.00635872,0.03995162,0.46594884
-5.61580790,5.00612202,1.15333868,2.80573646,0.00681411,0.50146437,1.53178105,1.00528601,0.03978300,0.46913882
-5.60980490,5.02394149,1.16250839,2.82881524,0.00691789,0.49835333,1.53947387,1.00073409,0.03943206,0.47092051
-5.60380190,5.02721243,1.16785381,2.84431685,0.00697921,0.49375387,1.54342854,0.99295281,0.03891247,0.47138907
-5.59779890,5.01708262,1.16957712,2.85274348,0.00699646,0.48782272,1.54393980,0.98225770,0.03824232,0.47066821
-5.59179590,4.99495853,1.16795396,2.85474042,0.00696910,0.48073586,1.54135586,0.96901769,0.03744337,0.46890460
-5.58579290,4.96244359,1.16331745,2.85106443,0.00689762,0.47268217,1.53606091,0.95364109,0.03654027,0.46626150
-5.57978989,4.92127016,1.15604035,2.84254821,0.00678353,0.46385673,1.52845674,0.93656051,0.03555954,0.46291179
-5.57378689,4.87322788,1.14651637,2.83006240,0.00662932,0.45445429,1.51894435,0.91821712,0.03452864,0.45903075
-5.56778389,4.82009151,1.13514142,2.81447684,0.00643835,0.44466282,1.50790626,0.89904525,0.03347493,0.45478890
-5.56178089,4.76355159,1.12229590,2.79662281,0.00621474,0.43465775,1.49569050,0.87945770,0.03242469,0.45034519
-5.55577789,4.70515084,1.10832862,2.77725787,0.00596320,0.42459688,1.48259699,0.85983247,0.03140226,0.44584083
-5.54977489,4.64622921,1.09354352,2.75703513,0.00568891,0.41461629,1.46886694,0.84050158,0.03042919,0.44139413
-5.54377189,4.58788019,1.07818937,2.73647828,0.00539733,0.40482741,1.45467596,0.82174234,0.02952361,0.43709641
-5.53776888,4.53092017,1.06245326,2.71596360,0.00509400,0.39531537,1.44013104,0.80377139,0.02869976,0.43300936
-5.53176588,4.47587220,1.04645791,2.69570982,0.00478441,0.38613852,1.42527177,0.78674184,0.02796767,0.42916379
-5.52576288,4.42296470,1.03026286,2.67577618,0.00447382,0.37732941,1.41007555,0.77074342,0.02733304,0.42555985
-5.51975988,4.37214492,1.01386934,2.65606883,0.00416714,0.36889685,1.39446671,0.75580565,0.02679734,0.42216880
-5.51375688,4.32310605,0.99722849,2.63635502,0.00386878,0.36082909,1.37832874,0.74190365,0.02635802,0.41893602
-5.50775388,4.27532653,0.98025218,2.61628438,0.00358259,0.35309783,1.36151936,0.72896633,0.02600896,0.41578522
-5.50175088,4.22811899,0.96282589,2.59541596,0.00331181,0.34566293,1.34388715,0.71688630,0.02574098,0.41262367
-5.49574787,4.18068626,0.94482276,2.57324967,0.00305897,0.33847742,1.32528919,0.70553100,0.02554251,0.40934796
-5.48974487,4.13218124,0.92611791,2.54926035,0.00282598,0.33149266,1.30560841,0.69475446,0.02540028,0.40585022
-5.48374187,4.08176741,0.90660237,2.52293262,0.00261406,0.32466324,1.28476987,0.68440883,0.02530008,0.40202442
-5.47773887,4.02867685,0.88619553,2.49379485,0.00242384,0.31795150,1.26275489,0.67435529,0.02522748,0.39777230
-5.47173587,3.97226275,0.86485575,2.46145028,0.00225541,0.31133129,1.23961235,0.66447366,0.02516851,0.39300895
-5.46573287,3.91204375,0.84258839,2.42560399,0.00210836,0.30479091,1.21546633,0.65467017,0.02511033,0.38766741
-5.45972986,3.84773819,0.81945085,2.38608423,0.00198193,0.29833499,1.19051974,0.64488321,0.02504169,0.38170245
-5.45372686,3.77928650,0.79555454,2.34285725,0.00187504,0.29198525,1.16505361,0.63508668,0.02495339,0.37509310
-5.44772386,3.70686126,0.77106360,2.29603505,0.00178638,0.28578022,1.13942201,0.62529088,0.02483854,0.36784401
