energy_ev,total_up,Ge_p_up,Ge_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,2.08978628,0.57084558,0.00000000,0.59654029,0.57702130,0.05141907,0.66145524
-5.99399700,2.02229527,0.56354081,0.00000000,0.57575812,0.56520207,0.05121415,0.63377538
-5.98799400,1.95335670,0.55649562,0.00000000,0.55468607,0.55371239,0.05090208,0.60528691
-5.98199100,1.88397680,0.54984828,0.00000000,0.53369542,0.54277063,0.05047288,0.57642450
-5.97598799,1.81513849,0.54374068,0.00000000,0.51314821,0.53259343,0.04991757,0.54760580
-5.96998499,1.74777291,0.53831440,0.00000000,0.49338685,0.52338921,0.04922850,0.51921903
-5.96398199,1.68273401,0.53370681,0.00000000,0.47472466,0.51535196,0.04839967,0.49161220
-5.95797899,1.62077716,0.53004711,0.00000000,0.45743794,0.50865548,0.04742710,0.46508450
-5.95197599,1.56254251,0.52745269,0.00000000,0.44175947,0.50344834,0.04630906,0.43987996
-5.94597299,1.50854325,0.52602549,0.00000000,0.42787392,0.49984954,0.04504638,0.41618372
-5.93996998,1.45915905,0.52584881,0.00000000,0.41591498,0.49794511,0.04364260,0.39412083
-5.93396698,1.41463436,0.52698424,0.00000000,0.40596438,0.49778553,0.04210409,0.37375745
-5.92796398,1.37508129,0.52946903,0.00000000,0.39805267,0.49938415,0.04044003,0.35510432
-5.92196098,1.34048653,0.53331387,0.00000000,0.39216154,0.50271649,0.03866233,0.33812213
-5.91595798,1.31072178,0.53850113,0.00000000,0.38822774,0.50772054,0.03678541,0.32272847
-5.90995498,1.28555700,0.54498380,0.00000000,0.38614815,0.51429802,0.03482592,0.30880587
-5.90395198,1.26467598,0.55268511,0.00000000,0.38578605,0.52231657,0.03280233,0.29621070
-5.89794897,1.24769352,0.56149910,0.00000000,0.38697819,0.53161297,0.03073450,0.28478225
-5.89194597,1.23417380,0.57129219,0.00000000,0.38954263,0.54199729,0.02864317,0.27435185
-5.88594297,1.22364939,0.58190590,0.00000000,0.39328699,0.55325806,0.02654940,0.26475152
-5.87993997,1.21564055,0.59316077,0.00000000,0.39801706,0.56516834,0.02447410,0.25582196
-5.87393697,1.20967430,0.60486149,0.00000000,0.40354540,0.57749260,0.02243748,0.24741957
-5.86793397,1.20530299,0.61680323,0.00000000,0.40969994,0.58999440,0.02045862,0.23942228
-5.86193097,1.20212203,0.62877897,0.00000000,0.41633206,0.60244457,0.01855509,0.23173423
-5.85592796,1.19978624,0.64058767,0.00000000,0.42332418,0.61462974,0.01674265,0.22428907
-5.84992496,1.19802455,0.65204292,0.00000000,0.43059645,0.62636089,0.01503500,0.21705198
-5.84392196,1.19665262,0.66298179,0.00000000,0.43811233,0.63748166,0.01344373,0.21002031
-5.83791896,1.19558284,0.67327333,0.00000000,0.44588271,0.64787598,0.01197822,0.20322317
-5.83191596,1.19483140,0.68282636,0.00000000,0.45396846,0.65747466,0.01064574,0.19671972
-5.82591296,1.19452189,0.69159599,0.00000000,0.46248097,0.66626059,0.00945156,0.19059663
-5.81990995,1.19488513,0.69958843,0.00000000,0.47158071,0.67427212,0.00839913,0.18496464
-5.81390695,1.19625491,0.70686370,0.00000000,0.48147332,0.68160438,0.00749032,0.17995444
-5.80790395,1.19905935,0.71353584,0.00000000,0.49240359,0.68840814,0.00672566,0.17571209
-5.80190095,1.20380811,0.71977039,0.00000000,0.50464687,0.69488620,0.00610460,0.17239396
-5.79589795,1.21107516,0.72577906,0.00000000,0.51849840,0.70128713,0.00562570,0.17016163
-5.78989495,1.22147779,0.73181155,0.00000000,0.53426058,0.70789647,0.00528694,0.16917662
-5.78389195,1.23565215,0.73814479,0.00000000,0.55222856,0.71502555,0.00508580,0.16959524
