energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.51070265,-2.51070294,0.08434148,-0.08434145,0.65937669,-0.65937713,0.11248593,-0.11248584,0.00000000,-0.00000000,0.54220736,-0.54220781,0.90958632,-0.90958598,0.02971333,-0.02971338,0.37139485,-0.37139457
-5.99399700,2.47565097,-2.47565129,0.08452571,-0.08452568,0.64449768,-0.64449814,0.11356140,-0.11356131,0.00000000,-0.00000000,0.52763804,-0.52763849,0.90349365,-0.90349335,0.02828599,-0.02828605,0.37221784,-0.37221755
-5.98799400,2.44064465,-2.44064500,0.08460760,-0.08460758,0.62934591,-0.62934639,0.11469535,-0.11469526,0.00000000,-0.00000000,0.51324864,-0.51324909,0.89665716,-0.89665690,0.02686722,-0.02686727,0.37348293,-0.37348263
-5.98199100,2.40593224,-2.40593261,0.08459272,-0.08459270,0.61400007,-0.61400057,0.11590221,-0.11590211,0.00000000,-0.00000000,0.49911232,-0.49911277,0.88918106,-0.88918084,0.02546418,-0.02546423,0.37521641,-0.37521609
-5.97598799,2.37189386,-2.37189424,0.08448898,-0.08448896,0.59857636,-0.59857688,0.11720180,-0.11720170,0.00000000,-0.00000000,0.48533295,-0.48533338,0.88121042,-0.88121023,0.02408530,-0.02408535,0.37746166,-0.37746132
-5.96998499,2.33901738,-2.33901775,0.08430611,-0.08430610,0.58322118,-0.58322169,0.11861789,-0.11861779,0.00000000,-0.00000000,0.47203948,-0.47203990,0.87292257,-0.87292241,0.02273982,-0.02273988,0.38027696,-0.38027661
-5.96398199,2.30787278,-2.30787311,0.08405510,-0.08405509,0.56810310,-0.56810361,0.12017677,-0.12017666,0.00000000,-0.00000000,0.45938003,-0.45938043,0.86451806,-0.86451792,0.02143730,-0.02143736,0.38373305,-0.38373268
-5.95797899,2.27908600,-2.27908628,0.08374776,-0.08374776,0.55340479,-0.55340530,0.12190581,-0.12190569,0.00000000,-0.00000000,0.44751583,-0.44751620,0.85621155,-0.85621142,0.02018715,-0.02018721,0.38791075,-0.38791035
-5.95197599,2.25331363,-2.25331383,0.08339628,-0.08339628,0.53931506,-0.53931556,0.12383215,-0.12383203,0.00000000,-0.00000000,0.43661547,-0.43661581,0.84822309,-0.84822297,0.01899818,-0.01899823,0.39289863,-0.39289821
-5.94597299,2.23121908,-2.23121918,0.08301294,-0.08301294,0.52602146,-0.52602193,0.12598139,-0.12598126,0.00000000,-0.00000000,0.42684962,-0.42684992,0.84077007,-0.84076995,0.01787818,-0.01787823,0.39879083,-0.39879038
-5.93996998,2.21345122,-2.21345119,0.08260986,-0.08260986,0.51370369,-0.51370414,0.12837639,-0.12837625,0.00000000,-0.00000000,0.41838633,-0.41838658,0.83406002,-0.83405989,0.01683365,-0.01683370,0.40568494,-0.40568445
-5.93396698,2.20062559,-2.20062540,0.08219879,-0.08219880,0.50252793,-0.50252834,0.13103619,-0.13103605,0.00000000,-0.00000000,0.41138707,-0.41138726,0.82828433,-0.82828418,0.01586952,-0.01586956,0.41368012,-0.41367959
-5.92796398,2.19330858,-2.19330820,0.08179101,-0.08179102,0.49264222,-0.49264258,0.13397497,-0.13397481,0.00000000,-0.00000000,0.40600348,-0.40600361,0.82361291,-0.82361275,0.01498903,-0.01498907,0.42287524,-0.42287466
-5.92196098,2.19200436,-2.19200377,0.08139716,-0.08139718,0.48417288,-0.48417320,0.13720107,-0.13720091,0.00000000,-0.00000000,0.40237486,-0.40237493,0.82018988,-0.82018969,0.01419366,-0.01419370,0.43336711,-0.43336648
-5.91595798,2.19714455,-2.19714373,0.08102715,-0.08102717,0.47722201,-0.47722228,0.14071623,-0.14071606,0.00000000,-0.00000000,0.40062624,-0.40062624,0.81812998,-0.81812976,0.01348322,-0.01348325,0.44524880,-0.44524812
-5.90995498,2.20908032,-2.20907925,0.08069004,-0.08069006,0.47186582,-0.47186603,0.14451476,-0.14451458,0.00000000,-0.00000000,0.40086706,-0.40086698,0.81751593,-0.81751566,0.01285593,-0.01285595,0.45860789,-0.45860715
