energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,2.59209727,-2.69227900,0.94279690,-1.85574821,0.78776679,-0.57162280,0.00883274,-0.00121078,0.46633830,-0.80305121,0.04521345,-0.00618747,1.01967248,-0.91082857,0.42507323,-0.47317490,0.20572603,-0.14443123
-5.99399700,2.51428697,-2.62515868,0.90699030,-1.82170956,0.75328061,-0.55588774,0.00923446,-0.00119340,0.44438647,-0.78989223,0.04625222,-0.00666808,1.00021775,-0.88183522,0.41007461,-0.45609504,0.20466025,-0.14147943
-5.98799400,2.44029286,-2.55873618,0.87555477,-1.78319610,0.72059527,-0.54136819,0.00960795,-0.00120512,0.42478836,-0.77634521,0.04710720,-0.00724786,0.98044341,-0.85345400,0.39538121,-0.43881982,0.20341267,-0.13869770
-5.98199100,2.36975514,-2.49413317,0.84811779,-1.74077024,0.68964387,-0.52826289,0.00994569,-0.00124720,0.40732365,-0.76259661,0.04775854,-0.00793461,0.96036278,-0.82622312,0.38110098,-0.42164587,0.20192489,-0.13618808
-5.97598799,2.30221583,-2.43243836,0.82426361,-1.69504444,0.66031054,-0.51672673,0.01024091,-0.00132093,0.39173943,-0.74881027,0.04818892,-0.00873627,0.93996875,-0.80068956,0.36732332,-0.40487663,0.20013752,-0.13405704
-5.96998499,2.23714974,-2.37469716,0.80354917,-1.64667336,0.63244132,-0.50687287,0.01048785,-0.00142758,0.37776234,-0.73512952,0.04838425,-0.00966061,0.91923864,-0.77739982,0.35411862,-0.38881747,0.19799297,-0.13241313
-5.96398199,2.17399761,-2.32190260,0.78551952,-1.59634543,0.60585598,-0.49877653,0.01068193,-0.00156832,0.36511066,-0.72168061,0.04833432,-0.01071481,0.89814008,-0.75688971,0.34153872,-0.37377044,0.19543829,-0.13136419
-5.95797899,2.11219933,-2.27498726,0.76972244,-1.54477368,0.58036051,-0.49248020,0.01082001,-0.00174420,0.35350587,-0.70857729,0.04803331,-0.01190502,0.87663775,-0.73967359,0.32961812,-0.36002892,0.19242788,-0.13101432
-5.95197599,2.05122576,-2.23481611,0.75572150,-1.49268626,0.55575924,-0.48799984,0.01090046,-0.00195601,0.34268316,-0.69592620,0.04748016,-0.01323598,0.85470002,-0.72623303,0.31837577,-0.34787207,0.18892600,-0.13146065
-5.94597299,1.99060728,-2.20217986,0.74310737,-1.44081653,0.53186633,-0.48533172,0.01092333,-0.00220424,0.33240062,-0.68383266,0.04667881,-0.01471052,0.83230536,-0.71700547,0.30781732,-0.33755941,0.18490885,-0.13279001
-5.93996998,1.92995788,-2.17778884,0.73150691,-1.38989313,0.50851585,-0.48445965,0.01089033,-0.00248891,0.32244674,-0.67240662,0.04563825,-0.01632913,0.80944788,-0.71237292,0.29793751,-0.32932553,0.18036611,-0.13507556
-5.93396698,1.86899354,-2.16226728,0.72058984,-1.34062995,0.48557006,-0.48536195,0.01080489,-0.00280955,0.31264599,-0.66176825,0.04437238,-0.01808959,0.78614155,-0.71265120,0.28872261,-0.32337503,0.17530198,-0.13837367
-5.92796398,1.80754423,-2.15614782,0.71007307,-1.29371636,0.46292569,-0.48801814,0.01067203,-0.00316504,0.30286244,-0.65205299,0.04289972,-0.01998659,0.76242306,-0.71808010,0.28015277,-0.31987798,0.16973542,-0.14272101
-5.92196098,1.74555924,-2.15986634,0.69972254,-1.24980762,0.44051782,-0.49241471,0.01049830,-0.00355354,0.29300131,-0.64341551,0.04124290,-0.02201144,0.73835297,-0.72881481,0.27220405,-0.31896583,0.16369989,-0.14813215
-5.91595798,1.68310581,-2.17375707,0.68935290,-1.20951586,0.41832144,-0.49854984,0.01029154,-0.00397245,0.28300862,-0.63603249,0.03942803,-0.02415191,0.71401515,-0.74491889,0.26485018,-0.32072803,0.15724235,-0.15459762
-5.90995498,1.62036163,-2.19804792,0.67882514,-1.17340137,0.39635080,-0.50643676,0.01006066,-0.00441830,0.27286903,-0.63010373,0.03748398,-0.02639211,0.68951477,-0.76635924,0.25806384,-0.32520944,0.15042173,-0.16208270
-5.90395198,1.55760184,-2.23285618,0.66804269,-1.14196456,0.37465655,-0.51610563,0.00981540,-0.00488678,0.26260215,-0.62585154,0.03544152,-0.02871256,0.66497484,-0.79300330,0.25181765,-0.33240855,0.14330694,-0.17052700
-5.89794897,1.49518173,-2.27818454,0.65694626,-1.11563839,0.35332124,-0.52760353,0.00956598,-0.00537272,0.25225762,-0.62351814,0.03333239,-0.03109031,0.64053175,-0.82461858,0.24608464,-0.34227671,0.13597448,-0.17984477
-5.89194597,1.43351613,-2.33391732,0.64550788,-1.09478140,0.33245330,-0.54099287,0.00932276,-0.00587015,0.24190925,-0.62336098,0.03118848,-0.03349932,0.61633000,-0.86087476,0.24083855,-0.35471830,0.12850589,-0.18992616
-5.88594297,1.37305703,-2.39981716,0.63372456,-1.07967132,0.31218012,-0.55634780,0.00909594,-0.00637234,0.23164864,-0.62564601,0.02904088,-0.03591081,0.59251672,-0.90134832,0.23605371,-0.36959183,0.12098503,-0.20063926
-5.87993997,1.31427047,-2.47552195,0.62161196,-1.07049920,0.29264049,-0.57374896,0.00889516,-0.00687197,0.22157845,-0.63063900,0.02691909,-0.03829393,0.56923602,-0.94552962,0.23170479,-0.38671213,0.11349548,-0.21183301
-5.87393697,1.25761416,-2.56054204,0.60919838,-1.06736423,0.27397707,-0.59327657,0.00872920,-0.00736122,0.21180592,-0.63859495,0.02485029,-0.04061635,0.54662384,-0.99283219,0.22776646,-0.40585335,0.10611802,-0.22334075
-5.86793397,1.20351674,-2.65425795,0.59651936,-1.07026915,0.25632896,-0.61500210,0.00860566,-0.00783198,0.20243666,-0.64974605,0.02285871,-0.04284506,0.52480332,-1.04260410,0.22421296,-0.42675284,0.09892850,-0.23498443
-5.86193097,1.15235973,-2.75591849,0.58361306,-1.07911649,0.23982513,-0.63897886,0.00853068,-0.00827608,0.19356913,-0.66428860,0.02096515,-0.04494723,0.50388108,-1.09414084,0.22101768,-0.44911583,0.09199595,-0.24657924
-5.85592796,1.10446276,-2.86463952,0.57051656,-1.09370572,0.22457858,-0.66523188,0.00850876,-0.00868545,0.18528990,-0.68236918,0.01918662,-0.04689102,0.48394451,-1.14669939,0.21815286,-0.47262056,0.08538118,-0.25793849
-5.84992496,1.06007261,-2.97940371,0.55726309,-1.11373158,0.21068181,-0.69374748,0.00854253,-0.00905241,0.17766992,-0.70407094,0.01753617,-0.04864649,0.46506002,-1.19951308,0.21558938,-0.49692406,0.07913579,-0.26887853
-5.84392196,1.01935616,-3.09906153,0.54388024,-1.13878381,0.19820345,-0.72446318,0.00863271,-0.00936987,0.17076179,-0.72940051,0.01602282,-0.05018636,0.44727253,-1.25180650,0.21329666,-0.52166808,0.07330168,-0.27922361
-5.83791896,0.98239752,-3.22233399,0.53038897,-1.16834861,0.18718629,-0.75725836,0.00877802,-0.00963158,0.16459810,-0.75827634,0.01465160,-0.05148683,0.43060584,-1.30281029,0.21124275,-0.54648530,0.06791093,-0.28881034
-5.83191596,0.94919882,-3.34781764,0.51680343,-1.20181210,0.17764655,-0.79194634,0.00897526,-0.00983232,0.15919085,-0.79051911,0.01342381,-0.05252813,0.41506396,-1.35177510,0.20939457,-0.57100549,0.06298619,-0.29749159
-5.82591296,0.91968464,-3.47399237,0.50313138,-1.23846616,0.16957444,-0.82826843,0.00921943,-0.00996808,0.15453180,-0.82584499,0.01233727,-0.05329513,0.40063318,-1.39798452,0.20771827,-0.59486156,0.05854128,-0.30513983
-5.81990995,0.89370939,-3.59923272,0.48937516,-1.27751682,0.16293576,-0.86589044,0.00950384,-0.01003622,0.15059374,-0.86386235,0.01138673,-0.05377761,0.38728476,-1.44076650,0.20617975,-0.61769539,0.05458222,-0.31164956
-5.81390695,0.87106716,-3.72182307,0.47553300,-1.31809548,0.15767437,-0.90440210,0.00982044,-0.01003552,0.14733243,-0.90407244,0.01056430,-0.05397054,0.37497801,-1.47950328,0.20474528,-0.63916333,0.05110837,-0.31693893
-5.80790395,0.85150352,-3.83997727,0.46160063,-1.35927298,0.15371543,-0.94331977,0.01016008,-0.00996631,0.14468924,-0.94587437,0.00985995,-0.05387402,0.36366360,-1.51363952,0.20338220,-0.65894130,0.04811375,-0.32095044
-5.80190095,0.83472842,-3.95186302,0.44757302,-1.40007662,0.15096905,-0.98209259,0.01051284,-0.00983038,0.14259414,-0.98857463,0.00926200,-0.05349325,0.35328697,-1.54268864,0.20205968,-0.67672943,0.04558845,-0.32365073
-5.79589795,0.82042980,-4.05563090,0.43344622,-1.43950975,0.14933413,-1.02011211,0.01086848,-0.00963100,0.14096901,-1.03140107,0.00875768,-0.05283817,0.34379159,-1.56623762,0.20074956,-0.69225627,0.04351998,-0.32502962
-5.78989495,0.80828708,-4.14944815,0.41921922,-1.47657382,0.14870238,-1.05672532,0.01121677,-0.00937279,0.13973103,-1.07352105,0.00833357,-0.05192309,0.33512204,-1.58395014,0.19942704,-0.70528247,0.04189457,-0.32509836
-5.78389195,0.79798408,-4.23153635,0.40489567,-1.51029213,0.14896195,-1.09125070,0.01154794,-0.00906161,0.13879602,-1.11406330,0.00797610,-0.05076615,0.32722676,-1.59556848,0.19807150,-0.71560400,0.04069840,-0.32388738
-5.77788894,0.78922083,-4.30021249,0.39048562,-1.53973489,0.15000089,-1.12299675,0.01185309,-0.00870436,0.13808165,-1.15214281,0.00767197,-0.04938870,0.32006028,-1.60091423,0.19666706,-0.72305489,0.03991857,-0.32144357
-5.77188594,0.78172377,-4.35393207,0.37600692,-1.56404449,0.15171002,-1.15128254,0.01212450,-0.00830879,0.13751026,-1.18688771,0.00740851,-0.04781471,0.31358504,-1.59988814,0.19520310,-0.72750948,0.03954391,-0.31782741
-5.76588294,0.77525408,-4.39133295,0.36148651,-1.58246035,0.15398528,-1.17545923,0.01235603,-0.00788331,0.13701131,-1.21746724,0.00717402,-0.04607000,0.30777255,-1.59246926,0.19367456,-0.72888419,0.03956559,-0.31310996
-5.75987994,0.76961368,-4.41127812,0.34696138,-1.59434212,0.15672934,-1.19493182,0.01254334,-0.00743671,0.13652335,-1.24311952,0.00695799,-0.04418166,0.30260404,-1.57871348,0.19208208,-0.72713875,0.03997740,-0.30737002
-5.75387694,0.76464901,-4.41289582,0.33247914,-1.59919046,0.15985269,-1.20918016,0.01268406,-0.00697798,0.13599536,-1.26317799,0.00675133,-0.04217735,0.29807038,-1.55875161,0.19043186,-0.72227698,0.04077584,-0.30069154
-5.74787394,0.76025221,-4.39561486,0.31809817,-1.59666426,0.16327394,-1.21777826,0.01277797,-0.00651609,0.13538764,-1.27709531,0.00654642,-0.04008472,0.29417150,-1.53278706,0.18873524,-0.71434686,0.04195995,-0.29316129
-5.74187094,0.75635995,-4.35919339,0.30388740,-1.58659363,0.16691969,-1.22041099,0.01282695,-0.00605977,0.13467203,-1.28446364,0.00633724,-0.03793089,0.29091520,-1.50109295,0.18700811,-0.70344009,0.04353083,-0.28486714
-5.73586793,0.75294999,-4.30373957,0.28992545,-1.56898776,0.17072379,-1.21688733,0.01283495,-0.00561732,0.13383159,-1.28503030,0.00611933,-0.03574200,0.28831542,-1.46400878,0.18527003,-0.68969086,0.04549105,-0.27589659
-5.72986493,0.75003574,-4.22972244,0.27629929,-1.54403734,0.17462630,-1.20714958,0.01280780,-0.00519652,0.13285986,-1.27870811,0.00588974,-0.03354281,0.28639011,-1.42193631,0.18354311,-0.67327396,0.04784374,-0.26633591
-5.72386193,0.74765911,-4.13797210,0.26310247,-1.51211105,0.17857223,-1.19127795,0.01275298,-0.00480443,0.13175959,-1.26557989,0.00564694,-0.03135643,0.28515877,-1.37533474,0.18185077,-0.65440205,0.05059163,-0.25626967
-5.71785893,0.74588218,-4.02966862,0.25043270,-1.47374620,0.18251016,-1.16949038,0.01267927,-0.00444734,0.13054124,-1.24589683,0.00539068,-0.02920405,0.28463973,-1.32471482,0.18021641,-0.63332212,0.05373589,-0.24578054
-5.71185593,0.74477807,-3.90631934,0.23838917,-1.42963378,0.18639093,-1.14213735,0.01259639,-0.00413068,0.12922119,-1.22007077,0.00512184,-0.02710482,0.28484742,-1.27063203,0.17866198,-0.61031112,0.05727496,-0.23494944
-5.70585293,0.74442159,-3.76972521,0.22706946,-1.38059821,0.19016651,-1.10969208,0.01251452,-0.00385898,0.12781984,-1.18866077,0.00484221,-0.02507573,0.28578967,-1.21367857,0.17720669,-0.58567090,0.06120329,-0.22385584
-5.69984992,0.74488029,-3.62193687,0.21656631,-1.32757265,0.19378925,-1.07273630,0.01244387,-0.00363586,0.12635974,-1.15235443,0.00455433,-0.02313154,0.28746533,-1.15447436,0.17586578,-0.55972233,0.06551020,-0.21257804
-5.69384692,0.74620626,-3.46520212,0.20696430,-1.27157075,0.19721142,-1.03194230,0.01239416,-0.00346399,0.12486380,-1.11194480,0.00426130,-0.02128476,0.28986217,-1.09365694,0.17464951,-0.53279886,0.07017878,-0.20119354
-5.68784392,0.74842929,-3.30190636,0.19833676,-1.21365582,0.20038531,-0.98805204,0.01237420,-0.00334515,0.12335365,-1.06830390,0.00396656,-0.01954567,0.29295545,-1.03187067,0.17356251,-0.50523971,0.07518500,-0.18977921
-5.68184092,0.75155183,-3.13450846,0.19074286,-1.15490854,0.20326380,-0.94185404,0.01239140,-0.00328020,0.12184841,-1.02235386,0.00367373,-0.01792235,0.29670707,-0.96975526,0.17260341,-0.47738270,0.08049698,-0.17841131
-5.67583792,0.75554595,-2.96547424,0.18422530,-1.09639464,0.20580138,-0.89415919,0.01245144,-0.00326916,0.12036364,-0.97503691,0.00338647,-0.01642070,0.30106556,-0.90793415,0.17176484,-0.44955704,0.08607461,-0.16716532
-5.66983492,0.76035271,-2.79721022,0.17880850,-1.03913342,0.20795566,-0.84577628,0.01255794,-0.00331119,0.11891080,-0.92728548,0.00310830,-0.01504455,0.30596686,-0.84700294,0.17103392,-0.42207640,0.09186945,-0.15611556
-5.66383192,0.76588378,-2.63200009,0.17449767,-0.98406851,0.20968922,-0.79748838,0.01271223,-0.00340470,0.11749705,-0.87999340,0.00284256,-0.01379565,0.31133601,-0.78751846,0.17039310,-0.39523229,0.09782497,-0.14533463
-5.65782891,0.77202556,-2.47194636,0.17127862,-0.93204175,0.21097173,-0.75003084,0.01291321,-0.00354733,0.11612541,-0.83398948,0.00259226,-0.01267386,0.31708970,-0.72998865,0.16982139,-0.36928811,0.10387728,-0.13489264
-5.65182591,0.77864541,-2.31891923,0.16911851,-0.88377113,0.21178227,-0.70407173,0.01315735,-0.00373606,0.11479539,-0.79001417,0.00236008,-0.01167715,0.32313959,-0.67486391,0.16929590,-0.34447413,0.10995612,-0.12485639
-5.64582291,0.78559982,-2.17451449,0.16796749,-0.83983350,0.21211156,-0.66019541,0.01343878,-0.00396725,0.11350380,-0.74870036,0.00214830,-0.01080180,0.32939631,-0.62253007,0.16879371,-0.32098345,0.11598637,-0.11528850
-5.63981991,0.79274414,-2.04002195,0.16776113,-0.80065242,0.21196412,-0.61888977,0.01374941,-0.00423672,0.11224594,-0.71055855,0.00195884,-0.01004247,0.33577401,-0.57330326,0.16829387,-0.29896922,0.12188982,-0.10624653
-5.63381691,0.79994316,-1.91640510,0.16842368,-0.76649171,0.21136021,-0.58053729,0.01407928,-0.00453984,0.11101682,-0.67596712,0.00179324,-0.00939239,0.34219518,-0.52742705,0.16777944,-0.27854305,0.12758729,-0.09778230
-5.62781391,0.80708227,-1.80429261,0.16987175,-0.73745437,0.21033722,-0.54541031,0.01441688,-0.00487162,0.10981262,-0.64516753,0.00165270,-0.00884354,0.34859559,-0.48507170,0.16723952,-0.25977490,0.13300101,-0.08994117
-5.62181091,0.81407834,-1.70398145,0.17201853,-0.71348716,0.20895070,-0.51367030,0.01474960,-0.00522681,0.10863200,-0.61826466,0.00153812,-0.00838684,0.35492901,-0.44633568,0.16667119,-0.24269414,0.13805712,-0.08276172
-5.61580790,0.82088967,-1.61545102,0.17477810,-0.69439010,0.20727469,-0.48537099,0.01506418,-0.00560006,0.10747739,-0.59523189,0.00145016,-0.00801235,0.36117150,-0.41124928,0.16608106,-0.22729198,0.14268817,-0.07627546
-5.60980490,0.82752455,-1.53838744,0.17806965,-0.67983068,0.20540135,-0.46046512,0.01534727,-0.00598601,0.10635611,-0.57592060,0.00138926,-0.00770955,0.36732494,-0.37978012,0.16548656,-0.21352487,0.14683568,-0.07050686
-5.60380190,0.83404758,-1.47221637,0.18182139,-0.66936185,0.20343991,-0.43881416,0.01558587,-0.00637945,0.10528118,-0.56007339,0.00135569,-0.00746753,0.37341950,-0.35184011,0.16491672,-0.20131903,0.15045232,-0.06547351
-5.59779890,0.84058342,-1.41614283,0.18597395,-0.66244317,0.20151487,-0.42020063,0.01576789,-0.00677546,0.10427184,-0.54734053,0.00134960,-0.00727530,0.37951496,-0.32729380,0.16441239,-0.19057549,0.15350398,-0.06118649
-5.59179590,0.84731746,-1.36919596,0.19048287,-0.65846414,0.19976340,-0.40434231,0.01588258,-0.00716950,0.10335372,-0.53729868,0.00137102,-0.00712199,0.38570051,-0.30596728,0.16402595,-0.18117578,0.15597120,-0.05765079
-5.58579290,0.85449315,-1.33027676,0.19532032,-0.65676878,0.19833218,-0.39090764,0.01592092,-0.00755759,0.10255857,-0.52947113,0.00141988,-0.00699712,0.39209301,-0.28765761,0.16382030,-0.17298777,0.15785030,-0.05486585
-5.57978989,0.86240589,-1.29820662,0.20047559,-0.65668050,0.19737348,-0.37953167,0.01587595,-0.00793637,0.10192360,-0.52334871,0.00149602,-0.00689082,0.39883365,-0.27214202,0.16386738,-0.16587148,0.15915373,-0.05282604
-5.57378689,0.87139352,-1.27177474,0.20595454,-0.65752626,0.19704089,-0.36983201,0.01574302,-0.00830317,0.10149048,-0.51841051,0.00159913,-0.00679406,0.40608304,-0.25918664,0.16424595,-0.15968465,0.15990985,-0.05152106
-5.56778389,0.88182378,-1.24978246,0.21177788,-0.65865925,0.19748458,-0.36142395,0.01551990,-0.00865609,0.10130388,-0.51414366,0.00172877,-0.00669876,0.41401482,-0.24855438,0.16503902,-0.15428775,0.16016215,-0.05093629
-5.56178089,0.89407905,-1.23108298,0.21797848,-0.65947916,0.19884636,-0.35393439,0.01520683,-0.00899393,0.10140978,-0.51006138,0.00188428,-0.00659799,0.42280809,-0.24001161,0.16633078,-0.14954838,0.15996766,-0.05105291
-5.55577789,0.90853920,-1.21461503,0.22459768,-0.65944947,0.20125479,-0.34701405,0.01480650,-0.00931624,0.10185354,-0.50571876,0.00206477,-0.00648605,0.43263896,-0.23333348,0.16820326,-0.14534480,0.15939498,-0.05184785
-5.54977489,0.92556322,-1.19942963,0.23168105,-0.65811117,0.20482032,-0.34034767,0.01432381,-0.00962318,0.10267776,-0.50072577,0.00226903,-0.00635851,0.44367159,-0.22830782,0.17073289,-0.14156856,0.15852175,-0.05329358
-5.54377189,0.94547065,-1.18470935,0.23927364,-0.65509262,0.20963095,-0.33366183,0.01376575,-0.00991541,0.10392017,-0.49475720,0.00249550,-0.00621224,0.45604923,-0.22473745,0.17398710,-0.13812616,0.15743176,-0.05535771
-5.53776888,0.96852388,-1.16977983,0.24741522,-0.65011531,0.21574828,-0.32673044,0.01314100,-0.01019399,0.10561158,-0.48755917,0.00274222,-0.00604537,0.46988573,-0.22244110,0.17802111,-0.13493984,0.15621195,-0.05800245
-5.53176588,0.99491226,-1.15411379,0.25613567,-0.64299561,0.22320456,-0.31937774,0.01245966,-0.01046015,0.10777393,-0.47895245,0.00300677,-0.00585724,0.48525808,-0.22125313,0.18287513,-0.13194736,0.15494929,-0.06118407
-5.52576288,1.02473910,-1.13732823,0.26545099,-0.63364269,0.23200045,-0.31147899,0.01173279,-0.01071514,0.11041874,-0.46883242,0.00328627,-0.00564829,0.50220045,-0.22102216,0.18857220,-0.12910121,0.15372784,-0.06485227
-5.51975988,1.05801253,-1.11917552,0.27536015,-0.62205293,0.24210409,-0.30295904,0.01097209,-0.01096000,0.11354586,-0.45716619,0.00357737,-0.00541993,0.52070022,-0.22160897,0.19511666,-0.12636704,0.15262609,-0.06894972
-5.51375688,1.09464080,-1.09952971,0.28584302,-0.60830144,0.25345126,-0.29378908,0.01018943,-0.01119542,0.11714272,-0.44398699,0.00387626,-0.00517437,0.54069621,-0.22288404,0.20249351,-0.12372174,0.15171469,-0.07341176
-5.50775388,1.13443268,-1.07836923,0.29685966,-0.59253121,0.26594687,-0.28398180,0.00939654,-0.01142151,0.12118416,-0.42938652,0.00417870,-0.00491450,0.56207961,-0.22472495,0.21066874,-0.12115123,0.15105477,-0.07816632
-5.50175088,1.17710306,-1.05575753,0.30835098,-0.57494059,0.27946770,-0.27358557,0.00860461,-0.01163774,0.12563272,-0.41350566,0.00448010,-0.00464368,0.58469741,-0.22701412,0.21959054,-0.11864821,0.15069680,-0.08313428
-5.49574787,1.22228379,-1.03182297,0.32024084,-0.55576997,0.29386643,-0.26267776,0.00782405,-0.01184278,0.13043966,-0.39652415,0.00477563,-0.00436560,0.60835847,-0.22963702,0.22919147,-0.11621000,0.15068017,-0.08823012
-5.48974487,1.26953915,-1.00673937,0.33243956,-0.53528820,0.30897665,-0.25135788,0.00706421,-0.01203451,0.13554635,-0.37864982,0.00506027,-0.00408412,0.63284188,-0.23248123,0.23939145,-0.11383665,0.15103333,-0.09336312
