energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-4.46323162,0.64509319,0.08063498,0.06372685,0.00000750,0.28815892,0.00315641,0.15927188,0.60952165,0.09412431
-4.45722861,0.55859803,0.06966604,0.05538536,0.00000623,0.24975990,0.00265625,0.13792914,0.52812526,0.08131559
-4.45122561,0.48121810,0.06001181,0.04796753,0.00000514,0.21513791,0.00222218,0.11914079,0.45480628,0.06986174
-4.44522261,0.41265968,0.05162091,0.04144877,0.00000421,0.18418267,0.00184809,0.10282730,0.38932855,0.05971160
-4.43921961,0.35254363,0.04443571,0.03579793,0.00000343,0.15673888,0.00152792,0.08889523,0.33136055,0.05080149
-4.43321661,0.30042825,0.03839541,0.03097955,0.00000277,0.13261586,0.00125577,0.07724342,0.28049649,0.04305863
-4.42721361,0.25583073,0.03343873,0.02695575,0.00000223,0.11159705,0.00102600,0.06776855,0.23627667,0.03640431
-4.42121061,0.21824659,0.02950623,0.02368805,0.00000178,0.09344883,0.00083331,0.06036989,0.19820649,0.03075679
-4.41520760,0.18716671,0.02654206,0.02113881,0.00000141,0.07792851,0.00067280,0.05495301,0.16577357,0.02603381
-4.40920460,0.16209144,0.02449533,0.01927236,0.00000111,0.06479144,0.00053998,0.05143254,0.13846270,0.02215470
-4.40320160,0.14254176,0.02332089,0.01805587,0.00000087,0.05379691,0.00043079,0.04973375,0.11576841,0.01904206
-4.39719860,0.12806734,0.02297959,0.01745972,0.00000068,0.04471298,0.00034162,0.04979310,0.09720493,0.01662300
-4.39119560,0.11825156,0.02343808,0.01745769,0.00000053,0.03732019,0.00026928,0.05155766,0.08231378,0.01482995
-4.38519260,0.11271359,0.02466815,0.01802669,0.00000041,0.03141415,0.00021098,0.05498353,0.07066885,0.01360109
-4.37918959,0.11110799,0.02664561,0.01914627,0.00000031,0.02680712,0.00016430,0.06003337,0.06187941,0.01288042
-4.37318659,0.11312192,0.02934891,0.02079780,0.00000024,0.02332874,0.00012716,0.06667316,0.05559110,0.01261747
-4.36718359,0.11847053,0.03275742,0.02296350,0.00000018,0.02082601,0.00009782,0.07486829,0.05148533,0.01276689
-4.36118059,0.12689093,0.03684953,0.02562532,0.00000013,0.01916255,0.00007478,0.08457935,0.04927732,0.01328765
-4.35517759,0.13813523,0.04160080,0.02876373,0.00000010,0.01821755,0.00005682,0.09575769,0.04871316,0.01414231
-4.34917459,0.15196319,0.04698199,0.03235649,0.00000007,0.01788420,0.00004290,0.10834102,0.04956621,0.01529609
-4.34317159,0.16813494,0.05295737,0.03637759,0.00000005,0.01806809,0.00003219,0.12224949,0.05163306,0.01671593
-4.33716858,0.18640428,0.05948324,0.04079628,0.00000004,0.01868540,0.00002400,0.13738217,0.05472951,0.01836971
-4.33116558,0.20651303,0.06650686,0.04557639,0.00000003,0.01966119,0.00001778,0.15361458,0.05868661,0.02022547
-4.32516258,0.22818685,0.07396588,0.05067595,0.00000002,0.02092776,0.00001309,0.17079718,0.06334716,0.02225075
-4.31915958,0.25113276,0.08178828,0.05604721,0.00000002,0.02242324,0.00000957,0.18875522,0.06856268,0.02441226
-4.31315658,0.27503879,0.08989304,0.06163701,0.00000001,0.02409039,0.00000696,0.20729001,0.07419110,0.02667561
-4.30715358,0.29957570,0.09819139,0.06738772,0.00000001,0.02587569,0.00000502,0.22618168,0.08009523,0.02900531
-4.30115058,0.32440100,0.10658877,0.07323843,0.00000001,0.02772871,0.00000360,0.24519353,0.08614195,0.03136507
-4.29514757,0.34916502,0.11498741,0.07912675,0.00000000,0.02960181,0.00000257,0.26407782,0.09220231,0.03371820
-4.28914457,0.37351893,0.12328947,0.08499079,0.00000000,0.03145009,0.00000182,0.28258284,0.09815221,0.03602834
-4.28314157,0.39712431,0.13140063,0.09077151,0.00000000,0.03323158,0.00000128,0.30046112,0.10387395,0.03826023
-4.27713857,0.41966397,0.13923396,0.09641522,0.00000000,0.03490771,0.00000089,0.31747835,0.10925810,0.04038071
-4.27113557,0.44085327,0.14671396,0.10187613,0.00000000,0.03644386,0.00000062,0.33342268,0.11420597,0.04235976
-4.26513257,0.46045160,0.15378045,0.10711877,0.00000000,0.03781006,0.00000043,0.34811401,0.11863216,0.04417154
-4.25912956,0.47827323,0.16039227,0.11212024,0.00000000,0.03898179,0.00000029,0.36141268,0.12246724,0.04579540
-4.25312656,0.49419693,0.16653037,0.11687204,0.00000000,0.03994064,0.00000020,0.37322726,0.12566032,0.04721679
-4.24712356,0.50817384,0.17220031,0.12138137,0.00000000,0.04067506,0.00000013,0.38352089,0.12818130,0.04842797
-4.24112056,0.52023291,0.17743378,0.12567190,0.00000000,0.04118086,0.00000009,0.39231567,0.13002265,0.04942860
-4.23511756,0.53048356,0.18228912,0.12978369,0.00000000,0.04146161,0.00000006,0.39969506,0.13120064,0.05022592
-4.22911456,0.53911522,0.18685071,0.13377243,0.00000000,0.04152881,0.00000004,0.40580370,0.13175588,0.05083475
-4.22311156,0.54639356,0.19122709,0.13770784,0.00000000,0.04140187,0.00000003,0.41084473,0.13175299,0.05127716
-4.21710855,0.55265329,0.19554795,0.14167130,0.00000000,0.04110777,0.00000002,0.41507451,0.13127960,0.05158179
-4.21110555,0.55828788,0.19995989,0.14575278,0.00000000,0.04068052,0.00000001,0.41879487,0.13044438,0.05178290
-4.20510255,0.56373624,0.20462122,0.15004714,0.00000000,0.04016041,0.00000001,0.42234304,0.12937442,0.05191912
-4.19909955,0.56946703,0.20969580,0.15464990,0.00000000,0.03959295,0.00000000,0.42607969,0.12821178,0.05203204
-4.19309655,0.57596099,0.21534629,0.15965281,0.00000000,0.03902767,0.00000000,0.43037544,0.12710951,0.05216454
-4.18709355,0.58369207,0.22172702,0.16513917,0.00000000,0.03851679,0.00000000,0.43559638,0.12622711,0.05235904
-4.18109055,0.59310811,0.22897668,0.17117935,0.00000000,0.03811368,0.00000000,0.44208915,0.12572568,0.05265576
-4.17508754,0.60461181,0.23721128,0.17782649,0.00000000,0.03787135,0.00000000,0.45016624,0.12576289,0.05309097
-4.16908454,0.61854272,0.24651759,0.18511278,0.00000000,0.03784082,0.00000000,0.46009203,0.12648787,0.05369533
-4.16308154,0.63516120,0.25694738,0.19304639,0.00000000,0.03806962,0.00000000,0.47207019,0.12803634,0.05449248
-4.15707854,0.65463484,0.26851277,0.20160918,0.00000000,0.03860026,0.00000000,0.48623310,0.13052595,0.05549785
-4.15107554,0.67702802,0.28118284,0.21075550,0.00000000,0.03946889,0.00000000,0.50263349,0.13405219,0.05671771
-4.14507254,0.70229507,0.29488180,0.22041190,0.00000000,0.04070411,0.00000000,0.52123897,0.13868478,0.05814866
-4.13906953,0.73027741,0.30948873,0.23047803,0.00000000,0.04232596,0.00000000,0.54192956,0.14446496,0.05977743
-4.13306653,0.76070473,0.32483910,0.24082858,0.00000000,0.04434514,0.00000000,0.56449839,0.15140343,0.06158105
-4.12706353,0.79320034,0.34072793,0.25131629,0.00000000,0.04676253,0.00000000,0.58865563,0.15947933,0.06352745
-4.12106053,0.82729048,0.35691459,0.26177583,0.00000000,0.04956895,0.00000000,0.61403555,0.16864010,0.06557637
-4.11505753,0.86241726,0.37312905,0.27202852,0.00000000,0.05274518,0.00000000,0.64020645,0.17880227,0.06768063
-4.10905453,0.89795485,0.38907946,0.28188770,0.00000000,0.05626235,0.00000000,0.66668314,0.18985333,0.06978762
-4.10305153,0.93322820,0.40446070,0.29116444,0.00000000,0.06008252,0.00000000,0.69294150,0.20165431,0.07184107
-4.09704852,0.96753373,0.41896361,0.29967350,0.00000000,0.06415955,0.00000000,0.71843457,0.21404329,0.07378295
-4.09104552,1.00016111,0.43228458,0.30723925,0.00000000,0.06844023,0.00000000,0.74260965,0.22683952,0.07555541
-4.08504252,1.03041533,0.44413514,0.31370132,0.00000000,0.07286558,0.00000000,0.76492561,0.23984816,0.07710275
-4.07903952,1.05763826,0.45425108,0.31891978,0.00000000,0.07737227,0.00000000,0.78486980,0.25286536,0.07837331
-4.07303652,1.08122886,0.46240097,0.32277965,0.00000000,0.08189424,0.00000000,0.80197410,0.26568351,0.07932117
-4.06703352,1.10066125,0.46839345,0.32519458,0.00000000,0.08636423,0.00000000,0.81582912,0.27809652,0.07990770
-4.06103052,1.11550011,0.47208330,0.32610962,0.00000000,0.09071545,0.00000000,0.82609646,0.28990500,0.08010275
-4.05502751,1.12541276,0.47337588,0.32550283,0.00000000,0.09488308,0.00000000,0.83251825,0.30092097,0.07988560
-4.04902451,1.13017759,0.47222992,0.32338601,0.00000000,0.09880575,0.00000000,0.83492384,0.31097211,0.07924550
-4.04302151,1.12968869,0.46865847,0.31980420,0.00000000,0.10242679,0.00000000,0.83323348,0.31990541,0.07818192
-4.03701851,1.12395654,0.46272820,0.31483428,0.00000000,0.10569537,0.00000000,0.82745883,0.32759006,0.07670436
-4.03101551,1.11310503,0.45455692,0.30858265,0.00000000,0.10856738,0.00000000,0.81770046,0.33391948,0.07483190
-4.02501251,1.09736499,0.44430967,0.30118213,0.00000000,0.11100616,0.00000000,0.80414267,0.33881268,0.07259241
-4.01900950,1.07706476,0.43219346,0.29278824,0.00000000,0.11298291,0.00000000,0.78704581,0.34221473,0.07002151
-4.01300650,1.05261833,0.41845105,0.28357509,0.00000000,0.11447696,0.00000000,0.76673665,0.34409655,0.06716128
-4.00700350,1.02451160,0.40335398,0.27373089,0.00000000,0.11547588,0.00000000,0.74359728,0.34445404,0.06405892
-4.00100050,0.99328757,0.38719513,0.26345353,0.00000000,0.11597531,0.00000000,0.71805304,0.34330671,0.06076523
-3.99499750,0.95953093,0.37028123,0.25294603,0.00000000,0.11597875,0.00000000,0.69056010,0.34069591,0.05733314
-3.98899450,0.92385280,0.35292549,0.24241231,0.00000000,0.11549715,0.00000000,0.66159306,0.33668275,0.05381626
-3.98299150,0.88687605,0.33544060,0.23205322,0.00000000,0.11454852,0.00000000,0.63163321,0.33134585,0.05026746
-3.97698849,0.84922176,0.31813230,0.22206288,0.00000000,0.11315734,0.00000000,0.60115757,0.32477907,0.04673773
