energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.36417316,0.00961315,0.11489288,0.78292548,0.48848316,0.59425530,0.00000000,0.22962648,0.16657538
-5.99399700,1.37690830,0.01019526,0.11622363,0.80859945,0.48911442,0.60485789,0.00000000,0.23968199,0.16972545
-5.98799400,1.39341321,0.01078538,0.11833270,0.83925571,0.49116421,0.61688746,0.00000000,0.25072798,0.17300355
-5.98199100,1.41374419,0.01137524,0.12115519,0.87431444,0.49469767,0.63038125,0.00000000,0.26274504,0.17640436
-5.97598799,1.43786325,0.01195625,0.12462152,0.91314155,0.49974823,0.64532715,0.00000000,0.27568816,0.17990989
-5.96998499,1.46562054,0.01251969,0.12865657,0.95504815,0.50630979,0.66165649,0.00000000,0.28948421,0.18348858
-5.96398199,1.49674212,0.01305690,0.13317928,0.99929308,0.51433068,0.67923937,0.00000000,0.30403031,0.18709519
-5.95797899,1.53082377,0.01355943,0.13810260,1.04508877,0.52370989,0.69788298,0.00000000,0.31919355,0.19067142
-5.95197599,1.56733157,0.01401926,0.14333394,1.09161083,0.53429577,0.71733279,0.00000000,0.33481183,0.19414726
-5.94597299,1.60560919,0.01442897,0.14877617,1.13801101,0.54588718,0.73727688,0.00000000,0.35069604,0.19744312
-5.93996998,1.64489167,0.01478191,0.15432903,1.18343343,0.55823733,0.75735310,0.00000000,0.36663349,0.20047246
-5.93396698,1.68432513,0.01507233,0.15989107,1.22703331,0.57105977,0.77715881,0.00000000,0.38239245,0.20314496
-5.92796398,1.72299141,0.01529555,0.16536190,1.26799746,0.58403664,0.79626278,0.00000000,0.39772773,0.20536995
-5.92196098,1.75993664,0.01544799,0.17064469,1.30556567,0.59682840,0.81421868,0.00000000,0.41238702,0.20705999
-5.91595798,1.79420231,0.01552729,0.17564877,1.33905194,0.60908497,0.83057967,0.00000000,0.42611792,0.20813446
-5.90995498,1.82485763,0.01553230,0.18029226,1.36786453,0.62045745,0.84491346,0.00000000,0.43867517,0.20852289
-5.90395198,1.85103155,0.01546307,0.18450449,1.39152389,0.63061019,0.85681712,0.00000000,0.44982815,0.20816799
-5.89794897,1.87194343,0.01532085,0.18822818,1.40967759,0.63923247,0.86593123,0.00000000,0.45936801,0.20702824
-5.89194597,1.88693079,0.01510798,0.19142118,1.42211154,0.64604951,0.87195273,0.00000000,0.46711455,0.20507983
-5.88594297,1.89547340,0.01482785,0.19405776,1.42875696,0.65083224,0.87464599,0.00000000,0.47292227,0.20231813
-5.87993997,1.89721264,0.01448475,0.19612928,1.42969277,0.65340557,0.87385186,0.00000000,0.47668565,0.19875832
-5.87393697,1.89196562,0.01408379,0.19764434,1.42514335,0.65365491,0.86949429,0.00000000,0.47834330,0.19443558
-5.86793397,1.87973373,0.01363075,0.19862824,1.41547176,0.65153058,0.86158441,0.00000000,0.47788092,0.18940447
-5.86193097,1.86070537,0.01313200,0.19912192,1.40116871,0.64705028,0.85022204,0.00000000,0.47533295,0.18373798
-5.85592796,1.83525302,0.01259432,0.19918036,1.38283795,0.64029940,0.83559460,0.00000000,0.47078286,0.17752586
-5.84992496,1.80392504,0.01202484,0.19887049,1.36117845,0.63142930,0.81797361,0.00000000,0.46436208,0.17087282
-5.84392196,1.76743257,0.01143092,0.19826876,1.33696443,0.62065379,0.79770889,0.00000000,0.45624759,0.16389624
-5.83791896,1.72663216,0.01082004,0.19745849,1.31102378,0.60824387,0.77522077,0.00000000,0.44665825,0.15672381
-5.83191596,1.68250499,0.01019975,0.19652706,1.28421582,0.59452109,0.75099069,0.00000000,0.43585003,0.14949102
-5.82591296,1.63613334,0.00957758,0.19556308,1.25740916,0.57984980,0.72555025,0.00000000,0.42411025,0.14233864
-5.81990995,1.58867511,0.00896098,0.19465366,1.23146023,0.56462847,0.69946946,0.00000000,0.41175096,0.13541022
-5.81390695,1.54133726,0.00835731,0.19388190,1.20719329,0.54928050,0.67334411,0.00000000,0.39910181,0.12884969
-5.80790395,1.49534886,0.00777376,0.19332460,1.18538216,0.53424470,0.64778287,0.00000000,0.38650237,0.12279903
-5.80190095,1.45193421,0.00721738,0.19305041,1.16673414,0.51996570,0.62339427,0.00000000,0.37429431,0.11739609
-5.79589795,1.41228690,0.00669500,0.19311820,1.15187623,0.50688447,0.60077385,0.00000000,0.36281353,0.11277252
-5.78989495,1.37754490,0.00621327,0.19357597,1.14134378,0.49542912,0.58049173,0.00000000,0.35238244,0.10905179
-5.78389195,1.34876718,0.00577863,0.19446001,1.13557146,0.48600605,0.56308072,0.00000000,0.34330250,0.10634727
-5.77788894,1.32691198,0.00539732,0.19579451,1.13488644,0.47899159,0.54902514,0.00000000,0.33584730,0.10476039
-5.77188594,1.31281704,0.00507534,0.19759140,1.13950361,0.47472410,0.53875052,0.00000000,0.33025617,0.10437885
-5.76588294,1.30718163,0.00481851,0.19985046,1.14952267,0.47349657,0.53261425,0.00000000,0.32672850,0.10527482
-5.75987994,1.31055077,0.00463242,0.20255968,1.16492678,0.47554977,0.53089723,0.00000000,0.32541892,0.10750319
-5.75387694,1.32330144,0.00452246,0.20569570,1.18558286,0.48106599,0.53379674,0.00000000,0.32643330,0.11109988
-5.74787394,1.34563122,0.00449375,0.20922439,1.21124324,0.49016332,0.54142057,0.00000000,0.32982578,0.11608026
-5.74187094,1.37754943,0.00455122,0.21310147,1.24154877,0.50289073,0.55378256,0.00000000,0.33559688,0.12243765
-5.73586793,1.41887100,0.00469949,0.21727328,1.27603349,0.51922392,0.57079973,0.00000000,0.34369272,0.13014211
-5.72986493,1.46921360,0.00494292,0.22167749,1.31413090,0.53906219,0.59229118,0.00000000,0.35400541,0.13913955
-5.72386193,1.52799838,0.00528554,0.22624396,1.35518214,0.56222663,0.61797896,0.00000000,0.36637477,0.14935116
-5.71785893,1.59445468,0.00573102,0.23089568,1.39844613,0.58845958,0.64749098,0.00000000,0.38059130,0.16067351
-5.71185593,1.66762922,0.00628262,0.23554990,1.44311196,0.61742602,0.68036632,0.00000000,0.39640046,0.17297907
-5.70585293,1.74640016,0.00694315,0.24011932,1.48831352,0.64871666,0.71606283,0.00000000,0.41350819,0.18611761
-5.69984992,1.82949604,0.00771490,0.24451358,1.53314650,0.68185335,0.75396717,0.00000000,0.43158774,0.19991821
-5.69384692,1.91551991,0.00859962,0.24864093,1.57668744,0.71629657,0.79340731,0.00000000,0.45028748,0.21419214
-5.68784392,2.00297820,0.00959838,0.25241015,1.61801469,0.75145531,0.83366709,0.00000000,0.46923973,0.22873649
-5.68184092,2.09031404,0.01071160,0.25573258,1.65623070,0.78669904,0.87400285,0.00000000,0.48807019,0.24333851
-5.67583792,2.17594418,0.01193891,0.25852441,1.69048502,0.82137174,0.91366148,0.00000000,0.50640791,0.25778059
-5.66983492,2.25829850,0.01327909,0.26070898,1.71999729,0.85480759,0.95189956,0.00000000,0.52389522,0.27184576
-5.66383192,2.33586094,0.01473003,0.26221909,1.74407927,0.88634780,0.98800284,0.00000000,0.54019752,0.28532343
-5.65782891,2.40721014,0.01628860,0.26299920,1.76215495,0.91535817,1.02130540,0.00000000,0.55501234,0.29801528
-5.65182591,2.47105848,0.01795059,0.26300740,1.77377780,0.94124656,1.05120775,0.00000000,0.56807747,0.30974098
-5.64582291,2.52628767,0.01971060,0.26221703,1.77864442,0.96347974,1.07719317,0.00000000,0.57917771,0.32034353
-5.63981991,2.57197938,0.02156195,0.26061790,1.77660359,0.98159878,1.09884149,0.00000000,0.58814999,0.32969390
-5.63381691,2.60743951,0.02349657,0.25821693,1.76766036,0.99523238,1.11583974,0.00000000,0.59488670,0.33769483
-5.62781391,2.63221498,0.02550487,0.25503823,1.75197478,1.00410748,1.12798925,0.00000000,0.59933693,0.34428357
-5.62181091,2.64610219,0.02757570,0.25112255,1.72985532,1.00805676,1.13520877,0.00000000,0.60150582,0.34943335
-5.61580790,2.64914674,0.02969621,0.24652612,1.70174700,1.00702257,1.13753349,0.00000000,0.60145187,0.35315355
-5.60980490,2.64163456,0.03185180,0.24131892,1.66821501,1.00105723,1.13511014,0.00000000,0.59928252,0.35548855
-5.60380190,2.62407495,0.03402609,0.23558248,1.62992442,0.99031968,1.12818831,0.00000000,0.59514831,0.35651520
-5.59779890,2.59717636,0.03620093,0.22940729,1.58761711,0.97506866,1.11710854,0.00000000,0.58923575,0.35633924
-5.59179590,2.56181646,0.03835648,0.22288992,1.54208683,0.95565285,1.10228784,0.00000000,0.58175965,0.35509059
-5.58579290,2.51900791,0.04047131,0.21613014,1.49415393,0.93249854,1.08420329,0.00000000,0.57295504,0.35291796
-5.57978989,2.46986188,0.04252266,0.20922798,1.44464071,0.90609534,1.06337473,0.00000000,0.56306930,0.34998300
-5.57378689,2.41555096,0.04448666,0.20228110,1.39434868,0.87698080,1.04034727,0.00000000,0.55235484,0.34645418
-5.56778389,2.35727360,0.04633881,0.19538242,1.34403870,0.84572467,1.01567453,0.00000000,0.54106276,0.34250095
-5.56178089,2.29622156,0.04805434,0.18861822,1.29441480,0.81291338,0.98990339,0.00000000,0.52943765,0.33828830
-5.55577789,2.23355180,0.04960882,0.18206679,1.24611225,0.77913568,0.96356078,0.00000000,0.51771383,0.33397196
-5.54977489,2.17036406,0.05097874,0.17579757,1.19969009,0.74496969,0.93714317,0.00000000,0.50611298,0.32969472
-5.54377189,2.10768446,0.05214214,0.16987093,1.15562809,0.71097204,0.91110880,0.00000000,0.49484319,0.32558368
-5.53776888,2.04645559,0.05307928,0.16433842,1.11432793,0.67766927,0.88587289,0.00000000,0.48409926,0.32174881
-5.53176588,1.98753260,0.05377332,0.15924350,1.07611796,0.64555151,0.86180568,0.00000000,0.47406394,0.31828261
-5.52576288,1.93168487,0.05421094,0.15462265,1.04126074,0.61506856,0.83923286,0.00000000,0.46490990,0.31526096
-5.51975988,1.87960195,0.05438284,0.15050669,1.00996262,0.58662807,0.81843818,0.00000000,0.45680193,0.31274491
