energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.78333540,0.37352734,0.00216404,0.05432684,0.90307320,1.00494457,0.35265094
-5.99399700,1.85258156,0.38184006,0.00233469,0.05328157,0.94415032,1.04708495,0.36780827
-5.98799400,1.92978955,0.39037230,0.00251636,0.05256422,0.99053530,1.09122186,0.38599982
-5.98199100,2.01483459,0.39911881,0.00270845,0.05220031,1.04215060,1.13691674,0.40731827
-5.97598799,2.10750907,0.40808558,0.00291024,0.05220930,1.09885206,1.18373088,0.43181687
-5.96998499,2.20752324,0.41729163,0.00312091,0.05260468,1.16042770,1.23123212,0.45950653
-5.96398199,2.31450577,0.42676986,0.00333950,0.05339415,1.22659708,1.27900051,0.49035318
-5.95797899,2.42800400,0.43656699,0.00356496,0.05457992,1.29701129,1.32663277,0.52427577
-5.95197599,2.54748367,0.44674244,0.00379611,0.05615891,1.37125347,1.37374546,0.56114462
-5.94597299,2.67232835,0.45736618,0.00403169,0.05812310,1.44884003,1.41997704,0.60078047
-5.93996998,2.80183885,0.46851572,0.00427032,0.06045973,1.52922264,1.46498882,0.64295404
-5.93396698,2.93523290,0.48027221,0.00451056,0.06315158,1.61179116,1.50846507,0.68738654
-5.92796398,3.07164585,0.49271615,0.00475087,0.06617713,1.69587768,1.55011265,0.73375086
-5.92196098,3.21013280,0.50592272,0.00498968,0.06951078,1.78076189,1.58966029,0.78167384
-5.91595798,3.34967278,0.51995712,0.00522537,0.07312302,1.86567791,1.62685802,0.83073958
-5.90995498,3.48917557,0.53487030,0.00545630,0.07698059,1.94982271,1.66147694,0.88049389
-5.90395198,3.62749153,0.55069511,0.00568084,0.08104670,2.03236612,1.69330946,0.93044987
-5.89794897,3.76342462,0.56744338,0.00589742,0.08528128,2.11246253,1.72217028,0.98009467
-5.89194597,3.89574870,0.58510392,0.00610452,0.08964128,2.18926393,1.74789817,1.02889729
-5.88594297,4.02322701,0.60364158,0.00630072,0.09408104,2.26193427,1.77035835,1.07631739
-5.87993997,4.14463421,0.62299760,0.00648475,0.09855275,2.32966470,1.78944545,1.12181481
-5.87393697,4.25878054,0.64309090,0.00665550,0.10300697,2.39168928,1.80508685,1.16485973
-5.86793397,4.36453731,0.66382050,0.00681205,0.10739325,2.44730076,1.81724601,1.20494309
-5.86193097,4.46086264,0.68506881,0.00695372,0.11166078,2.49586591,1.82592561,1.24158705
-5.85592796,4.54682667,0.70670557,0.00708008,0.11575915,2.53683979,1.83117008,1.27435511
-5.84992496,4.62163510,0.72859221,0.00719098,0.11963909,2.56977862,1.83306731,1.30286169
-5.84392196,4.68465007,0.75058641,0.00728655,0.12325327,2.59435064,1.83174917,1.32678078
-5.83791896,4.73540771,0.77254661,0.00736721,0.12655707,2.61034473,1.82739089,1.34585345
-5.83191596,4.77363146,0.79433625,0.00743370,0.12950935,2.61767634,1.82020891,1.35989396
-5.82591296,4.79924076,0.81582745,0.00748702,0.13207315,2.61639068,1.81045753,1.36879431
-5.81990995,4.81235484,0.83690416,0.00752847,0.13421635,2.60666303,1.79842423,1.37252711
-5.81390695,4.81329143,0.85746443,0.00755957,0.13591228,2.58879616,1.78442389,1.37114668
-5.80790395,4.80256058,0.87742201,0.00758210,0.13714017,2.56321512,1.76879227,1.36478843
-5.80190095,4.78085397,0.89670705,0.00759799,0.13788557,2.53045940,1.75187895,1.35366645
-5.79589795,4.74903002,0.91526604,0.00760932,0.13814061,2.49117303,1.73404008,1.33806956
-5.78989495,4.70809556,0.93306113,0.00761828,0.13790425,2.44609260,1.71563126,1.31835581
-5.78389195,4.65918452,0.95006874,0.00762708,0.13718224,2.39603393,1.69700085,1.29494568
-5.77788894,4.60353454,0.96627780,0.00763794,0.13598718,2.34187735,1.67848390,1.26831411
-5.77188594,4.54246191,0.98168761,0.00765300,0.13433827,2.28455227,1.66039700,1.23898154
-5.76588294,4.47733563,0.99630549,0.00767430,0.13226103,2.22502108,1.64303388,1.20750424
-5.75987994,4.40955104,1.01014436,0.00770370,0.12978694,2.16426285,1.62666204,1.17446395
-5.75387694,4.34050356,1.02322028,0.00774284,0.12695286,2.10325686,1.61152018,1.14045717
-5.74787394,4.27156283,1.03555015,0.00779313,0.12380045,2.04296630,1.59781627,1.10608419
-5.74187094,4.20404756,1.04714950,0.00785567,0.12037537,1.98432228,1.58572616,1.07193797
-5.73586793,4.13920154,1.05803058,0.00793123,0.11672648,1.92820816,1.57539252,1.03859321
-5.72986493,4.07817074,1.06820062,0.00802026,0.11290492,1.87544450,1.56692385,1.00659549
-5.72386193,4.02198203,1.07766040,0.00812283,0.10896311,1.82677471,1.56039339,0.97645096
-5.71785893,3.97152355,1.08640313,0.00823867,0.10495372,1.78285157,1.55583792,0.94861644
