energy_ev,total_up,In_p_up,In_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,1.58374720,0.19217653,0.00510792,0.23092456,1.18972224,0.26692957,0.00000000
-5.99399700,1.61330959,0.19869831,0.00519135,0.23682806,1.21260067,0.26842217,0.00000000
-5.98799400,1.64529770,0.20592658,0.00527469,0.24328344,1.23721788,0.27033975,0.00000000
-5.98199100,1.68015792,0.21389761,0.00535892,0.25038924,1.26390692,0.27274972,0.00000000
-5.97598799,1.71831929,0.22263796,0.00544516,0.25824544,1.29298749,0.27571193,0.00000000
-5.96998499,1.76017174,0.23216197,0.00553452,0.26694872,1.32475009,0.27927622,0.00000000
-5.96398199,1.80604479,0.24246939,0.00562811,0.27658762,1.35944037,0.28348035,0.00000000
-5.95797899,1.85618754,0.25354345,0.00572691,0.28723780,1.39724441,0.28834839,0.00000000
-5.95197599,1.91075103,0.26534938,0.00583175,0.29895777,1.43827565,0.29388963,0.00000000
-5.94597299,1.96977382,0.27783353,0.00594320,0.31178496,1.48256405,0.30009798,0.00000000
-5.93996998,2.03317142,0.29092326,0.00606157,0.32573268,1.53004809,0.30695190,0.00000000
-5.93396698,2.10073007,0.30452750,0.00618688,0.34078770,1.58056986,0.31441484,0.00000000
-5.92796398,2.17210523,0.31853812,0.00631880,0.35690887,1.63387365,0.32243609,0.00000000
-5.92196098,2.24682477,0.33283194,0.00645669,0.37402656,1.68960798,0.33095203,0.00000000
-5.91595798,2.32429672,0.34727340,0.00659960,0.39204312,1.74733112,0.33988761,0.00000000
-5.90995498,2.40382142,0.36171779,0.00674632,0.41083423,1.80651986,0.34915820,0.00000000
-5.90395198,2.48460746,0.37601475,0.00689537,0.43025103,1.86658121,0.35867145,0.00000000
-5.89794897,2.56579088,0.39001212,0.00704510,0.45012311,1.92686677,0.36832936,0.00000000
-5.89194597,2.64645703,0.40355979,0.00719374,0.47026207,1.98668907,0.37803038,0.00000000
-5.88594297,2.72566429,0.41651350,0.00733946,0.49046567,2.04533968,0.38767148,0.00000000
-5.87993997,2.80246903,0.42873841,0.00748042,0.51052234,2.10210825,0.39715034,0.00000000
-5.87393697,2.87595095,0.44011228,0.00761487,0.53021599,2.15630206,0.40636735,0.00000000
-5.86793397,2.94523812,0.45052829,0.00774121,0.54933095,2.20726564,0.41522777,0.00000000
-5.86193097,3.00953107,0.45989726,0.00785803,0.56765693,2.25439956,0.42364368,0.00000000
-5.85592796,3.06812514,0.46814932,0.00796418,0.58499381,2.29717824,0.43153600,0.00000000
-5.84992496,3.12043067,0.47523498,0.00805883,0.60115622,2.33516598,0.43883634,0.00000000
-5.84392196,3.16599011,0.48112571,0.00814149,0.61597772,2.36803075,0.44548871,0.00000000
-5.83791896,3.20449193,0.48581381,0.00821203,0.62931453,2.39555546,0.45145114,0.00000000
-5.83191596,3.23578048,0.48931193,0.00827074,0.64104867,2.41764603,0.45669694,0.00000000
-5.82591296,3.25986167,0.49165208,0.00831827,0.65109039,2.43433610,0.46121566,0.00000000
-5.81990995,3.27690415,0.49288426,0.00835568,0.65937995,2.44578809,0.46501370,0.00000000
-5.81390695,3.28723566,0.49307483,0.00838439,0.66588859,2.45229038,0.46811431,0.00000000
-5.80790395,3.29133481,0.49230468,0.00840617,0.67061871,2.45425069,0.47055715,0.00000000
