energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.10505913,0.70248551,0.44251962,0.00746926,0.75025467,1.17474287,0.00000000,1.30336758,0.80420865
-5.99399700,3.04099752,0.67893161,0.43059547,0.00729975,0.74713936,1.13781743,0.00000000,1.29454257,0.79128873
-5.98799400,2.97369843,0.65364674,0.41831750,0.00711047,0.74370519,1.09904299,0.00000000,1.28401661,0.77758262
-5.98199100,2.90511804,0.62708282,0.40591667,0.00690727,0.74047562,1.05910805,0.00000000,1.27270826,0.76361272
-5.97598799,2.83717247,0.59969180,0.39361081,0.00669603,0.73796890,1.01868503,0.00000000,1.26157088,0.74988489
-5.96998499,2.77168642,0.57191502,0.38159939,0.00648255,0.73668232,0.97841439,0.00000000,1.25156758,0.73687348
-5.96398199,2.71034690,0.54417369,0.37005916,0.00627235,0.73707767,0.93889086,0.00000000,1.24364643,0.72500782
-5.95797899,2.65466412,0.51686058,0.35914107,0.00607056,0.73956819,0.90065211,0.00000000,1.23871703,0.71466091
-5.95197599,2.60594049,0.49033328,0.34896838,0.00588182,0.74450789,0.86417019,0.00000000,1.23762906,0.70614059
-5.94597299,2.56524903,0.46490908,0.33963597,0.00571019,0.75218325,0.82984600,0.00000000,1.24115361,0.69968354
-5.93996998,2.53342124,0.44086155,0.33121097,0.00555912,0.76280790,0.79800665,0.00000000,1.24996759,0.69545228
-5.93396698,2.51104448,0.41841870,0.32373436,0.00543143,0.77652003,0.76890563,0.00000000,1.26464176,0.69353518
-5.92796398,2.49846814,0.39776282,0.31722357,0.00532932,0.79338270,0.74272558,0.00000000,1.28563212,0.69394925
-5.92196098,2.49581754,0.37903152,0.31167573,0.00525437,0.81338666,0.71958302,0.00000000,1.31327469,0.69664557
-5.91595798,2.50301388,0.36232004,0.30707129,0.00520761,0.83645535,0.69953483,0.00000000,1.34778327,0.70151680
-5.90995498,2.51979871,0.34768437,0.30337790,0.00518955,0.86245151,0.68258569,0.00000000,1.38924961,0.70840629
-5.90395198,2.54576070,0.33514496,0.30055406,0.00520023,0.89118493,0.66869598,0.00000000,1.43764547,0.71711822
-5.89794897,2.58036285,0.32469072,0.29855246,0.00523927,0.92242061,0.65778963,0.00000000,1.49282576,0.72742812
-5.89194597,2.62296821,0.31628312,0.29732270,0.00530589,0.95588673,0.64976132,0.00000000,1.55453223,0.73909309
-5.88594297,2.67286257,0.30985997,0.29681330,0.00539897,0.99128197,0.64448262,0.00000000,1.62239718,0.75186127
-5.87993997,2.72927265,0.30533895,0.29697282,0.00551702,1.02828166,0.64180682,0.00000000,1.69594662,0.76547992
-5.87393697,2.79137921,0.30262049,0.29775013,0.00565824,1.06654245,0.64157222,0.00000000,1.77460280,0.77970188
-5.86793397,2.85832464,0.30159012,0.29909388,0.00582045,1.10570544,0.64360379,0.00000000,1.85768621,0.79429008
-5.86193097,2.92921540,0.30212020,0.30095122,0.00600113,1.14539774,0.64771342,0.00000000,1.94441700,0.80902013
-5.85592796,3.00312001,0.30407110,0.30326598,0.00619735,1.18523279,0.65369894,0.00000000,2.03391670,0.82368101
-5.84992496,3.07906389,0.30729195,0.30597660,0.00640581,1.22480972,0.66134221,0.00000000,2.12521063,0.83807417
-5.84392196,3.15602268,0.31162111,0.30901392,0.00662283,1.26371233,0.67040682,0.00000000,2.21723188,0.85201134
-5.83791896,3.23291578,0.31688660,0.31229924,0.00684431,1.30150831,0.68063586,0.00000000,2.30882783,0.86531169
-5.83191596,3.30860211,0.32290653,0.31574278,0.00706581,1.33774927,0.69175024,0.00000000,2.39876992,0.87779863
-5.82591296,3.38187984,0.32948998,0.31924294,0.00728259,1.37197218,0.70344799,0.00000000,2.48576736,0.88929694
-5.81990995,3.45149152,0.33643827,0.32268623,0.00748967,1.40370272,0.71540511,0.00000000,2.56848538,0.89963080
-5.81390695,3.51613588,0.34354689,0.32594844,0.00768193,1.43246089,0.72727812,0.00000000,2.64556815,0.90862283
-5.80790395,3.57448680,0.35060816,0.32889658,0.00785425,1.45776894,0.73870855,0.00000000,2.71566608,0.91609481
-5.80190095,3.62521931,0.35741462,0.33139202,0.00800161,1.47916168,0.74932935,0.00000000,2.77746715,0.92186993
-5.79589795,3.66704221,0.36376306,0.33329442,0.00811926,1.49619877,0.75877323,0.00000000,2.82973115,0.92577663
-5.78989495,3.69873570,0.36945926,0.33446635,0.00820287,1.50847844,0.76668244,0.00000000,2.87132567,0.92765400
