energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.28721444,0.01879049,0.81967190,0.74059250,0.23432600,1.05723407,0.00000000,2.07416812,1.09247116
-5.99399700,3.13045578,0.01821696,0.77985177,0.70985016,0.21933844,1.00854684,0.00000000,1.99032895,1.03212852
-5.98799400,2.98493144,0.01770134,0.74261525,0.68250007,0.20557553,0.96348764,0.00000000,1.91213779,0.97589524
-5.98199100,2.85129187,0.01724935,0.70824261,0.65836052,0.19307606,0.92211224,0.00000000,1.84014698,0.92414468
-5.97598799,2.73014414,0.01686675,0.67698927,0.63726168,0.18187490,0.88448253,0.00000000,1.77489819,0.87721188
-5.96998499,2.62205450,0.01655927,0.64908374,0.61905290,0.17200380,0.85067086,0.00000000,1.71691881,0.83539224
-5.96398199,2.52754864,0.01633257,0.62472554,0.60360826,0.16349196,0.82076306,0.00000000,1.66671680,0.79894006
-5.95797899,2.44710948,0.01619215,0.60408308,0.59083037,0.15636628,0.79485993,0.00000000,1.62477385,0.76806706
-5.95197599,2.38117254,0.01614331,0.58729165,0.58065220,0.15065144,0.77307723,0.00000000,1.59153712,0.74294066
-5.94597299,2.33011887,0.01619102,0.57445143,0.57303683,0.14636958,0.75554402,0.00000000,1.56740965,0.72368218
-5.93996998,2.29426600,0.01633982,0.56562575,0.56797544,0.14353987,0.74239962,0.00000000,1.55273963,0.71036494
-5.93396698,2.27385699,0.01659373,0.56083947,0.56548336,0.14217782,0.73378903,0.00000000,1.54780897,0.70301230
-5.92796398,2.26904828,0.01695606,0.56007775,0.56559475,0.14229444,0.72985723,0.00000000,1.55282144,0.70159576
-5.92196098,2.27989674,0.01742935,0.56328510,0.56835599,0.14389521,0.73074241,0.00000000,1.56789079,0.70603325
-5.91595798,2.30634661,0.01801514,0.57036492,0.57381825,0.14697902,0.73656849,0.00000000,1.59302945,0.71618771
-5.90995498,2.34821708,0.01871389,0.58117954,0.58202962,0.15153706,0.74743716,0.00000000,1.62813833,0.73186622
-5.90395198,2.40519114,0.01952478,0.59555080,0.59302721,0.15755162,0.76341991,0.00000000,1.67299816,0.75281968
-5.89794897,2.47680654,0.02044562,0.61326131,0.60682973,0.16499511,0.78455029,0.00000000,1.72726308,0.77874344
-5.89194597,2.56244953,0.02147268,0.63405635,0.62343075,0.17382904,0.81081681,0.00000000,1.79045687,0.80927880
-5.88594297,2.66135208,0.02260061,0.65764651,0.64279328,0.18400325,0.84215690,0.00000000,1.86197244,0.84401578
