energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,8.40516438,0.18653677,0.05451581,1.16724882,0.41564115,0.18231946,2.24692100,0.73461880,3.83801546
-5.99399700,8.20733060,0.18574035,0.05315531,1.16948401,0.40677039,0.17818778,2.21653173,0.73153361,3.71546524
-5.98799400,7.99089391,0.18454012,0.05176468,1.16779634,0.39724284,0.17345228,2.17981844,0.72647206,3.58582404
-5.98199100,7.75797391,0.18295524,0.05035531,1.16215616,0.38713189,0.16816764,2.13708744,0.71945016,3.45039342
-5.97598799,7.51101367,0.18101087,0.04894099,1.15263921,0.37653240,0.16239590,2.08878617,0.71053605,3.31055072
-5.96998499,7.25274973,0.17873861,0.04753791,1.13943022,0.36555950,0.15620553,2.03550007,0.69985098,3.16772858
-5.96398199,6.98617417,0.17617688,0.04616442,1.12282245,0.35434661,0.14967033,1.97794501,0.68756856,3.02339419
-5.95797899,6.71448834,0.17337104,0.04484084,1.10321286,0.34304286,0.14286814,1.91695481,0.67391232,2.87902803
-5.95197599,6.44104787,0.17037323,0.04358906,1.08109295,0.33180980,0.13587957,1.85346410,0.65915134,2.73610183
-5.94597299,6.16929919,0.16724200,0.04243216,1.05703527,0.32081751,0.12878647,1.78848674,0.64359408,2.59605575
-5.93996998,5.90270852,0.16404138,0.04139379,1.03167615,0.31024019,0.12167052,1.72309022,0.62758046,2.46027469
-5.93396698,5.64468457,0.16083974,0.04049757,1.00569507,0.30025142,0.11461165,1.65836696,0.61147231,2.33006408
-5.92796398,5.39849689,0.15770816,0.03976628,0.97979146,0.29101912,0.10768661,1.59540327,0.59564250,2.20662530
-5.92196098,5.16719250,0.15471848,0.03922111,0.95465994,0.28270055,0.10096754,1.53524728,0.58046308,2.09103153
-5.91595798,4.95351350,0.15194101,0.03888077,0.93096481,0.27543746,0.09452073,1.47887687,0.56629282,1.98420444
-5.90995498,4.75981894,0.14944210,0.03876068,0.90931510,0.26935152,0.08840547,1.42716912,0.55346469,1.88689280
-5.90395198,4.58801419,0.14728147,0.03887212,0.89024115,0.26454052,0.08267321,1.38087240,0.54227365,1.79965370
-5.89794897,4.43949123,0.14550969,0.03922156,0.87417380,0.26107514,0.07736687,1.34058248,0.53296540,1.72283738
-5.89194597,4.31508277,0.14416570,0.03981003,0.86142721,0.25899685,0.07252048,1.30672372,0.52572662,1.65657663
-5.88594297,4.21503312,0.14327464,0.04063272,0.85218604,0.25831682,0.06815913,1.27953626,0.52067699,1.60078149
-5.87993997,4.13898772,0.14284611,0.04167875,0.84649780,0.25901604,0.06429909,1.25907006,0.51786368,1.55513989
-5.87393697,4.08600303,0.14287297,0.04293118,0.84427068,0.26104674,0.06094838,1.24518599,0.51725843,1.51912480
-5.86793397,4.05457719,0.14333079,0.04436724,0.84527702,0.26433496,0.05810747,1.23756436,0.51875761,1.49200809
-5.86193097,4.04270138,0.14417797,0.04595888,0.84916252,0.26878436,0.05577029,1.23572049,0.52218521,1.47288090
-5.85592796,4.04793042,0.14535674,0.04767347,0.85546070,0.27428108,0.05392538,1.23902690,0.52729894,1.46068035
-5.84992496,4.06747068,0.14679476,0.04947479,0.86361206,0.28069935,0.05255722,1.24674129,0.53379907,1.45422181
-5.84392196,4.09828197,0.14840758,0.05132416,0.87298727,0.28790780,0.05164766,1.25803916,0.54133981,1.45223574
-5.83791896,4.13718989,0.15010165,0.05318177,0.88291319,0.29577604,0.05117732,1.27204974,0.54954281,1.45340798
-5.83191596,4.18100385,0.15177790,0.05500798,0.89270076,0.30418121,0.05112706,1.28789365,0.55801215,1.45642188
-5.82591296,4.22663618,0.15333561,0.05676481,0.90167349,0.31301423,0.05147924,1.30472082,0.56635014,1.46000091
-5.81990995,4.27121699,0.15467658,0.05841720,0.90919516,0.32218533,0.05221896,1.32174670,0.57417340,1.46294976
-5.81390695,4.31220005,0.15570913,0.05993431,0.91469571,0.33162866,0.05333500,1.33828546,0.58112830,1.46419258
-5.80790395,4.34745474,0.15635204,0.06129058,0.91769398,0.34130556,0.05482064,1.35377841,0.58690505,1.46280650
-5.80190095,4.37534007,0.15653792,0.06246657,0.91781643,0.35120649,0.05667411,1.36781654,0.59124993,1.45804919
-5.79589795,4.39475744,0.15621614,0.06344952,0.91481093,0.36135116,0.05889887,1.38015598,0.59397486,1.44937932
-5.78989495,4.40517962,0.15535491,0.06423368,0.90855513,0.37178720,0.06150348,1.39072580,0.59496399,1.43646886
-5.78389195,4.40665480,0.15394255,0.06482020,0.89905903,0.38258700,0.06450135,1.39962770,0.59417700,1.41920698
-5.77788894,4.39978547,0.15198785,0.06521685,0.88646174,0.39384306,0.06791005,1.40712772,0.59164879,1.39769533
-5.77188594,4.38568322,0.14951948,0.06543734,0.87102271,0.40566204,0.07175050,1.41364013,0.58748584,1.37223499
-5.76588294,4.36590170,0.14658443,0.06550041,0.85310779,0.41815765,0.07604591,1.41970458,0.58185921,1.34330578
-5.75987994,4.34235078,0.14324578,0.06542875,0.83317099,0.43144278,0.08082048,1.42595722,0.57499471,1.31153894
-5.75387694,4.31719595,0.13957955,0.06524769,0.81173284,0.44562127,0.08609805,1.43309729,0.56716069,1.27768449
-5.74787394,4.29274766,0.13567116,0.06498383,0.78935627,0.46077967,0.09190061,1.44185067,0.55865397,1.24257473
-5.74187094,4.27134550,0.13161144,0.06466371,0.76662136,0.47697935,0.09824667,1.45293188,0.54978486,1.20708557
-5.73586793,4.25524236,0.12749252,0.06431239,0.74409996,0.49424944,0.10514971,1.46700629,0.54086180,1.17209738
-5.72986493,4.24649364,0.12340368,0.06395231,0.72233137,0.51258082,0.11261659,1.48465415,0.53217641,1.13845694
