energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,9.57933090,0.00440360,3.02471356,0.72309544,0.66064744,0.17549219,2.34547135,3.59974872,2.08964340
-5.99399700,9.46069713,0.00431934,2.94581971,0.72895781,0.66153392,0.17779856,2.36069001,3.51466417,2.02676129
-5.98799400,9.32945694,0.00422509,2.86128102,0.73437276,0.66221392,0.17980952,2.37494864,3.42330649,1.95974053
-5.98199100,9.18847155,0.00412290,2.77266150,0.73932407,0.66269833,0.18153946,2.38824225,3.32743336,1.88974297
-5.97598799,9.04051626,0.00401493,2.68150611,0.74378884,0.66298113,0.18300499,2.40052728,3.22877079,1.81791098
-5.96998499,8.88821350,0.00390335,2.58930217,0.74773959,0.66304014,0.18422429,2.41172427,3.12897110,1.74533955
-5.96398199,8.73397598,0.00379031,2.49744477,0.75114659,0.66283861,0.18521643,2.42172237,3.02957621,1.67305166
-5.95797899,8.57996147,0.00367788,2.40720746,0.75398026,0.66232766,0.18600064,2.43038514,2.93198720,1.60197779
-5.95197599,8.42803985,0.00356805,2.31971872,0.75621360,0.66144937,0.18659576,2.43755750,2.83744075,1.53293981
-5.94597299,8.27977258,0.00346263,2.23594476,0.75782444,0.66014037,0.18701960,2.44307328,2.74699278,1.46663962
-5.93996998,8.13640435,0.00336324,2.15667872,0.75879744,0.65833576,0.18728841,2.44676301,2.66150924,1.40365250
-5.93396698,7.99886576,0.00327129,2.08253615,0.75912571,0.65597319,0.18741644,2.44846161,2.58166363,1.34442504
-5.92796398,7.86778613,0.00318797,2.01395632,0.75881203,0.65299686,0.18741555,2.44801559,2.50794073,1.28927709
-5.92196098,7.74351452,0.00311421,1.95120877,0.75786962,0.64936120,0.18729484,2.44528959,2.44064562,1.23840751
-5.91595798,7.62614751,0.00305068,1.89440427,0.75632248,0.64503420,0.18706047,2.44017201,2.37991705,1.19190282
-5.90995498,7.51556164,0.00299781,1.84350934,0.75420523,0.64000006,0.18671545,2.43257956,2.32574413,1.14974827
-5.90395198,7.41144889,0.00295578,1.79836332,0.75156264,0.63426114,0.18625965,2.42246079,2.27798519,1.11184047
-5.89794897,7.31335325,0.00292452,1.75869704,0.74844868,0.62783917,0.18568983,2.40979849,2.23638787,1.07800098
-5.89194597,7.22070697,0.00290376,1.72415222,0.74492538,0.62077552,0.18499979,2.39461113,2.20060936,1.04799020
-5.88594297,7.13286499,0.00289301,1.69430064,0.74106137,0.61313071,0.18418068,2.37695322,2.17023613,1.02152092
-5.87993997,7.04913656,0.00289160,1.66866256,0.73693031,0.60498306,0.18322138,2.35691500,2.14480228,0.99827113
-5.87393697,6.96881326,0.00289870,1.64672366,0.73260916,0.59642665,0.18210902,2.33462117,2.12380623,0.97789569
-5.86793397,6.89119273,0.00291334,1.62795023,0.72817636,0.58756860,0.18082959,2.31022919,2.10672524,0.96003666
-5.86193097,6.81559816,0.00293443,1.61180234,0.72371010,0.57852593,0.17936858,2.28392683,2.09302781,0.94433204
-5.85592796,6.74139338,0.00296082,1.59774487,0.71928652,0.56942201,0.17771177,2.25592927,2.08218380,0.93042313
-5.84992496,6.66799382,0.00299126,1.58525667,0.71497798,0.56038284,0.17584597,2.22647579,2.07367262,0.91796036
-5.84392196,6.59487397,0.00302448,1.57383774,0.71085151,0.55153329,0.17375977,2.19582593,2.06698949,0.90660793
-5.83791896,6.52157168,0.00305920,1.56301500,0.70696732,0.54299349,0.17144428,2.16425531,2.06165046,0.89604738
-5.83191596,6.44769021,0.00309414,1.55234681,0.70337756,0.53487542,0.16889376,2.13205112,2.05719618,0.88598032
-5.82591296,6.37289863,0.00312805,1.54142662,0.70012522,0.52727995,0.16610615,2.09950724,2.05319508,0.87613070
-5.81990995,6.29693129,0.00315975,1.52988611,0.69724342,0.52029439,0.16308351,2.06691923,2.04924615,0.86624667
-5.81390695,6.21958717,0.00318812,1.51739808,0.69475489,0.51399055,0.15983223,2.03457927,2.04498167,0.85610236
-5.80790395,6.14072937,0.00321215,1.50367925,0.69267195,0.50842352,0.15636318,2.00277110,2.04007007,0.84549967
-5.80190095,6.06028555,0.00323094,1.48849319,0.69099683,0.50363110,0.15269157,1.97176533,2.03421912,0.83427016
-5.79589795,5.97824935,0.00324372,1.47165336,0.68972246,0.49963392,0.14883676,1.94181521,2.02717938,0.82227699
-5.78989495,5.89468290,0.00324988,1.45302612,0.68883384,0.49643616,0.14482190,1.91315313,2.01874805,0.80941699
-5.78389195,5.80972060,0.00324898,1.43253376,0.68830977,0.49402699,0.14067336,1.88598798,2.00877283,0.79562263
-5.77788894,5.72357364,0.00324074,1.41015717,0.68812517,0.49238239,0.13642017,1.86050368,1.99715591,0.78086382
-5.77188594,5.63653503,0.00322507,1.38593790,0.68825378,0.49146760,0.13209336,1.83685881,1.98385760,0.76514928
-5.76588294,5.54898467,0.00320208,1.35997953,0.68867117,0.49123968,0.12772520,1.81518755,1.96889951,0.74852740
-5.75987994,5.46139363,0.00317203,1.33244781,0.68935810,0.49165042,0.12334852,1.79560179,1.95236687,0.73108633
-5.75387694,5.37432723,0.00313539,1.30356956,0.69030377,0.49264927,0.11899599,1.77819427,1.93440988,0.71295320
-5.74787394,5.28844597,0.00309278,1.27362996,0.69150916,0.49418614,0.11469947,1.76304267,1.91524370,0.69429226
-5.74187094,5.20450379,0.00304499,1.24296831,0.69298997,0.49621409,0.11048941,1.75021412,1.89514697,0.67530202
-5.73586793,5.12334301,0.00299291,1.21197199,0.69477908,0.49869153,0.10639430,1.73976999,1.87445876,0.65621123
-5.72986493,5.04588540,0.00293757,1.18106883,0.69692835,0.50158417,0.10244029,1.73177039,1.85357366,0.63727386
-5.72386193,4.97311916,0.00288005,1.15071792,0.69950951,0.50486625,0.09865078,1.72627808,1.83293523,0.61876303
-5.71785893,4.90608151,0.00282149,1.12139908,0.70261403,0.50852128,0.09504614,1.72336124,1.81302761,0.60096427
-5.71185593,4.84583710,0.00276303,1.09360127,0.70635181,0.51254213,0.09164359,1.72309492,1.79436550,0.58416804
-5.70585293,4.79345240,0.00270580,1.06781018,0.71084872,0.51693046,0.08845701,1.72556078,1.77748262,0.56866186
-5.69984992,4.74996657,0.00265088,1.04449538,0.71624283,0.52169559,0.08549691,1.73084492,1.76291879,0.55472236
-5.69384692,4.71635965,0.00259923,1.02409750,0.72267959,0.52685274,0.08277044,1.73903390,1.75120594,0.54260731
-5.68784392,4.69351893,0.00255172,1.00701561,0.73030592,0.53242095,0.08028145,1.75020890,1.74285329,0.53254797
-5.68184092,4.68220469,0.00250909,0.99359532,0.73926356,0.53842053,0.07803056,1.76443830,1.73833214,0.52474212
-5.67583792,4.68301650,0.00247188,0.98411799,0.74968177,0.54487038,0.07601534,1.78176910,1.73806053,0.51934769
-5.66983492,4.69636164,0.00244050,0.97879125,0.76166990,0.55178521,0.07423047,1.80221755,1.74238834,0.51647745
-5.66383192,4.72242693,0.00241515,0.97774124,0.77530999,0.55917291,0.07266797,1.82575969,1.75158331,0.51619485
-5.65782891,4.76115551,0.00239585,0.98100687,0.79064991,0.56703214,0.07131744,1.85232233,1.76581841,0.51851105
-5.65182591,4.81222994,0.00238248,0.98853619,0.80769726,0.57535030,0.07016639,1.88177518,1.78516122,0.52338340
-5.64582291,4.87506287,0.00237471,1.00018534,0.82641457,0.58410209,0.06920053,1.91392478,1.80956584,0.53071538
-5.63981991,4.94879622,0.00237212,1.01571988,0.84671592,0.59324868,0.06840423,1.94851068,1.83886777,0.54035797
-5.63381691,5.03230977,0.00237415,1.03481884,0.86846533,0.60273757,0.06776086,1.98520458,1.87278236,0.55211267
-5.62781391,5.12423945,0.00238015,1.05708152,0.89147717,0.61250332,0.06725330,2.02361251,1.91090713,0.56573589
-5.62181091,5.22300544,0.00238943,1.08203673,0.91551845,0.62246896,0.06686445,2.06328037,1.95272826,0.58094491
-5.61580790,5.32684958,0.00240131,1.10915464,0.94031328,0.63254824,0.06657772,2.10370281,1.99763133,0.59742504
-5.60980490,5.43388137,0.00241508,1.13786081,0.96554913,0.64264849,0.06637758,2.14433520,2.04491636,0.61483809
-5.60380190,5.54213110,0.00243014,1.16755218,0.99088492,0.65267409,0.06625013,2.18460835,2.09381674,0.63283168
-5.59779890,5.64960857,0.00244594,1.19761447,1.01596044,0.66253041,0.06618364,2.22394534,2.14352161,0.65104942
-5.59179590,5.75436511,0.00246208,1.22744063,1.04040690,0.67212789,0.06616902,2.26177987,2.19320108,0.66914146
-5.58579290,5.85455669,0.00247829,1.25644957,1.06385809,0.68138634,0.06620035,2.29757517,2.24203330,0.68677512
-5.57978989,5.94850540,0.00249448,1.28410468,1.08596162,0.69023886,0.06627520,2.33084260,2.28923229,0.70364532
-5.57378689,6.03475672,0.00251074,1.30993117,1.10638997,0.69863559,0.06639500,2.36115915,2.33407546,0.71948432
-5.56778389,6.11212981,0.00252736,1.33353181,1.12485058,0.70654670,0.06656520,2.38818267,2.37592934,0.73407045
-5.56178089,6.17975850,0.00254481,1.35460006,1.14109472,0.71396462,0.06679534,2.41166427,2.41427251,0.74723539
-5.55577789,6.23712080,0.00256376,1.37293020,1.15492477,0.72090533,0.06709895,2.43145711,2.44871422,0.75886969
-5.54977489,6.28405513,0.00258503,1.38842369,1.16619942,0.72740844,0.06749335,2.44752097,2.47900789,0.76892622
-5.54377189,6.32076235,0.00260961,1.40109154,1.17483675,0.73353621,0.06799921,2.45992244,2.50505850,0.77742139
-5.53776888,6.34779288,0.00263861,1.41105227,1.18081505,0.73937122,0.06864000,2.46883054,2.52692335,0.78443384
-5.53176588,6.36601933,0.00267320,1.41852558,1.18417132,0.74501289,0.06944122,2.47450795,2.54480596,0.79010076
