energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.62105933,0.82668071,0.00479473,1.71718080,2.06154463,0.78648062,0.00000000
-5.99399700,3.57912087,0.80192832,0.00469842,1.69570936,2.05121237,0.76536309,0.00000000
-5.98799400,3.54976072,0.77997147,0.00461893,1.67773412,2.04866388,0.74739446,0.00000000
-5.98199100,3.53334157,0.76112314,0.00455628,1.66343349,2.05413101,0.73253393,0.00000000
-5.97598799,3.53002023,0.74563657,0.00451022,1.65290196,2.06773146,0.72069388,0.00000000
-5.96998499,3.53976490,0.73370232,0.00448026,1.64616203,2.08947826,0.71174679,0.00000000
-5.96398199,3.56238085,0.72544776,0.00446567,1.64318035,2.11929385,0.70553388,0.00000000
-5.95797899,3.59754261,0.72093870,0.00446555,1.64388691,2.15702768,0.70187486,0.00000000
-5.95197599,3.64483052,0.72018307,0.00447888,1.64819615,2.20247624,0.70057833,0.00000000
-5.94597299,3.70376946,0.72313616,0.00450453,1.65602842,2.25540421,0.70145227,0.00000000
-5.93996998,3.77386708,0.72970710,0.00454135,1.66733058,2.31556527,0.70431390,0.00000000
-5.93396698,3.85464907,0.73976608,0.00458821,1.68209401,2.38272120,0.70899862,0.00000000
-5.92796398,3.94568928,0.75315191,0.00464403,1.70036909,2.45665794,0.71536727,0.00000000
-5.92196098,4.04663258,0.76967943,0.00470782,1.72227487,2.53719748,0.72331149,0.00000000
-5.91595798,4.15720895,0.78914650,0.00477873,1.74800313,2.62420461,0.73275680,0.00000000
-5.90995498,4.27723772,0.81134005,0.00485602,1.77781650,2.71758796,0.74366332,0.00000000
-5.90395198,4.40662153,0.83604116,0.00493912,1.81204028,2.81729502,0.75602398,0.00000000
-5.89794897,4.54532994,0.86302888,0.00502759,1.85104836,2.92330111,0.76986041,0.00000000
-5.89194597,4.69337373,0.89208270,0.00512108,1.89524366,3.03559278,0.78521661,0.00000000
-5.88594297,4.85077079,0.92298370,0.00521940,1.94503410,3.15414646,0.80215088,0.00000000
-5.87993997,5.01750580,0.95551458,0.00532237,2.00080515,3.27890325,0.82072622,0.00000000
-5.87393697,5.19348567,0.98945854,0.00542990,2.06289047,3.40974147,0.84099993,0.00000000
-5.86793397,5.37849352,1.02459744,0.00554186,2.13154212,3.54644839,0.86301275,0.00000000
-5.86193097,5.57214399,1.06070942,0.00565811,2.20690200,3.68869302,0.88677819,0.00000000
-5.85592796,5.77384271,1.09756635,0.00577845,2.28897621,3.83600169,0.91227267,0.00000000
-5.84992496,5.98275277,1.13493149,0.00590260,2.37761370,3.98773822,0.93942696,0.00000000
-5.84392196,6.19777090,1.17255756,0.00603018,2.47249087,4.14309045,0.96811943,0.00000000
-5.83791896,6.41751531,1.21018578,0.00616075,2.57310293,4.30106431,0.99817154,0.00000000
-5.83191596,6.64032713,1.24754589,0.00629375,2.67876302,4.46048680,1.02934587,0.00000000
-5.82591296,6.86428617,1.28435749,0.00642858,2.78860941,4.62001827,1.06134696,0.00000000
