energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,7.72699429,0.19119715,0.00000000,4.45911641,0.00000000,3.57934977,2.03325291
-5.99399700,7.71502950,0.19155086,0.00000000,4.46470591,0.00000000,3.56203718,2.03917544
-5.98799400,7.68572825,0.19171631,0.00000000,4.46083850,0.00000000,3.53755546,2.03993187
-5.98199100,7.64015731,0.19174538,0.00000000,4.44768447,0.00000000,3.50655266,2.03579519
-5.97598799,7.57962119,0.19169145,0.00000000,4.42551937,0.00000000,3.46979170,2.02709820
-5.96998499,7.50559685,0.19160661,0.00000000,4.39470352,0.00000000,3.42811478,2.01421633
-5.96398199,7.41966514,0.19153905,0.00000000,4.35566070,0.00000000,3.38240585,1.99755007
-5.95797899,7.32344213,0.19153051,0.00000000,4.30885703,0.00000000,3.33355277,1.97750771
-5.95197599,7.21851381,0.19161408,0.00000000,4.25478105,0.00000000,3.28241133,1.95448920
-5.94597299,7.10637701,0.19181225,0.00000000,4.19392573,0.00000000,3.22977269,1.92887174
-5.93996998,6.98838892,0.19213550,0.00000000,4.12677326,0.00000000,3.17633578,1.90099780
-5.93396698,6.86572737,0.19258134,0.00000000,4.05378293,0.00000000,3.12268572,1.87116582
-5.92796398,6.73936284,0.19313393,0.00000000,3.97538252,0.00000000,3.06927910,1.83962405
-5.92196098,6.61004304,0.19376428,0.00000000,3.89196313,0.00000000,3.01643619,1.80656745
-5.91595798,6.47828982,0.19443100,0.00000000,3.80387760,0.00000000,2.96434028,1.77213771
-5.90995498,6.34440788,0.19508168,0.00000000,3.71144202,0.00000000,2.91304348,1.73642616
-5.90395198,6.20850386,0.19565470,0.00000000,3.61494012,0.00000000,2.86247828,1.69947921
-5.89794897,6.07051428,0.19608148,0.00000000,3.51463001,0.00000000,2.81247385,1.66130589
-5.89194597,5.93024020,0.19628916,0.00000000,3.41075261,0.00000000,2.76277579,1.62188705
-5.88594297,5.78738641,0.19620340,0.00000000,3.30354130,0.00000000,2.71306817,1.58118543
-5.87993997,5.64160280,0.19575131,0.00000000,3.19323202,0.00000000,2.66299635,1.53915631
-5.87393697,5.49252575,0.19486442,0.00000000,3.08007318,0.00000000,2.61218960,1.49575792
-5.86793397,5.33981725,0.19348144,0.00000000,2.96433487,0.00000000,2.56028217,1.45096115
-5.86193097,5.18320015,0.19155076,0.00000000,2.84631672,0.00000000,2.50693211,1.40475819
-5.85592796,5.02248787,0.18903260,0.00000000,2.72635406,0.00000000,2.45183711,1.35716948
-5.84992496,4.85760771,0.18590068,0.00000000,2.60482196,0.00000000,2.39474696,1.30824906
-5.84392196,4.68861703,0.18214337,0.00000000,2.48213697,0.00000000,2.33547248,1.25808777
-5.83791896,4.51571214,0.17776427,0.00000000,2.35875653,0.00000000,2.27389114,1.20681455
-5.83191596,4.33923036,0.17278227,0.00000000,2.23517604,0.00000000,2.20994951,1.15459585
-5.82591296,4.15964567,0.16723098,0.00000000,2.11192392,0.00000000,2.14366318,1.10163327
-5.81990995,3.97755911,0.16115776,0.00000000,1.98955488,0.00000000,2.07511473,1.04815972
-5.81390695,3.79368508,0.15462225,0.00000000,1.86864190,0.00000000,2.00445033,0.99443455
-5.80790395,3.60883472,0.14769459,0.00000000,1.74976739,0.00000000,1.93187566,0.94073786
