energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.70407230,-1.83247371,0.01160772,-0.03262906,0.05389573,-0.09054636,0.55258487,-0.48324475,0.24185429,-0.21372141,0.43367977,-0.51281857,0.30331900,-0.31845575,0.03222100,-0.01277962,0.92931520,-1.00903565
-5.99399700,1.73292496,-1.86621100,0.01236114,-0.03116626,0.05333051,-0.09127103,0.55191422,-0.50214407,0.24569413,-0.21406184,0.43688490,-0.52443020,0.31303150,-0.32349287,0.03483447,-0.01333327,0.94696621,-1.03115026
-5.98799400,1.76577205,-1.89653811,0.01313758,-0.02966624,0.05270841,-0.09184698,0.55142908,-0.52014604,0.25038405,-0.21379959,0.44142953,-0.53444224,0.32334758,-0.32853470,0.03749436,-0.01401498,0.96701699,-1.05137463
-5.98199100,1.80200556,-1.92354926,0.01392496,-0.02816506,0.05202458,-0.09228452,0.55111599,-0.53713000,0.25584381,-0.21298770,0.44720686,-0.54285410,0.33413467,-0.33363710,0.04015810,-0.01482241,0.98912284,-1.06972229
-5.97598799,1.84089492,-1.94738716,0.01471013,-0.02669730,0.05127477,-0.09259282,0.55095122,-0.55298250,0.26196894,-0.21168436,0.45407323,-0.54969627,0.34524515,-0.33885355,0.04278042,-0.01575275,1.01286685,-1.08623843
-5.96998499,1.88161462,-1.96822720,0.01547918,-0.02529509,0.05045557,-0.09277904,0.55090482,-0.56759673,0.26863470,-0.20995059,0.46185474,-0.55502662,0.35652151,-0.34423108,0.04531427,-0.01680245,1.03777547,-1.10099193
-5.96398199,1.92327503,-1.98626088,0.01621783,-0.02398733,0.04956474,-0.09284775,0.55094456,-0.58087201,0.27570075,-0.20784800,0.47035468,-0.55892583,0.36780196,-0.34980637,0.04771203,-0.01796681,1.06333616,-1.11406670
-5.95797899,1.96495521,-2.00167960,0.01691185,-0.02279891,0.04860138,-0.09280041,0.55103953,-0.59271348,0.28301625,-0.20543671,0.47936130,-0.56149216,0.37892612,-0.35560235,0.04992673,-0.01923961,1.08901607,-1.12555294
-5.95197599,2.00573598,-2.01465978,0.01754749,-0.02175019,0.04756611,-0.09263523,0.55116307,-0.60303232,0.29042523,-0.20277354,0.48865570,-0.56283595,0.38974068,-0.36162529,0.05191340,-0.02061276,1.11428103,-1.13553879
-5.94597299,2.04473165,-2.02535001,0.01811199,-0.02085663,0.04646113,-0.09234714,0.55129498,-0.61174628,0.29777192,-0.19991052,0.49801944,-0.56307416,0.40010452,-0.36786272,0.05363040,-0.02207598,1.13861385,-1.14410288
-5.93996998,2.08111905,-2.03386126,0.01859399,-0.02012854,0.04529027,-0.09192812,0.55142272,-0.61878089,0.30490577,-0.19689382,0.50724142,-0.56232513,0.40989306,-0.37428223,0.05504066,-0.02361656,1.16153105,-1.15130837
-5.93396698,2.11416237,-2.04026042,0.01898395,-0.01957103,0.04405891,-0.09136761,0.55154164,-0.62407111,0.31168598,-0.19376309,0.51612394,-0.56070398,0.41900174,-0.38083128,0.05611289,-0.02521925,1.18259732,-1.15719866
