energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,4.19366552,0.05460423,0.35772542,0.90833356,0.67797951,0.41882665,0.09782698,1.93142260
-5.99399700,4.41066765,0.05661731,0.37405584,0.95642808,0.71347081,0.44784575,0.10221758,2.03663174
-5.98799400,4.61964201,0.05845405,0.38989548,1.00194466,0.74801776,0.47631682,0.10636476,2.13790013
-5.98199100,4.81760455,0.06008328,0.40496760,1.04430909,0.78111979,0.50386613,0.11019640,2.23389321
-5.97598799,5.00179585,0.06147768,0.41900400,1.08302498,0.81230176,0.53013265,0.11364404,2.32339871
-5.96998499,5.16977915,0.06261462,0.43175337,1.11769361,0.84113030,0.55478024,0.11664486,2.40537223
-5.96398199,5.31953169,0.06347693,0.44298942,1.14803142,0.86722942,0.57750967,0.11914357,2.47897927
-5.95797899,5.44952517,0.06405347,0.45251837,1.17388426,0.89029476,0.59807020,0.12109415,2.54363156
-5.95197599,5.55879142,0.06433951,0.46018570,1.19523753,0.91010586,0.61626999,0.12246127,2.59901579
-5.94597299,5.64696991,0.06433701,0.46588166,1.21222156,0.92653574,0.63198494,0.12322146,2.64511316
-5.93996998,5.71433409,0.06405458,0.46954553,1.22511172,0.93955744,0.64516531,0.12336394,2.68220820
-5.93396698,5.76179454,0.06350729,0.47116825,1.23432298,0.94924695,0.65583989,0.12289104,2.71088602
-5.92796398,5.79087769,0.06271636,0.47079338,1.24039880,0.95578230,0.66411722,0.12181819,2.73201748
-5.92196098,5.80367997,0.06170851,0.46851623,1.24399467,0.95943870,0.67018388,0.12017352,2.74673220
-5.91595798,5.80279834,0.06051531,0.46448124,1.24585650,0.96057977,0.67429959,0.11799705,2.75638018
-5.90995498,5.79123924,0.05917227,0.45887760,1.24679484,0.95964509,0.67678935,0.11533947,2.76248303
-5.90395198,5.77230919,0.05771787,0.45193324,1.24765563,0.95713446,0.67803290,0.11226058,2.76667662
-5.89794897,5.74949106,0.05619250,0.44390747,1.24928866,0.95358949,0.67845178,0.10882744,2.77064730
-5.89194597,5.72631093,0.05463738,0.43508248,1.25251497,0.94957321,0.67849452,0.10511232,2.77606424
-5.88594297,5.70620104,0.05309340,0.42575408,1.25809458,0.94564854,0.67862068,0.10119046,2.78451065
-5.87993997,5.69236453,0.05160005,0.41622199,1.26669570,0.94235648,0.67928421,0.09713785,2.79741708
-5.87393697,5.68764797,0.05019439,0.40678007,1.27886706,0.94019508,0.68091695,0.09302897,2.81599939
-5.86793397,5.69442692,0.04891009,0.39770694,1.29501421,0.93959992,0.68391293,0.08893469,2.84120462
-5.86193097,5.71450987,0.04777659,0.38925722,1.31538112,0.94092704,0.68861399,0.08492036,2.87366676
-5.85592796,5.74906447,0.04681843,0.38165385,1.34003766,0.94443904,0.69529749,0.08104414,2.91367495
-5.84992496,5.79856931,0.04605471,0.37508167,1.36887374,0.95029493,0.70416628,0.07735571,2.96115519
-5.84392196,5.86279327,0.04549868,0.36968256,1.40160020,0.95854401,0.71534154,0.07389530,3.01566673
-5.83791896,5.94080306,0.04515756,0.36555212,1.43775653,0.96912418,0.72885854,0.07069305,3.07641310
-5.83191596,6.03099842,0.04503247,0.36273818,1.47672509,0.98186450,0.74466538,0.06776889,3.14226754
-5.82591296,6.13117311,0.04511860,0.36124089,1.51775118,0.99649192,0.76262483,0.06513266,3.21181145
-5.81990995,6.23859878,0.04540538,0.36101452,1.55996819,1.01264176,0.78251895,0.06278464,3.28338441
-5.81390695,6.35012787,0.04587696,0.36197065,1.60242674,1.02987139,0.80405630,0.06071637,3.35514333
-5.80790395,6.46231083,0.04651267,0.36398270,1.64412670,1.04767656,0.82688146,0.05891171,3.42512839
-5.80190095,6.57152277,0.04728762,0.36689154,1.68405073,1.06550961,0.85058644,0.05734810,3.49133292
-5.79589795,6.67409415,0.04817342,0.37051179,1.72119822,1.08279874,0.87472354,0.05599792,3.55177426
-5.78989495,6.76644043,0.04913889,0.37463882,1.75461817,1.09896777,0.89881938,0.05482997,3.60456301
-5.78389195,6.84518576,0.05015085,0.37905593,1.78344006,1.11345538,0.92238945,0.05381087,3.64796785
-5.77788894,6.90727627,0.05117493,0.38354160,1.80690161,1.12573350,0.94495295,0.05290648,3.68047371
-5.77188594,6.95007939,0.05217642,0.38787655,1.82437250,1.13532396,0.96604743,0.05208324,3.70083143
-5.76588294,6.97146608,0.05312104,0.39185039,1.83537351,1.14181315,0.98524278,0.05130928,3.70809723
-5.75987994,6.96987402,0.05397580,0.39526769,1.83959058,1.14486422,1.00215437,0.05055546,3.70166118
-5.75387694,6.94435035,0.05470974,0.39795329,1.83688344,1.14422651,1.01645471,0.04979625,3.68126406
-5.74787394,6.89457368,0.05529470,0.39975678,1.82728892,1.13974221,1.02788360,0.04901031,3.64700248
-5.74187094,6.82085544,0.05570596,0.40055599,1.81101885,1.13135003,1.03625622,0.04818104,3.59932281
-5.73586793,6.72412184,0.05592292,0.40025949,1.78845297,1.11908596,1.04146902,0.04729680,3.53900451
-5.72986493,6.60587761,0.05592955,0.39880800,1.76012717,1.10308133,1.04350309,0.04635110,3.46713394
-5.72386193,6.46815388,0.05571490,0.39617473,1.72671760,1.08355811,1.04242493,0.04534251,3.38507002
-5.71785893,6.31344220,0.05527332,0.39236471,1.68902119,1.06082188,1.03838448,0.04427453,3.29440301
-5.71185593,6.14461752,0.05460471,0.38741305,1.64793337,1.03525266,1.03161030,0.04315529,3.19690827
-5.70585293,5.96485277,0.05371453,0.38138237,1.60442353,1.00729389,1.02240216,0.04199714,3.09449626
-5.69984992,5.77752779,0.05261370,0.37435936,1.55950900,0.97743989,1.01112112,0.04081621,2.98916071
-5.69384692,5.58613557,0.05131833,0.36645064,1.51422843,0.94622226,0.99817735,0.03963181,2.88292629
