energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,3.53743941,0.29583996,1.71101587,0.01254028,0.19679248,0.02515198,1.10099542
-5.99399700,3.53841745,0.30560594,1.71392173,0.01296937,0.19483798,0.02445962,1.10375202
-5.98799400,3.53346635,0.31482834,1.71280949,0.01338575,0.19242724,0.02373868,1.10526776
-5.98199100,3.52227307,0.32333849,1.70762802,0.01378527,0.18956448,0.02299778,1.10536711
-5.97598799,3.50460415,0.33098043,1.69838193,0.01416353,0.18626026,0.02224554,1.10389037
-5.96998499,3.48032345,0.33761659,1.68513500,0.01451605,0.18253193,0.02149045,1.10070226
-5.96398199,3.44940665,0.34313289,1.66801220,0.01483842,0.17840372,0.02074083,1.09569963
-5.95797899,3.41195234,0.34744304,1.64719999,0.01512637,0.17390680,0.02000467,1.08881790
-5.95197599,3.36818924,0.35049201,1.62294521,0.01537602,0.16907903,0.01928964,1.08003604
-5.94597299,3.31847928,0.35225833,1.59555247,0.01558397,0.16396463,0.01860295,1.06937994
-5.93996998,3.26331657,0.35275534,1.56538004,0.01574743,0.15861370,0.01795139,1.05692386
-5.93396698,3.20332219,0.35203113,1.53283466,0.01586441,0.15308161,0.01734123,1.04279018
-5.92796398,3.13923499,0.35016747,1.49836513,0.01593371,0.14742831,0.01677826,1.02714708
-5.92196098,3.07189871,0.34727746,1.46245491,0.01595509,0.14171767,0.01626776,1.01020451
-5.91595798,3.00224567,0.34350222,1.42561403,0.01592919,0.13601666,0.01581452,0.99220852
-5.90995498,2.93127757,0.33900675,1.38837032,0.01585757,0.13039462,0.01542282,0.97343394
-5.90395198,2.86004391,0.33397497,1.35126030,0.01574263,0.12492250,0.01509652,0.95417599
-5.89794897,2.78961860,0.32860430,1.31481971,0.01558752,0.11967210,0.01483898,0.93474087
-5.89194597,2.72107552,0.32309992,1.27957414,0.01539601,0.11471529,0.01465312,0.91543579
-5.88594297,2.65546354,0.31766887,1.24602970,0.01517231,0.11012330,0.01454144,0.89655885
-5.87993997,2.59378194,0.31251425,1.21466403,0.01492094,0.10596597,0.01450594,0.87838904
-5.87393697,2.53695666,0.30782973,1.18591778,0.01464649,0.10231088,0.01454816,0.86117691
-5.86793397,2.48581823,0.30379443,1.16018673,0.01435349,0.09922261,0.01466911,0.84513617
-5.86193097,2.44108193,0.30056842,1.13781467,0.01404623,0.09676181,0.01486925,0.83043660
-5.85592796,2.40333055,0.29828883,1.11908705,0.01372858,0.09498425,0.01514838,0.81719850
-5.84992496,2.37300037,0.29706679,1.10422575,0.01340391,0.09393977,0.01550562,0.80548899
-5.84392196,2.35037055,0.29698506,1.09338466,0.01307498,0.09367121,0.01593930,0.79532019
-5.83791896,2.33555608,0.29809649,1.08664647,0.01274390,0.09421318,0.01644688,0.78664938
-5.83191596,2.32850445,0.30042323,1.08402048,0.01241212,0.09559086,0.01702484,0.77938112
-5.82591296,2.32899599,0.30395673,1.08544150,0.01208045,0.09781878,0.01766866,0.77337111
-5.81990995,2.33664779,0.30865824,1.09076994,0.01174913,0.10089954,0.01837266,0.76843171
-5.81390695,2.35092095,0.31446013,1.09979294,0.01141790,0.10482274,0.01913004,0.76433884
-5.80790395,2.37113100,0.32126758,1.11222676,0.01108612,0.10956401,0.01993277,0.76083977
-5.80190095,2.39646130,0.32896078,1.12772031,0.01075289,0.11508419,0.02077164,0.75766179
-5.79589795,2.42597902,0.33739764,1.14585993,0.01041716,0.12132895,0.02163630,0.75452107
-5.78989495,2.45865359,0.34641671,1.16617553,0.01007787,0.12822867,0.02251532,0.75113162
-5.78389195,2.49337731,0.35584057,1.18814799,0.00973406,0.13569884,0.02339633,0.74721387
-5.77788894,2.52898784,0.36547945,1.21121800,0.00938498,0.14364093,0.02426625,0.74250268
-5.77188594,2.56429241,0.37513512,1.23479633,0.00903013,0.15194378,0.02511145,0.73675457
-5.76588294,2.59809347,0.38460507,1.25827536,0.00866937,0.16048563,0.02591814,0.72975393
-5.75987994,2.62921530,0.39368687,1.28104202,0.00830294,0.16913658,0.02667261,0.72131808
-5.75387694,2.65653147,0.40218274,1.30249175,0.00793147,0.17776170,0.02736166,0.71130133
