energy_ev,total_up,B_p_up,B_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,0.19212810,0.02327422,0.00000000,0.04189575,0.03698158,0.00011936,0.06994775
-5.99399700,0.18600911,0.02279341,0.00000000,0.03983195,0.03597906,0.00010741,0.06807874
-5.98799400,0.18277127,0.02266059,0.00000000,0.03892307,0.03568233,0.00009602,0.06713606
-5.98199100,0.18267807,0.02291882,0.00000000,0.03914750,0.03613026,0.00008529,0.06723705
-5.97598799,0.18597045,0.02360747,0.00000000,0.04049410,0.03736115,0.00007530,0.06848672
-5.96998499,0.19286022,0.02476149,0.00000000,0.04295923,0.03941089,0.00006611,0.07097561
-5.96398199,0.20352298,0.02641060,0.00000000,0.04654356,0.04231111,0.00005773,0.07477758
-5.95797899,0.21809094,0.02857839,0.00000000,0.05124858,0.04608711,0.00005020,0.07994753
-5.95197599,0.23664541,0.03128144,0.00000000,0.05707303,0.05075575,0.00004349,0.08651914
-5.94597299,0.25920948,0.03452831,0.00000000,0.06400922,0.05632334,0.00003758,0.09450253
-5.93996998,0.28574081,0.03831865,0.00000000,0.07203946,0.06278355,0.00003245,0.10388214
-5.93396698,0.31612520,0.04264224,0.00000000,0.08113266,0.07011544,0.00002804,0.11461476
-5.92796398,0.35017111,0.04747828,0.00000000,0.09124118,0.07828184,0.00002431,0.12662802
-5.92196098,0.38760571,0.05279475,0.00000000,0.10229825,0.08722794,0.00002119,0.13981930
-5.91595798,0.42807294,0.05854809,0.00000000,0.11421594,0.09688051,0.00001863,0.15405544
-5.90995498,0.47113397,0.06468320,0.00000000,0.12688387,0.10714754,0.00001656,0.16917322
-5.90395198,0.51627047,0.07113377,0.00000000,0.14016883,0.11791875,0.00001492,0.18498093
-5.89794897,0.56289105,0.07782315,0.00000000,0.15391544,0.12906669,0.00001366,0.20126088
-5.89194597,0.61034095,0.08466552,0.00000000,0.16794775,0.14044876,0.00001270,0.21777320
-5.88594297,0.65791500,0.09156772,0.00000000,0.18207203,0.15190996,0.00001201,0.23426062
-5.87993997,0.70487369,0.09843135,0.00000000,0.19608053,0.16328648,0.00001152,0.25045443
-5.87393697,0.75046187,0.10515538,0.00000000,0.20975625,0.17440989,0.00001120,0.26608121
-5.86793397,0.79392965,0.11163903,0.00000000,0.22287849,0.18511193,0.00001100,0.28087038
-5.86193097,0.83455446,0.11778484,0.00000000,0.23522901,0.19522961,0.00001089,0.29456203
-5.85592796,0.87166370,0.12350187,0.00000000,0.24659859,0.20461050,0.00001083,0.30691499
-5.84992496,0.90465667,0.12870877,0.00000000,0.25679361,0.21311788,0.00001080,0.31771453
-5.84392196,0.93302486,0.13333665,0.00000000,0.26564241,0.22063557,0.00001077,0.32677946
-5.83791896,0.95636954,0.13733161,0.00000000,0.27300117,0.22707208,0.00001072,0.33396831
-5.83191596,0.97441568,0.14065668,0.00000000,0.27875882,0.23236401,0.00001065,0.33918411
-5.82591296,0.98702139,0.14329315,0.00000000,0.28284097,0.23647826,0.00001054,0.34237766
-5.81990995,0.99418221,0.14524119,0.00000000,0.28521240,0.23941316,0.00001038,0.34354901
-5.81390695,0.99603004,0.14651957,0.00000000,0.28587810,0.24119819,0.00001016,0.34274700
-5.80790395,0.99282640,0.14716468,0.00000000,0.28488280,0.24189237,0.00000990,0.34006700
-5.80190095,0.98495045,0.14722870,0.00000000,0.28230880,0.24158140,0.00000958,0.33564666
-5.79589795,0.97288217,0.14677705,0.00000000,0.27827248,0.24037354,0.00000921,0.32966020
-5.78989495,0.95718143,0.14588524,0.00000000,0.27291936,0.23839457,0.00000880,0.32231117
-5.78389195,0.93846405,0.14463531,0.00000000,0.26641819,0.23578194,0.00000835,0.31382427
-5.77788894,0.91737597,0.14311194,0.00000000,0.25895417,0.23267845,0.00000787,0.30443647
-5.77188594,0.89456672,0.14139850,0.00000000,0.25072178,0.22922584,0.00000736,0.29438795
-5.76588294,0.87066370,0.13957327,0.00000000,0.24191750,0.22555849,0.00000685,0.28391323
-5.75987994,0.84624825,0.13770590,0.00000000,0.23273273,0.22179767,0.00000632,0.27323298
-5.75387694,0.82183484,0.13585447,0.00000000,0.22334736,0.21804660,0.00000580,0.26254672
-5.74787394,0.79785430,0.13406312,0.00000000,0.21392417,0.21438648,0.00000530,0.25202698
-5.74187094,0.77464171,0.13236054,0.00000000,0.20460430,0.21087384,0.00000481,0.24181484
-5.73586793,0.75242951,0.13075919,0.00000000,0.19550409,0.20753916,0.00000435,0.23201728
-5.72986493,0.73134588,0.12925549,0.00000000,0.18671313,0.20438694,0.00000393,0.22270614
-5.72386193,0.71141836,0.12783082,0.00000000,0.17829382,0.20139709,0.00000356,0.21391887
-5.71785893,0.69258224,0.12645325,0.00000000,0.17028213,0.19852759,0.00000326,0.20566074
-5.71185593,0.67469298,0.12507998,0.00000000,0.16268961,0.19571820,0.00000304,0.19790844
-5.70585293,0.65754210,0.12366029,0.00000000,0.15550637,0.19289503,0.00000292,0.19061478
-5.69984992,0.64087521,0.12213883,0.00000000,0.14870490,0.18997571,0.00000293,0.18371405
-5.69384692,0.62441138,0.12045905,0.00000000,0.14224434,0.18687480,0.00000310,0.17712801
-5.68784392,0.60786278,0.11856668,0.00000000,0.13607511,0.18350931,0.00000350,0.17077185
-5.68184092,0.59095345,0.11641293,0.00000000,0.13014352,0.17980381,0.00000420,0.16456003
-5.67583792,0.57343642,0.11395746,0.00000000,0.12439625,0.17569523,0.00000528,0.15841165
-5.66983492,0.55510851,0.11117077,0.00000000,0.11878437,0.17113675,0.00000687,0.15225513
-5.66383192,0.53582209,0.10803613,0.00000000,0.11326691,0.16610100,0.00000914,0.14603206
-5.65782891,0.51549361,0.10455077,0.00000000,0.10781370,0.16058224,0.00001231,0.13970002
-5.65182591,0.49410879,0.10072658,0.00000000,0.10240761,0.15459761,0.00001666,0.13323449
-5.64582291,0.47172440,0.09659012,0.00000000,0.09704603,0.14818745,0.00002257,0.12662967
-5.63981991,0.44846712,0.09218205,0.00000000,0.09174171,0.14141475,0.00003049,0.11989848
-5.63381691,0.42452966,0.08755621,0.00000000,0.08652302,0.13436394,0.00004102,0.11307168
-5.62781391,0.40016494,0.08277817,0.00000000,0.08143370,0.12713910,0.00005490,0.10619640
-5.62181091,0.37567865,0.07792370,0.00000000,0.07653223,0.11986175,0.00007305,0.09933418
-5.61580790,0.35142105,0.07307697,0.00000000,0.07189098,0.11266849,0.00009660,0.09255870
-5.60980490,0.32777843,0.06832887,0.00000000,0.06759517,0.10570860,0.00012692,0.08595340
-5.60380190,0.30516493,0.06377524,0.00000000,0.06374180,0.09914176,0.00016568,0.07960917
-5.59779890,0.28401498,0.05951546,0.00000000,0.06043859,0.09313593,0.00021484,0.07362219
-5.59179590,0.26477684,0.05565112,0.00000000,0.05780302,0.08786567,0.00027675,0.06809210
-5.58579290,0.24790733,0.05228498,0.00000000,0.05596140,0.08351059,0.00035415,0.06312048
-5.57978989,0.23386783,0.04952018,0.00000000,0.05504809,0.08025432,0.00045019,0.05880974
-5.57378689,0.22312147,0.04745967,0.00000000,0.05520463,0.07828358,0.00056849,0.05526249
-5.56778389,0.21613127,0.04620579,0.00000000,0.05657893,0.07778746,0.00071316,0.05258112
-5.56178089,0.21335899,0.04585999,0.00000000,0.05932423,0.07895676,0.00088875,0.05086782
-5.55577789,0.21526420,0.04652246,0.00000000,0.06359789,0.08198313,0.00110030,0.05022471
-5.54977489,0.22230339,0.04829184,0.00000000,0.06955977,0.08705811,0.00135330,0.05075420
-5.54377189,0.23492839,0.05126459,0.00000000,0.07737029,0.09437162,0.00165363,0.05255925
-5.53776888,0.25358411,0.05553430,0.00000000,0.08718791,0.10411005,0.00200747,0.05574364
-5.53176588,0.27870497,0.06119052,0.00000000,0.09916621,0.11645371,0.00242125,0.06041208
-5.52576288,0.31070999,0.06831742,0.00000000,0.11345035,0.13157372,0.00290148,0.06666998
-5.51975988,0.34999646,0.07699199,0.00000000,0.13017317,0.14962821,0.00345463,0.07462307
-5.51375688,0.39693214,0.08728194,0.00000000,0.14945089,0.17075804,0.00408695,0.08437659
-5.50775388,0.45184612,0.09924332,0.00000000,0.17137865,0.19508202,0.00480424,0.09603420
-5.50175088,0.51501880,0.11291798,0.00000000,0.19602591,0.22269190,0.00561169,0.10969658
-5.49574787,0.58667120,0.12833082,0.00000000,0.22343213,0.25364728,0.00651363,0.12545979
-5.48974487,0.66695415,0.14548723,0.00000000,0.25360276,0.28797073,0.00751328,0.14341338
-5.48374187,0.75593790,0.16437051,0.00000000,0.28650592,0.32564324,0.00861257,0.16363840
