energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-5.59179590,0.65268748,0.22125948,0.06451508,0.11525118,0.00124326,0.02575263,0.23285642
-5.58579290,0.69133268,0.23757134,0.06951323,0.12373806,0.00133870,0.02819806,0.23502238
-5.57978989,0.73139414,0.25421293,0.07470463,0.13210445,0.00143576,0.03078644,0.23808835
-5.57378689,0.77281462,0.27112424,0.08008208,0.14026894,0.00153405,0.03352011,0.24217801
-5.56778389,0.81556134,0.28825588,0.08564091,0.14815731,0.00163325,0.03640178,0.24741684
-5.56178089,0.85963033,0.30557208,0.09137949,0.15570567,0.00173316,0.03943440,0.25392909
-5.55577789,0.90504953,0.32305312,0.09729942,0.16286315,0.00183365,0.04262094,0.26183465
-5.54977489,0.95188015,0.34069701,0.10340552,0.16959431,0.00193475,0.04596403,0.27124610
-5.54377189,1.00021604,0.35852022,0.10970556,0.17588104,0.00203660,0.04946549,0.28226560
-5.53776888,1.05018080,0.37655746,0.11620975,0.18172382,0.00213950,0.05312585,0.29498191
-5.53176588,1.10192272,0.39486038,0.12292992,0.18714227,0.00224385,0.05694376,0.30946736
-5.52576288,1.15560761,0.41349527,0.12987853,0.19217510,0.00235016,0.06091544,0.32577489
-5.51975988,1.21140995,0.43253991,0.13706752,0.19687923,0.00245906,0.06503408,0.34393534
-5.51375688,1.26950278,0.45207969,0.14450710,0.20132832,0.00257122,0.06928944,0.36395481
-5.50775388,1.33004700,0.47220325,0.15220446,0.20561071,0.00268735,0.07366748,0.38581260
-5.50175088,1.39318071,0.49299784,0.16016267,0.20982686,0.00280816,0.07815030,0.40945951
-5.49574787,1.45900929,0.51454480,0.16837972,0.21408641,0.00293435,0.08271614,0.43481691
-5.48974487,1.52759696,0.53691524,0.17684779,0.21850504,0.00306654,0.08733983,0.46177647
-5.48374187,1.59896023,0.56016625,0.18555287,0.22320123,0.00320524,0.09199335,0.49020085
-5.47773887,1.67306376,0.58433784,0.19447478,0.22829297,0.00335086,0.09664675,0.51992528
-5.47173587,1.74981878,0.60945062,0.20358742,0.23389474,0.00350365,0.10126927,0.55076002
-5.46573287,1.82908417,0.63550443,0.21285953,0.24011449,0.00366368,0.10583067,0.58249373
-5.45972986,1.91066980,0.66247768,0.22225568,0.24705108,0.00383087,0.11030268,0.61489763
-5.45372686,1.99434203,0.69032757,0.23173746,0.25479190,0.00400493,0.11466048,0.64773013
-5.44772386,2.07983053,0.71899076,0.24126487,0.26341083,0.00418538,0.11888422,0.68074208
-5.44172086,2.16683596,0.74838462,0.25079774,0.27296650,0.00437157,0.12296028,0.71368200
-5.43571786,2.25503779,0.77840862,0.26029704,0.28350082,0.00456266,0.12688246,0.74630141
-5.42971486,2.34410148,0.80894578,0.26972605,0.29503774,0.00475766,0.13065270,0.77835979
-5.42371186,2.43368464,0.83986408,0.27905128,0.30758230,0.00495541,0.13428154,0.80962915
-5.41770885,2.52344158,0.87101762,0.28824298,0.32111979,0.00515465,0.13778817,0.83989790
-5.41170585,2.61302604,0.90224754,0.29727540,0.33561525,0.00535397,0.14119991,0.86897397
-5.40570285,2.70209221,0.93338272,0.30612652,0.35101305,0.00555190,0.14455143,0.89668712
-5.39969985,2.79029395,0.96424035,0.31477754,0.36723685,0.00574689,0.14788345,0.92289043
-5.39369685,2.87728291,0.99462653,0.32321201,0.38418983,0.00593734,0.15124117,0.94746099
-5.38769385,2.96270582,1.02433704,0.33141468,0.40175524,0.00612163,0.15467238,0.97029992
-5.38169085,3.04620172,1.05315860,0.33937033,0.41979748,0.00629815,0.15822551,0.99133185
-5.37568784,3.12739977,1.08087067,0.34706242,0.43816351,0.00646533,0.16194755,1.01050395
-5.36968484,3.20591831,1.10724820,0.35447193,0.45668495,0.00662165,0.16588207,1.02778472
-5.36368184,3.28136567,1.13206522,0.36157637,0.47518058,0.00676567,0.17006743,1.04316269
-5.35767884,3.35334313,1.15509952,0.36834896,0.49345943,0.00689609,0.17453518,1.05664509
-5.35167584,3.42145031,1.17613826,0.37475828,0.51132440,0.00701177,0.17930889,1.06825657
-5.34567284,3.48529282,1.19498448,0.38076815,0.52857619,0.00711174,0.18440330,1.07803820
-5.33966983,3.54449204,1.21146425,0.38633802,0.54501766,0.00719524,0.18982394,1.08604646
-5.33366683,3.59869657,1.22543410,0.39142366,0.56045828,0.00726178,0.19556711,1.09235248
-5.32766383,3.64759465,1.23678849,0.39597816,0.57471861,0.00731111,0.20162033,1.09704133
-5.32166083,3.69092690,1.24546672,0.39995322,0.58763469,0.00734325,0.20796314,1.10021132
-5.31565783,3.72849849,1.25145903,0.40330069,0.59906205,0.00735853,0.21456816,1.10197328
-5.30965483,3.76019002,1.25481136,0.40597410,0.60887927,0.00735757,0.22140243,1.10244967
-5.30365183,3.78596635,1.25562832,0.40793033,0.61699095,0.00734126,0.22842894,1.10177353
-5.29764882,3.80588276,1.25407436,0.40913116,0.62332986,0.00731077,0.23560822,1.10008712
-5.29164582,3.82008802,1.25037251,0.40954474,0.62785842,0.00726750,0.24289994,1.09754042
-5.28564282,3.82882413,1.24480101,0.40914690,0.63056920,0.00721308,0.25026451,1.09428923
-5.27963982,3.83242269,1.23768753,0.40792221,0.63148459,0.00714931,0.25766456,1.09049316
-5.27363682,3.83129798,1.22940135,0.40586488,0.63065569,0.00707811,0.26506624,1.08631341
-5.26763382,3.82593723,1.22034360,0.40297934,0.62816036,0.00700147,0.27244042,1.08191042
-5.26163082,3.81688839,1.21093608,0.39928065,0.62410059,0.00692143,0.27976363,1.07744158
-5.25562781,3.80474604,1.20160885,0.39479468,0.61859935,0.00683997,0.28701881,1.07305892
-5.24962481,3.79013615,1.19278738,0.38955804,0.61179686,0.00675903,0.29419580,1.06890705
-5.24362181,3.77370015,1.18487951,0.38361785,0.60384668,0.00668038,0.30129166,1.06512124
-5.23761881,3.75607907,1.17826283,0.37703131,0.59491143,0.00660566,0.30831076,1.06182589
-5.23161581,3.73789831,1.17327301,0.36986515,0.58515850,0.00653626,0.31526462,1.05913328
-5.22561281,3.71975338,1.17019338,0.36219479,0.57475579,0.00647336,0.32217167,1.05714265
-5.21960980,3.70219715,1.16924629,0.35410350,0.56386755,0.00641787,0.32905670,1.05593978
-5.21360680,3.68572881,1.17058638,0.34568131,0.55265049,0.00637041,0.33595029,1.05559680
-5.20760380,3.67078469,1.17429603,0.33702370,0.54125016,0.00633132,0.34288804,1.05617245
-5.20160080,3.65773114,1.18038312,0.32823032,0.52979779,0.00630064,0.34990970,1.05771252
-5.19559780,3.64685940,1.18878104,0.31940331,0.51840767,0.00627814,0.35705827,1.06025065
-5.18959480,3.63838242,1.19935098,0.31064571,0.50717496,0.00626332,0.36437896,1.06380919
-5.18359180,3.63243353,1.21188629,0.30205956,0.49617427,0.00625541,0.37191813,1.06840018
-5.17758879,3.62906683,1.22611867,0.29374404,0.48545885,0.00625342,0.37972219,1.07402630
-5.17158579,3.62825906,1.24172610,0.28579346,0.47506047,0.00625615,0.38783642,1.08068169
-5.16558279,3.62991277,1.25834198,0.27829529,0.46499014,0.00626224,0.39630376,1.08835252
-5.15957979,3.63386058,1.27556534,0.27132818,0.45523941,0.00627017,0.40516346,1.09701723
-5.15357679,3.63987023,1.29297164,0.26496011,0.44578248,0.00627832,0.41444971,1.10664636
-5.14757379,3.64765018,1.31012403,0.25924664,0.43657893,0.00628500,0.42419010,1.11720183
-5.14157079,3.65685562,1.32658437,0.25422943,0.42757691,0.00628849,0.43440393,1.12863567
-5.13556778,3.66709455,1.34192414,0.24993492,0.41871689,0.00628707,0.44510043,1.14088819
-5.12956478,3.67793394,1.35573458,0.24637339,0.40993565,0.00627908,0.45627678,1.15388569
-5.12356178,3.68890561,1.36763604,0.24353834,0.40117040,0.00626292,0.46791607,1.16753766
-5.11755878,3.69951211,1.37728625,0.24140631,0.39236292,0.00623713,0.47998522,1.18173380
-5.11155578,3.70923233,1.38438731,0.23993700,0.38346350,0.00620040,0.49243286,1.19634095
-5.10555278,3.71752712,1.38869149,0.23907397,0.37443456,0.00615163,0.50518749,1.21120026
-5.09954977,3.72384505,1.39000545,0.23874567,0.36525370,0.00608992,0.51815583,1.22612490
-5.09354677,3.72762850,1.38819322,0.23886692,0.35591621,0.00601463,0.53122165,1.24089856
-5.08754377,3.72832032,1.38317771,0.23934089,0.34643678,0.00592541,0.54424527,1.25527519
-5.08154077,3.72537136,1.37494094,0.24006133,0.33685048,0.00582218,0.55706380,1.26898008
-5.07553777,3.71824901,1.36352304,0.24091524,0.32721281,0.00570515,0.56949230,1.28171265
-5.06953477,3.70644686,1.34902012,0.24178572,0.31759892,0.00557486,0.58132609,1.29315112
-5.06353177,3.68949548,1.33158112,0.24255513,0.30810208,0.00543211,0.59234406,1.30295888
-5.05752876,3.66697431,1.31140377,0.24310819,0.29883120,0.00527801,0.60231325,1.31079269
-5.05152576,3.63852421,1.28872968,0.24333526,0.28990782,0.00511391,0.61099436,1.31631246
-5.04552276,3.60386030,1.26383885,0.24313540,0.28146238,0.00494140,0.61814833,1.31919215
-5.03951976,3.56278455,1.23704339,0.24241928,0.27363001,0.00476225,0.62354362,1.31913145
-5.03351676,3.51519742,1.20868084,0.24111172,0.26654601,0.00457838,0.62696395,1.31586770
-5.02751376,3.46110772,1.17910693,0.23915392,0.26034106,0.00439181,0.62821617,1.30918736
-5.02151076,3.40064010,1.14868803,0.23650507,0.25513636,0.00420461,0.62713802,1.29893652
-5.01550775,3.33403922,1.11779322,0.23314347,0.25103887,0.00401884,0.62360519,1.28502971
-5.00950475,3.26167036,1.08678630,0.22906701,0.24813675,0.00383648,0.61753749,1.26745671
-5.00350175,3.18401566,1.05601768,0.22429303,0.24649519,0.00365943,0.60890374,1.24628661
-4.99749875,3.10166621,1.02581653,0.21885749,0.24615285,0.00348939,0.59772506,1.22166915
-4.99149575,3.01530981,0.99648322,0.21281364,0.24711887,0.00332785,0.58407641,1.19383294
-4.98549275,2.92571481,0.96828240,0.20623006,0.24937083,0.00317606,0.56808624,1.16308078
-4.97948974,2.83371081,0.94143693,0.19918838,0.25285355,0.00303498,0.54993419,1.12978217
-4.97348674,2.74016686,0.91612296,0.19178048,0.25747900,0.00290528,0.52984700,1.09436347
-4.96748374,2.64596831,0.89246631,0.18410566,0.26312729,0.00278729,0.50809272,1.05729606
-4.96148074,2.55199349,0.87054056,0.17626763,0.26964887,0.00268104,0.48497352,1.01908327
-4.95547774,2.45909127,0.85036675,0.16837149,0.27686777,0.00258627,0.46081740,0.98024654
-4.94947474,2.36806073,0.83191507,0.16052094,0.28458601,0.00250240,0.43596921,0.94131163
-4.94347174,2.27963380,0.81510830,0.15281573,0.29258896,0.00242862,0.41078128,0.90279536
-4.93746873,2.19446177,0.79982715,0.14534942,0.30065156,0.00236389,0.38560412,0.86519347
-4.93146573,2.11310602,0.78591709,0.13820751,0.30854512,0.00230701,0.36077759,0.82897006
-4.92546273,2.03603320,0.77319660,0.13146610,0.31604456,0.00225663,0.33662271,0.79454888
-4.91945973,1.96361482,0.76146635,0.12519083,0.32293575,0.00221135,0.31343457,0.76230654
-4.91345673,1.89613063,0.75051884,0.11943638,0.32902262,0.00216974,0.29147636,0.73256787
-4.90745373,1.83377530,0.74014814,0.11424618,0.33413383,0.00213041,0.27097473,0.70560297
-4.90145073,1.77666740,0.73015913,0.10965260,0.33812863,0.00209203,0.25211659,0.68162611
