energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-5.80790395,2.48798399,0.00671863,0.22949035,1.17583063,1.42090243,0.86461658,0.00000000
-5.80190095,2.46382667,0.00693999,0.22234038,1.15750678,1.41750353,0.84478699,0.00000000
-5.79589795,2.43420674,0.00716069,0.21473560,1.13692790,1.41095613,0.82284444,0.00000000
-5.78989495,2.39963322,0.00737817,0.20677368,1.11449538,1.40137482,0.79914607,0.00000000
-5.78389195,2.36066212,0.00758979,0.19855403,1.09058281,1.38892217,0.77405686,0.00000000
-5.77788894,2.31786734,0.00779283,0.19017430,1.06552172,1.37379483,0.74793621,0.00000000
-5.77188594,2.27181401,0.00798444,0.18172715,1.03959105,1.35620981,0.72112602,0.00000000
-5.76588294,2.22303542,0.00816168,0.17329754,1.01301067,1.33639163,0.69394067,0.00000000
-5.75987994,2.17201450,0.00832152,0.16496060,0.98593910,1.31456096,0.66665921,0.00000000
-5.75387694,2.11917040,0.00846091,0.15678010,0.95847525,1.29092525,0.63951994,0.00000000
-5.74787394,2.06485041,0.00857681,0.14880757,0.93066371,1.26567152,0.61271746,0.00000000
-5.74187094,2.00932706,0.00866633,0.14108206,0.90250311,1.23896170,0.58640200,0.00000000
-5.73586793,1.95280014,0.00872675,0.13363048,0.87395667,1.21093029,0.56068094,0.00000000
-5.72986493,1.89540293,0.00875565,0.12646848,0.84496426,1.18168434,0.53562208,0.00000000
-5.72386193,1.83721185,0.00875100,0.11960168,0.81545492,1.15130554,0.51125834,0.00000000
-5.71785893,1.77825869,0.00871124,0.11302723,0.78535912,1.11985398,0.48759353,0.00000000
-5.71185593,1.71854434,0.00863536,0.10673559,0.75462005,1.08737328,0.46460870,0.00000000
-5.70585293,1.65805325,0.00852292,0.10071234,0.72320318,1.05389667,0.44226866,0.00000000
-5.69984992,1.59676764,0.00837414,0.09493998,0.69110364,1.01945356,0.42052842,0.00000000
-5.69384692,1.53468068,0.00818991,0.08939959,0.65835132,0.98407619,0.39933906,0.00000000
-5.68784392,1.47180825,0.00797172,0.08407234,0.62501323,0.94780608,0.37865297,0.00000000
-5.68184092,1.40819846,0.00772171,0.07894071,0.59119348,0.91069985,0.35842819,0.00000000
-5.67583792,1.34393902,0.00744257,0.07398943,0.55703094,0.87283422,0.33863180,0.00000000
-5.66983492,1.27916206,0.00713749,0.06920619,0.52269486,0.83430998,0.31924223,0.00000000
-5.66383192,1.21404650,0.00681004,0.06458197,0.48837904,0.79525478,0.30025070,0.00000000
-5.65782891,1.14881805,0.00646414,0.06011118,0.45429478,0.75582473,0.28166161,0.00000000
-5.65182591,1.08374708,0.00610389,0.05579154,0.42066335,0.71620466,0.26349229,0.00000000
-5.64582291,1.01914460,0.00573350,0.05162378,0.38770826,0.67660725,0.24577194,0.00000000
-5.63981991,0.95535666,0.00535717,0.04761115,0.35564782,0.63727097,0.22854013,0.00000000
-5.63381691,0.89275755,0.00497902,0.04375896,0.32468843,0.59845695,0.21184488,0.00000000
-5.62781391,0.83174205,0.00460297,0.04007387,0.29501870,0.56044499,0.19574055,0.00000000
-5.62181091,0.77271713,0.00423267,0.03656337,0.26680483,0.52352877,0.18028558,0.00000000
-5.61580790,0.71609339,0.00387146,0.03323514,0.24018715,0.48801050,0.16554030,0.00000000
-5.60980490,0.66227645,0.00352230,0.03009653,0.21527796,0.45419512,0.15156476,0.00000000
-5.60380190,0.61165862,0.00318773,0.02715410,0.19216062,0.42238427,0.13841686,0.00000000
-5.59779890,0.56461098,0.00286988,0.02441326,0.17088969,0.39287021,0.12615063,0.00000000
-5.59179590,0.52147607,0.00257044,0.02187796,0.15149213,0.36592976,0.11481485,0.00000000
-5.58579290,0.48256141,0.00229068,0.01955052,0.13396921,0.34181865,0.10445199,0.00000000
-5.57978989,0.44813378,0.00203148,0.01743153,0.11829909,0.32076611,0.09509743,0.00000000
-5.57378689,0.41841464,0.00179332,0.01551982,0.10443977,0.30297014,0.08677904,0.00000000
-5.56778389,0.39357652,0.00157635,0.01381255,0.09233229,0.28859348,0.07951709,0.00000000
-5.56178089,0.37374057,0.00138044,0.01230530,0.08190405,0.27776028,0.07332444,0.00000000
-5.55577789,0.35897532,0.00120517,0.01099227,0.07307205,0.27055381,0.06820699,0.00000000
-5.54977489,0.34929671,0.00104996,0.00986645,0.06574598,0.26701511,0.06416448,0.00000000
-5.54377189,0.34466933,0.00091403,0.00891989,0.05983112,0.26714270,0.06119140,0.00000000
-5.53776888,0.34500892,0.00079649,0.00814393,0.05523094,0.27089344,0.05927816,0.00000000
-5.53176588,0.35018617,0.00069638,0.00752945,0.05184942,0.27818453,0.05841237,0.00000000
-5.52576288,0.36003167,0.00061271,0.00706715,0.04959308,0.28889655,0.05858033,0.00000000
-5.51975988,0.37434187,0.00054449,0.00674778,0.04837271,0.30287760,0.05976838,0.00000000
-5.51375688,0.39288610,0.00049075,0.00656238,0.04810478,0.31994844,0.06196449,0.00000000
-5.50775388,0.41541422,0.00045056,0.00650250,0.04871267,0.33990827,0.06515960,0.00000000
-5.50175088,0.44166480,0.00042309,0.00656040,0.05012754,0.36254129,0.06934896,0.00000000
-5.49574787,0.47137347,0.00040756,0.00672920,0.05228906,0.38762345,0.07453323,0.00000000
-5.48974487,0.50428110,0.00040330,0.00700302,0.05514581,0.41492938,0.08071935,0.00000000
-5.48374187,0.54014140,0.00040972,0.00737709,0.05865555,0.44423900,0.08792108,0.00000000
-5.47773887,0.57872769,0.00042632,0.00784781,0.06278521,0.47534358,0.09615914,0.00000000
-5.47173587,0.61983820,0.00045266,0.00841278,0.06751056,0.50805089,0.10546092,0.00000000
-5.46573287,0.66329989,0.00048838,0.00907074,0.07281579,0.54218916,0.11585975,0.00000000
-5.45972986,0.70897013,0.00053315,0.00982155,0.07869273,0.57760957,0.12739357,0.00000000
-5.45372686,0.75673642,0.00058666,0.01066603,0.08513986,0.61418715,0.14010319,0.00000000
-5.44772386,0.80651382,0.00064860,0.01160581,0.09216111,0.65181993,0.15402999,0.00000000
-5.44172086,0.85824015,0.00071865,0.01264311,0.09976445,0.69042640,0.16921324,0.00000000
-5.43571786,0.91186935,0.00079643,0.01378049,0.10796035,0.72994140,0.18568699,0.00000000
-5.42971486,0.96736307,0.00088150,0.01502055,0.11676013,0.77031066,0.20347680,0.00000000
-5.42371186,1.02468115,0.00097335,0.01636560,0.12617429,0.81148433,0.22259625,0.00000000
-5.41770885,1.08377140,0.00107137,0.01781734,0.13621092,0.85341000,0.24304357,0.00000000
-5.41170585,1.14455949,0.00117484,0.01937649,0.14687425,0.89602554,0.26479843,0.00000000
-5.40570285,1.20693951,0.00128296,0.02104246,0.15816342,0.93925247,0.28781910,0.00000000
-5.39969985,1.27076588,0.00139483,0.02281300,0.17007160,0.98299020,0.31204017,0.00000000
-5.39369685,1.33584735,0.00150948,0.02468398,0.18258548,1.02711175,0.33737103,0.00000000
-5.38769385,1.40194347,0.00162585,0.02664910,0.19568520,1.07146119,0.36369513,0.00000000
-5.38169085,1.46876401,0.00174290,0.02869975,0.20934474,1.11585320,0.39087022,0.00000000
-5.37568784,1.53597150,0.00185955,0.03082494,0.22353282,1.16007489,0.41872966,0.00000000
-5.36968484,1.60318685,0.00197476,0.03301130,0.23821411,1.20388969,0.44708471,0.00000000
-5.36368184,1.66999801,0.00208759,0.03524317,0.25335093,1.24704344,0.47572780,0.00000000
-5.35767884,1.73597107,0.00219719,0.03750284,0.26890504,1.28927206,0.50443683,0.00000000
-5.35167584,1.80066333,0.00230285,0.03977080,0.28483964,1.33031061,0.53298004,0.00000000
-5.34567284,1.86363770,0.00240405,0.04202619,0.30112123,1.36990302,0.56112161,0.00000000
-5.33966983,1.92447737,0.00250046,0.04424718,0.31772130,1.40781206,0.58862750,0.00000000
-5.33366683,1.98280016,0.00259197,0.04641158,0.33461755,1.44382874,0.61527134,0.00000000
-5.32766383,2.03827146,0.00267867,0.04849731,0.35179456,1.47778070,0.64084012,0.00000000
-5.32166083,2.09061516,0.00276089,0.05048305,0.36924373,1.50953893,0.66513939,0.00000000
-5.31565783,2.13962168,0.00283914,0.05234871,0.38696240,1.53902256,0.68799762,0.00000000
-5.30965483,2.18515285,0.00291409,0.05407601,0.40495207,1.56620124,0.70926964,0.00000000
-5.30365183,2.22714315,0.00298656,0.05564887,0.42321574,1.59109503,0.72883885,0.00000000
-5.29764882,2.26559736,0.00305742,0.05705381,0.44175448,1.61377196,0.74661817,0.00000000
-5.29164582,2.30058473,0.00312757,0.05828016,0.46056324,1.63434317,0.76254963,0.00000000
-5.28564282,2.33223011,0.00319791,0.05932022,0.47962624,1.65295628,0.77660272,0.00000000
-5.27963982,2.36070258,0.00326920,0.06016922,0.49891216,1.66978718,0.78877160,0.00000000
-5.27363682,2.38620244,0.00334208,0.06082525,0.51836932,1.68503096,0.79907129,0.00000000
-5.26763382,2.40894727,0.00341699,0.06128901,0.53792140,1.69889246,0.80753331,0.00000000
-5.26163082,2.42915815,0.00349412,0.06156347,0.55746386,1.71157715,0.81420080,0.00000000
-5.25562781,2.44704685,0.00357338,0.06165352,0.57686143,1.72328284,0.81912379,0.00000000
-5.24962481,2.46280483,0.00365440,0.06156546,0.59594708,1.73419273,0.82235469,0.00000000
-5.24362181,2.47659476,0.00373652,0.06130662,0.61452258,1.74447018,0.82394449,0.00000000
-5.23761881,2.48854510,0.00381879,0.06088486,0.63236081,1.75425546,0.82393992,0.00000000
-5.23161581,2.49874800,0.00390000,0.06030823,0.64920998,1.76366454,0.82238171,0.00000000
-5.22561281,2.50726056,0.00397877,0.05958458,0.66479963,1.77278991,0.81930419,0.00000000
-5.21960980,2.51410925,0.00405352,0.05872140,0.67884823,1.78170308,0.81473617,0.00000000
-5.21360680,2.51929714,0.00412261,0.05772561,0.69107222,1.79045861,0.80870304,0.00000000
-5.20760380,2.52281311,0.00418439,0.05660358,0.70119595,1.79909898,0.80122992,0.00000000
-5.20160080,2.52464244,0.00423726,0.05536118,0.70896229,1.80765992,0.79234565,0.00000000
-5.19559780,2.52477776,0.00427976,0.05400394,0.71414315,1.81617554,0.78208715,0.00000000
-5.18959480,2.52322940,0.00431065,0.05253728,0.71654960,1.82468280,0.77050392,0.00000000
-5.18359180,2.52003439,0.00432894,0.05096681,0.71604091,1.83322472,0.75766218,0.00000000
-5.17758879,2.51526314,0.00433398,0.04929859,0.71253214,1.84185203,0.74364839,0.00000000
-5.17158579,2.50902326,0.00432547,0.04753946,0.70599965,1.85062290,0.72857159,0.00000000
-5.16558279,2.50146009,0.00430350,0.04569732,0.69648451,1.85960078,0.71256461,0.00000000
-5.15957979,2.49275382,0.00426853,0.04378127,0.68409326,1.86885026,0.69578366,0.00000000
-5.15357679,2.48311320,0.00422137,0.04180185,0.66899613,1.87843128,0.67840647,0.00000000
-5.14757379,2.47276631,0.00416319,0.03977100,0.65142276,1.88839206,0.66062887,0.00000000
-5.14157079,2.46194891,0.00409542,0.03770206,0.63165550,1.89876124,0.64266005,0.00000000
-5.13556778,2.45089124,0.00401971,0.03560963,0.61002069,1.90953993,0.62471671,0.00000000
-5.12956478,2.43980417,0.00393787,0.03350937,0.58687822,1.92069424,0.60701636,0.00000000
-5.12356178,2.42886568,0.00385176,0.03141766,0.56260998,1.93214904,0.58977035,0.00000000
-5.11755878,2.41820871,0.00376323,0.02935129,0.53760763,1.94378355,0.57317682,0.00000000
-5.11155578,2.40791137,0.00367403,0.02732708,0.51226030,1.95542932,0.55741403,0.00000000
-5.10555278,2.39799011,0.00358575,0.02536143,0.48694273,1.96687094,0.54263463,0.00000000
-5.09954977,2.38839661,0.00349973,0.02347000,0.46200440,1.97784968,0.52896086,0.00000000
-5.09354677,2.37901859,0.00341704,0.02166726,0.43776001,1.98807018,0.51648123,0.00000000
-5.08754377,2.36968457,0.00333840,0.01996622,0.41448182,1.99720982,0.50524868,0.00000000
-5.08154077,2.36017245,0.00326420,0.01837811,0.39239385,2.00493043,0.49528024,0.00000000
-5.07553777,2.35022119,0.00319447,0.01691220,0.37166836,2.01089177,0.48655823,0.00000000
-5.06953477,2.33954507,0.00312891,0.01557563,0.35242445,2.01476598,0.47903285,0.00000000
-5.06353177,2.32784934,0.00306692,0.01437334,0.33472874,2.01625213,0.47262583,0.00000000
-5.05752876,2.31484651,0.00300760,0.01330803,0.31859806,2.01509004,0.46723507,0.00000000
-5.05152576,2.30027191,0.00294990,0.01238022,0.30400372,2.01107243,0.46273971,0.00000000
-5.04552276,2.28389768,0.00289259,0.01158835,0.29087720,2.00405463,0.45900551,0.00000000
-5.03951976,2.26554423,0.00283439,0.01092887,0.27911680,1.99396122,0.45589012,0.00000000
-5.03351676,2.24508838,0.00277400,0.01039644,0.26859496,1.98078909,0.45324798,0.00000000
-5.02751376,2.22246780,0.00271022,0.00998408,0.25916577,1.96460676,0.45093466,0.00000000
-5.02151076,2.19768144,0.00264195,0.00968342,0.25067242,1.94554986,0.44881040,0.00000000
-5.01550775,2.17078615,0.00256831,0.00948482,0.24295418,1.92381319,0.44674287,0.00000000
-5.00950475,2.14188970,0.00248862,0.00937765,0.23585276,1.89963977,0.44460902,0.00000000
-5.00350175,2.11114093,0.00240248,0.00935049,0.22921770,1.87330755,0.44229615,0.00000000
-4.99749875,2.07871781,0.00230976,0.00939131,0.22291089,1.84511472,0.43970235,0.00000000
-4.99149575,2.04481436,0.00221061,0.00948770,0.21680981,1.81536457,0.43673628,0.00000000
-4.98549275,2.00962738,0.00210545,0.00962706,0.21080986,1.78435081,0.43331677,0.00000000
-4.97948974,1.97334410,0.00199494,0.00979685,0.20482561,1.75234423,0.42937221,0.00000000
-4.97348674,1.93613160,0.00187995,0.00998474,0.19879105,1.71958174,0.42483996,0.00000000
-4.96748374,1.89812875,0.00176154,0.01017888,0.19265916,1.68625823,0.41966603,0.00000000
-4.96148074,1.85944126,0.00164088,0.01036807,0.18640078,1.65252173,0.41380509,0.00000000
-4.95547774,1.82014018,0.00151920,0.01054201,0.18000303,1.61847228,0.40722088,0.00000000
-4.94947474,1.78026384,0.00139779,0.01069145,0.17346744,1.58416427,0.39988705,0.00000000
-4.94347174,1.73982320,0.00127791,0.01080844,0.16680796,1.54961216,0.39178841,0.00000000
-4.93746873,1.69880999,0.00116073,0.01088649,0.16004892,1.51479909,0.38292248,0.00000000
-4.93146573,1.65720730,0.00104736,0.01092072,0.15322313,1.47968776,0.37330124,0.00000000
-4.92546273,1.61500172,0.00093877,0.01090802,0.14637014,1.44423293,0.36295288,0.00000000
-4.91945973,1.57219625,0.00083576,0.01084711,0.13953477,1.40839469,0.35192342,0.00000000
-4.91345673,1.52882321,0.00073899,0.01073866,0.13276585,1.37215170,0.34027805,0.00000000
-4.90745373,1.48495634,0.00064894,0.01058525,0.12611523,1.33551376,0.32810192,0.00000000
-4.90145073,1.44072125,0.00056593,0.01039141,0.11963705,1.29853285,0.31550040,0.00000000
-4.89544772,1.39630382,0.00049011,0.01016350,0.11338717,1.26131229,0.30259855,0.00000000
-4.88944472,1.35195588,0.00042149,0.00990961,0.10742271,1.22401333,0.28953994,0.00000000
-4.88344172,1.30799795,0.00035994,0.00963943,0.10180173,1.18685913,0.27648459,0.00000000
-4.87743872,1.26481880,0.00030522,0.00936400,0.09658288,1.15013580,0.26360623,0.00000000
-4.87143572,1.22287194,0.00025699,0.00909551,0.09182504,1.11419047,0.25108890,0.00000000
-4.86543272,1.18266890,0.00021486,0.00884702,0.08758692,1.07942650,0.23912294,0.00000000
-4.85942971,1.14476961,0.00017838,0.00863213,0.08392646,1.04629602,0.22790065,0.00000000
-4.85342671,1.10977024,0.00014705,0.00846469,0.08090016,1.01528994,0.21761156,0.00000000
-4.84742371,1.07828863,0.00012039,0.00835843,0.07856224,0.98692570,0.20843765,0.00000000
-4.84142071,1.05094780,0.00009789,0.00832663,0.07696361,0.96173326,0.20054866,0.00000000
-4.83541771,1.02835800,0.00007907,0.00838174,0.07615075,0.94023943,0.19409746,0.00000000
-4.82941471,1.01109763,0.00006349,0.00853502,0.07616441,0.92295112,0.18921589,0.00000000
-4.82341171,0.99969366,0.00005071,0.00879621,0.07703825,0.91033790,0.18601099,0.00000000
-4.81740870,0.99460197,0.00004036,0.00917318,0.07879748,0.90281419,0.18456181,0.00000000
-4.81140570,0.99618820,0.00003209,0.00967163,0.08145741,0.90072186,0.18491686,0.00000000
-4.80540270,1.00470981,0.00002562,0.01029479,0.08502222,0.90431341,0.18709236,0.00000000
-4.79939970,1.02029986,0.00002070,0.01104325,0.08948376,0.91373672,0.19107119,0.00000000
-4.79339670,1.04295328,0.00001713,0.01191477,0.09482067,0.92902163,0.19680279,0.00000000
-4.78739370,1.07251637,0.00001478,0.01290416,0.10099778,0.95006920,0.20420379,0.00000000
-4.78139070,1.10867994,0.00001355,0.01400331,0.10796586,0.97664417,0.21315962,0.00000000
-4.77538769,1.15097704,0.00001341,0.01520127,0.11566180,1.00837120,0.22352697,0.00000000
-4.76938469,1.19878549,0.00001437,0.01648439,0.12400939,1.04473539,0.23513704,0.00000000
-4.76338169,1.25133575,0.00001650,0.01783669,0.13292043,1.08508746,0.24779967,0.00000000
-4.75737869,1.30772422,0.00001995,0.01924017,0.14229652,1.12865379,0.26130811,0.00000000
-4.75137569,1.36693199,0.00002490,0.02067541,0.15203130,1.17455133,0.27544448,0.00000000
-4.74537269,1.42784868,0.00003163,0.02212207,0.16201313,1.22180725,0.28998563,0.00000000
-4.73936968,1.48930087,0.00004047,0.02355967,0.17212816,1.26938277,0.30470943,0.00000000
-4.73336668,1.55008423,0.00005185,0.02496824,0.18226373,1.31620066,0.31940109,0.00000000
-4.72736368,1.60899840,0.00006626,0.02632914,0.19231179,1.36117540,0.33385947,0.00000000
-4.72136068,1.66488306,0.00008429,0.02762579,0.20217250,1.40324500,0.34790301,0.00000000
-4.71535768,1.71665412,0.00010661,0.02884443,0.21175744,1.44140313,0.36137519,0.00000000
-4.70935468,1.76333817,0.00013399,0.02997478,0.22099271,1.47473040,0.37414908,0.00000000
-4.70335168,1.80410370,0.00016725,0.03101055,0.22982132,1.50242332,0.38613101,0.00000000
-4.69734867,1.83828778,0.00020733,0.03194987,0.23820507,1.52381962,0.39726291,0.00000000
-4.69134567,1.86541666,0.00025520,0.03279556,0.24612558,1.53841888,0.40752336,0.00000000
-4.68534267,1.88521929,0.00031189,0.03355508,0.25358445,1.54589734,0.41692712,0.00000000
-4.67933967,1.89763304,0.00037846,0.03424046,0.26060250,1.54611625,0.42552315,0.00000000
-4.67333667,1.90280114,0.00045594,0.03486780,0.26721806,1.53912329,0.43339120,0.00000000
-4.66733367,1.90106185,0.00054535,0.03545675,0.27348437,1.52514699,0.44063685,0.00000000
-4.66133067,1.89292984,0.00064761,0.03602968,0.27946614,1.50458432,0.44738547,0.00000000
-4.65532766,1.87907042,0.00076353,0.03661070,0.28523548,1.47798217,0.45377507,0.00000000
-4.64932466,1.86026800,0.00089374,0.03722455,0.29086730,1.44601342,0.45994842,0.00000000
-4.64332166,1.83739003,0.00103865,0.03789543,0.29643443,1.40944888,0.46604485,0.00000000
