energy_ev,total_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.44563230,0.01089856,0.00000000,0.70806797,0.99279425,0.01156386,0.47080769,0.01965519,0.78830027
-5.99399700,2.41438638,0.01074791,0.00000000,0.70202366,0.98221645,0.01146116,0.46122269,0.01972623,0.77921112
-5.98799400,2.37638261,0.01056822,0.00000000,0.69348837,0.96918995,0.01133299,0.45033261,0.01974099,0.76768377
-5.98199100,2.33237595,0.01036344,0.00000000,0.68260472,0.95401264,0.01118085,0.43831637,0.01970068,0.75395434
-5.97598799,2.28315773,0.01013777,0.00000000,0.66954511,0.93698785,0.01100610,0.42535886,0.01960686,0.73828045
-5.96998499,2.22953491,0.00989554,0.00000000,0.65450870,0.91841546,0.01080989,0.41164655,0.01946137,0.72093472
-5.96398199,2.17231014,0.00964108,0.00000000,0.63771780,0.89858367,0.01059327,0.39736325,0.01926637,0.70219818
-5.95797899,2.11226347,0.00937865,0.00000000,0.61941384,0.87776187,0.01035712,0.38268626,0.01902428,0.68235384
-5.95197599,2.05013628,0.00911230,0.00000000,0.59985287,0.85619485,0.01010228,0.36778291,0.01873779,0.66168063
-5.94597299,1.98661809,0.00884582,0.00000000,0.57930100,0.83409861,0.00982957,0.35280783,0.01840984,0.64044794
-5.93996998,1.92233660,0.00858266,0.00000000,0.55802954,0.81165782,0.00953989,0.33790067,0.01804364,0.61891091
-5.93396698,1.85785111,0.00832583,0.00000000,0.53631030,0.78902507,0.00923430,0.32318467,0.01764268,0.59730658
-5.92796398,1.79364952,0.00807795,0.00000000,0.51441094,0.76632180,0.00891409,0.30876582,0.01721073,0.57585109
-5.92196098,1.73014847,0.00784112,0.00000000,0.49259055,0.74364076,0.00858088,0.29473278,0.01675182,0.55473775
-5.91595798,1.66769664,0.00761703,0.00000000,0.47109556,0.72104977,0.00823668,0.28115729,0.01627028,0.53413612
-5.90995498,1.60658031,0.00740690,0.00000000,0.45015597,0.69859655,0.00788393,0.26809525,0.01577067,0.51419191
-5.90395198,1.54703101,0.00721155,0.00000000,0.42998208,0.67631413,0.00752557,0.25558803,0.01525778,0.49502765
-5.89794897,1.48923421,0.00703142,0.00000000,0.41076159,0.65422667,0.00716501,0.24366429,0.01473653,0.47674391
-5.89194597,1.43333862,0.00686666,0.00000000,0.39265718,0.63235516,0.00680618,0.23234173,0.01421195,0.45942087
-5.88594297,1.37946528,0.00671717,0.00000000,0.37580466,0.61072268,0.00645346,0.22162908,0.01368908,0.44312024
-5.87993997,1.32771594,0.00658264,0.00000000,0.36031145,0.58935895,0.00611162,0.21152793,0.01317284,0.42788709
-5.87393697,1.27818004,0.00646264,0.00000000,0.34625570,0.56830393,0.00578578,0.20203438,0.01266794,0.41375170
-5.86793397,1.23094017,0.00635665,0.00000000,0.33368576,0.54761011,0.00548127,0.19314050,0.01217880,0.40073114
-5.86193097,1.18607541,0.00626411,0.00000000,0.32262026,0.52734365,0.00520355,0.18483549,0.01170937,0.38883060
-5.85592796,1.14366284,0.00618445,0.00000000,0.31304857,0.50758408,0.00495807,0.17710647,0.01126307,0.37804437
-5.84992496,1.10377692,0.00611709,0.00000000,0.30493184,0.48842279,0.00475013,0.16993908,0.01084267,0.36835647
-5.84392196,1.06648714,0.00606148,0.00000000,0.29820452,0.46996028,0.00458470,0.16331764,0.01045026,0.35974096
-5.83791896,1.03185421,0.00601706,0.00000000,0.29277628,0.45230248,0.00446636,0.15722517,0.01008710,0.35216207
-5.83191596,0.99992503,0.00598327,0.00000000,0.28853454,0.43555631,0.00439903,0.15164315,0.00975371,0.34557409
-5.82591296,0.97072712,0.00595950,0.00000000,0.28534737,0.41982471,0.00438593,0.14655122,0.00944978,0.33992123
-5.81990995,0.94426273,0.00594510,0.00000000,0.28306676,0.40520149,0.00442938,0.14192671,0.00917424,0.33513748
-5.81390695,0.92050330,0.00593929,0.00000000,0.28153229,0.39176629,0.00453070,0.13774426,0.00892529,0.33114661
-5.80790395,0.89938462,0.00594121,0.00000000,0.28057507,0.37957983,0.00469009,0.13397546,0.00870051,0.32786243
-5.80190095,0.88080302,0.00594981,0.00000000,0.28002175,0.36867987,0.00490657,0.13058861,0.00849694,0.32518925
-5.79589795,0.86461315,0.00596390,0.00000000,0.27969876,0.35907794,0.00517790,0.12754865,0.00831122,0.32302276
-5.78989495,0.85062720,0.00598208,0.00000000,0.27943631,0.35075718,0.00550053,0.12481720,0.00813967,0.32125121
-5.78389195,0.83861615,0.00600279,0.00000000,0.27907239,0.34367125,0.00586966,0.12235290,0.00797850,0.31975702
-5.77788894,0.82831276,0.00602427,0.00000000,0.27845642,0.33774457,0.00627921,0.12011185,0.00782387,0.31841865
-5.77188594,0.81941651,0.00604460,0.00000000,0.27745251,0.33287380,0.00672198,0.11804829,0.00767207,0.31711293
-5.76588294,0.81160024,0.00606176,0.00000000,0.27594233,0.32893056,0.00718970,0.11611542,0.00751961,0.31571751
-5.75987994,0.80451840,0.00607361,0.00000000,0.27382741,0.32576538,0.00767323,0.11426633,0.00736332,0.31411363
-5.75387694,0.79781670,0.00607800,0.00000000,0.27103089,0.32321271,0.00816275,0.11245513,0.00720044,0.31218897
-5.74787394,0.79114271,0.00607279,0.00000000,0.26749871,0.32109675,0.00864804,0.11063801,0.00702870,0.30984054
-5.74187094,0.78415727,0.00605591,0.00000000,0.26320025,0.31923811,0.00911866,0.10877447,0.00684632,0.30697767
-5.73586793,0.77654628,0.00602547,0.00000000,0.25812839,0.31746087,0.00956431,0.10682841,0.00665206,0.30352473
-5.72986493,0.76803240,0.00597977,0.00000000,0.25229917,0.31559989,0.00997514,0.10476929,0.00644520,0.29942383
-5.72386193,0.75838641,0.00591742,0.00000000,0.24575101,0.31350814,0.01034199,0.10257310,0.00622556,0.29463717
-5.71785893,0.74743777,0.00583732,0.00000000,0.23854355,0.31106372,0.01065674,0.10022328,0.00599342,0.28914915
-5.71185593,0.73508401,0.00573882,0.00000000,0.23075628,0.30817631,0.01091256,0.09771152,0.00574951,0.28296799
-5.70585293,0.72129866,0.00562164,0.00000000,0.22248701,0.30479290,0.01110417,0.09503825,0.00549494,0.27612703
-5.69984992,0.70613722,0.00548601,0.00000000,0.21385017,0.30090248,0.01122799,0.09221314,0.00523114,0.26868541
-5.69384692,0.68974124,0.00533260,0.00000000,0.20497500,0.29653950,0.01128233,0.08925520,0.00495982,0.26072825
-5.68784392,0.67233988,0.00516256,0.00000000,0.19600387,0.29178598,0.01126746,0.08619276,0.00468285,0.25236624
-5.68184092,0.65424914,0.00497752,0.00000000,0.18709037,0.28677219,0.01118560,0.08306323,0.00440227,0.24373461
-5.67583792,0.63586842,0.00477950,0.00000000,0.17839765,0.28167562,0.01104086,0.07991256,0.00412017,0.23499144
-5.66983492,0.61767455,0.00457094,0.00000000,0.17009651,0.27671848,0.01083918,0.07679455,0.00383864,0.22631539
-5.66383192,0.60021322,0.00435459,0.00000000,0.16236372,0.27216349,0.01058808,0.07376989,0.00355978,0.21790280
-5.65782891,0.58408807,0.00413347,0.00000000,0.15538009,0.26830821,0.01029644,0.07090505,0.00328554,0.20996418
-5.65182591,0.56994741,0.00391077,0.00000000,0.14932868,0.26547783,0.00997422,0.06827096,0.00301781,0.20272025
-5.64582291,0.55846909,0.00368980,0.00000000,0.14439275,0.26401672,0.00963214,0.06594159,0.00275827,0.19639751
-5.63981991,0.55034369,0.00347386,0.00000000,0.14075379,0.26427885,0.00928130,0.06399234,0.00250846,0.19122335
-5.63381691,0.54625644,0.00326621,0.00000000,0.13858929,0.26661725,0.00893285,0.06249844,0.00226970,0.18742112
-5.62781391,0.54686828,0.00306991,0.00000000,0.13807055,0.27137288,0.00859762,0.06153321,0.00204307,0.18520481
-5.62181091,0.55279672,0.00288784,0.00000000,0.13936025,0.27886314,0.00828579,0.06116641,0.00182947,0.18477395
-5.61580790,0.56459669,0.00272255,0.00000000,0.14261008,0.28937029,0.00800653,0.06146258,0.00162954,0.18630845
-5.60980490,0.58274232,0.00257624,0.00000000,0.14795823,0.30313021,0.00776778,0.06247939,0.00144371,0.18996388
-5.60380190,0.60760984,0.00245070,0.00000000,0.15552697,0.32032184,0.00757597,0.06426627,0.00127221,0.19586703
-5.59779890,0.63946244,0.00234729,0.00000000,0.16542015,0.34105760,0.00743587,0.06686300,0.00111504,0.20411210
