energy_ev,total_up,Au_p_up,Au_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.35357653,0.69038244,1.70276426,0.93102858,0.32722512,0.00221466,0.39200977,0.00273147,0.91121646
-5.99399700,3.22033136,0.65922345,1.63625234,0.90800075,0.31262565,0.00204896,0.37266445,0.00260705,0.87899953
-5.98799400,3.08907373,0.62882703,1.57034923,0.88438026,0.29875383,0.00189481,0.35347135,0.00250047,0.84740146
-5.98199100,2.96056076,0.59927940,1.50553360,0.86022141,0.28566889,0.00175140,0.33457121,0.00241309,0.81651779
-5.97598799,2.83552480,0.57067023,1.44227284,0.83560386,0.27341585,0.00161789,0.31609633,0.00234620,0.78644210
-5.96998499,2.71467142,0.54309132,1.38102084,0.81063252,0.26202695,0.00149342,0.29816951,0.00230100,0.75726689
-5.96398199,2.59867606,0.51663478,1.32221510,0.78543568,0.25152327,0.00137719,0.28090301,0.00227852,0.72908381
-5.95797899,2.48817864,0.49139081,1.26627274,0.76016171,0.24191634,0.00126845,0.26439775,0.00227963,0.70198300
-5.95197599,2.38377607,0.46744503,1.21358541,0.73497435,0.23320966,0.00116653,0.24874251,0.00230498,0.67605184
-5.94597299,2.28601274,0.44487561,1.16451302,0.71004695,0.22539994,0.00107086,0.23401323,0.00235497,0.65137293
-5.93996998,2.19536925,0.42375026,1.11937650,0.68555603,0.21847824,0.00098095,0.22027233,0.00242969,0.62802159
-5.93396698,2.11225001,0.40412320,1.07844983,0.66167454,0.21243070,0.00089644,0.20756809,0.00252891,0.60606305
-5.92796398,2.03697035,0.38603242,1.04195178,0.63856526,0.20723909,0.00081702,0.19593418,0.00265198,0.58554951
-5.92196098,1.96974408,0.36949732,1.01003782,0.61637467,0.20288102,0.00074248,0.18538925,0.00279785,0.56651740
-5.91595798,1.91067240,0.35451696,0.98279275,0.59522777,0.19932995,0.00067267,0.17593685,0.00296500,0.54898494
-5.90995498,1.85973504,0.34106898,0.96022461,0.57522405,0.19655512,0.00060747,0.16756546,0.00315142,0.53295037
-5.90395198,1.81678458,0.32910941,0.94226036,0.55643487,0.19452126,0.00054682,0.16024893,0.00335461,0.51839086
-5.89794897,1.78154442,0.31857331,0.92874382,0.53890232,0.19318840,0.00049064,0.15394713,0.00357159,0.50526241
-5.89194597,1.75361118,0.30937631,0.91943614,0.52263968,0.19251168,0.00043890,0.14860708,0.00379891,0.49350062
-5.88594297,1.73246152,0.30141697,0.91401923,0.50763321,0.19244136,0.00039151,0.14416425,0.00403268,0.48302243
-5.87993997,1.71746351,0.29457982,0.91210185,0.49384529,0.19292297,0.00034840,0.14054434,0.00426867,0.47372884
-5.87393697,1.70789238,0.28873900,0.91322878,0.48121856,0.19389777,0.00030946,0.13766515,0.00450235,0.46550827
-5.86793397,1.70294989,0.28376223,0.91689236,0.46968074,0.19530336,0.00027456,0.13543884,0.00472903,0.45824061
-5.86193097,1.70178694,0.27951496,0.92254639,0.45914987,0.19707471,0.00024353,0.13377411,0.00494393,0.45180165
-5.85592796,1.70352820,0.27586446,0.92962175,0.44953961,0.19914528,0.00021618,0.13257862,0.00514234,0.44606760
-5.84992496,1.70729798,0.27268362,0.93754308,0.44076417,0.20144849,0.00019231,0.13176122,0.00531973,0.44091958
-5.84392196,1.71224606,0.26985440,0.94574599,0.43274278,0.20391916,0.00017168,0.13123412,0.00547191,0.43624775
-5.83791896,1.71757247,0.26727055,0.95369399,0.42540329,0.20649518,0.00015405,0.13091483,0.00559512,0.43195487
-5.83191596,1.72255007,0.26483975,0.96089446,0.41868473,0.20911903,0.00013917,0.13072783,0.00568618,0.42795912
-5.82591296,1.72654391,0.26248485,0.96691291,0.41253890,0.21173921,0.00012680,0.13060589,0.00574259,0.42419603
-5.81990995,1.72902658,0.26014442,0.97138496,0.40693075,0.21431149,0.00011668,0.13049100,0.00576259,0.42061941
-5.81390695,1.72958886,0.25777249,0.97402547,0.40183768,0.21679973,0.00010859,0.13033493,0.00574522,0.41720124
-5.80790395,1.72794514,0.25533751,0.97463443,0.39724785,0.21917648,0.00010230,0.13009939,0.00569038,0.41393052
-5.80190095,1.72393349,0.25282084,0.97309927,0.39315774,0.22142298,0.00009761,0.12975581,0.00559879,0.41081116
-5.79589795,1.71751041,0.25021468,0.96939361,0.38956895,0.22352877,0.00009435,0.12928471,0.00547197,0.40785907
-5.78989495,1.70874047,0.24751967,0.96357236,0.38648467,0.22549079,0.00009235,0.12867487,0.00531221,0.40509850
-5.78389195,1.69778155,0.24474237,0.95576356,0.38390600,0.22731207,0.00009147,0.12792215,0.00512245,0.40255790
-5.77788894,1.68486627,0.24189268,0.94615723,0.38182821,0.22899997,0.00009158,0.12702823,0.00490620,0.40026562
-5.77188594,1.67028069,0.23898137,0.93499192,0.38023744,0.23056416,0.00009258,0.12599914,0.00466742,0.39824546
-5.76588294,1.65434141,0.23601796,0.92253944,0.37910777,0.23201443,0.00009438,0.12484386,0.00441037,0.39651252
-5.75987994,1.63737207,0.23300881,0.90908871,0.37839907,0.23335842,0.00009689,0.12357291,0.00413949,0.39506957
-5.75387694,1.61968075,0.22995577,0.89492949,0.37805553,0.23459950,0.00010002,0.12219701,0.00385927,0.39390402
-5.74787394,1.60153921,0.22685527,0.88033671,0.37800520,0.23573490,0.00010372,0.12072603,0.00357409,0.39298586
-5.74187094,1.58316533,0.22369792,0.86555633,0.37816044,0.23675426,0.00010789,0.11916806,0.00328816,0.39226663
-5.73586793,1.56470937,0.22046865,0.85079331,0.37841932,0.23763871,0.00011245,0.11752877,0.00300536,0.39167953
-5.72986493,1.54624518,0.21714727,0.83620236,0.37866798,0.23836064,0.00011733,0.11581109,0.00272918,0.39114074
-5.72386193,1.52776647,0.21370953,0.82188191,0.37878381,0.23888418,0.00012242,0.11401512,0.00246268,0.39055197
-5.71785893,1.50918865,0.21012849,0.80787147,0.37863943,0.23916641,0.00012763,0.11213839,0.00220842,0.38980409
-5.71185593,1.49035597,0.20637621,0.79415261,0.37810719,0.23915933,0.00013284,0.11017638,0.00196842,0.38878176
-5.70585293,1.47105357,0.20242559,0.78065326,0.37706411,0.23881252,0.00013795,0.10812326,0.00174421,0.38736892
-5.69984992,1.45102393,0.19825238,0.76725521,0.37539707,0.23807628,0.00014282,0.10597280,0.00153682,0.38545477
-5.69384692,1.42998660,0.19383705,0.75380423,0.37300798,0.23690521,0.00014734,0.10371947,0.00134679,0.38294007
-5.68784392,1.40766024,0.18916673,0.74012216,0.36981867,0.23526199,0.00015139,0.10135956,0.00117428,0.37974345
-5.68184092,1.38378563,0.18423680,0.72602039,0.36577541,0.23312113,0.00015485,0.09889235,0.00101902,0.37580729
-5.67583792,1.35814837,0.17905235,0.71131380,0.36085271,0.23047249,0.00015763,0.09632110,0.00088048,0.37110305
