energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.13032195,0.96387250,0.66829485,0.00306399,0.19426508,0.58829058,0.00000000,0.40350270,0.57782263
-5.99399700,2.15229290,0.98356638,0.67991653,0.00320306,0.19277442,0.59422362,0.00000000,0.39917634,0.58147237
-5.98799400,2.16843333,1.00140011,0.68946865,0.00332597,0.19090399,0.59844397,0.00000000,0.39435341,0.58355314
-5.98199100,2.17859712,1.01762577,0.69688841,0.00343027,0.18869566,0.60099270,0.00000000,0.38907251,0.58390576
-5.97598799,2.18276607,1.03256531,0.70215553,0.00351383,0.18619565,0.60195074,0.00000000,0.38337940,0.58240791
-5.96998499,2.18105441,1.04660045,0.70529318,0.00357491,0.18345292,0.60143715,0.00000000,0.37732807,0.57898052
-5.96398199,2.17370764,1.06015893,0.70636728,0.00361220,0.18051755,0.59960565,0.00000000,0.37098130,0.57359239
-5.95797899,2.16109539,1.07369722,0.70548404,0.00362490,0.17743900,0.59663942,0.00000000,0.36441053,0.56626259
-5.95197599,2.14369849,1.08768042,0.70278582,0.00361273,0.17426442,0.59274431,0.00000000,0.35769499,0.55706073
-5.94597299,2.12209077,1.10255974,0.69844538,0.00357597,0.17103708,0.58814074,0.00000000,0.35092006,0.54610510
-5.93996998,2.09691638,1.11874872,0.69265902,0.00351542,0.16779488,0.58305451,0.00000000,0.34417497,0.53355871
-5.93396698,2.06886384,1.13659914,0.68563872,0.00343240,0.16456913,0.57770703,0.00000000,0.33754993,0.51962367
-5.92796398,2.03863829,1.15637791,0.67760387,0.00332873,0.16138357,0.57230540,0.00000000,0.33113284,0.50453416
-5.92196098,2.00693338,1.17824605,0.66877294,0.00320664,0.15825371,0.56703285,0.00000000,0.32500581,0.48854838
-5.91595798,1.97440449,1.20224120,0.65935569,0.00306873,0.15518659,0.56204014,0.00000000,0.31924173,0.47194015
-5.90995498,1.94164476,1.22826461,0.64954624,0.00291789,0.15218081,0.55743829,0.00000000,0.31390110,0.45499033
-5.90395198,1.90916539,1.25607383,0.63951745,0.00275722,0.14922704,0.55329318,0.00000000,0.30902942,0.43797874
-5.89794897,1.87738122,1.28528159,0.62941689,0.00258994,0.14630883,0.54962234,0.00000000,0.30465522,0.42117689
-5.89194597,1.84660237,1.31536151,0.61936464,0.00241933,0.14340383,0.54639413,0.00000000,0.30078909,0.40484176
-5.88594297,1.81703242,1.34566063,0.60945290,0.00224861,0.14048518,0.54352943,0.00000000,0.29742360,0.38921091
-5.87993997,1.78877285,1.37541852,0.59974746,0.00208096,0.13752323,0.54090583,0.00000000,0.29453430,0.37449906
-5.87393697,1.76183353,1.40379235,0.59029074,0.00191936,0.13448729,0.53836407,0.00000000,0.29208163,0.36089602
-5.86793397,1.73614809,1.42988683,0.58110622,0.00176663,0.13134750,0.53571645,0.00000000,0.29001384,0.34856589
-5.86193097,1.71159328,1.45278784,0.57220378,0.00162534,0.12807664,0.53275672,0.00000000,0.28827044,0.33764748
-5.85592796,1.68801065,1.47159805,0.56358555,0.00149782,0.12465177,0.52927105,0.00000000,0.28678630,0.32825544
-5.84992496,1.66522906,1.48547305,0.55525178,0.00138614,0.12105574,0.52504933,0.00000000,0.28549578,0.32048196
-5.84392196,1.64308645,1.49365602,0.54720631,0.00129212,0.11727833,0.51989633,0.00000000,0.28433698,0.31439875
-5.83791896,1.62144930,1.49550941,0.53946109,0.00121733,0.11331715,0.51364204,0.00000000,0.28325544,0.31005881
-5.83191596,1.60022845,1.49054193,0.53203956,0.00116313,0.10917815,0.50615074,0.00000000,0.28220740,0.30749784
-5.82591296,1.57939026,1.47842975,0.52497840,0.00113064,0.10487570,0.49732827,0.00000000,0.28116213,0.30673515
-5.81990995,1.55896238,1.45903063,0.51832777,0.00112084,0.10043237,0.48712716,0.00000000,0.28010329,0.30777376
-5.81390695,1.53903381,1.43239059,0.51214971,0.00113453,0.09587834,0.47554948,0.00000000,0.27902929,0.31059975
-5.80790395,1.51974946,1.39874284,0.50651514,0.00117237,0.09125045,0.46264722,0.00000000,0.27795245,0.31518098
-5.80190095,1.50129952,1.35849906,0.50149931,0.00123494,0.08659105,0.44852030,0.00000000,0.27689727,0.32146515
-5.79589795,1.48390475,1.31223373,0.49717639,0.00132270,0.08194663,0.43331246,0.00000000,0.27589773,0.32937754
-5.78989495,1.46779850,1.26066245,0.49361334,0.00143601,0.07736628,0.41720513,0.00000000,0.27499391,0.33881873
-5.78389195,1.45320721,1.20461531,0.49086360,0.00157517,0.07290014,0.40040994,0.00000000,0.27422823,0.34966248
-5.77788894,1.44033045,1.14500695,0.48896109,0.00174037,0.06859780,0.38316000,0.00000000,0.27364146,0.36175421
-5.77188594,1.42932225,1.08280459,0.48791503,0.00193169,0.06450682,0.36570075,0.00000000,0.27326887,0.37491031
-5.76588294,1.42027482,1.01899583,0.48770580,0.00214909,0.06067133,0.34828059,0.00000000,0.27313672,0.38891866
-5.75987994,1.41320601,0.95455745,0.48828236,0.00239237,0.05713079,0.33114193,0.00000000,0.27325943,0.40354038
-5.75387694,1.40805133,0.89042677,0.48956143,0.00266115,0.05391898,0.31451294,0.00000000,0.27363749,0.41851305
-5.74787394,1.40466097,0.82747647,0.49142837,0.00295485,0.05106320,0.29860044,0.00000000,0.27425637,0.43355536
-5.74187094,1.40280229,0.76649392,0.49374010,0.00327259,0.04858369,0.28358414,0.00000000,0.27508638,0.44837316
-5.73586793,1.40216738,0.70816546,0.49632952,0.00361323,0.04649333,0.26961239,0.00000000,0.27608357,0.46266660
-5.72986493,1.40238541,0.65306597,0.49901160,0.00397530,0.04479753,0.25679951,0.00000000,0.27719157,0.47613825
-5.72386193,1.40303886,0.60165368,0.50159055,0.00435696,0.04349434,0.24522478,0.00000000,0.27834428,0.48850170
-5.71785893,1.40368285,0.55427001,0.50386774,0.00475600,0.04257488,0.23493279,0.00000000,0.27946910,0.49949033
-5.71185593,1.40386615,0.51114384,0.50565008,0.00516984,0.04202374,0.22593530,0.00000000,0.28049072,0.50886587
-5.70585293,1.40315295,0.47239976,0.50675817,0.00559550,0.04181979,0.21821412,0.00000000,0.28133503,0.51642615
-5.69984992,1.40114401,0.43806922,0.50703409,0.00602966,0.04193689,0.21172499,0.00000000,0.28193311,0.52201193
-5.69384692,1.39749607,0.40810407,0.50634812,0.00646865,0.04234492,0.20640207,0.00000000,0.28222484,0.52551224
-5.68784392,1.39193870,0.38239136,0.50460436,0.00690856,0.04301071,0.20216282,0.00000000,0.28216222,0.52686807
-5.68184092,1.38428759,0.36076873,0.50174480,0.00734529,0.04389913,0.19891317,0.00000000,0.28171203,0.52607427
-5.67583792,1.37445386,0.34303955,0.49775182,0.00777462,0.04497419,0.19655243,0.00000000,0.28085774,0.52317955
-5.66983492,1.36244908,0.32898712,0.49264889,0.00819236,0.04620007,0.19497813,0.00000000,0.27960073,0.51828454
-5.66383192,1.34838577,0.31838749,0.48649970,0.00859444,0.04754217,0.19409030,0.00000000,0.27796053,0.51153819
-5.65782891,1.33247369,0.31102023,0.47940558,0.00897708,0.04896808,0.19379521,0.00000000,0.27597441,0.50313250
-5.65182591,1.31501210,0.30667707,0.47150161,0.00933689,0.05044840,0.19400850,0.00000000,0.27369603,0.49329606
-5.64582291,1.29637858,0.30516809,0.46295140,0.00967100,0.05195749,0.19465750,0.00000000,0.27119354,0.48228644
-5.63981991,1.27701496,0.30632546,0.45394108,0.00997723,0.05347402,0.19568279,0.00000000,0.26854697,0.47038206
