energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.77524022,1.31361840,0.68995883,0.00287731,0.44619970,0.00405744,1.38940222,0.84271856,0.21303724
-5.99399700,2.78723691,1.31267813,0.69408864,0.00296342,0.45085585,0.00374749,1.39056488,0.84689654,0.21053995
-5.98799400,2.79210798,1.30709746,0.69669223,0.00304113,0.45514024,0.00348073,1.38746869,0.84827430,0.20756079
-5.98199100,2.79000599,1.29716831,0.69779383,0.00310968,0.45913456,0.00325439,1.38017073,0.84690631,0.20416213
-5.97598799,2.78124213,1.28328887,0.69744875,0.00316857,0.46293367,0.00306614,1.36881337,0.84289565,0.20041692
-5.96998499,2.76628523,1.26595410,0.69574406,0.00321760,0.46664370,0.00291425,1.35362516,0.83639474,0.19640774
-5.96398199,2.74575706,1.24574398,0.69279862,0.00325690,0.47037969,0.00279758,1.33492000,0.82760520,0.19222554
-5.95797899,2.72042376,1.22330970,0.68876234,0.00328690,0.47426301,0.00271565,1.31309428,0.81677664,0.18796823
-5.95197599,2.69118341,1.19935827,0.68381463,0.00330840,0.47841844,0.00266861,1.28862212,0.80420436,0.18373899
-5.94597299,2.65904978,1.17463595,0.67816195,0.00332250,0.48297093,0.00265727,1.26204854,0.79022594,0.17964456
-5.93996998,2.62513249,1.14991107,0.67203445,0.00333064,0.48804213,0.00268297,1.23398066,0.77521640,0.17579334
-5.93396698,2.59061399,1.12595649,0.66568163,0.00333453,0.49374685,0.00274757,1.20507715,0.75958227,0.17229340
-5.92796398,2.55672373,1.10353238,0.65936715,0.00333617,0.50018925,0.00285332,1.17603583,0.74375439,0.16925059
-5.92196098,2.52471037,1.08336950,0.65336295,0.00333779,0.50745926,0.00300277,1.14758000,0.72817972,0.16676656
-5.91595798,2.49581252,1.06615356,0.64794259,0.00334179,0.51562908,0.00319861,1.12044350,0.71331211,0.16493701
-5.90995498,2.47122894,1.05251083,0.64337431,0.00335072,0.52474995,0.00344359,1.09535505,0.69960253,0.16384993
-5.90395198,2.45208909,1.04299537,0.63991375,0.00336719,0.53484955,0.00374030,1.07302212,0.68748878,0.16358416
-5.89794897,2.43942489,1.03807803,0.63779678,0.00339387,0.54592988,0.00409107,1.05411483,0.67738510,0.16420805
-5.89194597,2.43414446,1.03813737,0.63723255,0.00343334,0.55796598,0.00449777,1.03925028,0.66967197,0.16577841
-5.88594297,2.43700895,1.04345270,0.63839715,0.00348808,0.57090556,0.00496169,1.02897772,0.66468645,0.16833966
-5.87993997,2.44861287,1.05419921,0.64142796,0.00356042,0.58466953,0.00548334,1.02376505,0.66271340,0.17192329
-5.87393697,2.46936879,1.07044531,0.64641915,0.00365242,0.59915364,0.00606235,1.02398706,0.66397781,0.17654743
-5.86793397,2.49949691,1.09215208,0.65341828,0.00376583,0.61423108,0.00669729,1.02991560,0.66863869,0.18221677
-5.86193097,2.53901972,1.11917490,0.66242431,0.00390204,0.62975609,0.00738561,1.04171230,0.67678459,0.18892257
-5.85592796,2.58776200,1.15126722,0.67338710,0.00406202,0.64556842,0.00812350,1.05942377,0.68843097,0.19664292
-5.84992496,2.64535623,1.18808627,0.68620833,0.00424628,0.66149856,0.00890590,1.08297972,0.70351964,0.20534306
