energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.38161081,-1.66026023,0.03217043,-0.03394923,0.27376294,-0.33607685,0.10781062,-0.14499436,0.31838381,-0.39880252,0.44095738,-0.48782267,0.01436888,-0.01723415,0.38976142,-0.45881186
-5.99399700,1.33172112,-1.61004673,0.03184316,-0.03378753,0.26196213,-0.32589747,0.10422545,-0.13834417,0.30594734,-0.38560766,0.42774770,-0.47851219,0.01369236,-0.01672012,0.37877786,-0.44492263
-5.98799400,1.28305909,-1.55835624,0.03144497,-0.03363697,0.25018194,-0.31527757,0.10127391,-0.13185958,0.29404344,-0.37215708,0.41400698,-0.46863487,0.01301462,-0.01615145,0.36855327,-0.43083776
-5.98199100,1.23602689,-1.50608137,0.03096638,-0.03349298,0.23851791,-0.30436401,0.09898828,-0.12567237,0.28278358,-0.35867477,0.39981449,-0.45830830,0.01234886,-0.01554016,0.35918618,-0.41686759
-5.97598799,1.19100187,-1.45402608,0.03040016,-0.03334807,0.22706480,-0.29328864,0.09739356,-0.11990186,0.27227627,-0.34536239,0.38526059,-0.44762764,0.01170809,-0.01489858,0.35076109,-0.40329415
-5.96998499,1.14834785,-1.40289522,0.02974190,-0.03319235,0.21591781,-0.28216749,0.09650931,-0.11465316,0.26263063,-0.33239772,0.37044870,-0.43666647,0.01110506,-0.01423907,0.34335354,-0.39036576
-5.96398199,1.10842604,-1.35329010,0.02899033,-0.03301407,0.20517333,-0.27110107,0.09635148,-0.11001618,0.25395958,-0.31993465,0.35549651,-0.42547926,0.01055215,-0.01357384,0.33703551,-0.37829376
-5.95797899,1.07160459,-1.30570985,0.02814752,-0.03280043,0.19492942,-0.26017560,0.09693404,-0.10606522,0.24638248,-0.30810470,0.34053630,-0.41410480,0.01006133,-0.01291472,0.33188062,-0.36725117
-5.95197599,1.03826628,-1.26055782,0.02721901,-0.03253826,0.18528583,-0.24946491,0.09827037,-0.10285925,0.24002698,-0.29701967,0.32571436,-0.40257057,0.00964410,-0.01227305,0.32796895,-0.35737334
-5.94597299,1.00881360,-1.21815236,0.02621371,-0.03221483,0.17634349,-0.23903293,0.10037427,-0.10044268,0.23502991,-0.28677524,0.31118956,-0.39089758,0.00931149,-0.01165960,0.32539102,-0.34876038
-5.93996998,0.98367107,-1.17874066,0.02514378,-0.03181857,0.16820360,-0.22893637,0.10326051,-0.09884653,0.23153713,-0.27745526,0.29713117,-0.37910533,0.00907399,-0.01108448,0.32425080,-0.34148112
-5.93396698,0.96328444,-1.14251473,0.02402428,-0.03133980,0.16096630,-0.21922755,0.10694498,-0.09809000,0.22970236,-0.26913619,0.28371597,-0.36721660,0.00894158,-0.01055717,0.32466744,-0.33557823
-5.92796398,0.94811692,-1.10962810,0.02287284,-0.03077121,0.15472895,-0.20995694,0.11144430,-0.09818215,0.22968481,-0.26189160,0.27112493,-0.35526167,0.00892372,-0.01008651,0.32677563,-0.33107425
-5.92196098,0.93864253,-1.08021234,0.02170922,-0.03010846,0.14958422,-0.20117540,0.11677507,-0.09912364,0.23164592,-0.25579614,0.25953963,-0.34328182,0.00902929,-0.00968075,0.33072457,-0.32797800
-5.91595798,0.93533688,-1.05439213,0.02055482,-0.02935039,0.14561801,-0.19293586,0.12295267,-0.10090842,0.23574511,-0.25092898,0.24913846,-0.33133183,0.00926659,-0.00934757,0.33667547,-0.32629106
-5.90995498,0.93866580,-1.03229826,0.01943215,-0.02849934,0.14290734,-0.18529439,0.12998975,-0.10352527,0.24213479,-0.24737624,0.24009303,-0.31948144,0.00964322,-0.00909421,0.34479774,-0.32601393
-5.90395198,0.94907234,-1.01407774,0.01836436,-0.02756109,0.14151827,-0.17831061,0.13789456,-0.10695911,0.25095487,-0.24523241,0.23256469,-0.30781571,0.01016609,-0.00892748,0.35526389,-0.32715153
-5.89794897,0.96696254,-0.99990076,0.01737468,-0.02654487,0.14150398,-0.17204742,0.14666909,-0.11119197,0.26232678,-0.24460064,0.22670147,-0.29643432,0.01084125,-0.00885385,0.36824351,-0.32971782
-5.89194597,0.99269068,-0.98996418,0.01648599,-0.02546311,0.14290309,-0.16657011,0.15630725,-0.11620366,0.27634742,-0.24559174,0.22263541,-0.28544997,0.01167375,-0.00887947,0.38389630,-0.33373925
-5.88594297,1.02654433,-0.98449173,0.01572030,-0.02433117,0.14573826,-0.16194501,0.16679317,-0.12197219,0.29308314,-0.24832221,0.22048033,-0.27498604,0.01266752,-0.00901023,0.40236460,-0.33925693
-5.87993997,1.06872972,-0.98373104,0.01509836,-0.02316690,0.15001500,-0.15823765,0.17809964,-0.12847373,0.31256409,-0.25291108,0.22033010,-0.26517362,0.01382517,-0.00925177,0.42376559,-0.34632751
-5.87393697,1.11935800,-0.98794793,0.01463926,-0.02199024,0.15572097,-0.15551075,0.19018692,-0.13568250,0.33477897,-0.25947594,0.22225722,-0.25614831,0.01514772,-0.00960948,0.44818348,-0.35502267
-5.86793397,1.17843249,-0.99741843,0.01436007,-0.02082269,0.16282539,-0.15382206,0.20300178,-0.14357034,0.35967060,-0.26812830,0.22631182,-0.24804685,0.01663446,-0.01008845,0.47566184,-0.36542737
-5.86193097,1.24583746,-1.01241913,0.01427547,-0.01968680,0.17127894,-0.15322220,0.21647708,-0.15210619,0.38713239,-0.27896841,0.23252080,-0.24100385,0.01828261,-0.01069346,0.50619655,-0.37763686
-5.85592796,1.32132862,-1.03321621,0.01439748,-0.01860568,0.18101378,-0.15375273,0.23053166,-0.16125554,0.41700590,-0.29207990,0.24088714,-0.23514879,0.02008712,-0.01142886,0.53972946,-0.39175271
-5.84992496,1.40452564,-1.06005398,0.01473514,-0.01760246,0.19194389,-0.15544436,0.24507068,-0.17097994,0.44907959,-0.30752440,0.25138922,-0.23060338,0.02204041,-0.01229851,0.57614304,-0.40787799
-5.84392196,1.49490694,-1.09314306,0.01529426,-0.01669979,0.20396558,-0.15831563,0.25998643,-0.18123644,0.48308902,-0.32533635,0.26398008,-0.22747931,0.02413216,-0.01330562,0.61525631,-0.42611171
-5.83791896,1.59180694,-1.13264884,0.01607715,-0.01591947,0.21695825,-0.16237176,0.27515941,-0.19197740,0.51871842,-0.34551834,0.27858661,-0.22587650,0.02634910,-0.01445261,0.65682228,-0.44654286
-5.83191596,1.69441626,-1.17868028,0.01708243,-0.01528195,0.23078526,-0.16760406,0.29045988,-0.20315023,0.55560387,-0.36803695,0.29510870,-0.22588173,0.02867490,-0.01574091,0.70052700,-0.46924409
-5.82591296,1.80178493,-1.23127950,0.01830482,-0.01480599,0.24529502,-0.17398954,0.30574959,-0.21469748,0.59333787,-0.39281944,0.31341824,-0.22756753,0.03109010,-0.01717077,0.74599057,-0.49426539
-5.81990995,1.91282910,-1.29041202,0.01973499,-0.01450830,0.26032231,-0.18149090,0.32088387,-0.22655702,0.63147560,-0.41975138,0.33335835,-0.23099135,0.03357214,-0.01874100,0.79277006,-0.52162783
-5.81390695,2.02634142,-1.35595802,0.02135949,-0.01440322,0.27568982,-0.19005676,0.33571386,-0.23866237,0.66954247,-0.44867523,0.35474266,-0.23619472,0.03609549,-0.02044874,0.84036465,-0.55131754
-5.80790395,2.14100543,-1.42770451,0.02316074,-0.01450248,0.29120992,-0.19962205,0.35008895,-0.25094322,0.70704317,-0.47939000,0.37735511,-0.24320245,0.03863188,-0.02228920,0.88822294,-0.58328027
-5.80190095,2.25541418,-1.50533858,0.02511706,-0.01481484,0.30668679,-0.21010855,0.36385936,-0.26332597,0.74347177,-0.51165205,0.40095026,-0.25202157,0.04115070,-0.02425540,0.93575246,-0.61741653
-5.79589795,2.36809300,-1.58844193,0.02720285,-0.01534595,0.32191890,-0.22142548,0.37687884,-0.27573432,0.77832297,-0.54517702,0.42525443,-0.26264013,0.04361947,-0.02633790,0.98233132,-0.65357760
-5.78989495,2.47752661,-1.67648683,0.02938889,-0.01609805,0.33670185,-0.23347016,0.38900743,-0.28808989,0.81110391,-0.57964286,0.44996784,-0.27502566,0.04600448,-0.02852464,1.02732176,-0.69156268
