energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.34491694,0.00050172,2.48040645,0.16225030,0.00048797,2.69502246,1.11458412
-5.99399700,3.44639501,0.00049913,2.54215169,0.17422943,0.00052123,2.81512232,1.11571845
-5.98799400,3.55967032,0.00050018,2.61330052,0.18640828,0.00055483,2.94418739,1.12248887
-5.98199100,3.68393859,0.00050529,2.69347847,0.19862992,0.00058830,3.08135080,1.13514875
-5.97598799,3.81809892,0.00051484,2.78207621,0.21072812,0.00062119,3.22552618,1.15381801
-5.96998499,3.96078785,0.00052915,2.87827061,0.22253115,0.00065302,3.37543782,1.17848400
-5.96398199,4.11042230,0.00054846,2.98105249,0.23386604,0.00068332,3.52965688,1.20900584
-5.95797899,4.26524886,0.00057293,3.08925939,0.24456313,0.00071164,3.68664147,1.24512178
-5.95197599,4.42339625,0.00060261,3.20161108,0.25446065,0.00073758,3.84477857,1.28645869
-5.94597299,4.58292832,0.00063747,3.31674610,0.26340907,0.00076077,4.00242534,1.33254311
-5.93996998,4.74189481,0.00067736,3.43325718,0.27127523,0.00078091,4.15794801,1.38281327
-5.93396698,4.89837744,0.00072203,3.54972421,0.27794583,0.00079775,4.30975661,1.43663157
-5.92796398,5.05052976,0.00077110,3.66474337,0.28333025,0.00081113,4.45633432,1.49329705
-5.92196098,5.19660938,0.00082409,3.77695167,0.28736259,0.00082097,4.59626068,1.55205769
-5.91595798,5.33500224,0.00088039,3.88504671,0.29000279,0.00082723,4.72822844,1.61212250
-5.90995498,5.46423889,0.00093931,3.98780147,0.29123689,0.00083000,4.85105435,1.67267321
-5.90395198,5.58300363,0.00100003,4.08407484,0.29107637,0.00082941,4.96368440,1.73287586
-5.89794897,5.69013747,0.00106166,4.17281853,0.28955676,0.00082564,5.06519473,1.79189235
-5.89194597,5.78463665,0.00112322,4.25308128,0.28673544,0.00081896,5.15478920,1.84889212
-5.88594297,5.86564809,0.00118369,4.32401142,0.28268898,0.00080965,5.23179505,1.90306405
-5.87993997,5.93246352,0.00124201,4.38485875,0.27751004,0.00079803,5.29565779,1.95362868
-5.87393697,5.98451377,0.00129709,4.43497648,0.27130403,0.00078445,5.34593640,1.99985067
-5.86793397,6.02136424,0.00134786,4.47382391,0.26418573,0.00076926,5.38229957,2.04105127
-5.86193097,6.04271240,0.00139331,4.50097005,0.25627594,0.00075279,5.40452360,2.07662062
-5.85592796,6.04838765,0.00143247,4.51609832,0.24769839,0.00073537,5.41249189,2.10602943
-5.84992496,6.03835334,0.00146449,4.51901188,0.23857694,0.00071730,5.40619604,2.12883955
-5.84392196,6.01271046,0.00148860,4.50963924,0.22903316,0.00069887,5.38573790,2.14471300
-5.83791896,5.97170224,0.00150423,4.48803931,0.21918439,0.00068030,5.35133205,2.15341889
-5.83191596,5.91571846,0.00151092,4.45440515,0.20914215,0.00066181,5.30330781,2.15483789
-5.82591296,5.84529849,0.00150841,4.40906568,0.19901102,0.00064355,5.24211005,2.14896381
-5.81990995,5.76113181,0.00149664,4.35248463,0.18888792,0.00062567,5.16829809,2.13590215
-5.81390695,5.66405528,0.00147571,4.28525609,0.17886166,0.00060825,5.08254205,2.11586556
-5.80790395,5.55504628,0.00144592,4.20809669,0.16901276,0.00059136,4.98561648,2.08916632
-5.80190095,5.43521155,0.00140775,4.12183396,0.15941348,0.00057504,4.87839104,2.05620617
-5.79589795,5.30577165,0.00136182,4.02739162,0.15012796,0.00055930,4.76181857,2.01746393
-5.78989495,5.16804147,0.00130893,3.92577184,0.14121239,0.00054414,4.63692085,1.97348140
-5.78389195,5.02340745,0.00124997,3.81803559,0.13271529,0.00052955,4.50477285,1.92484835
-5.77788894,4.87330257,0.00118592,3.70528177,0.12467766,0.00051551,4.36648607,1.87218714
-5.77188594,4.71918010,0.00111784,3.58862615,0.11713323,0.00050199,4.22319192,1.81613775
-5.76588294,4.56248756,0.00104681,3.46918108,0.11010861,0.00048897,4.07602589,1.75734369
-5.75987994,4.40464192,0.00097391,3.34803697,0.10362343,0.00047641,3.92611326,1.69643960
-5.75387694,4.24700730,0.00090021,3.22624616,0.09769051,0.00046431,3.77455690,1.63404054
-5.74787394,4.09087603,0.00082673,3.10480999,0.09231603,0.00045264,3.62242765,1.57073367
-5.74187094,3.93745390,0.00075440,2.98466926,0.08749981,0.00044141,3.47075733,1.50707203
-5.73586793,3.78784997,0.00068408,2.86669836,0.08323560,0.00043061,3.32053450,1.44357066
-5.72986493,3.64307109,0.00061654,2.75170289,0.07951155,0.00042025,3.17270274,1.38070484
-5.72386193,3.50402112,0.00055241,2.64042065,0.07631077,0.00041036,3.02816096,1.31891004
-5.71785893,3.37150432,0.00049225,2.53352531,0.07361199,0.00040098,2.88776544,1.25858342
-5.71185593,3.24623248,0.00043648,2.43163225,0.07139043,0.00039214,2.75233287,1.20008643
-5.70585293,3.12883472,0.00038541,2.33530598,0.06961871,0.00038389,2.62264378,1.14374799
-5.69984992,3.01986936,0.00033928,2.24506806,0.06826784,0.00037630,2.49944580,1.08986798
-5.69384692,2.91983647,0.00029823,2.16140504,0.06730836,0.00036944,2.38345608,1.03872062
-5.68784392,2.82919024,0.00026229,2.08477542,0.06671136,0.00036339,2.27536236,0.99055735
-5.68184092,2.74835002,0.00023148,2.01561506,0.06644954,0.00035823,2.17582221,0.94560896
-5.67583792,2.67770900,0.00020573,1.95434034,0.06649819,0.00035405,2.08546015,0.90408688
-5.66983492,2.61763960,0.00018494,1.90134853,0.06683590,0.00035095,2.00486228,0.86618327
-5.66383192,2.56849485,0.00016897,1.85701512,0.06744523,0.00034902,1.93456838,0.83207006
-5.65782891,2.53060512,0.00015768,1.82168777,0.06831302,0.00034835,1.87506152,0.80189678
-5.65182591,2.50427003,0.00015088,1.79567688,0.06943047,0.00034905,1.82675515,0.77578736
-5.64582291,2.48974527,0.00014841,1.77924306,0.07079287,0.00035117,1.78997815,0.75383598
-5.63981991,2.48722489,0.00015007,1.77258167,0.07239904,0.00035479,1.76495817,0.73610220
-5.63381691,2.49681946,0.00015567,1.77580525,0.07425050,0.00035997,1.75180391,0.72260551
-5.62781391,2.51853117,0.00016500,1.78892446,0.07635027,0.00036671,1.75048705,0.71331980
-5.62181091,2.55222716,0.00017784,1.81182856,0.07870151,0.00037503,1.76082482,0.70816788
-5.61580790,2.59761251,0.00019397,1.84426669,0.08130598,0.00038488,1.78246409,0.70701662
-5.60980490,2.65420492,0.00021313,1.88583103,0.08416236,0.00039620,1.81486826,0.70967287
-5.60380190,2.72131275,0.00023504,1.93594327,0.08726462,0.00040889,1.85730795,0.71588084
-5.59779890,2.79801851,0.00025939,1.99384561,0.09060047,0.00042279,1.90885668,0.72532102
-5.59179590,2.88316960,0.00028582,2.05859766,0.09415000,0.00043771,1.96839253,0.73761121
-5.58579290,2.97537792,0.00031396,2.12907991,0.09788460,0.00045344,2.03460663,0.75230974
-5.57978989,3.07302968,0.00034339,2.20400495,0.10176630,0.00046970,2.10601911,0.76892113
-5.57378689,3.17430606,0.00037365,2.28193643,0.10574753,0.00048620,2.18100268,0.78690432
-5.56778389,3.27721510,0.00040425,2.36131603,0.10977137,0.00050262,2.25781389,0.80568319
-5.56178089,3.37963430,0.00043468,2.44049785,0.11377235,0.00051860,2.33463135,0.82465939
-5.55577789,3.47936289,0.00046440,2.51778937,0.11767775,0.00053382,2.40960014,0.84322694
-5.54977489,3.57418199,0.00049288,2.59149756,0.12140941,0.00054790,2.48088087,0.86078829
-5.54377189,3.66192041,0.00051959,2.65997846,0.12488589,0.00056052,2.54670172,0.87677108
-5.53776888,3.74052329,0.00054400,2.72168808,0.12802506,0.00057137,2.60541142,0.89064503
-5.53176588,3.80812035,0.00056564,2.77523245,0.13074679,0.00058015,2.65553081,0.90193821
-5.52576288,3.86309051,0.00058408,2.81941430,0.13297585,0.00058664,2.69580071,0.91025186
-5.51975988,3.90411970,0.00059893,2.85327419,0.13464462,0.00059064,2.72522377,0.91527314
-5.51375688,3.93024860,0.00060990,2.87612382,0.13569571,0.00059204,2.74309814,0.91678517
-5.50775388,3.94090793,0.00061677,2.88756983,0.13608424,0.00059078,2.74904121,0.91467365
-5.50175088,3.93593906,0.00061940,2.88752657,0.13577962,0.00058687,2.74300195,0.90892996
-5.49574787,3.91559877,0.00061775,2.87621713,0.13476686,0.00058037,2.72526106,0.89965025
-5.48974487,3.88054751,0.00061188,2.85416222,0.13304726,0.00057144,2.69641854,0.88703070
-5.48374187,3.83182166,0.00060194,2.82215734,0.13063844,0.00056027,2.65736917,0.87135898
-5.47773887,3.77079078,0.00058817,2.78123918,0.12757378,0.00054711,2.60926656,0.85300233
-5.47173587,3.69910195,0.00057087,2.73264269,0.12390119,0.00053226,2.55347755,0.83239273
-5.46573287,3.61861365,0.00055044,2.67775081,0.11968143,0.00051605,2.49152866,0.81000991
-5.45972986,3.53132236,0.00052731,2.61803918,0.11498590,0.00049882,2.42504709,0.78636276
-5.45372686,3.43928517,0.00050195,2.55501828,0.10989411,0.00048092,2.35569878,0.76197013
-5.44772386,3.34454209,0.00047486,2.49017579,0.10449097,0.00046271,2.28512623,0.73734176
-5.44172086,3.24904135,0.00044657,2.42492144,0.09886394,0.00044452,2.21488872,0.71296014
-5.43571786,3.15457101,0.00041755,2.36053701,0.09310028,0.00042664,2.14640754,0.68926397
-5.42971486,3.06269965,0.00038831,2.29813331,0.08728439,0.00040935,2.08091828,0.66663406
-5.42371186,2.97472846,0.00035928,2.23861588,0.08149548,0.00039286,2.01943219,0.64538183
-5.41770885,2.89165624,0.00033087,2.18266060,0.07580558,0.00037735,1.96270780,0.62574115
-5.41170585,2.81415849,0.00030343,2.13069980,0.07027792,0.00036294,1.91123385,0.60786342
-5.40570285,2.74258067,0.00027725,2.08291912,0.06496582,0.00034970,1.86522373,0.59181612
-5.39969985,2.67694532,0.00025256,2.03926472,0.05991202,0.00033762,1.82462127,0.57758469
-5.39369685,2.61697208,0.00022953,1.99946007,0.05514848,0.00032669,1.78911718,0.56507750
-5.38769385,2.56210910,0.00020827,1.96303117,0.05069655,0.00031683,1.75817513,0.55413357
-5.38169085,2.51157380,0.00018884,1.92933861,0.04656760,0.00030791,1.73106576,0.54453262
-5.37568784,2.46440097,0.00017122,1.89761493,0.04276387,0.00029979,1.70690704,0.53600693
-5.36968484,2.41949556,0.00015538,1.86700528,0.03927963,0.00029230,1.68470899,0.52825445
-5.36368184,2.37568800,0.00014124,1.83660963,0.03610248,0.00028528,1.66342057,0.52095258
-5.35767884,2.33178927,0.00012868,1.80552461,0.03321472,0.00027853,1.64197683,0.51377207
-5.35167584,2.28664387,0.00011757,1.77288329,0.03059478,0.00027188,1.61934432,0.50639047
-5.34567284,2.23917827,0.00010777,1.73789143,0.02821859,0.00026516,1.59456294,0.49850464
-5.33966983,2.18844351,0.00009911,1.69985889,0.02606082,0.00025823,1.56678266,0.48984185
-5.33366683,2.13365017,0.00009145,1.65822505,0.02409607,0.00025095,1.53529389,0.48016922
-5.32766383,2.07419519,0.00008464,1.61257786,0.02229981,0.00024324,1.49955063,0.46930103
-5.32166083,2.00967952,0.00007854,1.56266581,0.02064915,0.00023501,1.45918575,0.45710387
-5.31565783,1.93991681,0.00007302,1.50840287,0.01912349,0.00022624,1.41401823,0.44349957
-5.30965483,1.86493311,0.00006797,1.44986671,0.01770491,0.00021692,1.36405260,0.42846574
-5.30365183,1.78495827,0.00006331,1.38729052,0.01637838,0.00020705,1.30947104,0.41203424
-5.29764882,1.70040992,0.00005895,1.32104930,0.01513191,0.00019670,1.25061890,0.39428764
-5.29164582,1.61187114,0.00005485,1.25164141,0.01395650,0.00018591,1.18798475,0.37535394
-5.28564282,1.52006310,0.00005096,1.17966654,0.01284597,0.00017479,1.12217607,0.35539995
-5.27963982,1.42581430,0.00004726,1.10580117,0.01179680,0.00016343,1.05389203,0.33462360
-5.27363682,1.33002771,0.00004374,1.03077275,0.01080791,0.00015193,0.98389460,0.31324561
-5.26763382,1.23364739,0.00004041,0.95533355,0.00988034,0.00014042,0.91297943,0.29150087
-5.26163082,1.13762603,0.00003727,0.88023561,0.00901713,0.00012900,0.84194758,0.26962999
-5.25562781,1.04289459,0.00003437,0.80620730,0.00822302,0.00011778,0.77157951,0.24787120
-5.24962481,0.95033513,0.00003173,0.73393261,0.00750438,0.00010687,0.70261181,0.22645311
-5.24362181,0.86075771,0.00002940,0.66403365,0.00686910,0.00009636,0.63571781,0.20558833
-5.23761881,0.77488187,0.00002743,0.59705678,0.00632663,0.00008633,0.57149220,0.18546830
-5.23161581,0.69332308,0.00002589,0.53346261,0.00588796,0.00007685,0.51044006,0.16625942
-5.22561281,0.61658424,0.00002485,0.47361985,0.00556582,0.00006796,0.45297028,0.14810038
-5.21960980,0.54505200,0.00002438,0.41780302,0.00537482,0.00005971,0.39939315,0.13110080
-5.21360680,0.47899757,0.00002458,0.36619345,0.00533163,0.00005211,0.34992168,0.11534111
-5.20760380,0.41858159,0.00002555,0.31888347,0.00545523,0.00004518,0.30467635,0.10087341
-5.20160080,0.36386217,0.00002741,0.27588297,0.00576707,0.00003890,0.26369243,0.08772328
-5.19559780,0.31480558,0.00003028,0.23712809,0.00629120,0.00003328,0.22692941,0.07589227
-5.18959480,0.27129870,0.00003430,0.20249113,0.00705434,0.00002828,0.19428183,0.06536093
-5.18359180,0.23316246,0.00003962,0.17179141,0.00808582,0.00002386,0.16559077,0.05609213
-5.17758879,0.20016563,0.00004641,0.14480637,0.00941733,0.00002000,0.14065553,0.04803447
-5.17158579,0.17203812,0.00005484,0.12128246,0.01108256,0.00001665,0.11924496,0.04112577
-5.16558279,0.14848351,0.00006508,0.10094553,0.01311656,0.00001377,0.10110792,0.03529618
-5.15957979,0.12919014,0.00007733,0.08351028,0.01555494,0.00001131,0.08598267,0.03047116
-5.15357679,0.11384050,0.00009175,0.06868864,0.01843279,0.00000922,0.07360486,0.02657397
-5.14757379,0.10211882,0.00010852,0.05619687,0.02178340,0.00000747,0.06371407,0.02352769
-5.14157079,0.09371671,0.00012778,0.04576137,0.02563675,0.00000601,0.05605881,0.02125688
-5.13556778,0.08833686,0.00014968,0.03712316,0.03001788,0.00000480,0.05040004,0.01968864
-5.12956478,0.08569499,0.00017429,0.03004116,0.03494499,0.00000381,0.04651334,0.01875336
-5.12356178,0.08552026,0.00020166,0.02429427,0.04042769,0.00000300,0.04418988,0.01838496
-5.11755878,0.08755442,0.00023180,0.01968248,0.04646505,0.00000235,0.04323632,0.01852086
-5.11155578,0.09154988,0.00026464,0.01602713,0.05304391,0.00000183,0.04347398,0.01910174
-5.10555278,0.09726730,0.00030004,0.01317048,0.06013732,0.00000141,0.04473742,0.02007098
-5.09954977,0.10447276,0.00033780,0.01097468,0.06770332,0.00000108,0.04687265,0.02137417
-5.09354677,0.11293506,0.00037763,0.00932050,0.07568413,0.00000082,0.04973529,0.02295848
-5.08754377,0.12242330,0.00041916,0.00810566,0.08400584,0.00000062,0.05318865,0.02477209
-5.08154077,0.13270507,0.00046194,0.00724314,0.09257868,0.00000047,0.05710217,0.02676377
-5.07553777,0.14354544,0.00050545,0.00665938,0.10129793,0.00000035,0.06135008,0.02888257
