energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-4.14507254,2.63309196,0.00082482,0.30981630,0.72629865,1.42824770,0.00600211,0.61247061,0.51546513,0.22111101
-4.13906953,2.61323497,0.00080525,0.30765656,0.71933633,1.41992102,0.00594235,0.60625196,0.51706828,0.21700852
-4.13306653,2.58237744,0.00078252,0.30405892,0.70932264,1.40589314,0.00585087,0.59754275,0.51600595,0.21207860
-4.12706353,2.54063128,0.00075697,0.29906181,0.69634665,1.38610487,0.00572895,0.58641322,0.51224163,0.20637865
-4.12106053,2.48827447,0.00072893,0.29272209,0.68053240,1.36059609,0.00557836,0.57296354,0.50578607,0.19997445
-4.11505753,2.42575460,0.00069877,0.28511464,0.66203851,1.32951097,0.00540130,0.55732391,0.49669826,0.19293954
-4.10905453,2.35368784,0.00066685,0.27633143,0.64105705,1.29310011,0.00520038,0.53965424,0.48508493,0.18535444
-4.10305153,2.27285316,0.00063352,0.26648038,0.61781186,1.25171929,0.00497853,0.52014307,0.47109864,0.17730592
-4.09704852,2.18418163,0.00059914,0.25568365,0.59255593,1.20582467,0.00473893,0.49900567,0.45493443,0.16888601
-4.09104552,2.08874091,0.00056405,0.24407572,0.56556816,1.15596473,0.00448495,0.47648140,0.43682509,0.16019097
-4.08504252,1.98771530,0.00052859,0.23180098,0.53714918,1.10276891,0.00422005,0.45283025,0.41703540,0.15132011
-4.07903952,1.88238182,0.00049306,0.21901113,0.50761646,1.04693360,0.00394770,0.42832856,0.39585536,0.14237447
-4.07303652,1.77408323,0.00045778,0.20586225,0.47729872,0.98920579,0.00367134,0.40326414,0.37359280,0.13345542
-4.06703352,1.66419861,0.00042301,0.19251174,0.44652994,0.93036510,0.00339425,0.37793084,0.35056557,0.12466311
-4.06103052,1.55411296,0.00038902,0.17911527,0.41564288,0.87120481,0.00311954,0.35262278,0.32709366,0.11609491
-4.05502751,1.44518643,0.00035602,0.16582367,0.38496267,0.81251265,0.00285007,0.32762841,0.30349160,0.10784388
-4.04902451,1.33872462,0.00032425,0.15277999,0.35480039,0.75505196,0.00258841,0.30322467,0.28006120,0.09999713
-4.04302151,1.23595090,0.00029387,0.14011687,0.32544707,0.69954405,0.00233680,0.27967140,0.25708513,0.09263447
-4.03701851,1.13798153,0.00026507,0.12795415,0.29716834,0.64665216,0.00209715,0.25720634,0.23482143,0.08582697
-4.03101551,1.04580465,0.00023797,0.11639696,0.27019975,0.59696773,0.00187102,0.23604062,0.21349902,0.07963589
-4.02501251,0.96026354,0.00021270,0.10553424,0.24474313,0.55099921,0.00165962,0.21635529,0.19331448,0.07411167
-4.01900950,0.88204470,0.00018936,0.09543778,0.22096400,0.50916381,0.00146381,0.19829863,0.17443001,0.06929333
-4.01300650,0.81167088,0.00016803,0.08616178,0.19899011,0.47178233,0.00128416,0.18198459,0.15697263,0.06520801
-4.00700350,0.74949926,0.00014878,0.07774289,0.17891111,0.43907701,0.00112096,0.16749213,0.14103448,0.06187094
-4.00100050,0.69572440,0.00013168,0.07020079,0.16077930,0.41117252,0.00097422,0.15486578,0.12667423,0.05928558
-3.99499750,0.65038582,0.00011679,0.06353914,0.14461152,0.38809971,0.00084378,0.14411696,0.11391937,0.05744421
-3.98899450,0.61337964,0.00010417,0.05774696,0.13039177,0.36980202,0.00072928,0.13522631,0.10276925,0.05632871
-3.98299150,0.58447371,0.00009388,0.05280029,0.11807467,0.35614417,0.00063028,0.12814672,0.09319868,0.05591168
-3.97698849,0.56332566,0.00008603,0.04866405,0.10758951,0.34692271,0.00054620,0.12280701,0.08516189,0.05615772
-3.97098549,0.54950294,0.00008071,0.04529416,0.09884459,0.34187803,0.00047648,0.11911597,0.07859673,0.05702501
-3.96498249,0.54250431,0.00007809,0.04263955,0.09173180,0.34070744,0.00042051,0.11696683,0.07342882,0.05846696
-3.95897949,0.54178177,0.00007834,0.04064434,0.08613124,0.34307871,0.00037771,0.11624167,0.06957561,0.06043398
-3.95297649,0.54676235,0.00008170,0.03924980,0.08191563,0.34864372,0.00034756,0.11681590,0.06695007,0.06287525
-3.94697349,0.55686885,0.00008848,0.03839627,0.07895445,0.35705164,0.00032961,0.11856249,0.06546403,0.06574051
-3.94097049,0.57153888,0.00009903,0.03802481,0.07711765,0.36796125,0.00032346,0.12135577,0.06503092,0.06898165
-3.93496748,0.59024159,0.00011378,0.03807868,0.07627880,0.38105192,0.00032882,0.12507480,0.06556803,0.07255417
-3.92896448,0.61249142,0.00013326,0.03850446,0.07631770,0.39603290,0.00034546,0.12960610,0.06699801,0.07641838
-3.92296148,0.63785847,0.00015804,0.03925302,0.07712228,0.41265049,0.00037324,0.13484566,0.06924979,0.08054024
-3.91695848,0.66597518,0.00018882,0.04028002,0.07858991,0.43069294,0.00041207,0.14070026,0.07225883,0.08489190
