energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,6.57252266,0.00557285,0.10241071,2.47487536,4.90189770,0.43429910,1.00727168,0.49255253,0.00000000
-5.99399700,6.39816091,0.00531226,0.09944003,2.41033054,4.78205686,0.42435168,0.96800627,0.47721965,0.00000000
-5.98799400,6.20737077,0.00502923,0.09624653,2.33803386,4.64975837,0.41344262,0.92747168,0.46033986,0.00000000
-5.98199100,6.00283177,0.00472866,0.09287057,2.25906427,4.50671489,0.40174914,0.88624883,0.44223381,0.00000000
-5.97598799,5.78743960,0.00441560,0.08935610,2.17460844,4.35482067,0.38945495,0.84492263,0.42323999,0.00000000
-5.96998499,5.56421752,0.00409504,0.08574886,2.08592199,4.19609039,0.37674418,0.80406768,0.40370514,0.00000000
-5.96398199,5.33622842,0.00377187,0.08209475,1.99429036,4.03259741,0.36379585,0.76423509,0.38397486,0.00000000
-5.95797899,5.10649129,0.00345064,0.07843833,1.90099104,3.86641410,0.35077906,0.72594063,0.36438475,0.00000000
-5.95197599,4.87790519,0.00313559,0.07482152,1.80725855,3.69955672,0.33784902,0.68965487,0.34525244,0.00000000
-5.94597299,4.65318357,0.00283048,0.07128257,1.71425368,3.53393691,0.32514413,0.65579523,0.32687076,0.00000000
-5.93996998,4.43480080,0.00253857,0.06785524,1.62303775,3.37132152,0.31278391,0.62472041,0.30950205,0.00000000
-5.93396698,4.22495236,0.00226259,0.06456829,1.53455276,3.21330179,0.30086809,0.59672705,0.29337395,0.00000000
-5.92796398,4.02552910,0.00200473,0.06144518,1.44960765,3.06127256,0.28947648,0.57204852,0.27867647,0.00000000
-5.92196098,3.83810530,0.00176666,0.05850406,1.36887074,2.91642130,0.27866978,0.55085586,0.26556040,0.00000000
-5.91595798,3.66393962,0.00154953,0.05575795,1.29286802,2.77972658,0.26849102,0.53326036,0.25413694,0.00000000
-5.90995498,3.50398721,0.00135407,0.05321509,1.22198669,2.65196480,0.25896754,0.51931763,0.24447845,0.00000000
-5.90395198,3.35892098,0.00118056,0.05087944,1.15648309,2.53372371,0.25011335,0.50903274,0.23662002,0.00000000
-5.89794897,3.22915974,0.00102898,0.04875125,1.09649420,2.42542117,0.24193165,0.50236594,0.23056186,0.00000000
-5.89194597,3.11490038,0.00089899,0.04682767,1.04205159,2.32732714,0.23441738,0.49923880,0.22627215,0.00000000
-5.88594297,3.01615188,0.00079006,0.04510343,0.99309680,2.23958696,0.22755953,0.49954016,0.22369028,0.00000000
-5.87993997,2.93276855,0.00070148,0.04357134,0.94949716,2.16224440,0.22134328,0.50313180,0.22273026,0.00000000
-5.87393697,2.86448059,0.00063245,0.04222290,0.91106122,2.09526246,0.21575169,0.50985346,0.22328425,0.00000000
-5.86793397,2.81092013,0.00058209,0.04104868,0.87755307,2.03854107,0.21076692,0.51952706,0.22522598,0.00000000
-5.86193097,2.77164186,0.00054949,0.04003868,0.84870496,1.99193034,0.20637103,0.53196007,0.22841415,0.00000000
-5.85592796,2.74613728,0.00053372,0.03918257,0.82422789,1.95523905,0.20254624,0.54694794,0.23269564,0.00000000
-5.84992496,2.73384263,0.00053389,0.03846986,0.80382011,1.92823813,0.19927480,0.56427567,0.23790858,0.00000000
-5.84392196,2.73414084,0.00054909,0.03788993,0.78717327,1.91065939,0.19653851,0.58371857,0.24388521,0.00000000
-5.83791896,2.74635809,0.00057844,0.03743206,0.77397674,1.90219001,0.19431786,0.60504246,0.25045470,0.00000000
-5.83191596,2.76975638,0.00062105,0.03708543,0.76392000,1.90246381,0.19259109,0.62800331,0.25744573,0.00000000
-5.82591296,2.80352327,0.00067600,0.03683905,0.75669374,1.91105030,0.19133312,0.65234668,0.26468898,0.00000000
-5.81990995,2.84676041,0.00074237,0.03668177,0.75198987,1.92744274,0.19051450,0.67780705,0.27201950,0.00000000
-5.81390695,2.89847254,0.00081914,0.03660226,0.74950096,1.95104677,0.19010050,0.70410730,0.27927899,0.00000000
-5.80790395,2.95755835,0.00090524,0.03658912,0.74891946,1.98117060,0.19005038,0.73095844,0.28631787,0.00000000
-5.80190095,3.02280484,0.00099949,0.03663096,0.74993703,2.01701822,0.19031697,0.75805986,0.29299723,0.00000000
-5.79589795,3.09288625,0.00110061,0.03671667,0.75224431,2.05768668,0.19084658,0.78510012,0.29919060,0.00000000
-5.78989495,3.16636856,0.00120720,0.03683561,0.75553132,2.10216815,0.19157919,0.81175841,0.30478541,0.00000000
-5.78389195,3.24172028,0.00131774,0.03697804,0.75948871,2.14935745,0.19244908,0.83770684,0.30968434,0.00000000
-5.77788894,3.31732970,0.00143060,0.03713542,0.76380977,2.19806530,0.19338583,0.86261337,0.31380619,0.00000000
-5.77188594,3.39152864,0.00154405,0.03730087,0.76819338,2.24703722,0.19431556,0.88614569,0.31708662,0.00000000
-5.76588294,3.46262212,0.00165630,0.03746962,0.77234773,2.29497765,0.19516256,0.90797571,0.31947847,0.00000000
-5.75987994,3.52892326,0.00176548,0.03763936,0.77599463,2.34057868,0.19585107,0.92778474,0.32095181,0.00000000
