energy_ev,total_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.11500335,0.43746800,1.02788553,2.46129864,0.83844971,0.00021237,1.67805334,0.03745628,0.34355274
-5.99399700,4.00807351,0.42691304,1.01848059,2.37663900,0.81417851,0.00019899,1.62765969,0.03625190,0.33397757
-5.98799400,3.89353015,0.41568484,1.00789675,2.28706459,0.78819192,0.00018545,1.57386468,0.03493072,0.32341721
-5.98199100,3.77379315,0.40409459,0.99688479,2.19402992,0.76091594,0.00017197,1.51755001,0.03351396,0.31207671
-5.97598799,3.65125894,0.39245819,0.98623284,2.09892191,0.73276119,0.00015879,1.45956344,0.03202292,0.30016748
-5.96998499,3.52824810,0.38108791,0.97674536,2.00303351,0.70411503,0.00014609,1.40070276,0.03047847,0.28790108
-5.96398199,3.40696019,0.37028454,0.96922221,1.90754408,0.67533540,0.00013407,1.34170361,0.02890055,0.27548363
-5.95797899,3.28943691,0.36033027,0.96443881,1.81350667,0.64674661,0.00012291,1.28323114,0.02730785,0.26311072
-5.95197599,3.17753447,0.35148269,0.96312804,1.72184226,0.61863692,0.00011279,1.22587550,0.02571749,0.25096332
-5.94597299,3.07290566,0.34396999,0.96596496,1.63334034,0.59125793,0.00010388,1.17015104,0.02414481,0.23920452
-5.93996998,2.97699133,0.33798767,0.97355461,1.54866523,0.56482558,0.00009633,1.11649872,0.02260328,0.22797734
-5.93396698,2.89102117,0.33369667,0.98642357,1.46836712,0.53952244,0.00009031,1.06529139,0.02110450,0.21740362
-5.92796398,2.81602269,0.33122319,1.00501547,1.39289688,0.51550124,0.00008597,1.01684124,0.01965820,0.20758376
-5.92196098,2.75283751,0.33065996,1.02969044,1.32262339,0.49288909,0.00008349,0.97140897,0.01827238,0.19859749
-5.91595798,2.70214333,0.33206894,1.06072821,1.25785222,0.47179232,0.00008304,0.92921393,0.01695351,0.19050528
-5.90995498,2.66448003,0.33548529,1.09833461,1.19884451,0.45230140,0.00008481,0.89044460,0.01570668,0.18335041
-5.90395198,2.64027800,0.34092230,1.14265055,1.14583488,0.43449586,0.00008900,0.85526886,0.01453583,0.17716144
-5.89794897,2.62988676,0.34837699,1.19376283,1.09904747,0.41844877,0.00009584,0.82384338,0.01344400,0.17195486
-5.89194597,2.63360192,0.35783612,1.25171563,1.05870911,0.40423055,0.00010557,0.79632164,0.01243349,0.16773785
-5.88594297,2.65168853,0.36928204,1.31652178,1.02505898,0.39191201,0.00011843,0.77286017,0.01150609,0.16451075
-5.87993997,2.68439903,0.38269822,1.38817246,0.99835424,0.38156626,0.00013469,0.75362249,0.01066321,0.16226938
-5.87393697,2.73198434,0.39807384,1.46664468,0.97887113,0.37326950,0.00015462,0.73878069,0.00990598,0.16100678
-5.86793397,2.79469690,0.41540724,1.55190523,0.96690161,0.36710052,0.00017848,0.72851424,0.00923536,0.16071448
-5.86193097,2.87278471,0.43470792,1.64391077,0.96274536,0.36313898,0.00020654,0.72300612,0.00865216,0.16138319
-5.85592796,2.96647642,0.45599668,1.74260346,0.96669749,0.36146246,0.00023903,0.72243626,0.00815700,0.16300279
-5.84992496,3.07595741,0.47930406,1.84790210,0.97903242,0.36214231,0.00027616,0.72697254,0.00775028,0.16556187
