energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,6.49498851,0.00868595,0.49277149,0.32786135,3.06461139,3.15389416,0.11759219,2.11407931
-5.99399700,6.42363583,0.00858527,0.49747115,0.32502564,3.11948602,3.08888639,0.11655363,2.08776902
-5.98799400,6.34012370,0.00848390,0.50254705,0.32093953,3.16723270,3.01885642,0.11522675,2.05627606
-5.98199100,6.24679547,0.00838863,0.50823148,0.31567353,3.20850307,2.94516865,0.11364238,2.02025625
-5.97598799,6.14630207,0.00830763,0.51476088,0.30932672,3.24414347,2.86930636,0.11183833,1.98049013
-5.96998499,6.04152938,0.00825035,0.52236732,0.30202430,3.27514468,2.79284020,0.10985841,1.93786160
-5.96398199,5.93551396,0.00822732,0.53126971,0.29391390,3.30258417,2.71739239,0.10775110,1.89333181
-5.95797899,5.83135104,0.00824997,0.54166504,0.28516092,3.32756396,2.64459804,0.10556809,1.84790963
-5.95197599,5.73209900,0.00833032,0.55372022,0.27594309,3.35114769,2.57606512,0.10336265,1.80261991
-5.94597299,5.64068488,0.00848070,0.56756480,0.26644458,3.37430046,2.51333493,0.10118793,1.75847129
-5.93996998,5.55981508,0.00871336,0.58328510,0.25684975,3.39783483,2.45784426,0.09909536,1.71642476
-5.93396698,5.49189534,0.00904008,0.60091992,0.24733708,3.42236618,2.41089101,0.09713304,1.67736456
-5.92796398,5.43896287,0.00947178,0.62045817,0.23807340,3.44827971,2.37360403,0.09534436,1.64207251
-5.92196098,5.40263333,0.01001807,0.64183843,0.22920869,3.47571104,2.34691815,0.09376684,1.61120679
-5.91595798,5.38406384,0.01068683,0.66495038,0.22087171,3.50454114,2.33155494,0.09243118,1.58528585
-5.90995498,5.38393254,0.01148378,0.68963807,0.21316655,3.53440567,2.32800905,0.09136060,1.56467774
-5.90395198,5.40243421,0.01241214,0.71570477,0.20617024,3.56471777,2.33654032,0.09057044,1.54959497
-5.89794897,5.43929059,0.01347221,0.74291886,0.19993147,3.59470265,2.35717099,0.09006805,1.54009466
-5.89194597,5.49377357,0.01466118,0.77102075,0.19447042,3.62344143,2.38968757,0.08985286,1.53608351
-5.88594297,5.56473866,0.01597284,0.79972995,0.18977956,3.64992150,2.43364671,0.08991672,1.53732694
-5.87993997,5.65066631,0.01739750,0.82875226,0.18582546,3.67308999,2.48838442,0.09024434,1.54346159
-5.87393697,5.74970856,0.01892198,0.85778641,0.18255135,3.69190716,2.55302805,0.09081392,1.55401047
-5.86793397,5.85973849,0.02052967,0.88652999,0.17988042,3.70539657,2.62651068,0.09159781,1.56839985
-5.86193097,5.97840068,0.02220076,0.91468435,0.17771950,3.71268920,2.70758750,0.09256333,1.58597724
-5.85592796,6.10316126,0.02391254,0.94195839,0.17596321,3.71305925,2.79485435,0.09367349,1.60602974
-5.84992496,6.23135655,0.02563985,0.96807115,0.17449817,3.70595016,2.88676820,0.09488787,1.62780243
