energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,4.06709846,0.03642702,0.76084665,1.34356581,0.33745832,1.94570228,1.42605513,1.52140900,0.00000000
-5.99399700,4.22879251,0.03803736,0.79631019,1.38948393,0.35310591,2.04180824,1.47865495,1.57487812,0.00000000
-5.98799400,4.39052341,0.03965985,0.83165517,1.43697028,0.36898654,2.13628207,1.53120911,1.62861649,0.00000000
-5.98199100,4.55025309,0.04127514,0.86645721,1.48521694,0.38490193,2.22792254,1.58312759,1.68188025,0.00000000
-5.97598799,4.70610133,0.04286504,0.90030560,1.53346663,0.40066886,2.31559906,1.63387663,1.73399974,0.00000000
-5.96998499,4.85638669,0.04441315,0.93281366,1.58103290,0.41612246,2.39828297,1.68298818,1.78439278,0.00000000
-5.96398199,4.99966165,0.04590521,0.96362885,1.62731749,0.43111881,2.47507695,1.73006763,1.83257520,0.00000000
-5.95797899,5.13474063,0.04732949,0.99244212,1.67182433,0.44553683,2.54524142,1.77479943,1.87816801,0.00000000
-5.95197599,5.26071955,0.04867705,1.01899610,1.71416943,0.45927941,2.60821638,1.81695045,1.92090095,0.00000000
-5.94597299,5.37698589,0.04994182,1.04309169,1.75408632,0.47227359,2.66363765,1.85637078,1.96061230,0.00000000
-5.93996998,5.48321875,0.05112059,1.06459276,1.79142666,0.48446995,2.71134644,1.89299207,1.99724483,0.00000000
-5.93396698,5.57937874,0.05221292,1.08342855,1.82615602,0.49584117,2.75139156,1.92682326,2.03083811,0.00000000
-5.92796398,5.66568780,0.05322081,1.09959376,1.85834505,0.50637981,2.78402387,1.95794389,2.06151749,0.00000000
-5.92196098,5.74260005,0.05414838,1.11314609,1.88815631,0.51609553,2.80968287,1.98649521,2.08948020,0.00000000
-5.91595798,5.81076444,0.05500139,1.12420140,1.91582740,0.52501179,2.82897597,2.01266943,2.11497923,0.00000000
-5.90995498,5.87098122,0.05578671,1.13292660,1.94165129,0.53316229,2.84265092,2.03669747,2.13830570,0.00000000
-5.90395198,5.92415387,0.05651177,1.13953056,1.96595465,0.54058730,2.85156272,2.05883567,2.15977050,0.00000000
-5.89794897,5.97123875,0.05718399,1.14425350,1.98907528,0.54733009,2.85663639,2.07935211,2.17968615,0.00000000
-5.89194597,6.01319478,0.05781023,1.14735522,2.01133974,0.55343360,2.85882714,2.09851296,2.19834950,0.00000000
-5.88594297,6.05093537,0.05839626,1.14910291,2.03304229,0.55893762,2.85907990,2.11656945,2.21602632,0.00000000
-5.87993997,6.08528481,0.05894644,1.14975891,2.05442610,0.56387642,2.85829008,2.13374606,2.23293820,0.00000000
-5.87393697,6.11694109,0.05946329,1.14956916,2.07566774,0.56827720,2.85726735,2.15023028,2.24925245,0.00000000
